RemVsCurr	RemVsCon	CurrVsCon	TreatControl
KLRD1	KLRD1	KLRD1	KLRD1
IL2RB	GZMB	GZMB	GZMB
SH2D1B	IL2RB	IL2RB	IL2RB
KLRK1	COX18	COX18	COX18
SNRPD3	TGFBR3	TGFBR3	TGFBR3
MTSS1	PTPN4	PTPN4	PTPN4
AP001877.1	APOBEC3G	APOBEC3G	APOBEC3G
PRF1	C14orf1	C14orf1	C14orf1
CALM1	SH2D1B	SH2D1B	SH2D1B
FBXO21	NMUR1	NMUR1	NMUR1
TBX21	HOPX	HOPX	HOPX
FAM69A	KLRK1	KLRK1	KLRK1
PRKCH	FCRL6	FCRL6	FCRL6
RASGRP1	SNRPD3	SNRPD3	SNRPD3
PRR5L	CKAP2	CKAP2	CKAP2
OPN1SW	NCALD	NCALD	NCALD
KIAA1704	SLC35F5	SLC35F5	SLC35F5
DYRK2	TMEM64	TMEM64	TMEM64
ITGB3BP	ATXN10	ATXN10	ATXN10
TTC39B	INVS	INVS	INVS
MICAL3	TMED10	TMED10	TMED10
C2orf40	MTSS1	MTSS1	MTSS1
DDHD1	FBXO3	FBXO3	FBXO3
CTDSPL2	BCKDHB	BCKDHB	BCKDHB
RAP2B	C16orf87	C16orf87	C16orf87
COA1	SH2D2A	SH2D2A	SH2D2A
RUNX3	AP001877.1	AP001877.1	AP001877.1
SPCS3	PHACTR2	PHACTR2	PHACTR2
CHST2	GOT2	GOT2	GOT2
NFATC2	NAPG	NAPG	NAPG
DNAJC30	GNPTAB	GNPTAB	GNPTAB
NUPL2	PRF1	PRF1	PRF1
S1PR1	SP4	SP4	SP4
STYX	SPATA9	SPATA9	SPATA9
SYT11	EIF2AK3	EIF2AK3	EIF2AK3
HCAR1	SMARCE1	SMARCE1	SMARCE1
BLNK	VEZT	VEZT	VEZT
CD247	FCRL1	FCRL1	FCRL1
S1PR5	KLRB1	KLRB1	KLRB1
SUMF2	RORA	RORA	RORA
ST6GAL1	CALM1	CALM1	CALM1
FAM208A	POP4	POP4	POP4
PRSS23	RARRES3	FBXO21	FBXO21
ZNF507	TBX21	RARRES3	RARRES3
KLRF1	SKAP1	TBX21	TBX21
PQLC3	RFC5	SKAP1	SKAP1
AKAP2	ZNF30	RFC5	RFC5
RAN	ARL4C	FAM69A	FAM69A
ST3GAL5	FGFBP2	ZNF30	ZNF30
LEAP2	OSTM1	ARL4C	ARL4C
PLEKHA1	TRDC	FGFBP2	FGFBP2
ZNF480	RASGRP1	OSTM1	OSTM1
NOP58	WDR85	PRKCH	PRKCH
ABRACL	ARHGEF7	TRDC	TRDC
