Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno00190:Oxidative phosphorylation	8	16.666666666666664	2.0573971890602764E-6	ENSRNOG00000033615, ENSRNOG00000032204, ENSRNOG00000031979, ENSRNOG00000014568, ENSRNOG00000000840, ENSRNOG00000034234, ENSRNOG00000016660, ENSRNOG00000027049	34	106	5590	12.408435072142064	2.530280975669985E-4	2.53059854254414E-4	2.3865807393099207E-4
KEGG_PATHWAY	rno05208:Chemical carcinogenesis - reactive oxygen species	8	16.666666666666664	7.456142633752459E-5	ENSRNOG00000033615, ENSRNOG00000032204, ENSRNOG00000002115, ENSRNOG00000031979, ENSRNOG00000014568, ENSRNOG00000029726, ENSRNOG00000034234, ENSRNOG00000016660	34	183	5590	7.187399549983929	0.009129468375601135	0.004585527719757762	0.004324562727576426
UP_KW_BIOLOGICAL_PROCESS	KW-0249~Electron transport	5	10.416666666666668	1.0204450798650793E-4	ENSRNOG00000033615, ENSRNOG00000017851, ENSRNOG00000032204, ENSRNOG00000014568, ENSRNOG00000034234	20	66	4874	18.46212121212121	0.00264977571725844	0.002653157207649206	0.0025511126996626983
UP_KW_CELLULAR_COMPONENT	KW-0999~Mitochondrion inner membrane	7	14.583333333333334	1.7729559221365594E-4	ENSRNOG00000033615, ENSRNOG00000014573, ENSRNOG00000031979, ENSRNOG00000014568, ENSRNOG00000034234, ENSRNOG00000016660, ENSRNOG00000027049	39	198	8844	8.017094017094017	0.004246429773855476	0.004255094213127742	0.004255094213127742
KEGG_PATHWAY	rno05020:Prion disease	8	16.666666666666664	2.1738813104211303E-4	ENSRNOG00000033615, ENSRNOG00000032204, ENSRNOG00000002115, ENSRNOG00000031979, ENSRNOG00000014568, ENSRNOG00000034234, ENSRNOG00000016660, ENSRNOG00000034066	34	217	5590	6.061263214963405	0.02638725507685613	0.007484442491113919	0.007058498609505809
KEGG_PATHWAY	rno05012:Parkinson disease	8	16.666666666666664	2.433965037760624E-4	ENSRNOG00000033615, ENSRNOG00000018712, ENSRNOG00000032204, ENSRNOG00000002115, ENSRNOG00000031979, ENSRNOG00000014568, ENSRNOG00000034234, ENSRNOG00000016660	34	221	5590	5.951557093425605	0.029497610196074775	0.007484442491113919	0.007058498609505809
GOTERM_CC_DIRECT	GO:0005840~ribosome	5	10.416666666666668	4.029426350488806E-4	ENSRNOG00000010746, ENSRNOG00000003029, ENSRNOG00000020674, ENSRNOG00000018795, ENSRNOG00000000957	47	92	12077	13.965078630897318	0.06282649015458253	0.03759230679578868	0.03689182902940752
KEGG_PATHWAY	rno05415:Diabetic cardiomyopathy	7	14.583333333333334	4.3146271209197943E-4	ENSRNOG00000033615, ENSRNOG00000018712, ENSRNOG00000032204, ENSRNOG00000031979, ENSRNOG00000014568, ENSRNOG00000034234, ENSRNOG00000016660	34	172	5590	6.691176470588235	0.05169715000667341	0.010613982717462694	0.010009934920533923
UP_KW_BIOLOGICAL_PROCESS	KW-0679~Respiratory chain	4	8.333333333333332	4.5311560279479707E-4	ENSRNOG00000033615, ENSRNOG00000032204, ENSRNOG00000014568, ENSRNOG00000034234	20	40	4874	24.37	0.011714519955379865	0.005890502836332362	0.005663945034934963
KEGG_PATHWAY	rno04714:Thermogenesis	7	14.583333333333334	6.365390225047741E-4	ENSRNOG00000033615, ENSRNOG00000032204, ENSRNOG00000031979, ENSRNOG00000014568, ENSRNOG00000034234, ENSRNOG00000016660, ENSRNOG00000027049	34	185	5590	6.220985691573926	0.07533080183357099	0.013049049961347868	0.012306421101758964
GOTERM_CC_DIRECT	GO:1990904~ribonucleoprotein complex	6	12.5	7.605518565401456E-4	ENSRNOG00000010746, ENSRNOG00000051170, ENSRNOG00000020674, ENSRNOG00000018795, ENSRNOG00000034066, ENSRNOG00000000957	47	191	12077	8.071961679848503	0.11529005802442627	0.03759230679578868	0.03689182902940752
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	4	8.333333333333332	8.942530718317583E-4	ENSRNOG00000010746, ENSRNOG00000020674, ENSRNOG00000018795, ENSRNOG00000000957	47	50	12077	20.556595744680852	0.13414615762088855	0.03759230679578868	0.03689182902940752
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	9	18.75	0.001166914969149808	ENSRNOG00000018712, ENSRNOG00000011705, ENSRNOG00000004794, ENSRNOG00000014025, ENSRNOG00000006037, ENSRNOG00000002115, ENSRNOG00000006471, ENSRNOG00000001837, ENSRNOG00000034066	47	564	12077	4.10038478949751	0.17137121570343272	0.03759230679578868	0.03689182902940752
