Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0732~Signal	328	24.680210684725356	7.50377775774624E-8	SPON1, ZAN, TRIL, DMP1, CSN3, ANTXR1, ZDHHC3, IL27RA, SYNPR, LGALS3, ALCAM, LIPI, HMCN1, VSTM4, EPHA5, EPHA6, CXADR, EPHA8, ENTPD5, IL1R2, OMD, KCNK15, PDYN, ANK1, DKK2, IGLV1, SLPI, CRISPLD1, NUP210L, PADI3, COL8A2, SERPING1, EPHA3, GPLD1, EPHA2, IGSF6, UGT8A, SDC4, CHIA1, FUT11, LYPD1, IL20RB, TMTC2, LYPD3, LY9, KLK8, CD79B, GHRHR, FAM171A1, FLRT3, PDGFD, PENK, PFPL, SERPINH1, GM12888, APOB, H2-EB2, NMB, FZD5, DNASE2A, LRRN4, PRG2, FN1, IFNLR1, PRG4, PRG3, NETO2, GP6, GP5, MANF, COL1A1, BST1, BPIFB3, KITL, TREML2, PCDHB6, FXYD6, CD22, SERPINA11, ROBO3, CATSPERG1, PTPRU, SERPINA12, HIP1, HEXB, PTPRO, WFIKKN2, WFDC1, C1QTNF9, HSCB, IFNA9, SLC7A10, PCSK5, SIGLECG, WFDC5, CTSS, SHH, C1QTNF6, IFNAB, CTSJ, TIMP2, CTSG, CCR7, RSPO1, TIMP1, EMB, CTSE, ERMAP, TIMP4, CD33, CAMP, LYNX1, MYOC, PRSS16, TET1, OSMR, F3, F5, IL17RA, CEACAM2, BACE2, GAL, OAF, WFDC6A, FAM20A, CRELD2, CD44, TLR2, VWA7, CCL11, STAU1, SAA4, GM14743, CST8, SBSN, LYZL6, DUOX1, CST13, FSTL5, RXRA, RELN, CYP2C54, LMAN2, OLFML1, VMN2R1, CILP2, SIAE, GABRD, MPZL1, BCHE, IL10RA, DKKL1, TMCO3, KLK11, COLQ, DCBLD2, LCE3F, LRG1, CFHR1, IGLL1, ADAM34, CACHD1, MSRB3, FAS, CD68, CRLF1, LGR4, SEMA5B, CSF3, DEFB9, TPSB2, CSF2, LY6I, TMEM179B, UPK2, HFE, ITGA2B, HP, ACRBP, CXCL14, LAMP5, BMPER, NAGLU, CDH1, ENPP2, CAR14, FAM3C, RNF43, CHRNB3, IGFBP5, CD93, SPINK8, SHISA3, PDIA6, MPEG1, PDIA4, EDAR, PROCR, ERN2, STIM2, NAAA, ADAM12, DNAJB11, DPEP1, ADAM9, ELMO3, CHIL3, ADAM7, IL6ST, DSC2, NOTCH2, CEMIP, NOTCH1, CHRNA2, LYZ2, LYZ1, HTRA1, DPT, DTX2, LTBP3, TMEM25, EFNB3, CDH22, CHAD, PRODH, CPA6, AMELX, KL, CTLA2B, SDF2L1, HSPA5, CNTN6, WNT3A, BMP5, IL3, SDK1, REEP4, FGF18, OGN, LCN2, GPR107, TUBGCP4, FGFR3, FGFR1, H2-T24, MOXD1, MEGF10, CPQ, OXT, TRH, TREM3, CHTF18, 4931414P19RIK, PHTF1, GM1976, CD1D1, NETO1, ADAMTS1, RASGEF1B, UGT2A3, EMILIN1, LBP, ADAMTS6, PTGIS, GPX3, MMP2, ABHD14A, C1QL3, CORT, GFOD1, DCT, CATSPERD, NGP, CDHR1, IL1RAPL1, IL3RA, PECAM1, ITGA7, CDH13, SPACA3, SPACA4, DNASE1, SPACA6, SMPDL3B, SCN4B, CNTNAP4, LTF, CDH19, ITIH5, SVS4, PON2, LAMA3, TEX101, LRP4, PRELP, RETN, ITIH1, COCH, THSD4, THBS4, CLN5, FOXRED2, CLEC3B, CLMP, ERBB3, SLITRK2, 6530402F18RIK, NCAM1, LRIG3, CYYR1, PCDH1, LINGO2, CEACAM18, COL26A1, LGI4, LAMB2, PCDHGC4, GZMA, UGT2B37, SEMA4G, GZMG, APLN, CD24A, PIK3IP1, MDGA1, RECK, CBLN2, CBLN1	883	3214	11024	1.27410867375955	2.1760932628067664E-6	2.1760955497464093E-6	2.1760955497464093E-6
UP_KW_PTM	KW-1015~Disulfide bond	269	20.240782543265613	2.7450180053065497E-6	SPON1, ZAN, TXNDC11, ANTXR1, BACH2, LGALS3, HTR7, ALCAM, AKT3, HMCN1, VSTM4, MFSD2A, EPHA5, CXADR, ENTPD5, IL1R2, FIBCD1, OMD, SLC6A13, PDYN, DKK2, SLPI, CRISPLD1, SERPING1, EPHA3, EPHA2, IGSF6, CHIA1, FUT11, LYPD1, LY9, KLK8, CD79B, GHRHR, FLRT3, PDGFD, PENK, APOB, NTSR1, ST3GAL2, GPR17, ST14, FZD5, DNASE2A, ST8SIA3, PRG2, FN1, RAB27A, IFNLR1, PRG4, PRG3, NETO2, GP6, MANF, COL1A1, BST1, BPIFB3, KITL, GPR183, TREML2, PCDHB6, CD22, ROBO3, PTPRU, HEXB, WFIKKN2, WFDC1, IFNA9, SLC7A10, SIGLECG, CTSS, SLC6A3, CTSJ, TIMP2, CTSG, CCR7, RSPO1, TIMP1, EMB, CTSE, ERMAP, TIMP4, CD33, CCR3, CAMP, LYNX1, MYOC, GPR34, OSMR, F3, F5, IL17RA, CEACAM2, BACE2, CCKBR, WFDC6A, FAM20A, CRELD2, CD44, TLR2, CCL11, PTGER3, CST8, LYZL6, CST13, FSTL5, RELN, LMAN2, SUSD3, CILP2, SIAE, GABRD, GCNT7, MPZL1, BCHE, CD72, IL10RA, KLK11, COLQ, DCBLD2, SLCO3A1, IGLL1, APEX1, SLCO4C1, ADAM34, FAS, CD68, CRLF1, LGR4, SEMA5B, CSF3, DEFB9, TPSB2, CSF2, LY6I, GALNT16, HFE, ITGA2B, HP, CXCL14, BMPER, CDH1, ENPP2, ENPP1, CAR14, FAM3C, TGM2, RNF43, CHRNB3, IGFBP5, CD93, SPINK8, KLRA17, PDIA6, MPEG1, PDIA4, EDAR, PROCR, ADAM12, DNAJB11, DPEP1, ADAM9, CHIL3, ADAM7, IL6ST, CARD11, NOTCH2, NOTCH1, CHRNA2, LYZ2, LYZ1, HTRA1, DPT, LTBP3, TMEM25, EFNB3, FUT9, CHAD, NLRP3, CPA6, SLC38A4, CNTN6, HTR1F, WNT3A, BTNL2, TMPRSS15, BMP5, IL3, SDK1, SLCO1A1, FGF18, OGN, LCN2, GPR107, FGFR3, FGFR1, MOXD1, ST6GALNAC1, MEGF10, OXT, ECE2, TREM3, SYNE1, CD1D1, NETO1, ADAMTS1, MAN1A2, EMILIN1, SCN5A, LBP, CLEC1B, ADAMTS6, GALNT9, SLC36A1, NPY5R, MMP2, SSTR1, SSTR2, SSTR3, CORT, CATSPERD, NGP, IL1RAPL1, IL3RA, PECAM1, ITGA7, SPACA3, SPACA4, DNASE1, SPACA6, SMPDL3B, SCN4B, B4GALT5, CNTNAP4, LTF, PON2, LAMA3, LRP4, PRELP, GLRX, RETN, COCH, THBS4, CLN5, CLEC3B, CLMP, ERBB3, SLITRK2, LRRC8D, SCN7A, NCAM1, LRIG3, S1PR2, LINGO2, CEACAM18, COL26A1, TXNRD3, LAMB2, GZMA, SEMA4G, GZMG, P2RX6, PIK3IP1, SYT10, CD9, MDGA1, RECK, CBLN2, CBLN1	873	2678	11065	1.2731479699250694	7.411284137637253E-5	7.686050414858339E-5	7.686050414858339E-5
UP_KW_PTM	KW-0325~Glycoprotein	321	24.153498871331827	1.4098648926307305E-5	SPON1, ZAN, TRIL, DMP1, CSN3, CWH43, AQP2, ELK1, ANTXR1, AQP1, IL27RA, SYNPR, HTR7, ALCAM, AKT3, HMCN1, VSTM4, BVES, IER3, MFSD2A, EPHA5, EPHA6, CXADR, EPHA8, ENTPD5, IL1R2, FIBCD1, OMD, SLC6A13, MCEMP1, DKK2, NUP210L, SERPING1, EPHA3, GPLD1, EPHA2, SLC22A6, UGT8A, SDC4, SLC22A1, FUT11, LYPD1, LYPD3, LY9, KLK8, CD79B, HSD11B1, GHRHR, FAM171A1, FLRT3, PDGFD, TSPAN4, SERPINH1, SLC19A3, NAALAD2, APOB, NTSR1, ST3GAL2, H2-EB2, GPR17, ST14, FZD5, DNASE2A, LRRN4, ST8SIA3, PRG2, ERLIN1, FN1, IFNLR1, PRG4, NETO2, GP6, GP5, COL1A1, BST1, BPIFB3, KITL, GPR183, TREML2, PCDHB6, CD22, SERPINA11, ROBO3, CATSPERG1, PTPRU, SERPINA12, HEXB, PTPRO, WFIKKN2, C1QTNF9, IFNA9, PCSK5, SIGLECG, CTSS, SLC6A3, SHH, C1QTNF6, CTSJ, NEFL, NEFM, CTSG, CCR7, RSPO1, TIMP1, EMB, CTSE, ERMAP, CD33, CD53, LYNX1, MYOC, GPR34, PRSS16, TET1, OSMR, F3, F5, IL17RA, CEACAM2, BACE2, CCKBR, BDH1, B3GNT6, INCENP, SLC29A4, FAM20A, PIGG, CRELD2, CD44, TLR2, VWA7, CCL11, SLC43A2, SLC43A3, KCNA2, PTGER3, KCNA5, CST8, ADCY1, LYZL6, DUOX1, FSTL5, RELN, LMAN2, VMN2R1, CILP2, PTCHD3, SIAE, ABCB1A, GABRD, RHBG, GPR155, GCNT7, MPZL1, RPRM, BCHE, CD72, IL10RA, DKKL1, TMCO3, KLK11, DCBLD2, SPCS3, SLCO3A1, CACHD1, FAS, CD68, CRLF1, LGR4, SEMA5B, CSF3, TPSB2, CSF2, LY6I, UPK2, HFE, ITGA2B, HP, LAMP5, TAS2R119, BMPER, CDH1, ENPP2, ENPP1, CAR14, RNF43, SCARA3, CHRNB3, CD93, MPEG1, PDIA4, EDAR, TAS2R105, PROCR, ERN2, STIM2, NAAA, ADAM12, DNAJB11, DPEP1, ADAM9, ADAM7, IL6ST, DSC2, NOTCH2, CEMIP, NOTCH1, CHRNA2, LTBP3, TMEM25, EFNB3, FUT9, CDH22, CHAD, CPA6, SLC38A4, KL, SYT2, CNTN6, HTR1F, WFS1, WNT3A, PTCH2, BTNL2, B3GALT5, ESR1, TMPRSS15, BMP5, IL3, SDK1, SLCO1A1, TMEM117, FGF18, OGN, LCN2, GPR107, STT3B, FGFR3, FGFR1, H2-T24, MOXD1, ABCD2, ST6GALNAC1, GAL3ST1, MEGF10, CPQ, ECE2, TREM3, PHTF1, CD1D1, NETO1, ADAMTS1, MAN1A2, TMEM108, UGT2A3, EMILIN1, SCN5A, LBP, CLEC1B, ADAMTS6, SLC36A1, NPY5R, MMP2, ABHD14A, SSTR1, SSTR2, SSTR3, DCT, CATSPERD, CDHR1, IL1RAPL1, IL3RA, PECAM1, ITGA7, CDH13, SPACA4, LTB, DNASE1, MCM6, SPACA6, SMPDL3B, SCN4B, B4GALT5, CNTNAP4, LTF, ITIH5, PON2, SRF, LAMA3, TEX101, LRP4, PRELP, ITIH1, COCH, THBS4, CLN5, FOXRED2, CLMP, ERBB3, SLITRK2, SCN7A, NCAM1, S1PR3, LRIG3, S1PR2, FKTN, LINGO2, CEACAM18, COL26A1, LGI4, LAMB2, GZMA, SEMA4G, GZMG, P2RX6, CD24A, CD9, MDGA1, RECK, CBLN2, CBLN1	873	3351	11065	1.2141372375892308	3.8059376026955416E-4	1.9738108496830228E-4	1.9738108496830228E-4
GOTERM_CC_DIRECT	GO:0005615~extracellular space	148	11.136192626034612	2.0420739687879718E-5	DEFB9, TPSB2, CSF3, CSF2, TRIL, ZAN, HFE, HP, CSN3, CXCL14, LGALS3, BMPER, LIPI, ENPP2, ENPP1, FAM3C, SCARA3, CXADR, IGFBP5, KRT2, ENTPD5, FIBCD1, OMD, KRT77, PDYN, PDIA6, DKK2, IGLV1, PDIA4, PROCR, SLPI, CRISPLD1, DNAJB11, COL8A2, S100A6, DPEP1, SERPING1, ADAM9, CHIL3, IL6ST, S100A9, GPLD1, S100A8, CHIA1, LYZ2, LYZ1, DPT, KLK8, FLRT3, PDGFD, CHAD, SERPINH1, APOB, CPA6, STX4A, NMB, ST14, WNT3A, LRRN4, FN1, PRG4, SERPINA3I, MANF, BMP5, COL1A1, IL3, KITL, FGF18, OGN, LCN2, SERPINA11, H2-T24, MOXD1, SERPINA12, CPQ, HEXB, WFIKKN2, WFDC1, OXT, C1QTNF9, IFNA9, WFDC5, PCSK5, CTSS, CD1D1, SHH, C1QTNF6, CTSJ, RNPEP, IFNAB, TIMP2, EMILIN1, CTSG, TIMP1, LBP, RSPO1, TIMP4, CCR3, CAMP, PTGIS, MYOC, GPX3, MMP2, F3, F5, CORT, CEACAM2, GAL, NGP, WFDC6A, PECAM1, CDH13, FAM20A, LTB, CRELD2, SMPDL3B, LTF, CCL11, SVS4, HPGD, GM14743, PRELP, RETN, THBS4, FSTL5, CLEC3B, RELN, ERBB3, LMAN2, OLFML1, CILP2, CKB, LINGO2, BCHE, LGI4, GZMA, DKKL1, COLQ, KLK11, APLN, LRG1, PIK3IP1, CFHR1, SLMAP, FAS, CBLN2, CRLF1, HSPA1A	1302	1386	17036	1.397188917926245	0.014615642879733826	0.014723353314961277	0.014723353314961277
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	295	22.197140707298722	2.5038165141372494E-5	SPON1, ZAN, TRIL, DMP1, CWH43, AQP2, ANTXR1, AQP1, IL27RA, SYNPR, HTR7, ALCAM, VSTM4, BVES, IER3, MFSD2A, EPHA5, EPHA6, CXADR, EPHA8, ENTPD5, IL1R2, FIBCD1, OMD, SLC6A13, MCEMP1, DKK2, NUP210L, SERPING1, EPHA3, GPLD1, EPHA2, SLC22A6, UGT8A, SLC22A1, FUT11, LYPD1, LYPD3, LY9, KLK8, CD79B, HSD11B1, GHRHR, FLRT3, PDGFD, TSPAN4, SERPINH1, SLC19A3, NAALAD2, APOB, NTSR1, ST3GAL2, GPR17, ST14, FZD5, DNASE2A, LRRN4, ST8SIA3, ERLIN1, FN1, IFNLR1, PRG4, NETO2, GP6, GP5, COL1A1, BST1, BPIFB3, KITL, GPR183, TREML2, PCDHB6, CD22, SERPINA11, ROBO3, CATSPERG1, PTPRU, SERPINA12, HEXB, PTPRO, WFIKKN2, IFNA9, PCSK5, SIGLECG, CTSS, SLC6A3, SHH, C1QTNF6, CTSJ, CTSG, CCR7, RSPO1, TIMP1, EMB, CTSE, ERMAP, CD33, CD53, MYOC, GPR34, PRSS16, OSMR, F3, F5, IL17RA, CEACAM2, BACE2, CCKBR, B3GNT6, INCENP, SLC29A4, FAM20A, CRELD2, CD44, TLR2, VWA7, SLC43A2, SLC43A3, KCNA2, PTGER3, KCNA5, CST8, ADCY1, LYZL6, FSTL5, RELN, LMAN2, VMN2R1, CILP2, PTCHD3, SIAE, ABCB1A, GABRD, RHBG, GPR155, GCNT7, MPZL1, RPRM, BCHE, CD72, IL10RA, DKKL1, TMCO3, KLK11, DCBLD2, SPCS3, SLCO3A1, CACHD1, FAS, CD68, CRLF1, LGR4, SEMA5B, TPSB2, CSF2, LY6I, UPK2, HFE, ITGA2B, HP, LAMP5, TAS2R119, BMPER, CDH1, ENPP2, ENPP1, CAR14, RNF43, SCARA3, CHRNB3, CD93, MPEG1, PDIA4, EDAR, TAS2R105, PROCR, ERN2, STIM2, NAAA, ADAM12, DNAJB11, DPEP1, ADAM9, ADAM7, IL6ST, DSC2, NOTCH2, CEMIP, NOTCH1, CHRNA2, LTBP3, TMEM25, EFNB3, FUT9, CDH22, CPA6, SLC38A4, KL, SYT2, CNTN6, HTR1F, WFS1, WNT3A, PTCH2, BTNL2, B3GALT5, TMPRSS15, BMP5, IL3, SDK1, SLCO1A1, TMEM117, FGF18, LCN2, GPR107, STT3B, FGFR3, FGFR1, MOXD1, ABCD2, ST6GALNAC1, GAL3ST1, MEGF10, CPQ, ECE2, TREM3, PHTF1, CD1D1, NETO1, ADAMTS1, MAN1A2, UGT2A3, EMILIN1, SCN5A, LBP, CLEC1B, SLC36A1, NPY5R, MMP2, ABHD14A, SSTR1, SSTR2, SSTR3, DCT, CATSPERD, CDHR1, IL1RAPL1, IL3RA, PECAM1, ITGA7, CDH13, LTB, DNASE1, SPACA6, SMPDL3B, SCN4B, B4GALT5, CNTNAP4, LTF, ITIH5, PON2, LAMA3, TEX101, LRP4, PRELP, ITIH1, COCH, THBS4, CLN5, FOXRED2, CLMP, ERBB3, SLITRK2, SCN7A, NCAM1, S1PR3, LRIG3, S1PR2, FKTN, LINGO2, CEACAM18, COL26A1, LGI4, LAMB2, PCDHGC4, GZMA, SEMA4G, GZMG, P2RX6, CD24A, CD9, MDGA1, RECK, CBLN2, CBLN1	1190	3099	15452	1.2360560874882383	0.08001983800578338	0.08340212808591177	0.08340212808591177
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	367	27.614747930775017	7.231496779465212E-5	IFITM1, ZAN, TRIL, CPNE7, FRMPD1, AQP9, CPNE6, AQP2, ANTXR1, AQP1, IL27RA, EPS8, RASSF2, HTR7, ALCAM, LIPI, CAPNS2, AKT3, MS4A15, VSTM4, BVES, MFSD2A, EPHA5, UNC13C, EPHA6, CXADR, EPHA8, FNBP1, IL1R2, SLC6A13, KCNK15, PHKA1, PRKCA, PDYN, ANK1, AR, TIAM1, CLDN5, TMEM126A, PRKD1, EPHA3, EPHA2, PPP1R37, SLC22A6, SH2D2A, SLC22A1, STXBP2, CLCNKB, LYPD1, IL20RB, XPC, SLCO5A1, LYPD3, LY9, PIK3R5, CD79B, GHRHR, FAM171A1, PPP3R1, GNG10, RIC8B, FLRT3, PENK, TSPAN4, SLC19A3, SYMPK, NAALAD2, KCNN2, PIP5K1B, SLC5A4B, STXBP5, STX4A, NTSR1, VASP, H2-EB2, GPR17, ST14, SRMS, FZD5, HOMER1, HOMER2, LRRN4, IFNLR1, NETO2, GP6, GNG12, BST1, KITL, GJB6, GPR183, TREML2, PCDHB6, FXYD6, CD22, ROBO3, PTPRU, SERPINA12, HIP1, PTPRO, HIF3A, BRCA1, SLC7A10, PHF7, SIGLECG, SLC6A3, AKAP12, SHH, UBL3, AIFM2, CTSG, CCR7, BBS7, EMB, ERMAP, CD33, CCR3, GSDMA2, CD53, LYNX1, EXOC8, GPR34, OSMR, F3, IL17RA, VAV2, CEACAM2, BACE2, MRAS, CCKBR, RILPL1, RHOJ, RAPGEF1, RARA, SLC29A4, EXOC6, RHOU, ACSBG1, RGS7BP, PAFAH1B2, CD44, TLR2, SLC43A2, STAU1, SLC43A3, KCNA2, PTGER3, KCNA5, ADCY1, STX11, DUOX1, RELN, ALOX8, LMAN2, CTNNA1, VMN2R1, SUSD3, PTCHD3, CKB, ABCB1A, GABRD, RHBG, MPZL1, RFTN2, BCHE, SLC16A1, CD72, IL10RA, DAB2IP, GAD2, COLQ, DCBLD2, SLCO3A1, 1700028J19RIK, SLMAP, CCDC8, SLCO4C1, ADAM34, FAS, ESYT2, CD68, LGR4, HSPA1A, SEMA5B, LY6I, UPK2, WWC1, HFE, ITGA2B, CTNND1, FAM107A, AMOT, LAMP5, RIMS1, IPO8, GRB14, CDH1, ENPP2, ENPP1, CAR14, RGS9, SLC16A3, TGM2, MYLIP, RNF43, CHRNB3, ZGPAT, CD93, MMGT2, MAGI3, KLRA17, HARBI1, CYBA, CYS1, ZBTB33, PDIA6, SDCBP2, DGKZ, GEM, GRIP2, EDAR, SLC9A5, STIM2, ADAM12, S100A6, ELMO1, DPEP1, ADAM9, ADAM7, STEAP1, IL6ST, S100A9, SLC27A2, CARD11, DSC2, S100A8, NOTCH2, SHC4, CEMIP, NOTCH1, CHRNA2, SHC1, HTRA1, ITPR2, ARHGAP15, TMEM25, KCNV1, EFNB3, PDZD2, ALDH3B1, CDH22, SRGAP2, MPDZ, SLC38A4, KL, OSBPL6, SYT2, HSPA5, CNTN6, HTR1F, OSBPL3, CACFD1, OSBPL2, PTCH2, SYNJ2, SYT8, ESR1, SDK1, SLCO1A1, TMEM117, GPR107, GNB5, SLC26A4, FGFR3, FGFR1, KCNK5, MEGF10, LRRK2, HSPB1, ECE2, LSP1, TREM3, RND1, SPRED3, SPRED1, CD1D1, NETO1, RASGEF1B, RNPEP, PGM5, NOS1, GM8369, SCN5A, CLEC1B, SLC36A1, NPY5R, TRPC4, PLEKHG5, MMP2, RHBDF2, COBL, SSTR1, SSTR2, SSTR3, ETV5, ARL4A, DCT, CATSPERD, CDHR1, IL1RAPL1, IL3RA, PECAM1, CHMP3, CDH13, SPACA4, LTB, SMPDL3B, SCN4B, MS4A1, DOCK1, CAMK1G, CNTNAP4, LTF, CDH19, GM266, ROCK2, PON2, TEX101, SLC5A11, LRP4, PARD6G, ATP1A2, ATP2C2, ASAP2, SRI, PARD6B, TMEM202, CLMP, ERBB3, SLITRK2, RAB26, DNAJB4, LRRC8D, SCN7A, EPS8L1, NCAM1, S1PR3, LRIG3, S1PR2, PCDH1, PCDHGC4, KCNJ16, SEMA4G, BAIAP2, ENOX1, P2RX6, CD24A, SYT12, PIK3IP1, PRC1, SYT10, CD9, MDGA1, RECK, LNX2, CBLN1, PTPN3, PPIL6	1302	4042	17036	1.1880272499735876	0.05080495734419388	0.01975286118630862	0.01975286118630862
GOTERM_CC_DIRECT	GO:0005576~extracellular region	158	11.888638073739653	8.218943628145056E-5	SPON1, DEFB9, TPSB2, CSF3, CSF2, HP, DMP1, CSN3, ACRBP, CXCL14, IL27RA, PYCARD, SCGN, LGALS3, BMPER, ENPP2, ENPP1, HMCN1, FAM3C, VSTM4, TGM2, CXADR, SPINK8, IGFBP5, IL1R2, ENTPD5, OMD, PDYN, DKK2, SLPI, CRISPLD1, COL8A2, SERPING1, CHIL3, S100A9, EPHA3, GPLD1, S100A8, NOTCH2, CEMIP, NOTCH1, SDC4, CHIA1, LYZ2, LYZ1, HTRA1, DPT, LTBP3, KLK8, AK7, TMEM25, PDZD2, FLRT3, PDGFD, CHAD, PENK, NLRP3, APOB, CPA6, AMELX, ST3GAL2, KL, NMB, HSPA5, WNT3A, PRG2, FN1, PRG4, MANF, BMP5, COL1A1, IL3, BPIFB3, KITL, FGF18, OGN, LCN2, SERPINA11, SERPINA12, CPQ, WFIKKN2, WFDC1, OXT, C1QTNF9, TRH, IFNA9, PCSK5, 4931414P19RIK, CTSS, SHH, ADAMTS1, C1QTNF6, RNPEP, TIMP2, EMILIN1, CTSG, TIMP1, LBP, RSPO1, TIMP4, ADAMTS6, CAMP, MYOC, GPX3, MMP2, C1QL3, F5, CORT, GAL, GFOD1, NGP, WFDC6A, SPACA3, FAM20A, DNASE1, SMPDL3B, CD44, LTF, VWA7, ITIH5, CCL11, SVS4, PON2, LAMA3, TEX101, SAA4, RSPH9, PRELP, RETN, CST8, ITIH1, SBSN, COCH, THBS4, THSD4, LYZL6, FSTL5, CST13, CLEC3B, RELN, CILP2, BCHE, COL26A1, LAMB2, LGI4, GZMA, DKKL1, DAW1, KLK11, ENOX1, APLN, IGLL1, FAS, CD9, AGGF1, CBLN2, CRLF1, CBLN1	1302	1540	17036	1.342434217088595	0.057539263022641784	0.01975286118630862	0.01975286118630862
GOTERM_BP_DIRECT	GO:0048708~astrocyte differentiation	10	0.7524454477050414	2.0498751348475426E-4	EOMES, SHH, NOTCH1, DAB1, NAGLU, NR2E1, SOX6, NR3C1, FGFR3, HES5	1285	29	16885	4.531061317590233	0.6127072651815785	0.948477224893958	0.948477224893958
UP_KW_BIOLOGICAL_PROCESS	KW-0130~Cell adhesion	52	3.912716328066215	2.487836010649938E-4	PTPRU, SPON1, MEGF10, ZAN, ITGA2B, CTNND1, SIGLECG, ALCAM, CDH1, EMILIN1, PGM5, BVES, CD33, CXADR, CD93, EPHA8, OMD, PRKCA, CDHR1, ADAM12, PECAM1, COL8A2, CDH13, ITGA7, SPACA4, DSC2, CD44, EPHA2, CDH19, CNTNAP4, LAMA3, DPT, LY9, THBS4, RELN, FLRT3, CDH22, CTNNA1, SYMPK, NCAM1, PCDH1, LAMB2, CNTN6, PCDHGC4, FN1, GP5, SORBS3, SDK1, KITL, PCDHB6, CD9, CD22	655	402	8477	1.6740875773802741	0.03399398960170885	0.03458092054803414	0.03458092054803414
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	61	4.5899172310007526	4.283188410203029E-4	PTPRU, SPON1, MEGF10, ZAN, ITGA2B, CTNND1, CWH43, SIGLECG, ALCAM, CDH1, EMILIN1, PGM5, EMB, BVES, CD33, CXADR, CD93, EPHA8, OMD, PRKCA, CLDN5, CEACAM2, CDHR1, ADAM12, PECAM1, COL8A2, CDH13, ITGA7, ADAM9, SPACA4, DSC2, CD44, EPHA2, CNTNAP4, LAMA3, DPT, LY9, THBS4, RELN, FLRT3, CDH22, CTNNA1, SYMPK, NCAM1, PCDH1, AMELX, MPDZ, HES5, LAMB2, CNTN6, PCDHGC4, FN1, SORBS3, CD24A, SDK1, DAB1, KITL, PCDHB6, CD9, AGGF1, CD22	1285	508	16885	1.5778439903183308	0.8622418718934327	0.9909156387004707	0.9909156387004707
