Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-1280~Immunoglobulin	44	2.853437094682231	2.2658568916228766E-22	IGHM, IGHV1-3, IGLV3-1, IGKV3D-11, IGHV4-39, IGHV1OR15-9, IGKV1D-43, IGKV3D-15, IGLV8-61, IGHG3, IGHG4, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGKC, IGLV2-14, IGLV3-21, IGKV1-37, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGLC2, IGKV6-21, IGKV2-40, IGKV3-7, IGLC7, IGKV1-6, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1170	100	15286	5.748581196581196	1.3368555660574972E-20	1.3368555660574972E-20	1.3141969971412684E-20
GOTERM_CC_DIRECT	GO:0019814~immunoglobulin complex	39	2.529182879377432	6.725002948449459E-20	IGHM, IGHV1-3, IGLV3-1, IGKV3D-11, IGHV4-39, IGHV1OR15-9, IGKV1D-43, IGKV3D-15, IGLV8-61, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGLV2-14, IGLV3-21, IGKV1-37, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGKV6-21, IGKV2-40, IGKV3-7, IGKV1-6, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1315	89	17325	5.773272952535566	5.4539773911925113E-17	5.4539773911925113E-17	5.4203523764502645E-17
UP_SEQ_FEATURE	REGION:Framework-1	36	2.3346303501945527	5.718466454983371E-18	IGHV1-3, IGLV3-1, IGKV3D-11, IGHV4-39, IGKV1D-43, IGKV3D-15, IGLV8-61, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGLV2-14, IGLV3-21, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGKV6-21, IGKV2-40, IGKV3-7, IGKV1-6, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1272	85	16924	5.635072142064373	2.6442188887843107E-14	8.263185182320013E-15	8.263185182320013E-15
UP_SEQ_FEATURE	REGION:Framework-3	36	2.3346303501945527	8.935105084688596E-18	IGHV1-3, IGLV3-1, IGKV3D-11, IGHV4-39, IGKV1D-43, IGKV3D-15, IGLV8-61, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGLV2-14, IGLV3-21, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGKV6-21, IGKV2-40, IGKV3-7, IGKV1-6, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1272	86	16924	5.569548047389206	4.1315925911600066E-14	8.263185182320013E-15	8.263185182320013E-15
UP_SEQ_FEATURE	REGION:Complementarity-determining-2	36	2.3346303501945527	8.935105084688596E-18	IGHV1-3, IGLV3-1, IGKV3D-11, IGHV4-39, IGKV1D-43, IGKV3D-15, IGLV8-61, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGLV2-14, IGLV3-21, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGKV6-21, IGKV2-40, IGKV3-7, IGKV1-6, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1272	86	16924	5.569548047389206	4.1315925911600066E-14	8.263185182320013E-15	8.263185182320013E-15
UP_SEQ_FEATURE	REGION:Framework-2	36	2.3346303501945527	8.935105084688596E-18	IGHV1-3, IGLV3-1, IGKV3D-11, IGHV4-39, IGKV1D-43, IGKV3D-15, IGLV8-61, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGLV2-14, IGLV3-21, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGKV6-21, IGKV2-40, IGKV3-7, IGKV1-6, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1272	86	16924	5.569548047389206	4.1315925911600066E-14	8.263185182320013E-15	8.263185182320013E-15
UP_SEQ_FEATURE	REGION:Complementarity-determining-1	36	2.3346303501945527	8.935105084688596E-18	IGHV1-3, IGLV3-1, IGKV3D-11, IGHV4-39, IGKV1D-43, IGKV3D-15, IGLV8-61, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGLV2-14, IGLV3-21, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGKV6-21, IGKV2-40, IGKV3-7, IGKV1-6, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1272	86	16924	5.569548047389206	4.1315925911600066E-14	8.263185182320013E-15	8.263185182320013E-15
UP_SEQ_FEATURE	REGION:Complementarity-determining-3	35	2.2697795071335927	2.0593195218251608E-17	IGHV1-3, IGLV3-1, IGKV3D-11, IGHV4-39, IGKV1D-43, IGKV3D-15, IGLV8-61, IGLV1-40, IGKV1-16, IGLV6-57, IGLV2-14, IGLV3-21, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGKV6-21, IGKV2-40, IGKV3-7, IGKV1-6, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1272	83	16924	5.610555429264227	9.522293468919543E-14	1.5870489114865904E-14	1.5870489114865904E-14
GOTERM_BP_DIRECT	GO:0002377~immunoglobulin production	31	2.0103761348897535	1.2403483109029582E-15	IGLV3-1, IGKV3D-11, IGKV1D-43, IGKV3D-15, IGLV8-61, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGLV2-14, IGLV3-21, IGKV1-37, IGLV1-44, IGKV1-12, IGKV3-15, IGKV2-24, IGKV6-21, IGKV2-40, IGKV3-7, IGKV1-6, IGKV1D-39, IGLV7-43, IGKV1D-33, IGKV1D-12, IGKV2D-28, IGLV3-16, IGLV3-10, IGKV4-1, IGKV3D-7, IGKV2D-24, IGLV10-54	1261	72	16632	5.678826328310865	5.02053953965742E-12	5.099071906122061E-12	5.095350861189352E-12
GOTERM_MF_DIRECT	GO:0003823~antigen binding	29	1.880674448767834	5.522621123518486E-13	IGHM, IGHV1-3, IGLV3-1, IGHV4-39, IGHV1OR15-9, IGHG3, IGHG4, IGLV3-25, IGLV1-40, IGKV1-16, IGLV6-57, IGKC, IGLV2-14, IGLV3-21, IGLV1-44, IGKV3-15, IGLC2, IGLC7, IGHV3-35, IGKV1D-39, IGHV3-15, IGKV1D-16, IGHV2-26, IGLV7-43, IGKV1D-33, IGKV1D-12, IGLL5, IGKV2D-28, IGKV4-1	1239	77	16454	5.001582759452009	6.886244907633454E-10	6.886708541027552E-10	6.886708541027552E-10
