Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0418~Kinase	62	6.320081549439347	1.5436974224081364E-4	TRRAP, MAST2, TESK1, HK1, IKBKB, AKAP13, RPS6KA2, PI4KAP2, KDR, IKBKG, PIP4K2C, EPHB2, STK32C, PSKH1, PDGFRB, MAP4K2, EPHA4, SPHK2, CSNK2A2, MATK, COASY, GAK, ITPKC, NME6, HGS, LCK, MAK, DGKQ, FAM20B, PICK1, ALPK2, TSSK2, CERKL, CSF1R, BRSK2, PDXK, PNKP, WNK4, PIK3R3, AKAP4, PHKG2, ERBB2, ABL2, MARK1, PCK2, NTRK1, CHKB, STK11IP, TNK2, EIF2AK3, HIPK3, UCKL1, HIPK2, WEE1, PFKL, NAGK, FES, CDK10, CALM3, PI4KB, ALDH18A1, PFKP	570	679	10122	1.6214867064568639	0.013189074387916833	0.013275797832709973	0.013275797832709973
UP_SEQ_FEATURE	REGION:Disordered	655	66.76860346585117	1.5849880993288744E-4	CYFIP1, ADAMDEC1, TES, TRRAP, XYLT2, TESK1, FNBP1L, ISM2, CLDN1, ALKBH6, GLDN, WDR87, ZC3H12D, NDST2, ZDBF2, TFG, ZMIZ2, AP1S1, ADNP2, LUC7L, BBX, HOXA1, PIP4K2C, CDK5RAP3, UNC13C, ZNF19, NUP210, STARD9, ESX1, CACNA2D2, SOX10, EML3, HCFC1, CTAGE1, CLDN5, RNF126, IFT88, ARMC5, MYL1, ZC3H11A, RBP1, SPARCL1, RBCK1, DUS3L, HOXB5, ZNF397, SRCAP, AGAP2, IL20RA, COPS7B, MTMR7, RIC8A, PRPSAP1, RNF212, ABR, RNF216, CHST12, C14ORF180, KCNMB2, RNF217, VPS16, HEXIM2, WNT10A, ZNF142, PRRT3, JUP, ABCA5, KIR2DS3, KIR2DS4, EIF2AK3, INO80, MEX3D, GPN2, ST18, GRIN2D, VANGL1, CYLD, SNAI1, CDK10, PLCH2, CPEB2, HLA-DRB1, ADA, CDKN1C, DENND1C, TRMU, MYOM1, LRSAM1, SPEF2, SETD6, TGFB1I1, PIGQ, TCF23, PHF7, SMG5, ARHGAP4, FARS2, GLI2, IKBKB, GLI4, SHH, C1QTNF1, C1QTNF6, SMPD1, B3GALT2, C5ORF60, IKBKG, RSPO1, NEFH, TEAD1, TCF19, DENND2C, BRD2, MYBPC1, RING1, ELOVL5, NSUN5, SPHK2, EXOC7, MRPL49, TMEM40, TMC6, PRSS12, GNL1, TMEM175, POU5F2, C12ORF54, ITPKC, KAT2A, PLSCR3, KIFC2, CYP21A2, PICK1, TUT1, PLIN2, PLEKHO1, PLCB2, SF3B4, SAMD7, CLDND2, GPS1, KCNA6, ADCY8, PDC, CENPB, FSTL3, GPR152, GGA2, FGD3, ERMP1, EXOSC10, CNPY4, CHN2, STAT6, PABPC1L2B, MEF2D, IL12RB2, RUNX1T1, ZNF341, GSX1, BRF1, CARD8, CARD9, MYBPH, YLPM1, SRP68, HIPK3, HIPK2, HINFP, AGMAT, TTLL3, ABI3, C6ORF47, SNX17, CCDC8, SMOC1, NFIC, SARM1, TSR1, LY6K, CLSTN1, NAB2, PLOD3, CASC2, ZBTB22, APEH, SLC8A2, FGF5, RPH3A, SALL3, NUDT19, SLC26A11, SNRNP35, STK32C, PSKH1, ZNF683, ZNF440, LAG3, PCYT2, DGAT1, TPM2, IGFBP2, AKR1E2, VASH1, ENKUR, OLFM1, ILF3, CACNB3, TXLNA, MAK, MFNG, DGKQ, DMWD, ANKRD42, RAD54L2, SNRNP25, PHLDB3, IL6ST, SLC27A3, TSSK2, RTN4R, CSF1R, DNMT1, BRSK2, FAM114A1, SHC1, CCDC24, CUL1, ITPR3, RASAL3, KRCC1, CORO1B, TMEM25, DDRGK1, BTBD2, SAFB2, DVL2, ABL2, SLC38A9, TNFRSF14, ZNF784, DRD4, AP1M1, LRRC4B, TMEM120B, ZBTB17, CCDC17, OSBPL7, MYPOP, SEC16A, TNK2, ODF4, LRRC66, UCKL1, FBXO31, LRFN3, SLC7A6OS, GON4L, GGCX, NOXA1, PLEKHM2, ZNF777, ESAM, LZTR1, LRCH4, LRCH3, C8ORF33, ZNF530, PLEKHF1, KIR3DS1, MCM7, NUMA1, ZC3H3, CEP164, FASLG, NAGPA, BICD1, PRB4, PTBP1, ADAMTS3, AP1G2, SNRNP70, DMRTB1, TAGAP, ERC1, ERC2, BCAS1, PELP1, PHACTR4, REXO1, CDADC1, CHPF2, ITGA3, ELAC2, TNFRSF18, AMT, COBL, WIPI1, C1ORF162, RANGAP1, COASY, REXO4, ARFGAP2, TRAF3, MEP1A, CTDSP1, LCK, SLC25A19, DMRTA1, LANCL2, XCL2, ITGA7, EVL, TOP1, DAGLB, RBPJL, TRABD, RNF31, RNFT2, SMARCD1, ITIH4, GLS2, CCDC69, ZBTB48, PRCC, NTN5, ZBTB45, FOXRED1, MLLT6, PPM1G, REPIN1, RAB21, FZR1, CACNG8, HAUS8, ABLIM3, CHADL, IL21R, E2F1, D2HGDH, TNNI3, WHAMM, PLEKHH1, UBQLN4, CACNG4, SH2B1, SPAG8, SEMA4C, PLCL2, CTNS, LYSMD1, SYT15, SEMA4F, FBXL13, PTPN13, PNRC1, TPCN1, PFKL, NAGK, KLF5, P2RX2, DNAJA3, IL2RB, POLR3H, CCM2, SEC24C, PTPN5, EIF3B, KCNK4, RFESD, ZDHHC8, C14ORF93, CCDC102A, CCDC102B, LGALS4, BAIAP2L2, C10ORF71, RASSF4, RPS6KA2, NIPAL2, OGFOD1, LONP1, KDR, IL12A, KIF21B, EPHB2, ATXN7L2, PTGDS, ACAD10, ARL6IP6, CDON, ARSA, SMARCC2, COG4, NPFF, SLC6A11, EBF4, CPT1C, RUNX3, KLKP1, MFSD10, AFG3L2, KCTD10, CDC37, FLYWCH2, ALPK2, BCORL1, STX1A, WFDC12, CERKL, PDE1A, CSTF2, MYCBP2, WNK4, C2CD4A, PGBD1, TSPAN4, MAP6, SCAP, RAB11FIP3, RBM10, NTSR2, TRPM4, PCK2, EGR1, STK11IP, TREX1, XRCC1, PILRB, PUM1, PARP10, MARCO, DMRTC1, PARVG, LPAR5, INTS5, SPATS2L, MAGED2, GRAP, INTS9, TCHHL1, SLC22A9, VSX2, CCDC122, C17ORF78, NRP2, UBXN1, SLC35F4, PCSK9, GRIK4, MIA3, HCCS, PCSK7, CHRDL1, SPPL3, ANKRD9, AKAP13, GABRR1, HINT3, HNF4A, KIF1C, TOP3B, MAP4K2, ZHX3, PRMT2, VCY1B, BTN3A3, GAB3, SORCS2, LIME1, ZDHHC17, GFRA4, GAK, CLDN15, PACS2, RPUSD1, CLDN18, CRELD1, NPB, TOMM40, SLC20A2, AMIGO3, SAA4, SLC43A1, DERL2, AKAP4, CDRT15L2, SHOC2, CCT7, METTL8, PCNT, OLAH, DYNC1H1, YIPF1, RANBP3, GAD1, PNMA5, VEGFB, RPA1, C7ORF25, MYO9B, KLHL4, PODN, BOP1, ZDHHC9, SGSM2, TACC2, PNPLA6, C22ORF15, SIPA1, TJP3, FCN1, DPAGT1, FCN2, POGK, NDUFA10, PHRF1, CELSR3, SYDE2, COMP, TMEM145, EME1, CHCHD6, PEBP4, CAPN3, FAM3A, SBF1, KRT6B, PDGFRB, PCID2, ZGPAT, PUS1, NANOS3, SPNS2, MATK, TBC1D2B, SDHA, KCTD4, PLA2G15, SPOCD1, KCTD9, DOK3, TBC1D20, TMEM138, HGS, SPNS1, TIMELESS, MZF1, HDGFL1, CARD11, CHRNA7, LTBP4, CLEC16A, KLHL13, NID2, SLC1A7, RASGRP4, TOR1AIP1, NCKIPSD, HRH1, SNTG2, SCUBE1, NLRP6, THPO, CDH23, LELP1, NDUFV3, VARS2, ECT2, COX10, MARK1, BTNL9, KLHDC4, CNTN5, TRPV2, ASPSCR1, CLEC17A, HELZ, SSH3, ACSF2, PYY, DIAPH1, TSGA10, TMEM115, FES, XAGE3, PI4KB, ZCCHC2, MXD4, LGALS3BP, B4GALT3, ACADVL, RHOXF1, MAST2, DDX43, HK1, LRP5L, OBP2A, BCL7B, SNAPC4, RBM6, BCKDHA, KLF12, RBM14, DDX55, DDX56, DDX54, TRPT1, PPP2R5D, OLIG1, ABCC9, ETV3, IQCJ, POMGNT1, EPN3, CRY2, DOCK2, SHANK2, VAC14, DCTN1, PNKP, MVP, RRBP1, RNF6, DLL3, THBS3, CLN3, RNF113B, FAM168A, GMDS, SLC22A18AS, TAF1C, BMS1, ERBB2, C17ORF100, S1PR5, HES2, ABCF1, PTCD1, PDE6H, ZNF184, USP20, PCDHGC4, CLCN7, RSPH3, WEE1, CD6, FAM131B, TBX10, PPP2R2D, QRICH1, RGS12, ASB2, ASB1, FAM50A	900	10748	15972	1.0815097382458752	0.4485533618322334	0.5951630312979923	0.5951630312979923
UP_SEQ_FEATURE	COMPBIAS:Pro residues	128	13.047910295616719	3.251440445710992E-4	FCN2, TRRAP, TESK1, ZDHHC8, CCDC102A, GLDN, CELSR3, NDST2, ZDBF2, RPH3A, ZC3H12D, TMEM145, SALL3, ZMIZ2, IL12A, STK32C, LAG3, SMARCC2, CACNA2D2, HCFC1, ARMC5, MYL1, HGS, DMWD, RBCK1, PHLDB3, BCORL1, MZF1, BRSK2, SRCAP, SHC1, CSTF2, LTBP4, WNK4, AGAP2, RASAL3, NID2, NCKIPSD, RNF212, THPO, RNF217, DVL2, CDH23, MAP6, SCAP, RAB11FIP3, DRD4, CCDC17, MYPOP, STK11IP, SEC16A, TNK2, XRCC1, CLEC17A, MEX3D, PUM1, SSH3, GRIN2D, DIAPH1, DMRTC1, INTS5, PLCH2, LRCH4, CPEB2, ZCCHC2, CDKN1C, DENND1C, UBXN1, MAST2, CEP164, MIA3, FASLG, PRB4, GLI4, OBP2A, HNF4A, DMRTB1, KIF1C, PELP1, PHACTR4, TCF19, MAP4K2, CHPF2, MRPL49, COBL, PRSS12, LIME1, SORCS2, EPN3, GAK, KAT2A, KIFC2, PLSCR3, RPUSD1, EVL, CRELD1, SHANK2, SF3B4, RNF31, CLDND2, TOMM40, PRCC, ZBTB45, MLLT6, REPIN1, CACNG8, TAF1C, ERBB2, WHAMM, PCNT, HES2, MEF2D, SH2B1, ZNF341, RANBP3, SEMA4C, YLPM1, MYO9B, WEE1, KLF5, ABI3, IL2RB, RGS12, TACC2, PNPLA6, PTPN5, SEC24C, KCNK4	900	1683	15972	1.3497167755991286	0.7050986593825337	0.6104579436822387	0.6104579436822387
GOTERM_MF_DIRECT	GO:0004713~protein tyrosine kinase activity	16	1.6309887869520898	6.311776280932286E-4	PDGFRB, NTRK1, EPHA4, CSF1R, TNK2, TESK1, MATK, HIPK3, HIPK2, WEE1, FES, LCK, ERBB2, KDR, ABL2, EPHB2	886	103	15717	2.7556159459992546	0.5103611884872843	0.7138618973734415	0.7138618973734415
GOTERM_BP_DIRECT	GO:0016310~phosphorylation	51	5.198776758409786	7.643289254643501E-4	TRRAP, MAST2, HTR2B, TESK1, AKAP13, RPS6KA2, PI4KAP2, KDR, IKBKG, PIP4K2C, EPHB2, STK32C, PSKH1, PDGFRB, SPHK2, MATK, COASY, GAK, ITPKC, NME6, HGS, LCK, MAK, DGKQ, FAM20B, PICK1, TOP1, ALPK2, TSSK2, CERKL, BRSK2, PDXK, PNKP, PIK3R3, AKAP4, ERBB2, MARK1, PCK2, NTRK1, CHKB, STK11IP, TNK2, EIF2AK3, UCKL1, HIPK2, WEE1, FES, CDK10, CALM3, PI4KB, ALDH18A1	884	562	15812	1.6231864221188066	0.923397620885038	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	294	29.96941896024465	0.0015255478593147473	CYFIP1, TES, XYLT2, FNBP1L, C14ORF93, CCDC102A, ALKBH6, WDR87, ZC3H12D, ZDBF2, C10ORF71, TFG, OGFOD1, LONP1, BBX, LUC7L, KIF21B, EPHB2, ATXN7L2, CDK5RAP3, ZNF19, SMARCC2, STARD9, ESX1, SOX10, RUNX3, EML3, CTAGE1, AFG3L2, RNF126, IFT88, KCTD10, ZC3H11A, CDC37, SPARCL1, FLYWCH2, ALPK2, BCORL1, DUS3L, CERKL, SRCAP, MYCBP2, WNK4, AGAP2, COPS7B, C2CD4A, MTMR7, RIC8A, ABR, RNF216, CHST12, C14ORF180, KCNMB2, RNF217, MAP6, SCAP, RBM10, HEXIM2, EGR1, ZNF142, PRRT3, KIR2DS3, KIR2DS4, EIF2AK3, XRCC1, INO80, PUM1, ST18, VANGL1, PARVG, SPATS2L, PLCH2, TCHHL1, HLA-DRB1, SLC22A9, VSX2, DENND1C, MYOM1, LRSAM1, SPEF2, UBXN1, TCF23, GRIK4, MIA3, SMG5, GLI2, ARHGAP4, IKBKB, GLI4, AKAP13, C1QTNF1, IKBKG, RSPO1, TCF19, MAP4K2, BRD2, DENND2C, MYBPC1, ZHX3, SPHK2, EXOC7, VCY1B, TMEM40, GAB3, GNL1, ZDHHC17, GAK, ITPKC, PACS2, TUT1, PLEKHO1, PLCB2, SAA4, PDC, ERMP1, EXOSC10, CNPY4, SHOC2, PCNT, RUNX1T1, DYNC1H1, ZNF341, RANBP3, GSX1, BRF1, GAD1, CARD8, CARD9, PNMA5, VEGFB, YLPM1, MYO9B, SRP68, KLHL4, HIPK3, HINFP, BOP1, C6ORF47, CCDC8, TSR1, TACC2, C22ORF15, SIPA1, TJP3, POGK, PHRF1, CELSR3, COMP, RPH3A, EME1, SALL3, CHCHD6, CAPN3, SBF1, STK32C, ZNF683, ZNF440, ZGPAT, NANOS3, PUS1, IGFBP2, MATK, TBC1D2B, VASH1, SDHA, SPOCD1, KCTD9, ILF3, CACNB3, TXLNA, MAK, DGKQ, DMWD, TIMELESS, ANKRD42, RAD54L2, HDGFL1, SLC27A3, PHLDB3, TSSK2, CARD11, DNMT1, BRSK2, CLEC16A, ITPR3, RASAL3, KRCC1, NID2, TOR1AIP1, HRH1, NLRP6, DDRGK1, CDH23, DVL2, SAFB2, ABL2, SLC38A9, NDUFV3, VARS2, ZNF784, MARK1, ZBTB17, CCDC17, KLHDC4, MYPOP, SEC16A, ODF4, ASPSCR1, LRRC66, SSH3, UCKL1, FBXO31, PYY, DIAPH1, TSGA10, GON4L, SLC7A6OS, XAGE3, LRCH4, ZCCHC2, ACADVL, NUMA1, MAST2, ZC3H3, CEP164, BICD1, ADAMTS3, SNRNP70, TAGAP, SNAPC4, ERC1, BCAS1, PELP1, PHACTR4, RBM6, KLF12, REXO1, CDADC1, TNFRSF18, ELAC2, DDX55, DDX56, DDX54, COBL, TRPT1, OLIG1, PPP2R5D, ETV3, POMGNT1, REXO4, ARFGAP2, EPN3, CRY2, ITGA7, EVL, TOP1, SHANK2, RNF31, ITIH4, GLS2, DCTN1, CCDC69, PNKP, ZBTB48, PRCC, RRBP1, RNF6, MLLT6, PPM1G, CLN3, FZR1, RNF113B, HAUS8, ABLIM3, CHADL, BMS1, C17ORF100, WHAMM, PLEKHH1, ABCF1, PTCD1, USP20, PLCL2, LYSMD1, PTPN13, CLCN7, RSPH3, WEE1, FAM131B, CCM2, RGS12, PTPN5, FAM50A, EIF3B	900	4499	15972	1.1597066014669928	0.9967620218103165	1.0	1.0
GOTERM_BP_DIRECT	GO:0018108~peptidyl-tyrosine phosphorylation	10	1.019367991845056	0.0016057379770013803	NTRK1, PDGFRB, EPHA4, CSF1R, FES, LCK, ERBB2, KDR, ABL2, EPHB2	884	50	15812	3.5773755656108595	0.9954816841225219	1.0	1.0
GOTERM_BP_DIRECT	GO:0050862~positive regulation of T cell receptor signaling pathway	6	0.6116207951070336	0.0018910185223046292	CYLD, LCK, CD81, IKBKG, CARD11, ADA	884	17	15812	6.313015704019165	0.9982703520998658	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0458~Lysosome	34	3.4658511722731906	0.0020140933308733793	PLEKHF1, CLEC16A, PCSK9, FASLG, C9ORF72, TMEM25, CLN3, HLA-DMA, SMPD1, CTSK, VPS11, SLC26A11, SLC38A9, ARSD, CTBS, VPS16, PDGFRB, ARSA, ABCA5, SPHK2, VPS33B, CTNS, HPS6, MCOLN2, TMEM175, TPCN1, CLCN7, PLA2G15, SPNS1, TLR9, PLEKHM2, ADA, HLA-DRB1, SIDT2	814	347	14541	1.750327482315955	0.09589178348507477	0.10070466654366897	0.10070466654366897
GOTERM_MF_DIRECT	GO:0005524~ATP binding	103	10.499490316004078	0.00224415174202086	TESK1, RPS6KA2, DHX58, LONP1, KDR, KIF21B, PIP4K2C, EPHB2, STK32C, PSKH1, PDGFRB, EPHA4, STARD9, CSNK2A2, MATK, MAT1A, BCS1L, RUNX3, AFG3L2, MTHFD1, MAK, DGKQ, SLFN14, RAD54L2, ALPK2, SLC27A3, TSSK2, CSF1R, BRSK2, AARS2, SRCAP, WNK4, AGAP2, PRPSAP1, NLRP6, DHX35, ABL2, VARS2, TRPM4, MARK1, CHKB, ABCA5, TNK2, EIF2AK3, HELZ, INO80, ACSF2, UCKL1, FES, CDK10, PI4KB, ALDH18A1, TRMU, MCM7, MAST2, DDX43, HK1, FARS2, IKBKB, KIF1C, MAP4K2, SPHK2, DDX55, DDX56, DDX54, ABCC9, COASY, GAK, ACTA1, ITPKC, KIFC2, NME6, PCCA, LCK, LANCL2, FAM20B, TUT1, TOP1, GART, PDXK, PNKP, ADCY8, TTL, BMS1, ERBB2, PHKG2, CCT7, ABCF1, NTRK1, DYNC1H1, MYO9B, NMNAT2, HIPK3, HIPK2, CLCN7, WEE1, MYO1B, PFKL, NAGK, TTLL3, P2RX2, DNAJA3, PFKP	886	1376	15717	1.3278674405480602	0.9212114714123258	1.0	1.0
