Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	151	31.327800829875518	3.4644226735265664E-4	SPON1, TES, PDCD7, PHRF1, CELSR1, WDR87, GOLGA3, ZNF609, HELB, GNAT2, KIF5C, ANKRD31, NFATC2IP, FAM53A, SOX9, GNAT1, SAMD12, SSX1, ABT1, SRRM2, BIVM, SMARCC1, MAGI2, SOX11, ANK2, CYS1, SDHA, GANC, FTSJ3, TMEM134, NCL, RPL7L1, ZNF556, DAP3, PAXIP1, NXPH3, CDCA5, CACNA1B, CLEC16A, NOLC1, CACNA1C, MTMR7, GJC1, LARP1, COMMD9, BTBD3, STC2, EPB41L3, EP400, SAFB2, MAP6, DVL3, FAM90A18, HEXIM1, HSPA9, ZFHX3, ATP8B3, SETDB1, SETD1A, INO80, HPS5, GDF6, BTBD8, UCKL1, HNRNPM, PPP5C, CDAN1, YEATS2, LAS1L, ZFP64, PDE3A, SNAI2, HYOU1, MON1A, NFE2L1, MDM1, MCM8, PPP1R10, MCM9, DDX42, TCHH, NAT10, ITGAL, MEOX2, BRCA2, GLI2, SIX5, NEFM, LRRFIP2, ADAMTS8, UTP14A, GPRASP2, PELP1, PHACTR4, CCDC112, MYBPC2, DST, ZSCAN5B, NSUN2, PDE4C, PPRC1, CKAP5, NBPF1, ARID1B, KLF17, FAM90A20, LMBRD2, AGPS, ITGA7, SHANK2, HCN4, PTH, NRXN2, HTT, TULP2, ADCY7, RGPD4, NKD1, RAD54B, CHADL, BMS1, NSD1, KIAA0753, ZNF620, ABCF1, REPS1, ZNF286A, SPEN, C2ORF73, TAF15, ANKRD30B, CCDC57, ANKRD30A, FBXL19, PCDH8, KLHL4, LILRB3, LYVE1, TRIT1, PEX14, LILRB5, TJP1, SLC4A9, ERCC3, MFAP1, MYO15A, CAMK4, TRIP10, GAGE6, CCNYL1, GZF1	420	4499	15972	1.2763534753754804	0.46255675103268024	0.6208245430959607	0.6208245430959607
INTERPRO	IPR027417:P-loop_NTPase	36	7.468879668049793	0.0013447696101612863	DIRAS3, RAB3C, RAB5C, RASL11B, MCM8, MCM9, SRP54, DDX42, NAT10, FIGN, RAD54B, CDC42, HELB, GNAT2, KIF5C, BMS1, EP400, GNAT1, ABCF1, SULT2A1, ARL15, ABCA6, MAGI2, INO80, RHOF, SMC1A, HS3ST4, TRIT1, UCKL1, TJP1, ERCC3, MYO15A, RHOJ, RAB19, MYH4, DAP3	420	788	16189	1.7609499637418418	0.8142658548628416	1.0	1.0
GOTERM_BP_DIRECT	GO:0032331~negative regulation of chondrocyte differentiation	5	1.0373443983402488	0.0019464150076340598	CHADL, PTH, SNAI2, SOX9, GLI2	415	21	15812	9.071715433161216	0.9826885133939551	1.0	1.0
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	17	3.5269709543568464	0.003921391115138275	SMARCC1, PAXIP1, SETDB1, TAF10, FBXL19, SETD1A, INO80, BRCA2, ARID1B, RAD54B, HIRA, YEATS2, NSD1, SCMH1, EP400, CDY2B, SOX9	415	288	15812	2.249029451137885	0.9997199062114029	1.0	1.0
UP_KW_LIGAND	KW-0342~GTP-binding	17	3.5269709543568464	0.004853999299945449	DIRAS3, RAB3C, RAB5C, RASL11B, ARL15, SRP54, NOLC1, RHOF, CDC42, GNAT2, BMS1, RHOJ, RAB19, GNAT1, MOCS1, DAP3, TUBA8	157	305	6080	2.1585047509658555	0.140015028337244	0.10380435742060423	0.10380435742060423
KEGG_PATHWAY	hsa04024:cAMP signaling pathway	14	2.904564315352697	0.005189307328651282	HCN4, JUN, SUCNR1, PDE4C, NPY1R, ATP2A2, ATP1A2, CACNA1C, PLD1, ADCY7, ADCYAP1, CAMK4, PDE3A, SOX9	206	221	7839	2.4106225014277554	0.7571148654496808	1.0	1.0
GOTERM_MF_DIRECT	GO:0005496~steroid binding	5	1.0373443983402488	0.0059316588801279855	AR, UGT1A1, PAQR5, AKR1D1, ATP1A2	401	29	15717	6.757674778570815	0.9723309437056953	1.0	1.0
GOTERM_BP_DIRECT	GO:0045663~positive regulation of myoblast differentiation	6	1.2448132780082988	0.006204582567792055	MYOG, SMARCC1, AKIRIN1, ZFHX3, MIR199A1, ARID1B	415	45	15812	5.080160642570282	0.9999976431454919	1.0	1.0
UP_KW_LIGAND	KW-0547~Nucleotide-binding	58	12.033195020746888	0.006697055317458338	DIRAS3, RAB3C, RASL11B, MCM8, MCM9, DDX42, SRP54, NAT10, ATP2A2, HELB, GNAT2, KIF5C, GNAT1, PIP4K2C, PRKCI, ARL15, RHOF, SMC1A, RHOJ, ANKK1, MYH4, MOCS1, DAP3, HCN4, AARS2, RAB5C, EPHA10, CACNA1B, NOLC1, ATP1A2, FIGN, MST1R, TTL, ADCY7, ACACA, RAD54B, CDC42, GRK7, BMS1, STK38, EP400, ABCF1, HSPA9, ATP8B3, ABCA6, NEK6, INO80, CDC42BPA, TRIT1, UCKL1, ERCC3, SLFNL1, MYO15A, CAMK4, RAB19, HYOU1, GALK2, TUBA8	157	1660	6080	1.353081114265981	0.18804228705222092	0.10380435742060423	0.10380435742060423
UP_SEQ_FEATURE	REPEAT:ANK 5	10	2.0746887966804977	0.00730296012605289	GABPB2, ANKRD30B, TNKS2, ANKRD30A, CTTNBP2, ASZ1, ANKRD31, ANK2, ANKK1, SHANK2	420	130	15972	2.925274725274725	0.9999980249662168	1.0	1.0
INTERPRO	IPR028205:LCE	4	0.8298755186721992	0.008935309656878608	LCE2B, LCE3D, LCE1E, LCE1C	420	17	16189	9.069467787114847	0.999986707513971	1.0	1.0
GOTERM_MF_DIRECT	GO:0005525~GTP binding	17	3.5269709543568464	0.010572944023679835	DIRAS3, RAB3C, RAB5C, RASL11B, ARL15, SRP54, NOLC1, RHOF, CDC42, GNAT2, BMS1, RHOJ, RAB19, GNAT1, MOCS1, DAP3, TUBA8	401	330	15717	2.019111312627522	0.998354035157421	1.0	1.0
GOTERM_BP_DIRECT	GO:0060173~limb development	5	1.0373443983402488	0.012774734169887511	TAF10, B4GALNT1, SLC7A11, MEOX2, FGF10	415	35	15812	5.443029259896729	0.9999999999976305	1.0	1.0
GOTERM_BP_DIRECT	GO:0060221~retinal rod cell differentiation	3	0.6224066390041494	0.013162360174136776	GNAT2, SOX9, GNAT1	415	7	15812	16.32908777969019	0.999999999998954	1.0	1.0
UP_SEQ_FEATURE	MOTIF:LXXLL motif 4	3	0.6224066390041494	0.013211512000254317	MED24, AIRE, PELP1	420	7	15972	16.29795918367347	0.9999999999553788	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0417~Keratinization	5	1.0373443983402488	0.013822503478636426	LCE2B, LCE3D, TCHH, LCE1E, LCE1C	252	36	9624	5.304232804232804	0.7548319306520115	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ANK 6	8	1.6597510373443984	0.013843557317839494	TNKS2, ANKRD30A, CTTNBP2, ASZ1, ANKRD31, ANK2, ANKK1, SHANK2	420	97	15972	3.1363770250368193	0.9999999999858452	1.0	1.0
