Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_PTM	KW-0325~Glycoprotein	259	26.591375770020537	6.433807802789151E-5	NPFFR1, DPY19L2P2, DMP1, RXFP1, IL4I1, AADACL4, EDNRB, VSIG2, LIPG, GPR171, OR2A42, PTGFRN, SLC12A7, HABP2, PRIMA1, ATP6V0E1, OMD, OR2L2, HSPG2, BCAN, OR5A1, SLC22A6, ENPEP, NRN1, OR13J1, TAS2R46, PRH2, SLC5A2, SLC5A3, IGSF9, CD1A, GHRHR, NKAIN1, APOH, ADAMTS17, ST3GAL4, ATP6V0A2, APOB, ST3GAL2, B3GALNT2, LRRC37A2, TAS2R30, DNASE2B, TNFSF13, SLC33A1, KIR2DS5, IL31RA, ACER2, ACR, ATP4B, TF, VNN1, FXYD7, PPT2, PCDHB3, HLA-DRB1, PCDHB8, OR2A14, ACHE, ROBO3, FKBP10, PTPRQ, IL24, GPR22, SECTM1, GPR20, VLDLR, GRIK2, EDA2R, BRS3, WFDC3, SLC22A17, UCN2, C1QTNF6, HYAL2, RAC3, CTSF, CCR5, OR4D6, TINAG, CTBS, FCRL1, OR4D1, ELOVL4, FSHB, INSRR, MAMDC2, SYP, F2, RHOC, OR1N1, NAALADL2, BACE1, GPRC5A, CDCP1, SLCO4A1, GAS1, TLR8, CHST1, ANGPTL2, PPARG, DSCAML1, HLA-DQB2, OR4A16, C1QA, CD63, OR8K1, SLC20A2, GPR45, SPESP1, COL11A2, GDPD2, AOAH, CST7, FSTL4, GLRA1, OLFML3, GCNT4, SIAE, METTL9, RPRM, GDF10, BCHE, IL31, GABRA4, TMEM62, KIR3DL1, KIR3DL2, KIR3DL3, LRRN4CL, PCYOX1L, IL17F, CCDC3, CRB3, UGT1A10, FCN3, OR5K1, OR2T12, TNF, CDH7, FGF6, IL18RAP, IBSP, DUOXA1, TNFRSF8, ENPP6, NOMO1, CD177, GHSR, PDIA2, KCNH3, C11ORF87, ABCG5, OR52E4, OR5AS1, SYPL2, OLFM1, MAG, SCNN1B, CHRNA1, CD274, CHRNA2, KCNE2, OR51B2, CHRNA7, OR52D1, NXPH4, ECSCR, CSF2RB, GPR84, KIR2DL1, FUT2, SLC1A7, FUT1, KIR2DL4, CHAD, CDH24, OR2B6, WNT3, LRRC4B, OR2B2, OPN3, GGT6, WSCD2, TMEM132A, HTR1A, GGH, SELE, TMEM231, SELP, IGSF10, EFNA3, COL20A1, ALPI, OR51A2, SLC26A3, SDK2, GLP1R, FLT1, NPY6R, ADRA1B, TREM1, SLC2A7, NETO1, EMILIN3, BDKRB1, CA9, SOST, OR8D1, TRPC6, UGT1A1, HTR3E, TNFRSF18, OR6C74, MMP3, DCN, ADRA2A, TMPRSS11D, ATRN, TST, ASPH, MEP1A, TMEM217, IL3RA, SPACA4, CDH15, CLRN3, OR56A1, NLGN3, LAMA1, SEMA3D, RAB1C, TEX101, SLC3A1, OR2T34, ZNRF4, RGS20, CACNG1, FCGR1A, NTRK1, LINGO4, MCOLN3, TMEM30B, NEGR1, LAMB4, LGI2, B3GAT1, PCDH8, APOC4, APOC3, HS3ST6, USH2A, DLK2, MFAP4, XPNPEP2, MFAP3, GLA, KCNK2, KCNK3	623	4131	12074	1.2150878939452048	0.0017356759601505622	0.0018014661847809625	0.0018014661847809625
GOTERM_MF_DIRECT	GO:0120020~cholesterol transfer activity	7	0.7186858316221766	0.0014281213111942245	STARD3, ABCG5, STARD4, SCP2, TSPO, APOB, APOA5	851	24	15717	5.386750881316099	0.7608277296897716	1.0	1.0
GOTERM_CC_DIRECT	GO:0034361~very-low-density lipoprotein particle	6	0.6160164271047228	0.002266857125789636	APOH, APOC4, APOC3, VLDLR, APOB, APOA5	897	18	16406	6.096618357487922	0.7472298708095588	1.0	1.0
UP_SEQ_FEATURE	LIPID:GPI-anchor amidated glycine	7	0.7186858316221766	0.0022964000003578558	ACHE, EFNA3, NRN1, VNN1, NEGR1, HYAL2, CD177	870	26	15972	4.9427055702917775	0.9976009512675446	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	122	12.525667351129362	0.003105287048876679	FCN3, DMP1, CXCL13, FGF1, FGF2, TNF, SCGN, FGF6, IL4I1, IBSP, LIPG, RPTN, HABP2, CD177, TGM2, OMD, CTRB1, HSD11B1L, HSPG2, BCAN, OLFM1, SLPI, LYG1, CD274, NXPH4, PRH2, GLB1L2, PDZD2, APOH, PENK, CHAD, ADAMTS17, ST3GAL4, TAC4, APOB, TAC1, WNT3, ST3GAL2, TNFSF13, GGH, IGFL3, IGSF10, TF, IL17REL, COL20A1, ACHE, DHRS13, FLT1, CGB8, IL24, SECTM1, TRH, TREM1, WFDC3, C1QTNF8, NETO1, UCN2, C1QTNF6, EMILIN3, GAST, SOST, SDF2, FGFBP3, TINAG, SERPINB1, EGFL7, TNFRSF18, FSHB, MAMDC2, MMP3, IL16, F2, OTOS, APOA5, DCN, C1QL2, GIP, TMPRSS11D, ATRN, CDCP1, GFOD2, ANGPTL2, ANG, MATN3, CD63, C1QA, LAMA1, SEMA3D, COL11A2, TEX101, DEFB124, AOAH, CST7, DEFB107A, FSTL4, INS, CLEC3A, OLFML3, RNASE8, PRLH, SIAE, CCL16, GDF10, C17ORF67, BCHE, IL31, PLA2G2C, LAMB4, LGI2, B3GAT1, APOC4, APOC3, DEFB134, USH2A, GUCA2A, MFAP4, SCGB1A1, VWC2, PCYOX1L, IL17F, CCDC3, IL17C	796	1747	14541	1.2756987570939988	0.13867698813410123	0.10474970919787423	0.10038513798129614
UP_KW_PTM	KW-0449~Lipoprotein	63	6.46817248459959	0.0032440415036242174	RAB3B, ACHE, TBC1D3B, ZFAND2B, TBC1D3C, VLDLR, ADRA1B, TNF, TBC1D3G, TBC1D3H, BRS3, RAB41, GNGT2, EDNRB, PRKACG, HYAL2, BDKRB1, RAC3, ENPP6, CCR5, LZTS1, CD177, RAB2A, PRMT8, RHOC, APOA5, ADRA2A, BACE1, RAB32, BCAN, MAG, RAP2B, GAS1, SPACA4, CAMK1G, CD63, NRN1, CAMK2A, TEX101, RAB1C, PRICKLE2, ZDHHC24, CPLX3, APOH, BSND, RGS20, PDE6A, APOB, WNT3, APOBEC3C, OPN3, NEGR1, KCNIP3, APOC4, APOC3, SELP, EFNA3, VNN1, XPNPEP2, RAB12, ALPI, RAB17, CDK5R2	623	850	12074	1.436430931923331	0.08399320844629932	0.04541658105073904	0.04541658105073904
GOTERM_BP_DIRECT	GO:0045598~regulation of fat cell differentiation	5	0.5133470225872689	0.004132784033077024	PTPRQ, HES1, NR1D1, TNF, DLK2	858	13	15812	7.0880401649632425	0.9999988051114078	1.0	1.0
GOTERM_BP_DIRECT	GO:0042491~inner ear auditory receptor cell differentiation	5	0.5133470225872689	0.004132784033077024	MCOLN3, USH1C, HES1, FGF2, USH2A	858	13	15812	7.0880401649632425	0.9999988051114078	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0633~Potassium transport	15	1.5400410677618068	0.004205143219052615	KCNG2, KCNH3, KCNE2, KCNG4, KCND3, KCNIP3, ATP1A4, ATP1A2, ATP4B, KCNV1, FXYD2, FXYD7, KCNK2, SLC12A7, KCNK3	488	125	9624	2.36655737704918	0.4069859591953737	0.3853688030017044	0.3853688030017044
GOTERM_BP_DIRECT	GO:0050953~sensory perception of light stimulus	4	0.41067761806981523	0.004710530570134623	USH1G, USH1C, MYO7A, USH2A	858	7	15812	10.53080253080253	0.9999998232318156	1.0	1.0
