Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)	99	9.89010989010989	6.09368457261999E-6	TCERG1, MDC1, ARID4A, SMC6, IKZF2, TTF1, LSM11, SMARCAD1, ZBTB39, SUPT16H, SMARCC1, THOC1, VRK1, ZNF12, GTPBP4, SND1, FOXP1, CFDP1, NCL, RPL26, ADNP, PPIG, SNRNP200, ATF4, YTHDC1, CWF19L2, CDCA8, RLF, RPAP3, SMN2, ZNF701, BRIX1, ZKSCAN4, TP53BP1, ZBTB7A, SMAD4, HSPA5, SMARCA5, LARP7, SMARCA2, LSM4, STAG1, PPFIBP1, ZZZ3, ZNF419, ZFP64, MPHOSPH10, GTF2IRD1, ZNF776, TOP2B, SETD2, ZNF251, DDX46, RSF1, ZNF280D, ZMYM1, ZMYM2, DHX15, DNMT3B, MYBL2, RBM34, UTP14A, UTP14C, RBM15, ZNF480, NSUN2, KIF23, BAZ1A, DDX50, SREBF2, GNL3, SLTM, HNRNPH2, HNRNPH3, ZNF512, SLU7, HDAC2, USP16, NUFIP2, AKAP8, FOXK2, ZNF3, FAM120C, EXOSC9, RSBN1L, BEND3, EXOSC3, SF3B1, TTC14, NOP58, ZNF184, MGA, AHNAK2, ZNF33B, SERBP1, DNAJA2, HNRNPA2B1, POLR3E, ZNF354A	884	1137	15972	1.5731921345765827	0.021781915133486707	0.022022576045448643	0.022022576045448643
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	330	32.967032967032964	6.86549194873553E-6	TCERG1, ATF2, MDC1, POP7, ANKLE1, CMAS, CPNE7, GPATCH2, SMC6, IKZF2, SMC3, PWP1, RPS6KA3, LSM11, UBASH3B, CDC26, MAGOH, FBXO5, SNRPD3, SEPHS1, HOXA6, VPS36, HOXA5, SMARCC1, PRKCB, NFKBIL1, FOXH1, MED9, ESCO2, ZNF12, GTPBP4, SND1, THAP1, THAP4, CCNY, RRAGC, RFX6, RFX7, DDIT3, UNC50, ATF4, EXD2, SET, CSTF3, CTR9, MYNN, CDCA8, PRDM13, KLK6, ALX3, ZNF701, NUP88, TP53BP1, ZBTB7A, ZSCAN16, HEXIM2, PRPF38B, FAM9C, INTS2, EAF1, POU6F2, SMARCA5, TRIP4, LARP7, ALOX15B, PARP15, SMARCA2, MED13L, DAZL, STAG1, ZZZ3, ZNF37A, FUBP1, MPHOSPH10, INTS7, GTF2IRD1, NOL11, DZIP1, INTS8, CUTC, TOP2B, CSRNP2, SETD2, ZNF251, RSF1, HOXC13, WDR46, ZNF280D, NIPBL, ZMYM1, ZMYM2, HINT3, NUF2, DHX15, UTP14A, ENOPH1, TEAD1, UTP14C, DUSP2, ANXA1, WDR37, TIGD7, ZNF480, NSUN2, KIF23, BAZ1A, GNL2, NUDT16L1, SREBF2, GNL3, PAX1, TOX4, PSMA3, SLTM, NFX1, FRG1, HNRNPH2, HNRNPH3, ZNF479, RAPGEF5, DLD, VGLL1, SLU7, CRYAB, PHLPP2, FOXC1, ASCL4, TMF1, ZNF350, AKAP8, PRICKLE2, ZNF3, HOXD11, PSMA7, PSMB2, EXOSC9, STAT4, LEO1, METTL5, EXOSC3, SF3B1, ZNF587, UTP6, GCH1, NFYA, UTP3, NFYC, WWP1, ELP2, LBX1, APTX, VEGFA, ZNF33B, FABP4, CENPI, SERBP1, HNRNPA2B1, CCNG1, UBAP2, TRIP12, ZNF354A, NUCB2, TJP2, NUP188, NAB2, ARID4A, UBE3A, MSI1, TTF1, FGF2, IPO7, PYCARD, CWC22, SMARCAD1, NEK1, MAF1, KPNA3, RPP38, ZNF441, ZBTB39, SUPT16H, AGTPBP1, UBE2E1, THOC1, LIG4, VRK1, THOC2, TLE6, FOXP1, ARMCX3, FANCD2, NCL, MAPKAPK2, HAT1, MRTO4, ZNF558, MAPKAPK5, PPIG, ADNP, SNRNP200, FKBP3, PPID, MAGEL2, YTHDC1, UBA5, SPATA4, NPAS1, RLF, NKAPL, RPF1, SYCE1, PDZD2, DNAJC21, SOHLH2, SMN2, STAP1, ZNF426, BRIX1, RPRD1B, UTP20, ZKSCAN4, MAGEA10, ZC3H15, HSPA9, TMEM120B, SMAD4, OSBPL6, RASL10A, POLR3GL, API5, FBXO38, ESR1, LSM4, PHOX2B, FER, IBTK, SLC7A6OS, UBLCP1, LHX2, ZNF419, ZFP64, TPP2, LHX5, ZNF776, TMEM18, NFKBID, RNF187, ZSCAN1, DDX46, THRA, SPO11, C2ORF49, CHD2, CHTF18, SYNE1, SART3, SENP5, PPP1R13L, RB1CC1, DNMT3B, MYBL2, RBM34, CEP290, SPANXD, SH3D19, HSP90AA1, RBM15, ZFP92, URB2, PLRG1, FOXL1, DDX50, KLF16, SETBP1, HAND1, CRY1, NUP54, ZNF512, EAPP, ASPA, BIRC2, GTF3C3, HDAC2, RNF34, USP16, RRN3, NUFIP2, WBP4, FOXK2, TULP3, PPM1E, MALT1, DCAF16, TBX22, POLR2B, RSBN1L, TAF1A, BEND3, ZNF625, ZNF624, SNRPB2, ASCC3, ZNF622, NXF5, EIF4E, TCFL5, ARFGEF1, RNF20, NOP58, SSB, ZNF184, KCNIP3, MGA, MACC1, TAF11, FOXJ3, AHNAK2, DONSON, PTPN11, S100B, PNRC2, KLF8, DNAJA1, APLF, POLR3E, ZNF614, TAF7, STUB1, EIF3E, CLEC2D	809	4878	14541	1.2159561027007055	3.4321686342830837E-4	3.432745974367765E-4	3.432745974367765E-4
GOTERM_MF_DIRECT	GO:0031072~heat shock protein binding	12	1.1988011988011988	1.0916351461722597E-4	HSPA9, PACRG, HDAC2, GPR37, HSPA5, DNAJC6, CDC37L1, ADORA1, STUB1, PRKD1, HSPA14, PPID	875	52	15717	4.145142857142857	0.10498623860174938	0.07574634529576851	0.07574634529576851
GOTERM_MF_DIRECT	GO:0003723~RNA binding	99	9.89010989010989	1.4910697892867817E-4	TCERG1, POP7, MSI1, RPL7, MAGOH, CWC22, SNRPD3, SUPT16H, THOC1, GTPBP4, SND1, NCL, UNC50, MRTO4, RPL26, PPIG, SNRNP200, FKBP3, YTHDC1, YTHDC2, CSTF3, C1ORF52, RPF1, DNAJC21, SMN2, BRIX1, UTP20, ZC3H15, MCTS1, HSPA9, PRPF38B, API5, LARP7, EIF2S1, LSM4, MRPL22, DAZL, FUBP1, MKRN3, MPHOSPH10, TDRD10, NOL11, DDX46, FASTKD3, CLTC, MRPL39, PCSK9, CHD2, WDR46, SYNE1, RPGR, MRPL42, SART3, DHX15, RBM34, UTP14A, UPF2, HSP90AA1, RBM15, NSUN2, NUDT16L1, GNL2, DDX50, GNL3, SLTM, NFX1, FRG1, FASTKD5, HNRNPH2, HNRNPH3, HDAC2, NUFIP2, WBP4, AKAP8, MRM1, SRP72, POLR2B, FAM120C, EXOSC9, ZNF622, ASCC3, EXOSC3, SF3B1, EIF4E, NXF5, NOP58, SSB, UTP3, IMMT, ASS1, KTN1, SERBP1, HNRNPA2B1, UBAP2, EIF3E, TRIM32, CLEC2D, EIF3A, METAP2	875	1227	15717	1.4492797764582603	0.14058554337975404	0.07574634529576851	0.07574634529576851
GOTERM_CC_DIRECT	GO:0005730~nucleolus	86	8.591408591408593	4.551521891616773E-4	TOP2B, POP7, SNORA4, GPATCH2, TTF1, PWP1, WDR46, SYNE1, RPL7, PYCARD, RPS6KA3, SENP5, DHX15, CASP1, SNORD10, RBM34, SNORA33, SNORD52, UTP14A, RPP38, UTP14C, AGTPBP1, NSUN2, VRK1, URB2, SNORD114-11, GNL2, DDX50, GTPBP4, SNORD18C, GNL3, CCNY, FANCD2, NFX1, SNHG10, NCL, FRG1, HAND1, MRTO4, RPL26, SNORA24, PPID, SNORA62, RRN3, AKAP8, CDCA8, TULP3, SNORD114-3, PPM1E, RPF1, KLK6, PODXL, EXOSC9, DNAJC21, SNORA11C, BEND3, METTL5, BRIX1, UTP20, SNORA57, ZNF622, EXOSC3, SF3B1, SNORA71D, RNF20, ARFGEF1, HSPA9, UTP6, SNORD12B, NOP58, PDHA2, RASL10A, UTP3, SMARCA5, APTX, NIN, ZZZ3, SNORD114-29, UBLCP1, FGF18, MPHOSPH10, NOL11, ZNF354A, CLEC2D, CUTC, EIF3A	911	1070	16406	1.447434779486443	0.27421400828278986	0.2831975310958398	0.2831975310958398
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	17	1.6983016983016983	4.924346491438885E-4	NOP58, POP7, PWP1, RPL7, EXOSC9, MRTO4, FRG1, MPHOSPH10, METTL5, PIH1D2, BRIX1, UTP20, RPL26, EXOSC3, UTP14A, RPP38, UTP14C	878	113	15812	2.7093353760557988	0.8086230572409039	1.0	1.0
UP_KW_PTM	KW-1017~Isopeptide bond	126	12.587412587412588	4.98621724547897E-4	TCERG1, MDC1, NAB2, ARID4A, SMC6, IKZF2, TTF1, FGF2, PYCARD, LSM11, SMARCAD1, MAF1, ZBTB39, SUPT16H, SMARCC1, THOC1, UBE2E1, VRK1, ZNF12, GTPBP4, SND1, FOXP1, ARC, CFDP1, FANCD2, NCL, MAPKAPK2, RPL26, ADNP, PPIG, SNRNP200, ATF4, SET, YTHDC1, CWF19L2, CDCA8, RLF, RPAP3, SMN2, ZNF701, BRIX1, ZKSCAN4, TP53BP1, ZBTB7A, SMAD4, HSPA5, SMARCA5, TRIP4, LARP7, SMARCA2, LSM4, STAG1, PPFIBP1, ZZZ3, ZNF419, ZFP64, MPHOSPH10, GTF2IRD1, ZNF776, RNF187, TOP2B, SETD2, ZNF251, DDX46, IL24, RSF1, ZNF280D, ZMYM1, ZMYM2, CASP1, DHX15, DNMT3B, MYBL2, DNM1L, RBM34, UTP14A, UTP14C, RBM15, ANXA1, ZNF480, NSUN2, KIF23, BAZ1A, NUDT16L1, DDX50, SREBF2, GNL3, SLTM, TRAF3, TRAF5, CRY1, HNRNPH2, HNRNPH3, ZNF512, SLU7, HDAC2, USP16, NUFIP2, AKAP8, FOXK2, ZNF3, STATH, SRP72, FAM120C, EXOSC9, RSBN1L, BEND3, SNRPB2, EXOSC3, SF3B1, TTC14, NOP58, ZNF184, UTP3, KCNIP3, MGA, AHNAK2, ZNF33B, KLF8, SERBP1, DNAJA2, HNRNPA2B1, POLR3E, STUB1, PDCD1, ZNF354A	703	1627	12074	1.3300832939172795	0.01288368355805547	0.01346278656279322	0.01346278656279322
GOTERM_CC_DIRECT	GO:0005634~nucleus	329	32.86713286713287	8.045384406131812E-4	TCERG1, ATF2, MDC1, POP7, ANKLE1, CMAS, PWWP2B, CPNE7, GPATCH2, PREP, SMC6, IKZF2, SMC3, PWP1, RPL7, RPS6KA3, ZC3H12C, LSM11, UBASH3B, MAGOH, FBXO5, SNRPD3, HOXA6, VPS36, HOXA5, SMARCC1, PRKCB, NFKBIL1, FOXH1, MED9, ESCO2, ZNF12, GTPBP4, SND1, KRT9, THAP1, CFDP1, CCNY, RRAGC, RFX6, RFX7, DDIT3, PADI2, SIK2, PRKD1, TRIB2, ATF4, EXD2, GGNBP2, SET, CSTF3, MYNN, CDCA8, PRDM13, ALX3, ZNF701, RDH14, TP53BP1, ZBTB7A, ZSCAN16, HEXIM2, PRPF38B, INTS2, POU6F2, SMARCA5, TRIP4, LARP7, ALOX15B, PARP15, SMARCA2, MED13L, DAZL, STAG1, ZNF37A, DMRTC1, FUBP1, INTS7, GTF2IRD1, DZIP1, INTS8, CUTC, TOP2B, CSRNP2, SETD2, ZNF251, PRKAG1, RSF1, HOXC13, ZNF280D, NIPBL, ZMYM1, ZMYM2, HINT3, NUF2, KIF13A, DHX15, ACADM, ENOPH1, TEAD1, UPF2, DUSP2, PACRG, ANXA1, WDR37, TIGD7, ZNF480, NSUN2, PABPC5, PRMT3, KIF23, BAZ1A, GNL2, NUDT16L1, SREBF2, GNL3, PAX1, TOX4, PSMA3, SLTM, NFX1, HNRNPH2, HNRNPH3, ZNF479, RAPGEF5, DLD, VGLL1, SLU7, CRYAB, FOXC1, TMF1, ZNF350, AKAP8, C6ORF52, ZNF3, HOXD11, HSPA14, PSMA7, CST11, PSMB2, EXOSC9, STAT4, LEO1, METTL5, EXOSC3, SF3B1, ZNF587, GCH1, NFYA, UTP3, AGL, NFYC, WWP1, ELP2, LBX1, APTX, VEGFA, ZNF33B, FABP4, CENPI, SERBP1, PSMC2, HNRNPA2B1, CCNG1, UBAP2, TRIP12, ZNF354A, TJP2, NAB2, ARID4A, UBE3A, MSI1, TTF1, FGF2, KLHL31, RGS4, PYCARD, AMMECR1L, CWC22, SMARCAD1, NEK1, SSX4, NEK3, MAF1, KPNA3, ZNF441, SUPT16H, AGTPBP1, UBE2E1, THOC1, LIG4, VRK1, TLE6, FOXP1, DPM1, ARMCX3, CLIP1, FANCD2, NCL, MAPKAPK2, HAT1, TSSK6, ZNF558, MAPKAPK5, CHMP4A, PPIG, ADNP, SNRNP200, FKBP3, PPID, CSNK1G1, MAGEL2, PSMD14, YTHDC1, UBA5, SPATA4, NPAS1, RLF, NKAPL, BCL2L12, SBNO1, SYCE1, PDZD2, SOHLH2, SMN2, STAP1, ZNF426, RPRD1B, ZKSCAN4, MAGEA10, ZC3H15, HSPA9, PDHA2, SMAD4, HSPA5, POLR3GL, API5, FBXO38, ESR1, LSM4, EIF2S1, PHOX2B, RCAN1, FER, DLG1, SLC7A6OS, UBLCP1, LHX2, ZNF419, ZFP64, LHX5, ZNF776, NFKBID, BRWD3, RNF187, ZSCAN1, PIWIL2, USP31, DDX46, THRA, C2ORF49, CHD2, CHTF18, SYNE1, SART3, SENP5, PPP1R13L, DNMT3B, MYBL2, CEP290, SPANXD, HSP90AA1, PTGIS, RBM15, ZFP92, PLRG1, FOXL1, KLF16, HAND1, CRY1, ZNF512, EAPP, ASPA, BIRC2, HDAC2, RNF34, USP16, RRN3, NUFIP2, WBP4, FOXK2, TULP3, PPM1E, MALT1, PARD6B, FAM120C, TBX22, POLR2B, RSBN1L, BPY2, ZNF625, ZNF624, SNRPB2, ASCC3, NXF5, EIF4E, TCFL5, RNF20, SSB, ZNF184, KCNIP3, MGA, MACC1, TAF11, FOXJ3, AHNAK2, DONSON, PTPN11, TTC39C, S100B, PNRC2, DNAJA1, APLF, POLR3E, ZNF614, TAF7, STUB1, EIF3E, TRIM32, CSNK1A1L	911	5125	16406	1.1560759283553317	0.43256156935701784	0.2831975310958398	0.2831975310958398
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	232	23.176823176823177	0.0015510077694840772	TCERG1, ATF2, MDC1, POP7, ANKLE1, CMAS, PWWP2B, GCC2, SMC6, SMC3, RPS6KA3, GOLGA4, LSM11, CDC26, MAGOH, FBXO5, SNRPD3, HOXA6, SMARCC1, PRKCB, NFKBIL1, SLC35C2, MED9, ESCO2, ZNF12, GTPBP4, CLPX, THAP1, THAP4, CCNY, RRAGC, RPL26, ATF4, SET, CSTF3, CTR9, CWF19L2, MYNN, CDCA8, KLK6, NUP88, RDH14, TSPAN2, TP53BP1, HEXIM2, ABCA6, INTS2, EAF1, SMARCA5, TRIP4, LARP7, SMARCA2, MED13L, STAG1, ZZZ3, FUBP1, MPHOSPH10, INTS7, GTF2IRD1, NOL11, DZIP1, INTS8, CUTC, TOP2B, SETD2, FASTKD3, PRKAG1, RSF1, WDR46, UCHL1, NIPBL, PCM1, NUF2, DHX15, UTP14A, TEAD1, LYPLA2, DUSP2, ANXA1, MIOS, ZNF480, NSUN2, KIF23, SREBF2, PSMA3, SLTM, NFX1, HNRNPH2, HNRNPH3, RAPGEF5, VGLL1, SLU7, CRYAB, PHLPP2, FOXC1, ZNF350, AKAP8, HOXD11, PSMA7, PSMB2, EXOSC9, STAT4, LEO1, EXOSC3, SF3B1, UTP6, GCH1, NFYA, UTP3, NFYC, ELP2, APTX, CENPI, PSMC2, HNRNPA2B1, CCNG1, TRIP12, ZNF354A, TJP2, NAB2, ARID4A, TTF1, IPO7, PYCARD, CDH5, CWC22, SMARCAD1, NEK1, MAF1, KPNA3, RPP38, ZBTB39, SUPT16H, UBE2E1, THOC1, LIG4, VRK1, THOC2, FOXP1, LENG1, FRMD7, FANCD2, NCL, MAPKAPK2, HAT1, ZNF558, MAPKAPK5, PPIG, SNRNP200, PPID, PSMD14, YTHDC1, UAP1, C1ORF52, SMN2, STAP1, RPRD1B, UTP20, ZKSCAN4, MAGEA10, ATP6V1D, WDTC1, SMAD4, POLR3GL, ESR1, LSM4, PHOX2B, IBTK, UBLCP1, TPP2, RNF187, DDX46, THRA, USP33, C2ORF49, CHTF18, SYNE1, SART3, SENP5, PPP1R13L, TIMM17A, DNMT3B, MYBL2, CYTIP, RBM34, SH3D19, HSP90AA1, RBM15, GGPS1, PLRG1, SETBP1, HAND1, EAPP, GTF3C3, HDAC2, RNF34, USP16, RRN3, NUFIP2, WBP4, FOXK2, TULP3, NTN1, PPM1E, DCAF16, POLR2B, TAF1A, BEND3, SNRPB2, ASCC3, ZNF622, ARFGEF1, RNF20, NOP58, ZNF184, MGA, TAF11, PTPN11, RPRD2, S100B, ASS1, PNRC2, KLF8, OPN1SW, NIN, APLF, POLR3E, TAF7, STUB1, EIF3E, CLEC2D, EIF3A	911	3505	16406	1.1920220603779141	0.6647092209038802	0.3639698232389301	0.3639698232389301
UP_KW_BIOLOGICAL_PROCESS	KW-0690~Ribosome biogenesis	13	1.2987012987012987	0.0016975711568007733	NOP58, GNL2, PWP1, GTPBP4, RPF1, MRTO4, FRG1, MPHOSPH10, BRIX1, NOL11, ZNF622, UTP14A, UTP14C	546	80	9624	2.864285714285714	0.19408317392734664	0.2155915369136982	0.2155915369136982
