Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno04540:Gap junction	8	2.507836990595611	8.020307059056379E-4	ENSRNOT00000042117, ENSRNOT00000068535, ENSRNOT00000001054, ENSRNOT00000075767, ENSRNOT00000006087, ENSRNOT00000020932, ENSRNOT00000068739, ENSRNOT00000040645	157	60	6063	5.149044585987262	0.18633341179219964	0.11738517367710127	0.11692842202855225
KEGG_PATHWAY	rno04530:Tight junction	11	3.4482758620689653	9.135032970980644E-4	ENSRNOT00000054976, ENSRNOT00000027445, ENSRNOT00000020748, ENSRNOT00000022627, ENSRNOT00000006607, ENSRNOT00000028411, ENSRNOT00000060683, ENSRNOT00000011499, ENSRNOT00000020932, ENSRNOT00000068739, ENSRNOT00000019405	157	119	6063	3.569715784402933	0.2093324137193846	0.11738517367710127	0.11692842202855225
KEGG_PATHWAY	rno04921:Oxytocin signaling pathway	10	3.1347962382445136	0.0016350079432074296	ENSRNOT00000054976, ENSRNOT00000004578, ENSRNOT00000027445, ENSRNOT00000004121, ENSRNOT00000028411, ENSRNOT00000006087, ENSRNOT00000048851, ENSRNOT00000066940, ENSRNOT00000068739, ENSRNOT00000040645	157	107	6063	3.6091434013929398	0.34330849978369127	0.14006568046810314	0.1395206778203673
UP_KW_CELLULAR_COMPONENT	KW-0458~Lysosome	14	4.38871473354232	0.003495609425433596	ENSRNOT00000068535, ENSRNOT00000061498, ENSRNOT00000064272, ENSRNOT00000012558, ENSRNOT00000010101, ENSRNOT00000026280, ENSRNOT00000026390, ENSRNOT00000003412, ENSRNOT00000008507, ENSRNOT00000049344, ENSRNOT00000027474, ENSRNOT00000028069, ENSRNOT00000023896, ENSRNOT00000006566	243	217	9557	2.537368910128767	0.12459257029591275	0.13283315816647664	0.13283315816647664
GOTERM_MF_DIRECT	GO:0005200~structural constituent of cytoskeleton	6	1.8808777429467085	0.004270897904578664	ENSRNOT00000054976, ENSRNOT00000006607, ENSRNOT00000075767, ENSRNOT00000011499, ENSRNOT00000018073, ENSRNOT00000020932	280	45	11632	5.539047619047619	0.9255767476141793	1.0	1.0
KEGG_PATHWAY	rno04810:Regulation of actin cytoskeleton	12	3.761755485893417	0.006716093890444323	ENSRNOT00000054976, ENSRNOT00000027445, ENSRNOT00000042117, ENSRNOT00000068535, ENSRNOT00000006607, ENSRNOT00000068216, ENSRNOT00000006087, ENSRNOT00000008387, ENSRNOT00000048851, ENSRNOT00000013600, ENSRNOT00000011499, ENSRNOT00000019405	157	181	6063	2.5602984129218425	0.8230447358208102	0.4315090324610477	0.42983000898843665
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	19	5.956112852664576	0.007518750112317998	ENSRNOT00000016953, ENSRNOT00000042117, ENSRNOT00000025718, ENSRNOT00000068535, ENSRNOT00000024938, ENSRNOT00000006087, ENSRNOT00000064272, ENSRNOT00000012558, ENSRNOT00000074978, ENSRNOT00000014747, ENSRNOT00000010101, ENSRNOT00000013745, ENSRNOT00000056903, ENSRNOT00000051883, ENSRNOT00000036718, ENSRNOT00000022095, ENSRNOT00000004121, ENSRNOT00000028411, ENSRNOT00000049357	305	398	12687	1.9857731279347557	0.9999995453561648	1.0	1.0
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	13	4.075235109717868	0.0077953689031428665	ENSRNOT00000015401, ENSRNOT00000016656, ENSRNOT00000015322, ENSRNOT00000005050, ENSRNOT00000008387, ENSRNOT00000017607, ENSRNOT00000040291, ENSRNOT00000000495, ENSRNOT00000004578, ENSRNOT00000051883, ENSRNOT00000031714, ENSRNOT00000003240, ENSRNOT00000026327	313	226	13147	2.416112980293477	0.9592703053256633	1.0	1.0
GOTERM_BP_DIRECT	GO:0048210~Golgi vesicle fusion to target membrane	3	0.9404388714733543	0.00805402625019232	ENSRNOT00000020748, ENSRNOT00000022627, ENSRNOT00000021898	305	6	12687	20.798360655737707	0.9999998399274952	1.0	1.0
GOTERM_CC_DIRECT	GO:0001725~stress fiber	7	2.19435736677116	0.009851751880750877	ENSRNOT00000054976, ENSRNOT00000027445, ENSRNOT00000017568, ENSRNOT00000022387, ENSRNOT00000019583, ENSRNOT00000020763, ENSRNOT00000044279	313	77	13147	3.8184722625617193	0.982566227559482	1.0	1.0
