Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:1902617~response to fluoride	4	1.2903225806451613	7.281062250518821E-4	ENSRNOT00000067532, ENSRNOT00000018244, ENSRNOT00000011823, ENSRNOT00000005311	271	9	12687	20.80688806888069	0.7368694069670005	1.0	1.0
KEGG_PATHWAY	rno00190:Oxidative phosphorylation	10	3.225806451612903	7.988307904424343E-4	ENSRNOT00000051268, ENSRNOT00000040993, ENSRNOT00000047550, ENSRNOT00000049683, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000009334, ENSRNOT00000066084, ENSRNOT00000028093, ENSRNOT00000045083	142	107	6063	3.990390943793603	0.15921185198022247	0.17334628152600826	0.17334628152600826
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	13	4.193548387096775	0.001841522352331832	ENSRNOT00000023708, ENSRNOT00000020648, ENSRNOT00000066548, ENSRNOT00000061224, ENSRNOT00000043774, ENSRNOT00000008497, ENSRNOT00000013341, ENSRNOT00000013836, ENSRNOT00000006109, ENSRNOT00000020532, ENSRNOT00000005311, ENSRNOT00000057120, ENSRNOT00000046529	291	203	13147	2.8932168672659255	0.4792576523758709	0.6430029448475888	0.6430029448475888
KEGG_PATHWAY	rno04974:Protein digestion and absorption	8	2.5806451612903225	0.00281490339257458	ENSRNOT00000021507, ENSRNOT00000067649, ENSRNOT00000060838, ENSRNOT00000019618, ENSRNOT00000000718, ENSRNOT00000015890, ENSRNOT00000005311, ENSRNOT00000046537	142	82	6063	4.16557883888698	0.457569532535383	0.2758819529496303	0.2758819529496303
GOTERM_BP_DIRECT	GO:0034504~protein localization to nucleus	6	1.935483870967742	0.0028268049348016424	ENSRNOT00000008497, ENSRNOT00000022384, ENSRNOT00000009870, ENSRNOT00000045356, ENSRNOT00000005311, ENSRNOT00000050138	271	46	12687	6.10636932456281	0.9944216981036441	1.0	1.0
GOTERM_CC_DIRECT	GO:0005615~extracellular space	39	12.580645161290322	0.00363278499913892	ENSRNOT00000023708, ENSRNOT00000067649, ENSRNOT00000068119, ENSRNOT00000043774, ENSRNOT00000014177, ENSRNOT00000008497, ENSRNOT00000013341, ENSRNOT00000012811, ENSRNOT00000011823, ENSRNOT00000018815, ENSRNOT00000059628, ENSRNOT00000056903, ENSRNOT00000066492, ENSRNOT00000006109, ENSRNOT00000060838, ENSRNOT00000028833, ENSRNOT00000002683, ENSRNOT00000020532, ENSRNOT00000005311, ENSRNOT00000022113, ENSRNOT00000008106, ENSRNOT00000026679, ENSRNOT00000018427, ENSRNOT00000020648, ENSRNOT00000007491, ENSRNOT00000035240, ENSRNOT00000066548, ENSRNOT00000065339, ENSRNOT00000015351, ENSRNOT00000017232, ENSRNOT00000013836, ENSRNOT00000011333, ENSRNOT00000050795, ENSRNOT00000022585, ENSRNOT00000022681, ENSRNOT00000023017, ENSRNOT00000000256, ENSRNOT00000057120, ENSRNOT00000046537	291	1099	13147	1.6032475633893981	0.7242739431469245	0.6430029448475888	0.6430029448475888
KEGG_PATHWAY	rno05020:Prion disease	13	4.193548387096775	0.0038140362158935064	ENSRNOT00000017338, ENSRNOT00000040993, ENSRNOT00000017972, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000066084, ENSRNOT00000045083, ENSRNOT00000051268, ENSRNOT00000047550, ENSRNOT00000049683, ENSRNOT00000027893, ENSRNOT00000007601, ENSRNOT00000040645	142	213	6063	2.6059313628248364	0.5636140493227466	0.2758819529496303	0.2758819529496303
UP_KW_CELLULAR_COMPONENT	KW-0999~Mitochondrion inner membrane	12	3.870967741935484	0.005282551546165487	ENSRNOT00000026586, ENSRNOT00000051268, ENSRNOT00000005516, ENSRNOT00000040993, ENSRNOT00000047550, ENSRNOT00000049683, ENSRNOT00000028496, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000066084, ENSRNOT00000002987, ENSRNOT00000005753	200	215	9557	2.6670697674418604	0.1692109560347983	0.1537466831199736	0.1537466831199736
GOTERM_MF_DIRECT	GO:0008201~heparin binding	9	2.903225806451613	0.006645827333714439	ENSRNOT00000023708, ENSRNOT00000051037, ENSRNOT00000013341, ENSRNOT00000012811, ENSRNOT00000067333, ENSRNOT00000011945, ENSRNOT00000046537, ENSRNOT00000000256, ENSRNOT00000046529	249	130	11632	3.2341056533827617	0.9715815557817911	1.0	1.0
GOTERM_CC_DIRECT	GO:0005751~mitochondrial respiratory chain complex IV	4	1.2903225806451613	0.006780216354909307	ENSRNOT00000049683, ENSRNOT00000043693, ENSRNOT00000066084, ENSRNOT00000045083	291	18	13147	10.039709812905688	0.9100382306462074	0.8000655298792982	0.8000655298792982
