Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0030182~neuron differentiation	26	4.7272727272727275	3.80230488986922E-7	ENSRNOT00000017305, ENSRNOT00000016730, ENSRNOT00000017742, ENSRNOT00000016236, ENSRNOT00000002928, ENSRNOT00000042145, ENSRNOT00000015583, ENSRNOT00000013468, ENSRNOT00000014831, ENSRNOT00000002044, ENSRNOT00000015272, ENSRNOT00000003799, ENSRNOT00000000325, ENSRNOT00000017019, ENSRNOT00000006163, ENSRNOT00000011052, ENSRNOT00000013933, ENSRNOT00000011455, ENSRNOT00000001883, ENSRNOT00000044690, ENSRNOT00000021550, ENSRNOT00000047685, ENSRNOT00000026187, ENSRNOT00000019761, ENSRNOT00000074269, ENSRNOT00000008951	496	204	12687	3.260021347248577	0.001076613215770128	0.001076812744810963	0.0010756720533440023
KEGG_PATHWAY	rno04721:Synaptic vesicle cycle	13	2.3636363636363638	4.908951448092822E-6	ENSRNOT00000023606, ENSRNOT00000064254, ENSRNOT00000064201, ENSRNOT00000008342, ENSRNOT00000010853, ENSRNOT00000040291, ENSRNOT00000022383, ENSRNOT00000007604, ENSRNOT00000048770, ENSRNOT00000002044, ENSRNOT00000004717, ENSRNOT00000057295, ENSRNOT00000020720	249	61	6063	5.189215879913094	0.0014127825689110862	0.0014137780170507329	0.0014137780170507329
SMART	SM00548:IRO	5	0.9090909090909091	2.1032594873178255E-5	ENSRNOT00000017019, ENSRNOT00000044690, ENSRNOT00000015583, ENSRNOT00000015272, ENSRNOT00000014831	258	6	7323	23.6531007751938	0.0044909082155003555	0.004500975302860147	0.004500975302860147
INTERPRO	IPR003893:Iroquois_homeo	5	0.9090909090909091	3.1770299716269844E-5	ENSRNOT00000017019, ENSRNOT00000044690, ENSRNOT00000015583, ENSRNOT00000015272, ENSRNOT00000014831	540	6	13872	21.407407407407405	0.0465687672459737	0.04470391390968897	0.04470391390968897
GOTERM_CC_DIRECT	GO:0043005~neuron projection	28	5.090909090909091	3.6463967831559314E-5	ENSRNOT00000019929, ENSRNOT00000027370, ENSRNOT00000036744, ENSRNOT00000014639, ENSRNOT00000007957, ENSRNOT00000027682, ENSRNOT00000019298, ENSRNOT00000063889, ENSRNOT00000005157, ENSRNOT00000047836, ENSRNOT00000005258, ENSRNOT00000011052, ENSRNOT00000003191, ENSRNOT00000040291, ENSRNOT00000015019, ENSRNOT00000014866, ENSRNOT00000022383, ENSRNOT00000028646, ENSRNOT00000027474, ENSRNOT00000004970, ENSRNOT00000073432, ENSRNOT00000004619, ENSRNOT00000004717, ENSRNOT00000005881, ENSRNOT00000007249, ENSRNOT00000009987, ENSRNOT00000020720, ENSRNOT00000064309	520	292	13147	2.4243677555321392	0.017995498929927467	0.018159055980116537	0.01808612804445342
GOTERM_BP_DIRECT	GO:0048468~cell development	8	1.4545454545454546	4.54647364366646E-5	ENSRNOT00000017019, ENSRNOT00000044690, ENSRNOT00000017742, ENSRNOT00000015583, ENSRNOT00000015272, ENSRNOT00000015283, ENSRNOT00000006148, ENSRNOT00000014831	496	26	12687	7.870347394540944	0.12085420143681258	0.06437806679431707	0.06430986968966207
INTERPRO	IPR017970:Homeobox_CS	15	2.727272727272727	5.9565508207446994E-5	ENSRNOT00000017019, ENSRNOT00000017305, ENSRNOT00000016843, ENSRNOT00000002928, ENSRNOT00000006163, ENSRNOT00000015583, ENSRNOT00000014831, ENSRNOT00000001883, ENSRNOT00000044690, ENSRNOT00000003155, ENSRNOT00000074488, ENSRNOT00000015272, ENSRNOT00000008951, ENSRNOT00000003799, ENSRNOT00000001730	540	106	13872	3.6352201257861636	0.0855298849923426	0.04470391390968897	0.04470391390968897
GOTERM_BP_DIRECT	GO:0060078~regulation of postsynaptic membrane potential	9	1.6363636363636365	8.823145499919165E-5	ENSRNOT00000007957, ENSRNOT00000004477, ENSRNOT00000004970, ENSRNOT00000073432, ENSRNOT00000011052, ENSRNOT00000041551, ENSRNOT00000004619, ENSRNOT00000063889, ENSRNOT00000003191	496	38	12687	6.058096349745332	0.22117642874082466	0.08329049351923691	0.08320226206423773
SMART	SM00389:HOX	16	2.909090909090909	1.1673712745116425E-4	ENSRNOT00000017019, ENSRNOT00000017305, ENSRNOT00000016843, ENSRNOT00000002928, ENSRNOT00000008880, ENSRNOT00000006163, ENSRNOT00000015583, ENSRNOT00000014831, ENSRNOT00000001883, ENSRNOT00000044690, ENSRNOT00000003155, ENSRNOT00000074488, ENSRNOT00000015272, ENSRNOT00000008951, ENSRNOT00000003799, ENSRNOT00000001730	258	141	7323	3.2208477651327727	0.02467370607688335	0.012490872637274575	0.012490872637274575
KEGG_PATHWAY	rno04080:Neuroactive ligand-receptor interaction	26	4.7272727272727275	1.903880630940911E-4	ENSRNOT00000024917, ENSRNOT00000014639, ENSRNOT00000015944, ENSRNOT00000015824, ENSRNOT00000014437, ENSRNOT00000028380, ENSRNOT00000007957, ENSRNOT00000005559, ENSRNOT00000019473, ENSRNOT00000039780, ENSRNOT00000063889, ENSRNOT00000005871, ENSRNOT00000009775, ENSRNOT00000044348, ENSRNOT00000012385, ENSRNOT00000014747, ENSRNOT00000003191, ENSRNOT00000004477, ENSRNOT00000051027, ENSRNOT00000004970, ENSRNOT00000073432, ENSRNOT00000005706, ENSRNOT00000015818, ENSRNOT00000074269, ENSRNOT00000004619, ENSRNOT00000020425	249	282	6063	2.244979919678715	0.05336054581767469	0.027415881085549116	0.027415881085549116
