Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	193	37.4757281553398	8.28126340749268E-9	ENSRNOT00000067900, ENSRNOT00000065601, ENSRNOT00000034300, ENSRNOT00000018058, ENSRNOT00000013165, ENSRNOT00000019820, ENSRNOT00000013720, ENSRNOT00000011665, ENSRNOT00000012875, ENSRNOT00000046529, ENSRNOT00000018622, ENSRNOT00000039540, ENSRNOT00000025718, ENSRNOT00000039663, ENSRNOT00000009693, ENSRNOT00000010103, ENSRNOT00000036959, ENSRNOT00000023890, ENSRNOT00000023530, ENSRNOT00000008113, ENSRNOT00000039336, ENSRNOT00000059269, ENSRNOT00000028435, ENSRNOT00000007816, ENSRNOT00000013191, ENSRNOT00000018880, ENSRNOT00000008901, ENSRNOT00000009316, ENSRNOT00000023789, ENSRNOT00000019618, ENSRNOT00000032252, ENSRNOT00000040430, ENSRNOT00000037389, ENSRNOT00000043384, ENSRNOT00000055805, ENSRNOT00000010127, ENSRNOT00000010926, ENSRNOT00000048711, ENSRNOT00000063899, ENSRNOT00000006830, ENSRNOT00000043827, ENSRNOT00000058195, ENSRNOT00000040983, ENSRNOT00000065367, ENSRNOT00000030024, ENSRNOT00000017967, ENSRNOT00000047011, ENSRNOT00000029027, ENSRNOT00000007079, ENSRNOT00000008963, ENSRNOT00000057175, ENSRNOT00000001774, ENSRNOT00000022514, ENSRNOT00000035280, ENSRNOT00000008282, ENSRNOT00000008160, ENSRNOT00000041264, ENSRNOT00000012602, ENSRNOT00000017617, ENSRNOT00000007190, ENSRNOT00000025354, ENSRNOT00000022086, ENSRNOT00000028624, ENSRNOT00000035948, ENSRNOT00000057845, ENSRNOT00000027771, ENSRNOT00000027893, ENSRNOT00000004351, ENSRNOT00000007069, ENSRNOT00000021554, ENSRNOT00000001404, ENSRNOT00000009802, ENSRNOT00000044417, ENSRNOT00000014234, ENSRNOT00000067649, ENSRNOT00000018953, ENSRNOT00000036025, ENSRNOT00000041177, ENSRNOT00000041175, ENSRNOT00000034400, ENSRNOT00000012610, ENSRNOT00000018956, ENSRNOT00000056789, ENSRNOT00000046983, ENSRNOT00000051893, ENSRNOT00000013271, ENSRNOT00000023741, ENSRNOT00000016784, ENSRNOT00000041168, ENSRNOT00000018960, ENSRNOT00000067414, ENSRNOT00000064140, ENSRNOT00000064263, ENSRNOT00000014249, ENSRNOT00000035606, ENSRNOT00000003001, ENSRNOT00000002837, ENSRNOT00000000535, ENSRNOT00000014492, ENSRNOT00000045765, ENSRNOT00000000658, ENSRNOT00000040637, ENSRNOT00000017006, ENSRNOT00000059565, ENSRNOT00000030340, ENSRNOT00000064592, ENSRNOT00000019666, ENSRNOT00000011026, ENSRNOT00000072890, ENSRNOT00000020098, ENSRNOT00000024214, ENSRNOT00000027847, ENSRNOT00000041119, ENSRNOT00000001577, ENSRNOT00000042207, ENSRNOT00000014301, ENSRNOT00000009173, ENSRNOT00000016289, ENSRNOT00000038852, ENSRNOT00000014309, ENSRNOT00000035347, ENSRNOT00000019799, ENSRNOT00000004279, ENSRNOT00000027057, ENSRNOT00000074049, ENSRNOT00000007662, ENSRNOT00000067519, ENSRNOT00000061980, ENSRNOT00000038088, ENSRNOT00000060097, ENSRNOT00000017147, ENSRNOT00000065542, ENSRNOT00000043554, ENSRNOT00000018475, ENSRNOT00000064450, ENSRNOT00000059548, ENSRNOT00000041371, ENSRNOT00000003971, ENSRNOT00000051732, ENSRNOT00000026897, ENSRNOT00000002882, ENSRNOT00000003177, ENSRNOT00000074810, ENSRNOT00000020675, ENSRNOT00000009394, ENSRNOT00000005470, ENSRNOT00000016740, ENSRNOT00000019696, ENSRNOT00000012940, ENSRNOT00000022182, ENSRNOT00000027512, ENSRNOT00000000336, ENSRNOT00000059680, ENSRNOT00000018416, ENSRNOT00000017204, ENSRNOT00000058552, ENSRNOT00000037612, ENSRNOT00000019502, ENSRNOT00000011589, ENSRNOT00000073025, ENSRNOT00000003799, ENSRNOT00000065529, ENSRNOT00000000049, ENSRNOT00000021717, ENSRNOT00000010142, ENSRNOT00000065410, ENSRNOT00000022480, ENSRNOT00000051467, ENSRNOT00000028100, ENSRNOT00000005849, ENSRNOT00000037291, ENSRNOT00000006376, ENSRNOT00000031190, ENSRNOT00000041215, ENSRNOT00000074695, ENSRNOT00000072155, ENSRNOT00000048880, ENSRNOT00000051132, ENSRNOT00000005155, ENSRNOT00000055970, ENSRNOT00000056145, ENSRNOT00000008303, ENSRNOT00000016027, ENSRNOT00000016947, ENSRNOT00000058308, ENSRNOT00000067491, ENSRNOT00000001586, ENSRNOT00000022387, ENSRNOT00000055048, ENSRNOT00000044278, ENSRNOT00000048757, ENSRNOT00000067939, ENSRNOT00000004613	485	3713	13309	1.4263826455390782	8.769819577647553E-6	8.769857948534748E-6	8.769857948534748E-6
UP_SEQ_FEATURE	COMPBIAS:Polar residues	224	43.49514563106796	5.752351189238707E-7	ENSRNOT00000067900, ENSRNOT00000065601, ENSRNOT00000007162, ENSRNOT00000067902, ENSRNOT00000034300, ENSRNOT00000018058, ENSRNOT00000013165, ENSRNOT00000019820, ENSRNOT00000013720, ENSRNOT00000035879, ENSRNOT00000020137, ENSRNOT00000046529, ENSRNOT00000006181, ENSRNOT00000039540, ENSRNOT00000025718, ENSRNOT00000039663, ENSRNOT00000009693, ENSRNOT00000010103, ENSRNOT00000036959, ENSRNOT00000066383, ENSRNOT00000023890, ENSRNOT00000075651, ENSRNOT00000007947, ENSRNOT00000039336, ENSRNOT00000068535, ENSRNOT00000059269, ENSRNOT00000068774, ENSRNOT00000037955, ENSRNOT00000024077, ENSRNOT00000007816, ENSRNOT00000013191, ENSRNOT00000018880, ENSRNOT00000022213, ENSRNOT00000008104, ENSRNOT00000008901, ENSRNOT00000009316, ENSRNOT00000011450, ENSRNOT00000032252, ENSRNOT00000037389, ENSRNOT00000009430, ENSRNOT00000005076, ENSRNOT00000043384, ENSRNOT00000010246, ENSRNOT00000023431, ENSRNOT00000019860, ENSRNOT00000048711, ENSRNOT00000007247, ENSRNOT00000063899, ENSRNOT00000043827, ENSRNOT00000058195, ENSRNOT00000035274, ENSRNOT00000064832, ENSRNOT00000040983, ENSRNOT00000011747, ENSRNOT00000034506, ENSRNOT00000047011, ENSRNOT00000055674, ENSRNOT00000007079, ENSRNOT00000008963, ENSRNOT00000057175, ENSRNOT00000001774, ENSRNOT00000000325, ENSRNOT00000035280, ENSRNOT00000008282, ENSRNOT00000008160, ENSRNOT00000041264, ENSRNOT00000034298, ENSRNOT00000064840, ENSRNOT00000007190, ENSRNOT00000022086, ENSRNOT00000028624, ENSRNOT00000035948, ENSRNOT00000057845, ENSRNOT00000027771, ENSRNOT00000027099, ENSRNOT00000004351, ENSRNOT00000007069, ENSRNOT00000021554, ENSRNOT00000001404, ENSRNOT00000012170, ENSRNOT00000009802, ENSRNOT00000001766, ENSRNOT00000044417, ENSRNOT00000036027, ENSRNOT00000036025, ENSRNOT00000041177, ENSRNOT00000041175, ENSRNOT00000066431, ENSRNOT00000015447, ENSRNOT00000017867, ENSRNOT00000018956, ENSRNOT00000056789, ENSRNOT00000051893, ENSRNOT00000020476, ENSRNOT00000013271, ENSRNOT00000023741, ENSRNOT00000020117, ENSRNOT00000004901, ENSRNOT00000060465, ENSRNOT00000016784, ENSRNOT00000018960, ENSRNOT00000067414, ENSRNOT00000015571, ENSRNOT00000064263, ENSRNOT00000014249, ENSRNOT00000070822, ENSRNOT00000027677, ENSRNOT00000003001, ENSRNOT00000002151, ENSRNOT00000002837, ENSRNOT00000000535, ENSRNOT00000045765, ENSRNOT00000000658, ENSRNOT00000024725, ENSRNOT00000064947, ENSRNOT00000011384, ENSRNOT00000042562, ENSRNOT00000019666, ENSRNOT00000030102, ENSRNOT00000011026, ENSRNOT00000014413, ENSRNOT00000072890, ENSRNOT00000028137, ENSRNOT00000020098, ENSRNOT00000046486, ENSRNOT00000020410, ENSRNOT00000024214, ENSRNOT00000041119, ENSRNOT00000020534, ENSRNOT00000042207, ENSRNOT00000065339, ENSRNOT00000009173, ENSRNOT00000016289, ENSRNOT00000011394, ENSRNOT00000035347, ENSRNOT00000019799, ENSRNOT00000004834, ENSRNOT00000004955, ENSRNOT00000061980, ENSRNOT00000021648, ENSRNOT00000038088, ENSRNOT00000017147, ENSRNOT00000065542, ENSRNOT00000018475, ENSRNOT00000041493, ENSRNOT00000064450, ENSRNOT00000059548, ENSRNOT00000017948, ENSRNOT00000041371, ENSRNOT00000032424, ENSRNOT00000003971, ENSRNOT00000051732, ENSRNOT00000002882, ENSRNOT00000074810, ENSRNOT00000020675, ENSRNOT00000015092, ENSRNOT00000016740, ENSRNOT00000018244, ENSRNOT00000058900, ENSRNOT00000012940, ENSRNOT00000017713, ENSRNOT00000028720, ENSRNOT00000022182, ENSRNOT00000018133, ENSRNOT00000012391, ENSRNOT00000007523, ENSRNOT00000018416, ENSRNOT00000017204, ENSRNOT00000058552, ENSRNOT00000001938, ENSRNOT00000015948, ENSRNOT00000037612, ENSRNOT00000068351, ENSRNOT00000019502, ENSRNOT00000011589, ENSRNOT00000066181, ENSRNOT00000073025, ENSRNOT00000054980, ENSRNOT00000038395, ENSRNOT00000003799, ENSRNOT00000065529, ENSRNOT00000019192, ENSRNOT00000017338, ENSRNOT00000021717, ENSRNOT00000010142, ENSRNOT00000059892, ENSRNOT00000065410, ENSRNOT00000038016, ENSRNOT00000022480, ENSRNOT00000051467, ENSRNOT00000028100, ENSRNOT00000005849, ENSRNOT00000037291, ENSRNOT00000046318, ENSRNOT00000031190, ENSRNOT00000041215, ENSRNOT00000068216, ENSRNOT00000074695, ENSRNOT00000033958, ENSRNOT00000010835, ENSRNOT00000048521, ENSRNOT00000051132, ENSRNOT00000024430, ENSRNOT00000029443, ENSRNOT00000055970, ENSRNOT00000056145, ENSRNOT00000008303, ENSRNOT00000047439, ENSRNOT00000016027, ENSRNOT00000037742, ENSRNOT00000015296, ENSRNOT00000068104, ENSRNOT00000041562, ENSRNOT00000066165, ENSRNOT00000016947, ENSRNOT00000058308, ENSRNOT00000033700, ENSRNOT00000022387, ENSRNOT00000073930, ENSRNOT00000055048, ENSRNOT00000048757, ENSRNOT00000044279, ENSRNOT00000023477, ENSRNOT00000067939	485	4714	13309	1.3039535666953885	6.089886571827297E-4	3.0458699547018954E-4	3.0458699547018954E-4
UP_SEQ_FEATURE	REGION:Disordered	367	71.26213592233009	2.571787686013737E-6	ENSRNOT00000067900, ENSRNOT00000065601, ENSRNOT00000007162, ENSRNOT00000067902, ENSRNOT00000034300, ENSRNOT00000018058, ENSRNOT00000013165, ENSRNOT00000068431, ENSRNOT00000019820, ENSRNOT00000013720, ENSRNOT00000011665, ENSRNOT00000035879, ENSRNOT00000012875, ENSRNOT00000027445, ENSRNOT00000028411, ENSRNOT00000061921, ENSRNOT00000020137, ENSRNOT00000046529, ENSRNOT00000006181, ENSRNOT00000015598, ENSRNOT00000018622, ENSRNOT00000039540, ENSRNOT00000025718, ENSRNOT00000039663, ENSRNOT00000009693, ENSRNOT00000010103, ENSRNOT00000036959, ENSRNOT00000010466, ENSRNOT00000066383, ENSRNOT00000023890, ENSRNOT00000051422, ENSRNOT00000075651, ENSRNOT00000007947, ENSRNOT00000023530, ENSRNOT00000008113, ENSRNOT00000005885, ENSRNOT00000039336, ENSRNOT00000068535, ENSRNOT00000059269, ENSRNOT00000068774, ENSRNOT00000010238, ENSRNOT00000037955, ENSRNOT00000074657, ENSRNOT00000024077, ENSRNOT00000028435, ENSRNOT00000007816, ENSRNOT00000013191, ENSRNOT00000018880, ENSRNOT00000056221, ENSRNOT00000022213, ENSRNOT00000008104, ENSRNOT00000008901, ENSRNOT00000009316, ENSRNOT00000023789, ENSRNOT00000011450, ENSRNOT00000019618, ENSRNOT00000032252, ENSRNOT00000040430, ENSRNOT00000040672, ENSRNOT00000036852, ENSRNOT00000037389, ENSRNOT00000015374, ENSRNOT00000009430, ENSRNOT00000005076, ENSRNOT00000043384, ENSRNOT00000014964, ENSRNOT00000055805, ENSRNOT00000010246, ENSRNOT00000010127, ENSRNOT00000023431, ENSRNOT00000027597, ENSRNOT00000019860, ENSRNOT00000010926, ENSRNOT00000048711, ENSRNOT00000007247, ENSRNOT00000023434, ENSRNOT00000063899, ENSRNOT00000006830, ENSRNOT00000043827, ENSRNOT00000058195, ENSRNOT00000035274, ENSRNOT00000064832, ENSRNOT00000040983, ENSRNOT00000065367, ENSRNOT00000030024, ENSRNOT00000011747, ENSRNOT00000034506, ENSRNOT00000017967, ENSRNOT00000001894, ENSRNOT00000047011, ENSRNOT00000029027, ENSRNOT00000055674, ENSRNOT00000007079, ENSRNOT00000008963, ENSRNOT00000002867, ENSRNOT00000006423, ENSRNOT00000057175, ENSRNOT00000001774, ENSRNOT00000022514, ENSRNOT00000000325, ENSRNOT00000035280, ENSRNOT00000008282, ENSRNOT00000008160, ENSRNOT00000041264, ENSRNOT00000034298, ENSRNOT00000064840, ENSRNOT00000012602, ENSRNOT00000017617, ENSRNOT00000007190, ENSRNOT00000025354, ENSRNOT00000022086, ENSRNOT00000028624, ENSRNOT00000035948, ENSRNOT00000003146, ENSRNOT00000057845, ENSRNOT00000027771, ENSRNOT00000027099, ENSRNOT00000027893, ENSRNOT00000028861, ENSRNOT00000004351, ENSRNOT00000007069, ENSRNOT00000021554, ENSRNOT00000006531, ENSRNOT00000001404, ENSRNOT00000012170, ENSRNOT00000009802, ENSRNOT00000001766, ENSRNOT00000027418, ENSRNOT00000044417, ENSRNOT00000014234, ENSRNOT00000070937, ENSRNOT00000067649, ENSRNOT00000036020, ENSRNOT00000018953, ENSRNOT00000036027, ENSRNOT00000036025, ENSRNOT00000041177, ENSRNOT00000041175, ENSRNOT00000034400, ENSRNOT00000066431, ENSRNOT00000034401, ENSRNOT00000002291, ENSRNOT00000012610, ENSRNOT00000015447, ENSRNOT00000017868, ENSRNOT00000017867, ENSRNOT00000018956, ENSRNOT00000056789, ENSRNOT00000046983, ENSRNOT00000051893, ENSRNOT00000047158, ENSRNOT00000020476, ENSRNOT00000013271, ENSRNOT00000023741, ENSRNOT00000020117, ENSRNOT00000004901, ENSRNOT00000046746, ENSRNOT00000075020, ENSRNOT00000021568, ENSRNOT00000016423, ENSRNOT00000060465, ENSRNOT00000016784, ENSRNOT00000041168, ENSRNOT00000018960, ENSRNOT00000067414, ENSRNOT00000015571, ENSRNOT00000064140, ENSRNOT00000064263, ENSRNOT00000035962, ENSRNOT00000014249, ENSRNOT00000070822, ENSRNOT00000035606, ENSRNOT00000003246, ENSRNOT00000027677, ENSRNOT00000003001, ENSRNOT00000002151, ENSRNOT00000002837, ENSRNOT00000000535, ENSRNOT00000014492, ENSRNOT00000045765, ENSRNOT00000000658, ENSRNOT00000040637, ENSRNOT00000025018, ENSRNOT00000023637, ENSRNOT00000024725, ENSRNOT00000064947, ENSRNOT00000011384, ENSRNOT00000017006, ENSRNOT00000059565, ENSRNOT00000042562, ENSRNOT00000030340, ENSRNOT00000028020, ENSRNOT00000058237, ENSRNOT00000064592, ENSRNOT00000015869, ENSRNOT00000019666, ENSRNOT00000011824, ENSRNOT00000030102, ENSRNOT00000011026, ENSRNOT00000014413, ENSRNOT00000072890, ENSRNOT00000001695, ENSRNOT00000028137, ENSRNOT00000026875, ENSRNOT00000020098, ENSRNOT00000046486, ENSRNOT00000020410, ENSRNOT00000024214, ENSRNOT00000025547, ENSRNOT00000027847, ENSRNOT00000041119, ENSRNOT00000020534, ENSRNOT00000001577, ENSRNOT00000042207, ENSRNOT00000065339, ENSRNOT00000014301, ENSRNOT00000009173, ENSRNOT00000009178, ENSRNOT00000016289, ENSRNOT00000038852, ENSRNOT00000011394, ENSRNOT00000037883, ENSRNOT00000014309, ENSRNOT00000035347, ENSRNOT00000019799, ENSRNOT00000022290, ENSRNOT00000055988, ENSRNOT00000025312, ENSRNOT00000004279, ENSRNOT00000027057, ENSRNOT00000074049, ENSRNOT00000017264, ENSRNOT00000007662, ENSRNOT00000067519, ENSRNOT00000004834, ENSRNOT00000004955, ENSRNOT00000003986, ENSRNOT00000061980, ENSRNOT00000021648, ENSRNOT00000038088, ENSRNOT00000060097, ENSRNOT00000017147, ENSRNOT00000065542, ENSRNOT00000043554, ENSRNOT00000018475, ENSRNOT00000041493, ENSRNOT00000064450, ENSRNOT00000059548, ENSRNOT00000017948, ENSRNOT00000041371, ENSRNOT00000032424, ENSRNOT00000003971, ENSRNOT00000051732, ENSRNOT00000026897, ENSRNOT00000002882, ENSRNOT00000003177, ENSRNOT00000074810, ENSRNOT00000024111, ENSRNOT00000020675, ENSRNOT00000015092, ENSRNOT00000009394, ENSRNOT00000005470, ENSRNOT00000016740, ENSRNOT00000018244, ENSRNOT00000019696, ENSRNOT00000058900, ENSRNOT00000012940, ENSRNOT00000016987, ENSRNOT00000017713, ENSRNOT00000028720, ENSRNOT00000022182, ENSRNOT00000027512, ENSRNOT00000011619, ENSRNOT00000018133, ENSRNOT00000012391, ENSRNOT00000007523, ENSRNOT00000000336, ENSRNOT00000059680, ENSRNOT00000018416, ENSRNOT00000017204, ENSRNOT00000012432, ENSRNOT00000058552, ENSRNOT00000001938, ENSRNOT00000015948, ENSRNOT00000037612, ENSRNOT00000068351, ENSRNOT00000019502, ENSRNOT00000011589, ENSRNOT00000066181, ENSRNOT00000073025, ENSRNOT00000070794, ENSRNOT00000046325, ENSRNOT00000054980, ENSRNOT00000001019, ENSRNOT00000038395, ENSRNOT00000027129, ENSRNOT00000003799, ENSRNOT00000065529, ENSRNOT00000000049, ENSRNOT00000019192, ENSRNOT00000017338, ENSRNOT00000021717, ENSRNOT00000010142, ENSRNOT00000059892, ENSRNOT00000005172, ENSRNOT00000031064, ENSRNOT00000065410, ENSRNOT00000038016, ENSRNOT00000059419, ENSRNOT00000022480, ENSRNOT00000051467, ENSRNOT00000055822, ENSRNOT00000028100, ENSRNOT00000005849, ENSRNOT00000037291, ENSRNOT00000006376, ENSRNOT00000046318, ENSRNOT00000031190, ENSRNOT00000041215, ENSRNOT00000021968, ENSRNOT00000068216, ENSRNOT00000016939, ENSRNOT00000037519, ENSRNOT00000037517, ENSRNOT00000074695, ENSRNOT00000033958, ENSRNOT00000072155, ENSRNOT00000048880, ENSRNOT00000010835, ENSRNOT00000048521, ENSRNOT00000051132, ENSRNOT00000024430, ENSRNOT00000029443, ENSRNOT00000005155, ENSRNOT00000055970, ENSRNOT00000056145, ENSRNOT00000008303, ENSRNOT00000047439, ENSRNOT00000024798, ENSRNOT00000038172, ENSRNOT00000015179, ENSRNOT00000016027, ENSRNOT00000037742, ENSRNOT00000015296, ENSRNOT00000068104, ENSRNOT00000058665, ENSRNOT00000041562, ENSRNOT00000066165, ENSRNOT00000010601, ENSRNOT00000016947, ENSRNOT00000016826, ENSRNOT00000034599, ENSRNOT00000058308, ENSRNOT00000033700, ENSRNOT00000067491, ENSRNOT00000001586, ENSRNOT00000075793, ENSRNOT00000022387, ENSRNOT00000073930, ENSRNOT00000055048, ENSRNOT00000044278, ENSRNOT00000048757, ENSRNOT00000044279, ENSRNOT00000056496, ENSRNOT00000023477, ENSRNOT00000067939, ENSRNOT00000004613	485	8801	13309	1.144294287083122	0.0027198212276523526	9.078410531628491E-4	9.078410531628491E-4
UP_SEQ_FEATURE	COMPBIAS:Pro residues	71	13.78640776699029	2.1882825192798382E-5	ENSRNOT00000018416, ENSRNOT00000067902, ENSRNOT00000040983, ENSRNOT00000034300, ENSRNOT00000013165, ENSRNOT00000015948, ENSRNOT00000064592, ENSRNOT00000019820, ENSRNOT00000001695, ENSRNOT00000066181, ENSRNOT00000020098, ENSRNOT00000054980, ENSRNOT00000007079, ENSRNOT00000008963, ENSRNOT00000022514, ENSRNOT00000001774, ENSRNOT00000021717, ENSRNOT00000009173, ENSRNOT00000016289, ENSRNOT00000039663, ENSRNOT00000009693, ENSRNOT00000010103, ENSRNOT00000036959, ENSRNOT00000051467, ENSRNOT00000022480, ENSRNOT00000028100, ENSRNOT00000027057, ENSRNOT00000027893, ENSRNOT00000009802, ENSRNOT00000004955, ENSRNOT00000005885, ENSRNOT00000003986, ENSRNOT00000044417, ENSRNOT00000070937, ENSRNOT00000067649, ENSRNOT00000041177, ENSRNOT00000041493, ENSRNOT00000010238, ENSRNOT00000041175, ENSRNOT00000066431, ENSRNOT00000037519, ENSRNOT00000017867, ENSRNOT00000074810, ENSRNOT00000055970, ENSRNOT00000056145, ENSRNOT00000008303, ENSRNOT00000008104, ENSRNOT00000008901, ENSRNOT00000015179, ENSRNOT00000016423, ENSRNOT00000040672, ENSRNOT00000032252, ENSRNOT00000016740, ENSRNOT00000015296, ENSRNOT00000037389, ENSRNOT00000018960, ENSRNOT00000018244, ENSRNOT00000064140, ENSRNOT00000010601, ENSRNOT00000034599, ENSRNOT00000058308, ENSRNOT00000017713, ENSRNOT00000003001, ENSRNOT00000055048, ENSRNOT00000044279, ENSRNOT00000002837, ENSRNOT00000045765, ENSRNOT00000025018, ENSRNOT00000040637, ENSRNOT00000023637, ENSRNOT00000067939	485	1173	13309	1.6609785465060072	0.022907706754342283	0.0057934779697933715	0.0057934779697933715
GOTERM_CC_DIRECT	GO:0071565~nBAF complex	5	0.9708737864077669	7.488773383781749E-4	ENSRNOT00000009173, ENSRNOT00000016740, ENSRNOT00000013165, ENSRNOT00000010926, ENSRNOT00000064140	492	12	13147	11.133976964769648	0.31139029045858435	0.23959831526134767	0.2381549519163998
GOTERM_CC_DIRECT	GO:0042995~cell projection	16	3.1067961165048543	9.622422299652517E-4	ENSRNOT00000015179, ENSRNOT00000012432, ENSRNOT00000016784, ENSRNOT00000067414, ENSRNOT00000034401, ENSRNOT00000033978, ENSRNOT00000010127, ENSRNOT00000012875, ENSRNOT00000074695, ENSRNOT00000029701, ENSRNOT00000022387, ENSRNOT00000011937, ENSRNOT00000024430, ENSRNOT00000044278, ENSRNOT00000046746, ENSRNOT00000059680	492	160	13147	2.6721544715447156	0.38086214811357166	0.23959831526134767	0.2381549519163998
UP_SEQ_FEATURE	DOMAIN:PDZ	13	2.524271844660194	9.628227002583858E-4	ENSRNOT00000016289, ENSRNOT00000028137, ENSRNOT00000003971, ENSRNOT00000022387, ENSRNOT00000046486, ENSRNOT00000003001, ENSRNOT00000004351, ENSRNOT00000006423, ENSRNOT00000009802, ENSRNOT00000027847, ENSRNOT00000058195, ENSRNOT00000042207, ENSRNOT00000041119	485	115	13309	3.1020528910802327	0.6394484786003987	0.20392584791472612	0.20392584791472612
INTERPRO	IPR001478:PDZ	13	2.524271844660194	0.0012542850574904878	ENSRNOT00000016289, ENSRNOT00000028137, ENSRNOT00000003971, ENSRNOT00000022387, ENSRNOT00000046486, ENSRNOT00000003001, ENSRNOT00000004351, ENSRNOT00000006423, ENSRNOT00000009802, ENSRNOT00000027847, ENSRNOT00000058195, ENSRNOT00000042207, ENSRNOT00000041119	512	117	13872	3.0104166666666665	0.8375434562133461	1.0	1.0
GOTERM_MF_DIRECT	GO:0008201~heparin binding	14	2.7184466019417477	0.0013243688658941563	ENSRNOT00000014346, ENSRNOT00000018402, ENSRNOT00000025718, ENSRNOT00000067414, ENSRNOT00000042562, ENSRNOT00000010238, ENSRNOT00000033978, ENSRNOT00000033406, ENSRNOT00000001894, ENSRNOT00000007947, ENSRNOT00000024128, ENSRNOT00000002867, ENSRNOT00000014492, ENSRNOT00000046529	443	130	11632	2.8277131446431674	0.6409938053152102	0.671939051138558	0.671939051138558
INTERPRO	IPR036034:PDZ_sf	13	2.524271844660194	0.0015624069491904464	ENSRNOT00000016289, ENSRNOT00000028137, ENSRNOT00000003971, ENSRNOT00000022387, ENSRNOT00000046486, ENSRNOT00000003001, ENSRNOT00000004351, ENSRNOT00000006423, ENSRNOT00000009802, ENSRNOT00000027847, ENSRNOT00000058195, ENSRNOT00000042207, ENSRNOT00000041119	512	120	13872	2.93515625	0.8960800588675343	1.0	1.0
