Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	46	16.02787456445993	4.864448593814012E-7	ENSRNOT00000010790, ENSRNOT00000038068, ENSRNOT00000034560, ENSRNOT00000008471, ENSRNOT00000010254, ENSRNOT00000042145, ENSRNOT00000067261, ENSRNOT00000072737, ENSRNOT00000046370, ENSRNOT00000056508, ENSRNOT00000012875, ENSRNOT00000007957, ENSRNOT00000028877, ENSRNOT00000073642, ENSRNOT00000024536, ENSRNOT00000023326, ENSRNOT00000007993, ENSRNOT00000001759, ENSRNOT00000003759, ENSRNOT00000020354, ENSRNOT00000008987, ENSRNOT00000023939, ENSRNOT00000058362, ENSRNOT00000011078, ENSRNOT00000014126, ENSRNOT00000020307, ENSRNOT00000003928, ENSRNOT00000058665, ENSRNOT00000008342, ENSRNOT00000074626, ENSRNOT00000017718, ENSRNOT00000026691, ENSRNOT00000040291, ENSRNOT00000067271, ENSRNOT00000004477, ENSRNOT00000051027, ENSRNOT00000024068, ENSRNOT00000016907, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000022246, ENSRNOT00000001248, ENSRNOT00000045845, ENSRNOT00000007724, ENSRNOT00000040954	277	993	13309	2.225739017890577	4.085303100328508E-4	3.00468280549275E-4	2.9975287988130055E-4
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	57	19.860627177700348	7.154006679744643E-7	ENSRNOT00000038068, ENSRNOT00000010254, ENSRNOT00000067261, ENSRNOT00000072737, ENSRNOT00000046370, ENSRNOT00000012875, ENSRNOT00000007957, ENSRNOT00000024536, ENSRNOT00000023326, ENSRNOT00000007993, ENSRNOT00000008883, ENSRNOT00000003759, ENSRNOT00000005773, ENSRNOT00000023939, ENSRNOT00000058362, ENSRNOT00000011078, ENSRNOT00000020307, ENSRNOT00000026691, ENSRNOT00000067271, ENSRNOT00000040291, ENSRNOT00000051027, ENSRNOT00000004477, ENSRNOT00000024068, ENSRNOT00000022246, ENSRNOT00000001248, ENSRNOT00000010790, ENSRNOT00000034560, ENSRNOT00000008471, ENSRNOT00000017301, ENSRNOT00000042145, ENSRNOT00000056508, ENSRNOT00000074772, ENSRNOT00000003895, ENSRNOT00000028877, ENSRNOT00000073642, ENSRNOT00000001759, ENSRNOT00000005078, ENSRNOT00000020354, ENSRNOT00000008987, ENSRNOT00000014126, ENSRNOT00000015299, ENSRNOT00000003928, ENSRNOT00000058665, ENSRNOT00000008342, ENSRNOT00000074626, ENSRNOT00000017718, ENSRNOT00000028093, ENSRNOT00000003684, ENSRNOT00000075794, ENSRNOT00000027474, ENSRNOT00000016907, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000045845, ENSRNOT00000007724, ENSRNOT00000040954	277	1388	13309	1.9731088546489248	6.007562496737062E-4	3.00468280549275E-4	2.9975287988130055E-4
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	19	6.620209059233449	1.1317446149750943E-6	ENSRNOT00000015401, ENSRNOT00000021715, ENSRNOT00000010254, ENSRNOT00000003928, ENSRNOT00000042145, ENSRNOT00000008342, ENSRNOT00000074626, ENSRNOT00000040291, ENSRNOT00000046370, ENSRNOT00000012875, ENSRNOT00000007957, ENSRNOT00000004477, ENSRNOT00000024068, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000007993, ENSRNOT00000001759, ENSRNOT00000022246, ENSRNOT00000005773	274	226	13147	4.03386409146696	3.869819805132346E-4	3.870566583214823E-4	3.825296798615819E-4
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	58	20.209059233449477	2.8573689566908523E-6	ENSRNOT00000038068, ENSRNOT00000010254, ENSRNOT00000072737, ENSRNOT00000046370, ENSRNOT00000012875, ENSRNOT00000007957, ENSRNOT00000024536, ENSRNOT00000023326, ENSRNOT00000007993, ENSRNOT00000003759, ENSRNOT00000005773, ENSRNOT00000023939, ENSRNOT00000042117, ENSRNOT00000020307, ENSRNOT00000067271, ENSRNOT00000040291, ENSRNOT00000035906, ENSRNOT00000051027, ENSRNOT00000004477, ENSRNOT00000029312, ENSRNOT00000024068, ENSRNOT00000022246, ENSRNOT00000001248, ENSRNOT00000003788, ENSRNOT00000010790, ENSRNOT00000009240, ENSRNOT00000034560, ENSRNOT00000008471, ENSRNOT00000042145, ENSRNOT00000013703, ENSRNOT00000031331, ENSRNOT00000012610, ENSRNOT00000056508, ENSRNOT00000026895, ENSRNOT00000028877, ENSRNOT00000007773, ENSRNOT00000001759, ENSRNOT00000022532, ENSRNOT00000020354, ENSRNOT00000008987, ENSRNOT00000014126, ENSRNOT00000015299, ENSRNOT00000003928, ENSRNOT00000058665, ENSRNOT00000008342, ENSRNOT00000074626, ENSRNOT00000017718, ENSRNOT00000054910, ENSRNOT00000003684, ENSRNOT00000025137, ENSRNOT00000075794, ENSRNOT00000016907, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000015185, ENSRNOT00000008138, ENSRNOT00000045845, ENSRNOT00000007724	277	1487	13309	1.874056504143006	0.0023973151918293967	8.000633078734387E-4	7.981583952356447E-4
UP_KW_DOMAIN	KW-0812~Transmembrane	102	35.54006968641115	1.0569004912344706E-5	ENSRNOT00000038068, ENSRNOT00000034421, ENSRNOT00000046370, ENSRNOT00000012875, ENSRNOT00000007957, ENSRNOT00000028811, ENSRNOT00000008883, ENSRNOT00000003759, ENSRNOT00000005773, ENSRNOT00000023939, ENSRNOT00000039149, ENSRNOT00000058362, ENSRNOT00000020307, ENSRNOT00000043521, ENSRNOT00000019674, ENSRNOT00000055506, ENSRNOT00000011434, ENSRNOT00000051027, ENSRNOT00000028546, ENSRNOT00000024068, ENSRNOT00000027217, ENSRNOT00000015401, ENSRNOT00000034560, ENSRNOT00000008471, ENSRNOT00000017301, ENSRNOT00000032027, ENSRNOT00000056508, ENSRNOT00000074772, ENSRNOT00000050764, ENSRNOT00000024752, ENSRNOT00000026010, ENSRNOT00000020675, ENSRNOT00000005078, ENSRNOT00000008987, ENSRNOT00000001313, ENSRNOT00000014444, ENSRNOT00000008342, ENSRNOT00000028297, ENSRNOT00000017718, ENSRNOT00000003684, ENSRNOT00000027474, ENSRNOT00000016907, ENSRNOT00000010409, ENSRNOT00000066809, ENSRNOT00000009665, ENSRNOT00000045845, ENSRNOT00000005623, ENSRNOT00000040954, ENSRNOT00000010254, ENSRNOT00000041034, ENSRNOT00000067261, ENSRNOT00000072737, ENSRNOT00000056649, ENSRNOT00000001890, ENSRNOT00000024536, ENSRNOT00000023326, ENSRNOT00000007993, ENSRNOT00000005332, ENSRNOT00000007117, ENSRNOT00000011078, ENSRNOT00000036472, ENSRNOT00000043561, ENSRNOT00000026691, ENSRNOT00000067271, ENSRNOT00000040291, ENSRNOT00000004477, ENSRNOT00000027414, ENSRNOT00000047522, ENSRNOT00000022246, ENSRNOT00000006533, ENSRNOT00000001248, ENSRNOT00000003788, ENSRNOT00000041215, ENSRNOT00000010790, ENSRNOT00000042145, ENSRNOT00000013703, ENSRNOT00000003895, ENSRNOT00000028877, ENSRNOT00000073642, ENSRNOT00000001759, ENSRNOT00000022532, ENSRNOT00000020354, ENSRNOT00000029607, ENSRNOT00000023519, ENSRNOT00000014126, ENSRNOT00000037226, ENSRNOT00000015299, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000003928, ENSRNOT00000058665, ENSRNOT00000074626, ENSRNOT00000031487, ENSRNOT00000028093, ENSRNOT00000054910, ENSRNOT00000025137, ENSRNOT00000075794, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000007724, ENSRNOT00000025933	180	3515	8672	1.3980464675201516	2.007919931179547E-4	1.9068496269737437E-4	1.9068496269737437E-4
KEGG_PATHWAY	rno04020:Calcium signaling pathway	16	5.574912891986063	1.0951007881013398E-5	ENSRNOT00000042117, ENSRNOT00000014126, ENSRNOT00000032163, ENSRNOT00000006087, ENSRNOT00000003928, ENSRNOT00000042145, ENSRNOT00000074626, ENSRNOT00000007957, ENSRNOT00000028877, ENSRNOT00000004477, ENSRNOT00000024068, ENSRNOT00000016907, ENSRNOT00000001759, ENSRNOT00000001248, ENSRNOT00000068739, ENSRNOT00000007724	132	188	6063	3.909090909090909	0.0023298591059396356	0.002332564678655854	0.0023216136707748403
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	61	21.254355400696863	1.1396173170892267E-5	ENSRNOT00000038068, ENSRNOT00000012432, ENSRNOT00000010254, ENSRNOT00000032163, ENSRNOT00000072737, ENSRNOT00000046370, ENSRNOT00000012875, ENSRNOT00000007957, ENSRNOT00000024536, ENSRNOT00000023326, ENSRNOT00000007993, ENSRNOT00000003759, ENSRNOT00000005773, ENSRNOT00000007117, ENSRNOT00000023939, ENSRNOT00000058362, ENSRNOT00000011078, ENSRNOT00000026691, ENSRNOT00000067271, ENSRNOT00000040291, ENSRNOT00000051027, ENSRNOT00000004477, ENSRNOT00000029312, ENSRNOT00000021671, ENSRNOT00000024068, ENSRNOT00000047522, ENSRNOT00000024901, ENSRNOT00000022246, ENSRNOT00000001248, ENSRNOT00000010790, ENSRNOT00000034560, ENSRNOT00000008471, ENSRNOT00000017301, ENSRNOT00000042145, ENSRNOT00000056508, ENSRNOT00000003895, ENSRNOT00000028877, ENSRNOT00000073642, ENSRNOT00000001759, ENSRNOT00000005078, ENSRNOT00000020354, ENSRNOT00000068739, ENSRNOT00000003413, ENSRNOT00000014126, ENSRNOT00000015299, ENSRNOT00000067414, ENSRNOT00000058665, ENSRNOT00000008342, ENSRNOT00000074626, ENSRNOT00000017718, ENSRNOT00000028093, ENSRNOT00000003684, ENSRNOT00000025137, ENSRNOT00000016907, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000066809, ENSRNOT00000045845, ENSRNOT00000008934, ENSRNOT00000007724	210	1612	9557	1.7221345858442634	4.101804248790586E-4	4.102622341521216E-4	3.8746988781033706E-4
UP_KW_DOMAIN	KW-1133~Transmembrane helix	95	33.10104529616725	2.0072101336565723E-5	ENSRNOT00000038068, ENSRNOT00000010254, ENSRNOT00000034421, ENSRNOT00000041034, ENSRNOT00000067261, ENSRNOT00000072737, ENSRNOT00000046370, ENSRNOT00000012875, ENSRNOT00000056649, ENSRNOT00000007957, ENSRNOT00000028811, ENSRNOT00000001890, ENSRNOT00000024536, ENSRNOT00000023326, ENSRNOT00000007993, ENSRNOT00000008883, ENSRNOT00000003759, ENSRNOT00000005332, ENSRNOT00000005773, ENSRNOT00000023939, ENSRNOT00000039149, ENSRNOT00000058362, ENSRNOT00000011078, ENSRNOT00000020307, ENSRNOT00000036472, ENSRNOT00000043521, ENSRNOT00000019674, ENSRNOT00000043561, ENSRNOT00000026691, ENSRNOT00000067271, ENSRNOT00000040291, ENSRNOT00000055506, ENSRNOT00000011434, ENSRNOT00000051027, ENSRNOT00000004477, ENSRNOT00000028546, ENSRNOT00000024068, ENSRNOT00000047522, ENSRNOT00000022246, ENSRNOT00000006533, ENSRNOT00000001248, ENSRNOT00000003788, ENSRNOT00000015401, ENSRNOT00000041215, ENSRNOT00000010790, ENSRNOT00000034560, ENSRNOT00000008471, ENSRNOT00000017301, ENSRNOT00000042145, ENSRNOT00000013703, ENSRNOT00000032027, ENSRNOT00000056508, ENSRNOT00000074772, ENSRNOT00000003895, ENSRNOT00000028877, ENSRNOT00000073642, ENSRNOT00000024752, ENSRNOT00000026010, ENSRNOT00000020675, ENSRNOT00000001759, ENSRNOT00000005078, ENSRNOT00000022532, ENSRNOT00000020354, ENSRNOT00000008987, ENSRNOT00000029607, ENSRNOT00000001313, ENSRNOT00000023519, ENSRNOT00000014126, ENSRNOT00000037226, ENSRNOT00000015299, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000003928, ENSRNOT00000058665, ENSRNOT00000008342, ENSRNOT00000074626, ENSRNOT00000031487, ENSRNOT00000017718, ENSRNOT00000028093, ENSRNOT00000054910, ENSRNOT00000003684, ENSRNOT00000025137, ENSRNOT00000075794, ENSRNOT00000027474, ENSRNOT00000016907, ENSRNOT00000003240, ENSRNOT00000010409, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000066809, ENSRNOT00000009665, ENSRNOT00000045845, ENSRNOT00000007724, ENSRNOT00000025933, ENSRNOT00000040954	180	3234	8672	1.4152408438122726	3.8130103916855784E-4	1.9068496269737437E-4	1.9068496269737437E-4
KEGG_PATHWAY	rno04080:Neuroactive ligand-receptor interaction	19	6.620209059233449	3.0497370189970054E-5	ENSRNOT00000014126, ENSRNOT00000010254, ENSRNOT00000074626, ENSRNOT00000014437, ENSRNOT00000007957, ENSRNOT00000028877, ENSRNOT00000051027, ENSRNOT00000004477, ENSRNOT00000073432, ENSRNOT00000024068, ENSRNOT00000016907, ENSRNOT00000041808, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000001759, ENSRNOT00000022246, ENSRNOT00000007117, ENSRNOT00000045845, ENSRNOT00000007724	132	282	6063	3.09469696969697	0.006474985259392052	0.0032479699252318107	0.003232721240136826
GOTERM_BP_DIRECT	GO:0060078~regulation of postsynaptic membrane potential	7	2.4390243902439024	1.3141258508556525E-4	ENSRNOT00000007957, ENSRNOT00000004477, ENSRNOT00000073432, ENSRNOT00000003240, ENSRNOT00000041551, ENSRNOT00000004619, ENSRNOT00000022246	269	38	12687	8.688025826648406	0.1938865596921978	0.18312114622309844	0.18312114622309844
