Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:1990948~ubiquitin ligase inhibitor activity	7	2.7237354085603114	1.547078219022723E-8	ENSRNOT00000045156, ENSRNOT00000011333, ENSRNOT00000011314	215	11	11632	34.42875264270613	7.147475893365396E-6	7.14750137188498E-6	7.132030589694752E-6
GOTERM_BP_DIRECT	GO:1901798~positive regulation of signal transduction by p53 class mediator	6	2.3346303501945527	5.199858169092249E-7	ENSRNOT00000045156, ENSRNOT00000011314	239	10	12687	31.850209205020917	7.552542403117535E-4	7.550194061521945E-4	7.550194061521945E-4
INTERPRO	IPR018267:Ribosomal_eL37_CS	5	1.9455252918287937	5.497461784011169E-7	ENSRNOT00000045156	256	5	13872	54.1875	4.342053058595807E-4	1.4476649364562744E-4	1.4476649364562744E-4
INTERPRO	IPR011331:Ribosomal_eL37/eL43	5	1.9455252918287937	5.497461784011169E-7	ENSRNOT00000045156	256	5	13872	54.1875	4.342053058595807E-4	1.4476649364562744E-4	1.4476649364562744E-4
INTERPRO	IPR001569:Ribosomal_eL37	5	1.9455252918287937	5.497461784011169E-7	ENSRNOT00000045156	256	5	13872	54.1875	4.342053058595807E-4	1.4476649364562744E-4	1.4476649364562744E-4
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	16	6.22568093385214	3.236041627792027E-6	ENSRNOT00000025970, ENSRNOT00000027246, ENSRNOT00000025213, ENSRNOT00000017147, ENSRNOT00000014493, ENSRNOT00000004297, ENSRNOT00000045156, ENSRNOT00000064272, ENSRNOT00000011333, ENSRNOT00000011565, ENSRNOT00000027418, ENSRNOT00000011314	123	196	6505	4.317239090758255	1.9737937681707507E-4	1.9739853929531364E-4	1.9416249766752162E-4
GOTERM_MF_DIRECT	GO:0097371~MDM2/MDM4 family protein binding	6	2.3346303501945527	3.5179573279504874E-6	ENSRNOT00000045156, ENSRNOT00000011314	215	14	11632	23.18671096345515	0.0016239790610248495	8.126481427565626E-4	8.108891640925874E-4
GOTERM_BP_DIRECT	GO:0006412~translation	13	5.058365758754864	1.2609965040418714E-5	ENSRNOT00000025970, ENSRNOT00000027246, ENSRNOT00000025213, ENSRNOT00000014493, ENSRNOT00000045156, ENSRNOT00000011333, ENSRNOT00000011565, ENSRNOT00000001049, ENSRNOT00000011314	239	140	12687	4.929199043634191	0.018155560142280702	0.009154834619343986	0.009154834619343986
INTERPRO	IPR011332:Ribosomal_zn-bd	5	1.9455252918287937	2.146808081486212E-5	ENSRNOT00000045156	256	10	13872	27.09375	0.016816955298071923	0.004239945960935269	0.004239945960935269
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	12	4.669260700389105	4.1173445398878505E-5	ENSRNOT00000025970, ENSRNOT00000027246, ENSRNOT00000025213, ENSRNOT00000014493, ENSRNOT00000045156, ENSRNOT00000011333, ENSRNOT00000011565, ENSRNOT00000011314	215	136	11632	4.773734610123118	0.01884273699217287	0.00634071059142729	0.0063269861096276634
UP_SEQ_FEATURE	ZN_FING:C4-type	6	2.3346303501945527	4.719111674031467E-5	ENSRNOT00000001012, ENSRNOT00000045156	241	23	13309	14.406278188706475	0.023043314156089068	0.023312411669715448	0.023312411669715448
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	9	3.501945525291829	4.788837781609484E-5	ENSRNOT00000027246, ENSRNOT00000014493, ENSRNOT00000045156, ENSRNOT00000011333, ENSRNOT00000011314	248	70	13147	6.815841013824885	0.014830460837825798	0.01494117387862159	0.01494117387862159
KEGG_PATHWAY	rno03010:Ribosome	11	4.280155642023346	5.035118338280183E-5	ENSRNOT00000027246, ENSRNOT00000025213, ENSRNOT00000014493, ENSRNOT00000045156, ENSRNOT00000011333, ENSRNOT00000011565, ENSRNOT00000011314	124	106	6063	5.074026171637249	0.01186260871578515	0.011933230461724034	0.011933230461724034
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	12	4.669260700389105	6.430849241945482E-5	ENSRNOT00000025970, ENSRNOT00000027246, ENSRNOT00000025213, ENSRNOT00000014493, ENSRNOT00000045156, ENSRNOT00000011333, ENSRNOT00000011565, ENSRNOT00000011314	123	142	6505	4.4692545517004465	0.003915259484897238	0.0019614090187933717	0.0019292547725836445
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	5	1.9455252918287937	1.8002556060126192E-4	ENSRNOT00000045156	123	16	6505	16.52693089430894	0.010922459792255923	0.0036605197322256587	0.0036005112120252383
GOTERM_MF_DIRECT	GO:0019843~rRNA binding	6	2.3346303501945527	3.623213391220185E-4	ENSRNOT00000025213, ENSRNOT00000045156	215	34	11632	9.547469220246237	0.15415807856510977	0.04184811466859313	0.04175753433381263
KEGG_PATHWAY	rno05171:Coronavirus disease - COVID-19	11	4.280155642023346	0.002061297684468768	ENSRNOT00000010906, ENSRNOT00000027246, ENSRNOT00000010627, ENSRNOT00000014493, ENSRNOT00000045156, ENSRNOT00000011333, ENSRNOT00000011314	124	168	6063	3.2014688940092166	0.38678013970663494	0.24426377560954898	0.24426377560954898
UP_KW_DOMAIN	KW-1133~Transmembrane helix	79	30.739299610894943	0.0028263276627526206	ENSRNOT00000017369, ENSRNOT00000017400, ENSRNOT00000034421, ENSRNOT00000042562, ENSRNOT00000074558, ENSRNOT00000033017, ENSRNOT00000019666, ENSRNOT00000067261, ENSRNOT00000033537, ENSRNOT00000057738, ENSRNOT00000017090, ENSRNOT00000044020, ENSRNOT00000001012, ENSRNOT00000001890, ENSRNOT00000045156, ENSRNOT00000044467, ENSRNOT00000005773, ENSRNOT00000002987, ENSRNOT00000035142, ENSRNOT00000016645, ENSRNOT00000066940, ENSRNOT00000011799, ENSRNOT00000026173, ENSRNOT00000059813, ENSRNOT00000070920, ENSRNOT00000032558, ENSRNOT00000028665, ENSRNOT00000004477, ENSRNOT00000025510, ENSRNOT00000055588, ENSRNOT00000031904, ENSRNOT00000010627, ENSRNOT00000044895, ENSRNOT00000020265, ENSRNOT00000001449, ENSRNOT00000003901, ENSRNOT00000031291, ENSRNOT00000014038, ENSRNOT00000068535, ENSRNOT00000060971, ENSRNOT00000025928, ENSRNOT00000010238, ENSRNOT00000035335, ENSRNOT00000074657, ENSRNOT00000016739, ENSRNOT00000033958, ENSRNOT00000010638, ENSRNOT00000026572, ENSRNOT00000005719, ENSRNOT00000020476, ENSRNOT00000021764, ENSRNOT00000008106, ENSRNOT00000055570, ENSRNOT00000047439, ENSRNOT00000043518, ENSRNOT00000011134, ENSRNOT00000015692, ENSRNOT00000061234, ENSRNOT00000066084, ENSRNOT00000010367, ENSRNOT00000011539, ENSRNOT00000019386, ENSRNOT00000022142, ENSRNOT00000000018, ENSRNOT00000023952, ENSRNOT00000008138, ENSRNOT00000009665, ENSRNOT00000028889, ENSRNOT00000028328, ENSRNOT00000020206, ENSRNOT00000063938, ENSRNOT00000003128, ENSRNOT00000009987, ENSRNOT00000005348, ENSRNOT00000040954	163	3234	8672	1.2996270454640306	0.05503424039700777	0.05652655325505241	0.05652655325505241
GOTERM_BP_DIRECT	GO:0042776~proton motive force-driven mitochondrial ATP synthesis	4	1.556420233463035	0.004318868142329621	ENSRNOT00000004836, ENSRNOT00000004228, ENSRNOT00000002732, ENSRNOT00000033537	239	18	12687	11.796373779637378	0.9981432092497291	1.0	1.0
GOTERM_MF_DIRECT	GO:0019838~growth factor binding	5	1.9455252918287937	0.005534500166815722	ENSRNOT00000045156	215	39	11632	6.936195587358378	0.9230070163516029	0.5113878154137728	0.5102809153804096
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	6	2.3346303501945527	0.005683427511283712	ENSRNOT00000014493, ENSRNOT00000045156	248	61	13147	5.214304600740349	0.8310728240004749	0.8866146917602591	0.8866146917602591
GOTERM_MF_DIRECT	GO:0008201~heparin binding	8	3.11284046692607	0.010158063231386554	ENSRNOT00000016645, ENSRNOT00000022716, ENSRNOT00000015395, ENSRNOT00000004241, ENSRNOT00000042562, ENSRNOT00000041551, ENSRNOT00000010238, ENSRNOT00000011168	215	130	11632	3.3293738819320216	0.9910582494208174	0.7783315480784796	0.7766468477579634
GOTERM_MF_DIRECT	GO:0003723~RNA binding	19	7.392996108949417	0.011792902243613327	ENSRNOT00000021648, ENSRNOT00000038154, ENSRNOT00000034266, ENSRNOT00000004350, ENSRNOT00000041470, ENSRNOT00000011565, ENSRNOT00000011314, ENSRNOT00000027246, ENSRNOT00000045041, ENSRNOT00000045156, ENSRNOT00000047741, ENSRNOT00000025782, ENSRNOT00000008355, ENSRNOT00000027418, ENSRNOT00000020401	215	545	11632	1.8861361211862597	0.9958335937273541	0.7783315480784796	0.7766468477579634
