Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	19	3.7037037037037033	3.3762408859317513E-4	ENSRNOT00000017147, ENSRNOT00000064272, ENSRNOT00000074978, ENSRNOT00000011565, ENSRNOT00000019129, ENSRNOT00000024380, ENSRNOT00000011314, ENSRNOT00000051564, ENSRNOT00000027246, ENSRNOT00000028555, ENSRNOT00000025421, ENSRNOT00000034708, ENSRNOT00000004297, ENSRNOT00000020020, ENSRNOT00000027662, ENSRNOT00000023286, ENSRNOT00000005089, ENSRNOT00000004947, ENSRNOT00000027418	243	196	6505	2.5950071386579325	0.0250080673589419	0.025321806644488135	0.025321806644488135
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	15	2.923976608187134	7.645716251022337E-4	ENSRNOT00000074978, ENSRNOT00000011565, ENSRNOT00000019129, ENSRNOT00000024380, ENSRNOT00000011314, ENSRNOT00000051564, ENSRNOT00000027246, ENSRNOT00000028555, ENSRNOT00000025421, ENSRNOT00000034708, ENSRNOT00000020020, ENSRNOT00000027662, ENSRNOT00000023286, ENSRNOT00000005089, ENSRNOT00000004947	243	142	6505	2.8277690836376284	0.05575045988695149	0.028671435941333763	0.028671435941333763
KEGG_PATHWAY	rno04725:Cholinergic synapse	11	2.144249512670565	0.001018504220535558	ENSRNOT00000028720, ENSRNOT00000075651, ENSRNOT00000024785, ENSRNOT00000026373, ENSRNOT00000028200, ENSRNOT00000007771, ENSRNOT00000007498, ENSRNOT00000013933, ENSRNOT00000075504, ENSRNOT00000001911, ENSRNOT00000040645	241	79	6063	3.5029675928357578	0.2520518531450352	0.29027370285263404	0.29027370285263404
UP_SEQ_FEATURE	COMPBIAS:Pro residues	64	12.475633528265107	0.0014182837520477875	ENSRNOT00000066855, ENSRNOT00000040983, ENSRNOT00000060432, ENSRNOT00000034102, ENSRNOT00000067546, ENSRNOT00000043210, ENSRNOT00000025391, ENSRNOT00000013009, ENSRNOT00000034389, ENSRNOT00000045233, ENSRNOT00000055310, ENSRNOT00000005773, ENSRNOT00000002984, ENSRNOT00000027208, ENSRNOT00000004524, ENSRNOT00000043201, ENSRNOT00000070885, ENSRNOT00000025281, ENSRNOT00000071251, ENSRNOT00000028546, ENSRNOT00000030617, ENSRNOT00000075777, ENSRNOT00000010826, ENSRNOT00000001084, ENSRNOT00000027893, ENSRNOT00000057368, ENSRNOT00000072389, ENSRNOT00000001360, ENSRNOT00000008355, ENSRNOT00000007424, ENSRNOT00000026327, ENSRNOT00000061616, ENSRNOT00000039777, ENSRNOT00000040488, ENSRNOT00000065867, ENSRNOT00000065145, ENSRNOT00000017102, ENSRNOT00000033551, ENSRNOT00000042143, ENSRNOT00000010238, ENSRNOT00000041175, ENSRNOT00000037756, ENSRNOT00000026580, ENSRNOT00000030246, ENSRNOT00000013621, ENSRNOT00000015205, ENSRNOT00000034609, ENSRNOT00000056622, ENSRNOT00000044565, ENSRNOT00000008303, ENSRNOT00000001911, ENSRNOT00000021883, ENSRNOT00000020673, ENSRNOT00000033064, ENSRNOT00000011094, ENSRNOT00000061070, ENSRNOT00000031488, ENSRNOT00000071074, ENSRNOT00000024568, ENSRNOT00000023995, ENSRNOT00000023637, ENSRNOT00000026107, ENSRNOT00000022669, ENSRNOT00000026669	491	1173	13309	1.4789241296447737	0.7282597548459725	1.0	1.0
GOTERM_BP_DIRECT	GO:0051260~protein homooligomerization	11	2.144249512670565	0.002211714798358046	ENSRNOT00000026960, ENSRNOT00000026897, ENSRNOT00000071494, ENSRNOT00000054830, ENSRNOT00000010419, ENSRNOT00000064272, ENSRNOT00000005773, ENSRNOT00000064671, ENSRNOT00000033327, ENSRNOT00000067838, ENSRNOT00000030931	469	93	12687	3.1996010729761335	0.9968318672122596	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	73	14.230019493177387	0.003241186684872664	ENSRNOT00000017965, ENSRNOT00000008253, ENSRNOT00000010171, ENSRNOT00000064596, ENSRNOT00000037895, ENSRNOT00000067546, ENSRNOT00000064272, ENSRNOT00000027370, ENSRNOT00000034389, ENSRNOT00000012875, ENSRNOT00000025421, ENSRNOT00000027246, ENSRNOT00000029587, ENSRNOT00000045233, ENSRNOT00000019672, ENSRNOT00000026354, ENSRNOT00000045356, ENSRNOT00000005773, ENSRNOT00000021548, ENSRNOT00000033200, ENSRNOT00000025281, ENSRNOT00000013933, ENSRNOT00000038537, ENSRNOT00000011314, ENSRNOT00000026960, ENSRNOT00000075651, ENSRNOT00000010826, ENSRNOT00000023452, ENSRNOT00000027893, ENSRNOT00000022049, ENSRNOT00000015283, ENSRNOT00000027734, ENSRNOT00000026327, ENSRNOT00000001766, ENSRNOT00000018073, ENSRNOT00000025878, ENSRNOT00000025608, ENSRNOT00000068535, ENSRNOT00000017102, ENSRNOT00000041175, ENSRNOT00000026063, ENSRNOT00000013621, ENSRNOT00000011049, ENSRNOT00000067483, ENSRNOT00000034609, ENSRNOT00000006607, ENSRNOT00000026373, ENSRNOT00000049337, ENSRNOT00000046102, ENSRNOT00000021285, ENSRNOT00000024711, ENSRNOT00000057992, ENSRNOT00000040645, ENSRNOT00000025801, ENSRNOT00000022627, ENSRNOT00000040430, ENSRNOT00000041168, ENSRNOT00000006087, ENSRNOT00000061233, ENSRNOT00000011052, ENSRNOT00000028373, ENSRNOT00000026152, ENSRNOT00000031842, ENSRNOT00000005624, ENSRNOT00000028720, ENSRNOT00000026862, ENSRNOT00000027474, ENSRNOT00000028200, ENSRNOT00000054830, ENSRNOT00000023078, ENSRNOT00000028685, ENSRNOT00000008576, ENSRNOT00000007249, ENSRNOT00000028328	439	1397	11632	1.3845744949721417	0.9301977880950655	1.0	1.0
GOTERM_BP_DIRECT	GO:0003333~amino acid transmembrane transport	6	1.1695906432748537	0.003813929728917423	ENSRNOT00000019618, ENSRNOT00000008342, ENSRNOT00000023623, ENSRNOT00000008138, ENSRNOT00000036717, ENSRNOT00000015205	469	29	12687	5.596794353356371	0.9999513740962672	1.0	1.0
INTERPRO	IPR005331:Sulfotransferase	4	0.7797270955165692	0.004886176306978733	ENSRNOT00000022003, ENSRNOT00000019966, ENSRNOT00000012017, ENSRNOT00000017714	511	10	13872	10.858708414872797	0.9991397074337727	1.0	1.0
GOTERM_BP_DIRECT	GO:0060081~membrane hyperpolarization	4	0.7797270955165692	0.004930295405179474	ENSRNOT00000040430, ENSRNOT00000021285, ENSRNOT00000024711, ENSRNOT00000005773	469	10	12687	10.82046908315565	0.9999973621067524	1.0	1.0
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	13	2.53411306042885	0.005222932949764211	ENSRNOT00000074978, ENSRNOT00000011565, ENSRNOT00000019129, ENSRNOT00000024380, ENSRNOT00000011314, ENSRNOT00000051564, ENSRNOT00000027246, ENSRNOT00000028555, ENSRNOT00000025421, ENSRNOT00000020020, ENSRNOT00000027662, ENSRNOT00000005089, ENSRNOT00000004947	439	136	11632	2.5327616240117914	0.9863501741723071	1.0	1.0
