Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno05033:Nicotine addiction	8	2.1621621621621623	1.4178054566335947E-5	ENSRNOT00000022383, ENSRNOT00000051883, ENSRNOT00000004477, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725	165	31	6063	9.482697947214078	0.0036936600681132248	0.003700472241813682	0.003700472241813682
INTERPRO	IPR018000:Neurotransmitter_ion_chnl_CS	7	1.891891891891892	2.0203805093517058E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	369	33	13872	7.974377925597437	0.19719027612649975	0.03725423999164166	0.03725423999164166
UP_SEQ_FEATURE	DOMAIN:Neurotransmitter-gated ion-channel ligand-binding	7	1.891891891891892	2.2506637766442404E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	350	34	13309	7.828823529411765	0.14827399005808617	0.057742161969857674	0.05766117717046096
UP_SEQ_FEATURE	DOMAIN:Neurotransmitter-gated ion-channel transmembrane	7	1.891891891891892	2.2506637766442404E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	350	34	13309	7.828823529411765	0.14827399005808617	0.057742161969857674	0.05766117717046096
INTERPRO	IPR006202:Neur_chan_lig-bd	7	1.891891891891892	2.399077092378028E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	369	34	13872	7.739837398373983	0.22957345770277315	0.03725423999164166	0.03725423999164166
INTERPRO	IPR006201:Neur_channel	7	1.891891891891892	2.399077092378028E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	369	34	13872	7.739837398373983	0.22957345770277315	0.03725423999164166	0.03725423999164166
INTERPRO	IPR006029:Neurotrans-gated_channel_TM	7	1.891891891891892	2.399077092378028E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	369	34	13872	7.739837398373983	0.22957345770277315	0.03725423999164166	0.03725423999164166
INTERPRO	IPR036734:Neur_chan_lig-bd_sf	7	1.891891891891892	2.399077092378028E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	369	34	13872	7.739837398373983	0.22957345770277315	0.03725423999164166	0.03725423999164166
INTERPRO	IPR038050:Neuro_actylchol_rec	7	1.891891891891892	2.399077092378028E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	369	34	13872	7.739837398373983	0.22957345770277315	0.03725423999164166	0.03725423999164166
INTERPRO	IPR036719:Neuro-gated_channel_TM_sf	7	1.891891891891892	2.399077092378028E-4	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000019307	369	34	13872	7.739837398373983	0.22957345770277315	0.03725423999164166	0.03725423999164166
