Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-1133~Transmembrane helix	120	29.7029702970297	3.810853471389377E-4	ENSRNOT00000016037, ENSRNOT00000041753, ENSRNOT00000013721, ENSRNOT00000019305, ENSRNOT00000033219, ENSRNOT00000046370, ENSRNOT00000017090, ENSRNOT00000026633, ENSRNOT00000044582, ENSRNOT00000001054, ENSRNOT00000000083, ENSRNOT00000028496, ENSRNOT00000003593, ENSRNOT00000022951, ENSRNOT00000018583, ENSRNOT00000020497, ENSRNOT00000016688, ENSRNOT00000010463, ENSRNOT00000025718, ENSRNOT00000033285, ENSRNOT00000066663, ENSRNOT00000006186, ENSRNOT00000008364, ENSRNOT00000014827, ENSRNOT00000014309, ENSRNOT00000067992, ENSRNOT00000003191, ENSRNOT00000033969, ENSRNOT00000024581, ENSRNOT00000055588, ENSRNOT00000055343, ENSRNOT00000001602, ENSRNOT00000052075, ENSRNOT00000001207, ENSRNOT00000015401, ENSRNOT00000014038, ENSRNOT00000068535, ENSRNOT00000017828, ENSRNOT00000042181, ENSRNOT00000013987, ENSRNOT00000010510, ENSRNOT00000026654, ENSRNOT00000026897, ENSRNOT00000067849, ENSRNOT00000004703, ENSRNOT00000008987, ENSRNOT00000001313, ENSRNOT00000015498, ENSRNOT00000036212, ENSRNOT00000066084, ENSRNOT00000036738, ENSRNOT00000000177, ENSRNOT00000049127, ENSRNOT00000027474, ENSRNOT00000057422, ENSRNOT00000023952, ENSRNOT00000060943, ENSRNOT00000006796, ENSRNOT00000059280, ENSRNOT00000028328, ENSRNOT00000006798, ENSRNOT00000000336, ENSRNOT00000040954, ENSRNOT00000010375, ENSRNOT00000010254, ENSRNOT00000003283, ENSRNOT00000043693, ENSRNOT00000065001, ENSRNOT00000067261, ENSRNOT00000012676, ENSRNOT00000006306, ENSRNOT00000001012, ENSRNOT00000001890, ENSRNOT00000009897, ENSRNOT00000002987, ENSRNOT00000001533, ENSRNOT00000036990, ENSRNOT00000015432, ENSRNOT00000064840, ENSRNOT00000033525, ENSRNOT00000017858, ENSRNOT00000030656, ENSRNOT00000073276, ENSRNOT00000013817, ENSRNOT00000023211, ENSRNOT00000041709, ENSRNOT00000001008, ENSRNOT00000009489, ENSRNOT00000004359, ENSRNOT00000010672, ENSRNOT00000063962, ENSRNOT00000015560, ENSRNOT00000013703, ENSRNOT00000027031, ENSRNOT00000014359, ENSRNOT00000032108, ENSRNOT00000047550, ENSRNOT00000028752, ENSRNOT00000039261, ENSRNOT00000020870, ENSRNOT00000040645, ENSRNOT00000071917, ENSRNOT00000015299, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000007572, ENSRNOT00000038433, ENSRNOT00000010601, ENSRNOT00000027681, ENSRNOT00000067097, ENSRNOT00000000495, ENSRNOT00000007604, ENSRNOT00000049683, ENSRNOT00000048754, ENSRNOT00000024564, ENSRNOT00000005829, ENSRNOT00000003240, ENSRNOT00000041606, ENSRNOT00000020767, ENSRNOT00000009987	250	3234	8672	1.2871243042671614	0.008728318622501008	0.008764962984195566	0.008764962984195566
UP_KW_DOMAIN	KW-0812~Transmembrane	126	31.18811881188119	0.0010952268721900291	ENSRNOT00000016037, ENSRNOT00000041753, ENSRNOT00000013721, ENSRNOT00000019305, ENSRNOT00000046370, ENSRNOT00000017090, ENSRNOT00000026633, ENSRNOT00000044582, ENSRNOT00000013608, ENSRNOT00000001054, ENSRNOT00000000083, ENSRNOT00000028496, ENSRNOT00000003593, ENSRNOT00000022951, ENSRNOT00000018583, ENSRNOT00000020497, ENSRNOT00000016688, ENSRNOT00000010463, ENSRNOT00000025718, ENSRNOT00000033285, ENSRNOT00000066663, ENSRNOT00000006186, ENSRNOT00000008364, ENSRNOT00000014827, ENSRNOT00000014309, ENSRNOT00000067992, ENSRNOT00000003191, ENSRNOT00000033969, ENSRNOT00000024581, ENSRNOT00000055588, ENSRNOT00000055343, ENSRNOT00000001602, ENSRNOT00000052075, ENSRNOT00000001207, ENSRNOT00000015401, ENSRNOT00000014038, ENSRNOT00000068535, ENSRNOT00000017828, ENSRNOT00000019966, ENSRNOT00000042181, ENSRNOT00000013987, ENSRNOT00000010510, ENSRNOT00000065261, ENSRNOT00000026654, ENSRNOT00000026897, ENSRNOT00000003857, ENSRNOT00000004703, ENSRNOT00000021921, ENSRNOT00000008987, ENSRNOT00000001313, ENSRNOT00000015498, ENSRNOT00000036212, ENSRNOT00000066084, ENSRNOT00000036738, ENSRNOT00000000177, ENSRNOT00000049127, ENSRNOT00000027474, ENSRNOT00000057422, ENSRNOT00000023952, ENSRNOT00000060943, ENSRNOT00000006796, ENSRNOT00000059280, ENSRNOT00000028328, ENSRNOT00000006798, ENSRNOT00000000336, ENSRNOT00000005623, ENSRNOT00000040954, ENSRNOT00000039115, ENSRNOT00000010375, ENSRNOT00000010254, ENSRNOT00000003283, ENSRNOT00000043693, ENSRNOT00000065001, ENSRNOT00000067261, ENSRNOT00000012676, ENSRNOT00000006306, ENSRNOT00000001012, ENSRNOT00000001890, ENSRNOT00000009897, ENSRNOT00000002987, ENSRNOT00000001533, ENSRNOT00000036990, ENSRNOT00000015432, ENSRNOT00000064840, ENSRNOT00000033525, ENSRNOT00000017858, ENSRNOT00000030656, ENSRNOT00000073276, ENSRNOT00000013817, ENSRNOT00000023211, ENSRNOT00000041709, ENSRNOT00000021670, ENSRNOT00000001008, ENSRNOT00000009489, ENSRNOT00000004359, ENSRNOT00000010672, ENSRNOT00000063962, ENSRNOT00000015560, ENSRNOT00000013703, ENSRNOT00000027031, ENSRNOT00000014359, ENSRNOT00000032108, ENSRNOT00000047550, ENSRNOT00000028752, ENSRNOT00000039261, ENSRNOT00000020870, ENSRNOT00000040645, ENSRNOT00000071917, ENSRNOT00000015299, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000007572, ENSRNOT00000038433, ENSRNOT00000010601, ENSRNOT00000027681, ENSRNOT00000067097, ENSRNOT00000000495, ENSRNOT00000007604, ENSRNOT00000049683, ENSRNOT00000048754, ENSRNOT00000024564, ENSRNOT00000005829, ENSRNOT00000003240, ENSRNOT00000041606, ENSRNOT00000020767, ENSRNOT00000009987	250	3515	8672	1.2434389758179232	0.02488905297989119	0.012595109030185335	0.012595109030185335
GOTERM_BP_DIRECT	GO:0042759~long-chain fatty acid biosynthetic process	4	0.9900990099009901	0.001898868012363883	ENSRNOT00000016688, ENSRNOT00000003283, ENSRNOT00000035402, ENSRNOT00000004359	377	9	12687	14.956675508399647	0.9845489278948247	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	176	43.56435643564357	0.0033004061276600853	ENSRNOT00000016037, ENSRNOT00000041753, ENSRNOT00000023090, ENSRNOT00000004172, ENSRNOT00000013721, ENSRNOT00000019305, ENSRNOT00000033219, ENSRNOT00000046370, ENSRNOT00000017090, ENSRNOT00000075400, ENSRNOT00000001696, ENSRNOT00000026633, ENSRNOT00000044582, ENSRNOT00000013608, ENSRNOT00000001054, ENSRNOT00000000083, ENSRNOT00000028496, ENSRNOT00000003593, ENSRNOT00000017770, ENSRNOT00000022951, ENSRNOT00000018583, ENSRNOT00000020497, ENSRNOT00000005258, ENSRNOT00000016688, ENSRNOT00000010463, ENSRNOT00000025718, ENSRNOT00000015871, ENSRNOT00000008120, ENSRNOT00000033285, ENSRNOT00000066663, ENSRNOT00000006186, ENSRNOT00000008364, ENSRNOT00000014827, ENSRNOT00000014309, ENSRNOT00000067992, ENSRNOT00000003191, ENSRNOT00000033969, ENSRNOT00000049344, ENSRNOT00000024581, ENSRNOT00000055588, ENSRNOT00000010989, ENSRNOT00000047200, ENSRNOT00000055343, ENSRNOT00000024901, ENSRNOT00000066708, ENSRNOT00000005881, ENSRNOT00000001602, ENSRNOT00000052075, ENSRNOT00000001207, ENSRNOT00000005366, ENSRNOT00000015401, ENSRNOT00000014038, ENSRNOT00000068535, ENSRNOT00000043554, ENSRNOT00000017828, ENSRNOT00000012655, ENSRNOT00000019966, ENSRNOT00000042181, ENSRNOT00000013987, ENSRNOT00000010510, ENSRNOT00000065261, ENSRNOT00000008507, ENSRNOT00000023383, ENSRNOT00000026654, ENSRNOT00000026897, ENSRNOT00000003857, ENSRNOT00000067849, ENSRNOT00000004703, ENSRNOT00000021921, ENSRNOT00000008987, ENSRNOT00000001797, ENSRNOT00000001313, ENSRNOT00000013354, ENSRNOT00000015498, ENSRNOT00000036212, ENSRNOT00000000181, ENSRNOT00000066084, ENSRNOT00000036738, ENSRNOT00000054958, ENSRNOT00000031842, ENSRNOT00000000177, ENSRNOT00000049127, ENSRNOT00000027474, ENSRNOT00000057422, ENSRNOT00000023952, ENSRNOT00000060943, ENSRNOT00000006796, ENSRNOT00000059280, ENSRNOT00000028328, ENSRNOT00000006798, ENSRNOT00000000336, ENSRNOT00000005623, ENSRNOT00000040954, ENSRNOT00000039115, ENSRNOT00000065921, ENSRNOT00000010375, ENSRNOT00000010254, ENSRNOT00000003283, ENSRNOT00000043693, ENSRNOT00000065001, ENSRNOT00000067261, ENSRNOT00000013005, ENSRNOT00000012676, ENSRNOT00000006306, ENSRNOT00000001012, ENSRNOT00000001890, ENSRNOT00000009897, ENSRNOT00000044788, ENSRNOT00000002987, ENSRNOT00000001533, ENSRNOT00000036990, ENSRNOT00000015432, ENSRNOT00000020505, ENSRNOT00000007472, ENSRNOT00000064840, ENSRNOT00000011999, ENSRNOT00000033525, ENSRNOT00000017858, ENSRNOT00000030656, ENSRNOT00000057845, ENSRNOT00000073276, ENSRNOT00000013817, ENSRNOT00000023211, ENSRNOT00000041709, ENSRNOT00000021670, ENSRNOT00000001008, ENSRNOT00000009489, ENSRNOT00000004359, ENSRNOT00000009084, ENSRNOT00000015322, ENSRNOT00000010672, ENSRNOT00000063962, ENSRNOT00000015560, ENSRNOT00000067920, ENSRNOT00000013703, ENSRNOT00000027031, ENSRNOT00000014359, ENSRNOT00000023072, ENSRNOT00000024280, ENSRNOT00000032108, ENSRNOT00000028084, ENSRNOT00000003412, ENSRNOT00000025245, ENSRNOT00000047550, ENSRNOT00000028752, ENSRNOT00000039261, ENSRNOT00000020870, ENSRNOT00000020910, ENSRNOT00000040645, ENSRNOT00000068739, ENSRNOT00000006800, ENSRNOT00000003413, ENSRNOT00000071917, ENSRNOT00000015299, ENSRNOT00000043345, ENSRNOT00000006087, ENSRNOT00000020926, ENSRNOT00000067414, ENSRNOT00000007572, ENSRNOT00000038433, ENSRNOT00000010601, ENSRNOT00000027681, ENSRNOT00000072849, ENSRNOT00000015612, ENSRNOT00000067097, ENSRNOT00000000495, ENSRNOT00000007604, ENSRNOT00000049683, ENSRNOT00000048754, ENSRNOT00000024564, ENSRNOT00000005829, ENSRNOT00000003240, ENSRNOT00000041606, ENSRNOT00000020767, ENSRNOT00000008934, ENSRNOT00000009987	301	4823	9557	1.158645278748081	0.11805258971733457	0.12541543285108325	0.12541543285108325
UP_SEQ_FEATURE	ACT_SITE:Nucleophile	14	3.4653465346534658	0.003730924365573486	ENSRNOT00000016688, ENSRNOT00000007164, ENSRNOT00000010183, ENSRNOT00000020926, ENSRNOT00000013703, ENSRNOT00000054958, ENSRNOT00000012720, ENSRNOT00000013005, ENSRNOT00000049344, ENSRNOT00000024840, ENSRNOT00000022661, ENSRNOT00000028752, ENSRNOT00000020767, ENSRNOT00000004448	386	191	13309	2.527276673086835	0.9560580466211193	1.0	1.0
GOTERM_BP_DIRECT	GO:0046849~bone remodeling	5	1.2376237623762376	0.0043008678646149125	ENSRNOT00000025718, ENSRNOT00000001054, ENSRNOT00000058887, ENSRNOT00000006148, ENSRNOT00000007822	377	23	12687	7.315765194325914	0.9999218166761421	1.0	1.0
INTERPRO	IPR047155:COMMD4/6/7/8	3	0.7425742574257426	0.004811820152499868	ENSRNOT00000014038, ENSRNOT00000057830, ENSRNOT00000064903	402	4	13872	25.88059701492537	0.9975577181337392	1.0	1.0
INTERPRO	IPR032778:GF_recep_IV	3	0.7425742574257426	0.004811820152499868	ENSRNOT00000006087, ENSRNOT00000006796, ENSRNOT00000015845	402	4	13872	25.88059701492537	0.9975577181337392	1.0	1.0
GOTERM_CC_DIRECT	GO:0098559~cytoplasmic side of early endosome membrane	3	0.7425742574257426	0.004935213225693194	ENSRNOT00000003412, ENSRNOT00000005258, ENSRNOT00000008934	386	4	13147	25.544689119170982	0.8826081607023797	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical	126	31.18811881188119	0.005179569322096846	ENSRNOT00000016037, ENSRNOT00000041753, ENSRNOT00000013721, ENSRNOT00000019305, ENSRNOT00000033219, ENSRNOT00000046370, ENSRNOT00000017090, ENSRNOT00000026633, ENSRNOT00000044582, ENSRNOT00000013608, ENSRNOT00000001054, ENSRNOT00000000083, ENSRNOT00000028496, ENSRNOT00000003593, ENSRNOT00000022951, ENSRNOT00000018583, ENSRNOT00000016688, ENSRNOT00000010463, ENSRNOT00000025718, ENSRNOT00000033285, ENSRNOT00000066663, ENSRNOT00000006186, ENSRNOT00000008364, ENSRNOT00000014827, ENSRNOT00000014309, ENSRNOT00000067992, ENSRNOT00000003191, ENSRNOT00000033969, ENSRNOT00000024581, ENSRNOT00000055588, ENSRNOT00000010989, ENSRNOT00000055343, ENSRNOT00000001602, ENSRNOT00000052075, ENSRNOT00000001207, ENSRNOT00000015401, ENSRNOT00000014038, ENSRNOT00000068535, ENSRNOT00000017828, ENSRNOT00000042181, ENSRNOT00000013987, ENSRNOT00000065261, ENSRNOT00000026654, ENSRNOT00000026897, ENSRNOT00000003857, ENSRNOT00000067849, ENSRNOT00000021921, ENSRNOT00000008987, ENSRNOT00000001797, ENSRNOT00000001313, ENSRNOT00000015498, ENSRNOT00000036212, ENSRNOT00000066084, ENSRNOT00000036738, ENSRNOT00000000177, ENSRNOT00000049127, ENSRNOT00000027474, ENSRNOT00000057422, ENSRNOT00000023952, ENSRNOT00000060943, ENSRNOT00000006796, ENSRNOT00000059280, ENSRNOT00000028328, ENSRNOT00000006798, ENSRNOT00000000336, ENSRNOT00000005623, ENSRNOT00000040954, ENSRNOT00000039115, ENSRNOT00000010375, ENSRNOT00000010254, ENSRNOT00000003283, ENSRNOT00000043693, ENSRNOT00000065001, ENSRNOT00000067261, ENSRNOT00000012676, ENSRNOT00000006306, ENSRNOT00000001012, ENSRNOT00000001890, ENSRNOT00000009897, ENSRNOT00000002987, ENSRNOT00000001533, ENSRNOT00000036990, ENSRNOT00000015432, ENSRNOT00000064840, ENSRNOT00000033525, ENSRNOT00000017858, ENSRNOT00000030656, ENSRNOT00000073276, ENSRNOT00000013817, ENSRNOT00000023211, ENSRNOT00000041709, ENSRNOT00000021670, ENSRNOT00000001008, ENSRNOT00000009489, ENSRNOT00000004359, ENSRNOT00000009084, ENSRNOT00000010672, ENSRNOT00000063962, ENSRNOT00000067920, ENSRNOT00000013703, ENSRNOT00000027031, ENSRNOT00000014359, ENSRNOT00000032108, ENSRNOT00000047550, ENSRNOT00000028752, ENSRNOT00000039261, ENSRNOT00000020870, ENSRNOT00000040645, ENSRNOT00000071917, ENSRNOT00000015299, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000007572, ENSRNOT00000038433, ENSRNOT00000010601, ENSRNOT00000027681, ENSRNOT00000067097, ENSRNOT00000000495, ENSRNOT00000007604, ENSRNOT00000049683, ENSRNOT00000048754, ENSRNOT00000024564, ENSRNOT00000005829, ENSRNOT00000003240, ENSRNOT00000041606, ENSRNOT00000009987	386	3534	13309	1.2293119980295046	0.9869813574346452	1.0	1.0
