Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-1133~Transmembrane helix	107	27.506426735218508	0.0020745591721874073	ENSRNOT00000041753, ENSRNOT00000006195, ENSRNOT00000030065, ENSRNOT00000064752, ENSRNOT00000031432, ENSRNOT00000012875, ENSRNOT00000034708, ENSRNOT00000028496, ENSRNOT00000009612, ENSRNOT00000005773, ENSRNOT00000024736, ENSRNOT00000043521, ENSRNOT00000043365, ENSRNOT00000011799, ENSRNOT00000004163, ENSRNOT00000033969, ENSRNOT00000026883, ENSRNOT00000028546, ENSRNOT00000055588, ENSRNOT00000023256, ENSRNOT00000073236, ENSRNOT00000023896, ENSRNOT00000001602, ENSRNOT00000006610, ENSRNOT00000004834, ENSRNOT00000003228, ENSRNOT00000004955, ENSRNOT00000015401, ENSRNOT00000031291, ENSRNOT00000014038, ENSRNOT00000010594, ENSRNOT00000010238, ENSRNOT00000032027, ENSRNOT00000026262, ENSRNOT00000016739, ENSRNOT00000013225, ENSRNOT00000014713, ENSRNOT00000019171, ENSRNOT00000074772, ENSRNOT00000057953, ENSRNOT00000021764, ENSRNOT00000005630, ENSRNOT00000075341, ENSRNOT00000018083, ENSRNOT00000032015, ENSRNOT00000014600, ENSRNOT00000028290, ENSRNOT00000012942, ENSRNOT00000010927, ENSRNOT00000004256, ENSRNOT00000028287, ENSRNOT00000026387, ENSRNOT00000045845, ENSRNOT00000020566, ENSRNOT00000040954, ENSRNOT00000015384, ENSRNOT00000033017, ENSRNOT00000035317, ENSRNOT00000033537, ENSRNOT00000057738, ENSRNOT00000010938, ENSRNOT00000001014, ENSRNOT00000046325, ENSRNOT00000009139, ENSRNOT00000044945, ENSRNOT00000068407, ENSRNOT00000036472, ENSRNOT00000064840, ENSRNOT00000065494, ENSRNOT00000043561, ENSRNOT00000030532, ENSRNOT00000004477, ENSRNOT00000031904, ENSRNOT00000074082, ENSRNOT00000022246, ENSRNOT00000072181, ENSRNOT00000000831, ENSRNOT00000006491, ENSRNOT00000015961, ENSRNOT00000013703, ENSRNOT00000014912, ENSRNOT00000019129, ENSRNOT00000073642, ENSRNOT00000028752, ENSRNOT00000020476, ENSRNOT00000001759, ENSRNOT00000037482, ENSRNOT00000036392, ENSRNOT00000055570, ENSRNOT00000043518, ENSRNOT00000005556, ENSRNOT00000013036, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000031640, ENSRNOT00000031488, ENSRNOT00000031889, ENSRNOT00000036819, ENSRNOT00000049044, ENSRNOT00000024323, ENSRNOT00000002790, ENSRNOT00000003240, ENSRNOT00000025254, ENSRNOT00000008138, ENSRNOT00000049448, ENSRNOT00000007601, ENSRNOT00000004613	228	3234	8672	1.2584274539161757	0.04664165023642375	0.047714860960310364	0.047714860960310364
INTERPRO	IPR042468:Peptidase_C65_otubain_sub1	3	0.7712082262210797	0.0022509000893618496	ENSRNOT00000012124, ENSRNOT00000028752, ENSRNOT00000016111	385	3	13872	36.03116883116883	0.9138564031219379	1.0	1.0
INTERPRO	IPR042467:Peptidase_C65_otubain_sub2	3	0.7712082262210797	0.0022509000893618496	ENSRNOT00000012124, ENSRNOT00000028752, ENSRNOT00000016111	385	3	13872	36.03116883116883	0.9138564031219379	1.0	1.0
UP_SEQ_FEATURE	REGION:Disordered	269	69.1516709511568	0.006229316561658715	ENSRNOT00000006195, ENSRNOT00000011784, ENSRNOT00000066492, ENSRNOT00000012875, ENSRNOT00000048264, ENSRNOT00000003473, ENSRNOT00000028892, ENSRNOT00000028411, ENSRNOT00000020493, ENSRNOT00000012082, ENSRNOT00000005773, ENSRNOT00000026118, ENSRNOT00000066821, ENSRNOT00000012880, ENSRNOT00000008361, ENSRNOT00000039540, ENSRNOT00000065971, ENSRNOT00000003907, ENSRNOT00000008120, ENSRNOT00000015472, ENSRNOT00000021917, ENSRNOT00000011799, ENSRNOT00000001292, ENSRNOT00000015119, ENSRNOT00000051307, ENSRNOT00000029996, ENSRNOT00000028546, ENSRNOT00000055588, ENSRNOT00000008919, ENSRNOT00000008355, ENSRNOT00000006610, ENSRNOT00000008911, ENSRNOT00000038244, ENSRNOT00000037710, ENSRNOT00000018874, ENSRNOT00000068778, ENSRNOT00000006297, ENSRNOT00000010238, ENSRNOT00000032027, ENSRNOT00000013743, ENSRNOT00000011565, ENSRNOT00000014713, ENSRNOT00000019966, ENSRNOT00000074772, ENSRNOT00000019171, ENSRNOT00000028678, ENSRNOT00000021001, ENSRNOT00000005630, ENSRNOT00000025964, ENSRNOT00000002247, ENSRNOT00000018889, ENSRNOT00000011453, ENSRNOT00000027241, ENSRNOT00000043384, ENSRNOT00000036853, ENSRNOT00000031842, ENSRNOT00000019735, ENSRNOT00000010927, ENSRNOT00000003320, ENSRNOT00000026387, ENSRNOT00000007247, ENSRNOT00000022349, ENSRNOT00000005623, ENSRNOT00000041394, ENSRNOT00000009817, ENSRNOT00000057738, ENSRNOT00000004127, ENSRNOT00000025343, ENSRNOT00000030823, ENSRNOT00000001099, ENSRNOT00000047011, ENSRNOT00000026556, ENSRNOT00000074632, ENSRNOT00000025221, ENSRNOT00000002869, ENSRNOT00000040505, ENSRNOT00000036472, ENSRNOT00000007197, ENSRNOT00000037444, ENSRNOT00000037202, ENSRNOT00000064840, ENSRNOT00000065494, ENSRNOT00000043561, ENSRNOT00000031464, ENSRNOT00000025355, ENSRNOT00000004477, ENSRNOT00000056995, ENSRNOT00000004351, ENSRNOT00000074082, ENSRNOT00000001404, ENSRNOT00000040978, ENSRNOT00000027418, ENSRNOT00000016414, ENSRNOT00000015322, ENSRNOT00000009124, ENSRNOT00000025808, ENSRNOT00000038686, ENSRNOT00000004350, ENSRNOT00000071107, ENSRNOT00000034769, ENSRNOT00000011523, ENSRNOT00000018956, ENSRNOT00000073642, ENSRNOT00000020472, ENSRNOT00000028752, ENSRNOT00000020476, ENSRNOT00000024835, ENSRNOT00000001759, ENSRNOT00000012061, ENSRNOT00000044567, ENSRNOT00000037482, ENSRNOT00000008703, ENSRNOT00000005556, ENSRNOT00000075020, ENSRNOT00000020925, ENSRNOT00000013036, ENSRNOT00000067414, ENSRNOT00000006087, ENSRNOT00000043100, ENSRNOT00000020809, ENSRNOT00000031488, ENSRNOT00000005426, ENSRNOT00000036819, ENSRNOT00000019140, ENSRNOT00000057745, ENSRNOT00000049448, ENSRNOT00000000658, ENSRNOT00000024725, ENSRNOT00000066657, ENSRNOT00000011386, ENSRNOT00000034266, ENSRNOT00000060432, ENSRNOT00000064596, ENSRNOT00000036442, ENSRNOT00000014770, ENSRNOT00000059447, ENSRNOT00000064592, ENSRNOT00000028264, ENSRNOT00000031432, ENSRNOT00000064472, ENSRNOT00000031796, ENSRNOT00000012478, ENSRNOT00000001696, ENSRNOT00000002540, ENSRNOT00000072099, ENSRNOT00000027963, ENSRNOT00000024690, ENSRNOT00000023487, ENSRNOT00000046486, ENSRNOT00000025782, ENSRNOT00000048302, ENSRNOT00000009612, ENSRNOT00000068717, ENSRNOT00000067635, ENSRNOT00000012124, ENSRNOT00000013575, ENSRNOT00000011270, ENSRNOT00000009178, ENSRNOT00000016289, ENSRNOT00000043521, ENSRNOT00000060683, ENSRNOT00000004163, ENSRNOT00000036556, ENSRNOT00000039702, ENSRNOT00000071218, ENSRNOT00000019317, ENSRNOT00000010983, ENSRNOT00000026883, ENSRNOT00000001685, ENSRNOT00000049864, ENSRNOT00000017264, ENSRNOT00000060203, ENSRNOT00000004834, ENSRNOT00000004955, ENSRNOT00000007424, ENSRNOT00000015401, ENSRNOT00000021648, ENSRNOT00000017147, ENSRNOT00000016177, ENSRNOT00000013225, ENSRNOT00000013228, ENSRNOT00000067042, ENSRNOT00000024352, ENSRNOT00000006329, ENSRNOT00000002882, ENSRNOT00000056865, ENSRNOT00000057953, ENSRNOT00000061504, ENSRNOT00000075341, ENSRNOT00000020437, ENSRNOT00000002522, ENSRNOT00000039166, ENSRNOT00000039607, ENSRNOT00000032535, ENSRNOT00000008737, ENSRNOT00000004256, ENSRNOT00000074941, ENSRNOT00000056612, ENSRNOT00000028287, ENSRNOT00000018133, ENSRNOT00000002876, ENSRNOT00000005060, ENSRNOT00000027809, ENSRNOT00000017202, ENSRNOT00000015387, ENSRNOT00000015384, ENSRNOT00000065521, ENSRNOT00000016111, ENSRNOT00000059524, ENSRNOT00000033017, ENSRNOT00000072856, ENSRNOT00000019501, ENSRNOT00000064671, ENSRNOT00000010377, ENSRNOT00000054987, ENSRNOT00000027246, ENSRNOT00000001014, ENSRNOT00000045233, ENSRNOT00000047653, ENSRNOT00000046325, ENSRNOT00000019070, ENSRNOT00000044945, ENSRNOT00000027802, ENSRNOT00000013530, ENSRNOT00000021715, ENSRNOT00000007350, ENSRNOT00000014627, ENSRNOT00000001490, ENSRNOT00000030532, ENSRNOT00000020181, ENSRNOT00000026165, ENSRNOT00000003780, ENSRNOT00000027256, ENSRNOT00000048851, ENSRNOT00000027811, ENSRNOT00000000039, ENSRNOT00000020864, ENSRNOT00000025878, ENSRNOT00000037199, ENSRNOT00000005161, ENSRNOT00000068216, ENSRNOT00000035338, ENSRNOT00000010712, ENSRNOT00000011246, ENSRNOT00000072838, ENSRNOT00000028116, ENSRNOT00000030327, ENSRNOT00000055978, ENSRNOT00000005715, ENSRNOT00000027266, ENSRNOT00000008302, ENSRNOT00000024798, ENSRNOT00000003413, ENSRNOT00000015179, ENSRNOT00000021858, ENSRNOT00000042411, ENSRNOT00000064661, ENSRNOT00000018685, ENSRNOT00000058301, ENSRNOT00000031640, ENSRNOT00000028010, ENSRNOT00000049044, ENSRNOT00000002790, ENSRNOT00000024568, ENSRNOT00000009744, ENSRNOT00000022703, ENSRNOT00000067939, ENSRNOT00000004613, ENSRNOT00000005942	372	8801	13309	1.093509962821918	0.9880156086031867	1.0	1.0
GOTERM_BP_DIRECT	GO:0032967~positive regulation of collagen biosynthetic process	5	1.2853470437017995	0.009850831174104771	ENSRNOT00000017147, ENSRNOT00000068216, ENSRNOT00000008037, ENSRNOT00000024419, ENSRNOT00000024798	350	31	12687	5.846543778801843	0.9999999934189735	1.0	1.0
GOTERM_BP_DIRECT	GO:0070372~regulation of ERK1 and ERK2 cascade	5	1.2853470437017995	0.009850831174104771	ENSRNOT00000027809, ENSRNOT00000046486, ENSRNOT00000006087, ENSRNOT00000024835, ENSRNOT00000019501	350	31	12687	5.846543778801843	0.9999999934189735	1.0	1.0
GOTERM_BP_DIRECT	GO:0051939~gamma-aminobutyric acid import	3	0.7712082262210797	0.010518388013999779	ENSRNOT00000004351, ENSRNOT00000018083, ENSRNOT00000012875	350	6	12687	18.124285714285715	0.9999999981764981	1.0	1.0
GOTERM_MF_DIRECT	GO:0015185~gamma-aminobutyric acid transmembrane transporter activity	3	0.7712082262210797	0.010836657166511571	ENSRNOT00000004351, ENSRNOT00000018083, ENSRNOT00000012875	326	6	11632	17.840490797546014	0.9982947504640569	1.0	1.0
UP_KW_DOMAIN	KW-0812~Transmembrane	110	28.277634961439592	0.012357613311164669	ENSRNOT00000041753, ENSRNOT00000006195, ENSRNOT00000030065, ENSRNOT00000064752, ENSRNOT00000031432, ENSRNOT00000012875, ENSRNOT00000034708, ENSRNOT00000028496, ENSRNOT00000009612, ENSRNOT00000005773, ENSRNOT00000024736, ENSRNOT00000043521, ENSRNOT00000043365, ENSRNOT00000011799, ENSRNOT00000004163, ENSRNOT00000033969, ENSRNOT00000028546, ENSRNOT00000055588, ENSRNOT00000023256, ENSRNOT00000073236, ENSRNOT00000023896, ENSRNOT00000001602, ENSRNOT00000006610, ENSRNOT00000004834, ENSRNOT00000003228, ENSRNOT00000004955, ENSRNOT00000015401, ENSRNOT00000031291, ENSRNOT00000014038, ENSRNOT00000010594, ENSRNOT00000010238, ENSRNOT00000032027, ENSRNOT00000026262, ENSRNOT00000016739, ENSRNOT00000013225, ENSRNOT00000019966, ENSRNOT00000014713, ENSRNOT00000019171, ENSRNOT00000074772, ENSRNOT00000057953, ENSRNOT00000023942, ENSRNOT00000021764, ENSRNOT00000005630, ENSRNOT00000075341, ENSRNOT00000018083, ENSRNOT00000032015, ENSRNOT00000014600, ENSRNOT00000028290, ENSRNOT00000012942, ENSRNOT00000010927, ENSRNOT00000004256, ENSRNOT00000028287, ENSRNOT00000026387, ENSRNOT00000045845, ENSRNOT00000020566, ENSRNOT00000005623, ENSRNOT00000040954, ENSRNOT00000015384, ENSRNOT00000033017, ENSRNOT00000035317, ENSRNOT00000033537, ENSRNOT00000057738, ENSRNOT00000010938, ENSRNOT00000001014, ENSRNOT00000046325, ENSRNOT00000009139, ENSRNOT00000044945, ENSRNOT00000068407, ENSRNOT00000036472, ENSRNOT00000017577, ENSRNOT00000064840, ENSRNOT00000065494, ENSRNOT00000043561, ENSRNOT00000030532, ENSRNOT00000004477, ENSRNOT00000031904, ENSRNOT00000074082, ENSRNOT00000022246, ENSRNOT00000072181, ENSRNOT00000000831, ENSRNOT00000006491, ENSRNOT00000015961, ENSRNOT00000013703, ENSRNOT00000014912, ENSRNOT00000019129, ENSRNOT00000073642, ENSRNOT00000028752, ENSRNOT00000020476, ENSRNOT00000001759, ENSRNOT00000037482, ENSRNOT00000036392, ENSRNOT00000055570, ENSRNOT00000043518, ENSRNOT00000005556, ENSRNOT00000013036, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000031640, ENSRNOT00000031488, ENSRNOT00000031889, ENSRNOT00000036819, ENSRNOT00000049044, ENSRNOT00000024323, ENSRNOT00000002790, ENSRNOT00000003240, ENSRNOT00000025254, ENSRNOT00000008138, ENSRNOT00000049448, ENSRNOT00000007601, ENSRNOT00000004613	228	3515	8672	1.1902872401487359	0.24873429006909475	0.14211255307839368	0.14211255307839368
GOTERM_MF_DIRECT	GO:0017018~myosin phosphatase activity	6	1.5424164524421593	0.01356159873537372	ENSRNOT00000018889, ENSRNOT00000014770, ENSRNOT00000048851, ENSRNOT00000033017, ENSRNOT00000005400, ENSRNOT00000031842	326	51	11632	4.197762540599062	0.9996604272481941	1.0	1.0
