Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	19	3.209459459459459	7.907004540837738E-6	ENSRNOT00000011078, ENSRNOT00000005050, ENSRNOT00000003928, ENSRNOT00000041551, ENSRNOT00000013408, ENSRNOT00000030893, ENSRNOT00000010367, ENSRNOT00000052302, ENSRNOT00000051883, ENSRNOT00000026730, ENSRNOT00000004477, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000024459, ENSRNOT00000004619, ENSRNOT00000024901, ENSRNOT00000023869, ENSRNOT00000022635, ENSRNOT00000009317	551	126	12687	3.4720853858784895	0.022051081574046782	0.022297752805162423	0.022297752805162423
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	91	15.371621621621623	1.6135845773443933E-5	ENSRNOT00000012473, ENSRNOT00000041950, ENSRNOT00000015147, ENSRNOT00000000529, ENSRNOT00000013408, ENSRNOT00000046370, ENSRNOT00000019307, ENSRNOT00000012875, ENSRNOT00000029664, ENSRNOT00000050142, ENSRNOT00000000083, ENSRNOT00000027685, ENSRNOT00000024459, ENSRNOT00000009612, ENSRNOT00000024578, ENSRNOT00000005773, ENSRNOT00000027526, ENSRNOT00000044788, ENSRNOT00000027965, ENSRNOT00000075041, ENSRNOT00000022635, ENSRNOT00000011078, ENSRNOT00000021318, ENSRNOT00000016247, ENSRNOT00000005050, ENSRNOT00000007274, ENSRNOT00000006186, ENSRNOT00000014747, ENSRNOT00000030893, ENSRNOT00000014548, ENSRNOT00000000550, ENSRNOT00000019040, ENSRNOT00000051027, ENSRNOT00000027337, ENSRNOT00000028624, ENSRNOT00000004477, ENSRNOT00000001164, ENSRNOT00000019880, ENSRNOT00000004717, ENSRNOT00000044775, ENSRNOT00000028627, ENSRNOT00000015961, ENSRNOT00000017301, ENSRNOT00000034960, ENSRNOT00000019246, ENSRNOT00000041096, ENSRNOT00000003895, ENSRNOT00000026730, ENSRNOT00000047152, ENSRNOT00000029721, ENSRNOT00000075540, ENSRNOT00000051258, ENSRNOT00000028514, ENSRNOT00000026897, ENSRNOT00000031739, ENSRNOT00000028034, ENSRNOT00000071388, ENSRNOT00000007335, ENSRNOT00000002329, ENSRNOT00000008987, ENSRNOT00000003932, ENSRNOT00000025843, ENSRNOT00000009317, ENSRNOT00000016984, ENSRNOT00000001905, ENSRNOT00000015299, ENSRNOT00000014089, ENSRNOT00000003928, ENSRNOT00000074626, ENSRNOT00000028295, ENSRNOT00000017718, ENSRNOT00000003092, ENSRNOT00000019415, ENSRNOT00000027083, ENSRNOT00000010367, ENSRNOT00000000495, ENSRNOT00000051883, ENSRNOT00000049044, ENSRNOT00000004970, ENSRNOT00000022341, ENSRNOT00000003240, ENSRNOT00000025254, ENSRNOT00000023594, ENSRNOT00000004619, ENSRNOT00000023314, ENSRNOT00000003969, ENSRNOT00000008138, ENSRNOT00000006752, ENSRNOT00000059280, ENSRNOT00000007601, ENSRNOT00000040954	560	1388	13309	1.5581502161383285	0.017751485916570275	0.017910788808522767	0.017910788808522767
KEGG_PATHWAY	rno04080:Neuroactive ligand-receptor interaction	27	4.5608108108108105	2.796425028893402E-4	ENSRNOT00000012473, ENSRNOT00000015147, ENSRNOT00000034960, ENSRNOT00000013408, ENSRNOT00000014639, ENSRNOT00000019307, ENSRNOT00000028034, ENSRNOT00000009612, ENSRNOT00000009317, ENSRNOT00000012385, ENSRNOT00000014103, ENSRNOT00000005050, ENSRNOT00000014089, ENSRNOT00000074626, ENSRNOT00000014747, ENSRNOT00000030893, ENSRNOT00000010367, ENSRNOT00000051883, ENSRNOT00000004477, ENSRNOT00000051027, ENSRNOT00000004970, ENSRNOT00000001164, ENSRNOT00000041808, ENSRNOT00000028323, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000020425	270	282	6063	2.1500000000000004	0.07996642940093479	0.08333346586102337	0.08333346586102337
UP_KW_DOMAIN	KW-1133~Transmembrane helix	166	28.040540540540544	3.117211605773681E-4	ENSRNOT00000012473, ENSRNOT00000022717, ENSRNOT00000000529, ENSRNOT00000066773, ENSRNOT00000067741, ENSRNOT00000012995, ENSRNOT00000033219, ENSRNOT00000046370, ENSRNOT00000019307, ENSRNOT00000012875, ENSRNOT00000026752, ENSRNOT00000025142, ENSRNOT00000000083, ENSRNOT00000028496, ENSRNOT00000027685, ENSRNOT00000014819, ENSRNOT00000024459, ENSRNOT00000009612, ENSRNOT00000024578, ENSRNOT00000020497, ENSRNOT00000005773, ENSRNOT00000027965, ENSRNOT00000057096, ENSRNOT00000020702, ENSRNOT00000007274, ENSRNOT00000033285, ENSRNOT00000026929, ENSRNOT00000006186, ENSRNOT00000014704, ENSRNOT00000036717, ENSRNOT00000014548, ENSRNOT00000019040, ENSRNOT00000051027, ENSRNOT00000027337, ENSRNOT00000028546, ENSRNOT00000048378, ENSRNOT00000001164, ENSRNOT00000004717, ENSRNOT00000027339, ENSRNOT00000005523, ENSRNOT00000039852, ENSRNOT00000015401, ENSRNOT00000017301, ENSRNOT00000034960, ENSRNOT00000026141, ENSRNOT00000026262, ENSRNOT00000041096, ENSRNOT00000019171, ENSRNOT00000050002, ENSRNOT00000026897, ENSRNOT00000031739, ENSRNOT00000024752, ENSRNOT00000028034, ENSRNOT00000028675, ENSRNOT00000071388, ENSRNOT00000067849, ENSRNOT00000008987, ENSRNOT00000025843, ENSRNOT00000009317, ENSRNOT00000016984, ENSRNOT00000018248, ENSRNOT00000028295, ENSRNOT00000070984, ENSRNOT00000017718, ENSRNOT00000066084, ENSRNOT00000036738, ENSRNOT00000027083, ENSRNOT00000010367, ENSRNOT00000036978, ENSRNOT00000019184, ENSRNOT00000006836, ENSRNOT00000022341, ENSRNOT00000010409, ENSRNOT00000023314, ENSRNOT00000003969, ENSRNOT00000059280, ENSRNOT00000000336, ENSRNOT00000020688, ENSRNOT00000040954, ENSRNOT00000041950, ENSRNOT00000015147, ENSRNOT00000018138, ENSRNOT00000033010, ENSRNOT00000013408, ENSRNOT00000037459, ENSRNOT00000047380, ENSRNOT00000010018, ENSRNOT00000029664, ENSRNOT00000028057, ENSRNOT00000001890, ENSRNOT00000050142, ENSRNOT00000027526, ENSRNOT00000002987, ENSRNOT00000075041, ENSRNOT00000022635, ENSRNOT00000001533, ENSRNOT00000021318, ENSRNOT00000011078, ENSRNOT00000036472, ENSRNOT00000016247, ENSRNOT00000005050, ENSRNOT00000066069, ENSRNOT00000014747, ENSRNOT00000030893, ENSRNOT00000059813, ENSRNOT00000000550, ENSRNOT00000001486, ENSRNOT00000028624, ENSRNOT00000004477, ENSRNOT00000025510, ENSRNOT00000019880, ENSRNOT00000025990, ENSRNOT00000024424, ENSRNOT00000007588, ENSRNOT00000044775, ENSRNOT00000029439, ENSRNOT00000028627, ENSRNOT00000010672, ENSRNOT00000015961, ENSRNOT00000013703, ENSRNOT00000019246, ENSRNOT00000038845, ENSRNOT00000019129, ENSRNOT00000019921, ENSRNOT00000026730, ENSRNOT00000003895, ENSRNOT00000047152, ENSRNOT00000029721, ENSRNOT00000075540, ENSRNOT00000051258, ENSRNOT00000028514, ENSRNOT00000072794, ENSRNOT00000028752, ENSRNOT00000007335, ENSRNOT00000002329, ENSRNOT00000036392, ENSRNOT00000021723, ENSRNOT00000003932, ENSRNOT00000029607, ENSRNOT00000023519, ENSRNOT00000035047, ENSRNOT00000001905, ENSRNOT00000015299, ENSRNOT00000060980, ENSRNOT00000014089, ENSRNOT00000003928, ENSRNOT00000074626, ENSRNOT00000003092, ENSRNOT00000019415, ENSRNOT00000000495, ENSRNOT00000051883, ENSRNOT00000049044, ENSRNOT00000004970, ENSRNOT00000045484, ENSRNOT00000002396, ENSRNOT00000048754, ENSRNOT00000003240, ENSRNOT00000025254, ENSRNOT00000023594, ENSRNOT00000004619, ENSRNOT00000009985, ENSRNOT00000008138, ENSRNOT00000049448, ENSRNOT00000006752, ENSRNOT00000007601, ENSRNOT00000009987	359	3234	8672	1.2399177954291365	0.0071450562225724434	0.007169586693279467	0.006857865532702099
UP_SEQ_FEATURE	LIPID:S-palmitoyl cysteine	17	2.871621621621622	8.69346345756565E-4	ENSRNOT00000012473, ENSRNOT00000012432, ENSRNOT00000013058, ENSRNOT00000014747, ENSRNOT00000034389, ENSRNOT00000019874, ENSRNOT00000030893, ENSRNOT00000030960, ENSRNOT00000010367, ENSRNOT00000027337, ENSRNOT00000028624, ENSRNOT00000028034, ENSRNOT00000001164, ENSRNOT00000025254, ENSRNOT00000024711, ENSRNOT00000024901, ENSRNOT00000008416	560	156	13309	2.589892399267399	0.61916692969561	0.48248722189489357	0.48248722189489357
UP_KW_DOMAIN	KW-0812~Transmembrane	175	29.56081081081081	9.674573560631589E-4	ENSRNOT00000012473, ENSRNOT00000022717, ENSRNOT00000000529, ENSRNOT00000066773, ENSRNOT00000067741, ENSRNOT00000012995, ENSRNOT00000046370, ENSRNOT00000019307, ENSRNOT00000012875, ENSRNOT00000026752, ENSRNOT00000025142, ENSRNOT00000000083, ENSRNOT00000028496, ENSRNOT00000027685, ENSRNOT00000014819, ENSRNOT00000024459, ENSRNOT00000009612, ENSRNOT00000024578, ENSRNOT00000020497, ENSRNOT00000005773, ENSRNOT00000027965, ENSRNOT00000020137, ENSRNOT00000057096, ENSRNOT00000020702, ENSRNOT00000007274, ENSRNOT00000033285, ENSRNOT00000026929, ENSRNOT00000006186, ENSRNOT00000014704, ENSRNOT00000036717, ENSRNOT00000014548, ENSRNOT00000019040, ENSRNOT00000051027, ENSRNOT00000027337, ENSRNOT00000028546, ENSRNOT00000048378, ENSRNOT00000001164, ENSRNOT00000004717, ENSRNOT00000027339, ENSRNOT00000005523, ENSRNOT00000039852, ENSRNOT00000015401, ENSRNOT00000017301, ENSRNOT00000034960, ENSRNOT00000026141, ENSRNOT00000026262, ENSRNOT00000041096, ENSRNOT00000019171, ENSRNOT00000050002, ENSRNOT00000026897, ENSRNOT00000031739, ENSRNOT00000024752, ENSRNOT00000028034, ENSRNOT00000028675, ENSRNOT00000071388, ENSRNOT00000008987, ENSRNOT00000025843, ENSRNOT00000009317, ENSRNOT00000014444, ENSRNOT00000016984, ENSRNOT00000018248, ENSRNOT00000028295, ENSRNOT00000070984, ENSRNOT00000028297, ENSRNOT00000017718, ENSRNOT00000066084, ENSRNOT00000036738, ENSRNOT00000027083, ENSRNOT00000010367, ENSRNOT00000036978, ENSRNOT00000019184, ENSRNOT00000006836, ENSRNOT00000022341, ENSRNOT00000010409, ENSRNOT00000023314, ENSRNOT00000003969, ENSRNOT00000059280, ENSRNOT00000000576, ENSRNOT00000000336, ENSRNOT00000020688, ENSRNOT00000020600, ENSRNOT00000040954, ENSRNOT00000041950, ENSRNOT00000015147, ENSRNOT00000018138, ENSRNOT00000033010, ENSRNOT00000013408, ENSRNOT00000037459, ENSRNOT00000047380, ENSRNOT00000010018, ENSRNOT00000029664, ENSRNOT00000028057, ENSRNOT00000001890, ENSRNOT00000050142, ENSRNOT00000027526, ENSRNOT00000002987, ENSRNOT00000075041, ENSRNOT00000022635, ENSRNOT00000001533, ENSRNOT00000021318, ENSRNOT00000011078, ENSRNOT00000036472, ENSRNOT00000016247, ENSRNOT00000005050, ENSRNOT00000066069, ENSRNOT00000014747, ENSRNOT00000030893, ENSRNOT00000059813, ENSRNOT00000000550, ENSRNOT00000001486, ENSRNOT00000028624, ENSRNOT00000004477, ENSRNOT00000025510, ENSRNOT00000025075, ENSRNOT00000019880, ENSRNOT00000025990, ENSRNOT00000021670, ENSRNOT00000024424, ENSRNOT00000007588, ENSRNOT00000044775, ENSRNOT00000029439, ENSRNOT00000027539, ENSRNOT00000028627, ENSRNOT00000010672, ENSRNOT00000015961, ENSRNOT00000013703, ENSRNOT00000019246, ENSRNOT00000038845, ENSRNOT00000019129, ENSRNOT00000019921, ENSRNOT00000047282, ENSRNOT00000026730, ENSRNOT00000003895, ENSRNOT00000047152, ENSRNOT00000029721, ENSRNOT00000075540, ENSRNOT00000051258, ENSRNOT00000028514, ENSRNOT00000072794, ENSRNOT00000028752, ENSRNOT00000017110, ENSRNOT00000007335, ENSRNOT00000002329, ENSRNOT00000036392, ENSRNOT00000021723, ENSRNOT00000003932, ENSRNOT00000029607, ENSRNOT00000001477, ENSRNOT00000023519, ENSRNOT00000035047, ENSRNOT00000001905, ENSRNOT00000015299, ENSRNOT00000060980, ENSRNOT00000014089, ENSRNOT00000003928, ENSRNOT00000074626, ENSRNOT00000003092, ENSRNOT00000019415, ENSRNOT00000000495, ENSRNOT00000051883, ENSRNOT00000049044, ENSRNOT00000004970, ENSRNOT00000045484, ENSRNOT00000002396, ENSRNOT00000048754, ENSRNOT00000003240, ENSRNOT00000025254, ENSRNOT00000023594, ENSRNOT00000004619, ENSRNOT00000009985, ENSRNOT00000008138, ENSRNOT00000049448, ENSRNOT00000006752, ENSRNOT00000007601, ENSRNOT00000009987	359	3515	8672	1.202645248972767	0.022016313771828	0.011125759594726328	0.010642030916694748
UP_KW_CELLULAR_COMPONENT	KW-0770~Synapse	30	5.0675675675675675	0.001092784505820608	ENSRNOT00000063861, ENSRNOT00000015147, ENSRNOT00000013408, ENSRNOT00000046370, ENSRNOT00000019307, ENSRNOT00000052302, ENSRNOT00000023460, ENSRNOT00000075423, ENSRNOT00000024459, ENSRNOT00000005773, ENSRNOT00000020534, ENSRNOT00000005050, ENSRNOT00000007274, ENSRNOT00000019874, ENSRNOT00000030893, ENSRNOT00000014548, ENSRNOT00000010367, ENSRNOT00000000495, ENSRNOT00000051883, ENSRNOT00000004477, ENSRNOT00000049044, ENSRNOT00000004970, ENSRNOT00000026165, ENSRNOT00000022341, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000017362, ENSRNOT00000004717, ENSRNOT00000024901, ENSRNOT00000008416	435	347	9557	1.8994335685183343	0.04801137363443786	0.04917530276192736	0.04917530276192736
GOTERM_MF_DIRECT	GO:1904315~transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	8	1.3513513513513513	0.0016018807948436355	ENSRNOT00000051883, ENSRNOT00000052302, ENSRNOT00000004477, ENSRNOT00000005050, ENSRNOT00000004970, ENSRNOT00000004619, ENSRNOT00000010367, ENSRNOT00000019307	499	41	11632	4.548413900972677	0.7501108548098214	1.0	1.0
INTERPRO	IPR018000:Neurotransmitter_ion_chnl_CS	7	1.1824324324324325	0.002274754429095492	ENSRNOT00000051883, ENSRNOT00000052302, ENSRNOT00000005050, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000019307	585	33	13872	5.029992229992231	0.9706917344047619	0.5902401734760243	0.5898593733641043
UP_KW_LIGAND	KW-0868~Chloride	8	1.3513513513513513	0.002347211165554447	ENSRNOT00000052302, ENSRNOT00000003895, ENSRNOT00000026730, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000020497, ENSRNOT00000022635	162	51	4383	4.24400871459695	0.07679040146088623	0.0798051796288512	0.0798051796288512
