Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0060078~regulation of postsynaptic membrane potential	9	1.497504159733777	1.924814983384191E-4	ENSRNOT00000052018, ENSRNOT00000004970, ENSRNOT00000045773, ENSRNOT00000041551, ENSRNOT00000004619, ENSRNOT00000045513, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000010367	555	38	12687	5.414082503556188	0.41000579802454895	0.5273993054472683	0.5273993054472683
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	23	3.826955074875208	2.898872699999948E-4	ENSRNOT00000015322, ENSRNOT00000018378, ENSRNOT00000043554, ENSRNOT00000042145, ENSRNOT00000008342, ENSRNOT00000042562, ENSRNOT00000016452, ENSRNOT00000064070, ENSRNOT00000040291, ENSRNOT00000010367, ENSRNOT00000019307, ENSRNOT00000051883, ENSRNOT00000057845, ENSRNOT00000004970, ENSRNOT00000071541, ENSRNOT00000004619, ENSRNOT00000055683, ENSRNOT00000005773, ENSRNOT00000006796, ENSRNOT00000045513, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000043626	565	226	13147	2.368086772652518	0.13870101974659954	0.14929194404999732	0.14929194404999732
GOTERM_MF_DIRECT	GO:1904315~transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	8	1.3311148086522462	0.00169644843015429	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000004619, ENSRNOT00000045513, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000010367, ENSRNOT00000019307	504	41	11632	4.503290747193186	0.7793375752704446	1.0	1.0
GOTERM_CC_DIRECT	GO:0043005~neuron projection	25	4.159733777038269	0.0017686301576323093	ENSRNOT00000022319, ENSRNOT00000060432, ENSRNOT00000065720, ENSRNOT00000004609, ENSRNOT00000016452, ENSRNOT00000064070, ENSRNOT00000019307, ENSRNOT00000027682, ENSRNOT00000009973, ENSRNOT00000020748, ENSRNOT00000023519, ENSRNOT00000014023, ENSRNOT00000010845, ENSRNOT00000040291, ENSRNOT00000014866, ENSRNOT00000051883, ENSRNOT00000027474, ENSRNOT00000004970, ENSRNOT00000004619, ENSRNOT00000060847, ENSRNOT00000045845, ENSRNOT00000026009, ENSRNOT00000009987, ENSRNOT00000004877, ENSRNOT00000043626	565	292	13147	1.9922111771123772	0.5981397773667085	0.4554222655903197	0.4554222655903197
KEGG_PATHWAY	rno05033:Nicotine addiction	7	1.1647254575707155	0.002159061758335418	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000010367	272	31	6063	5.033325426944971	0.45520856508093854	0.38370741747496256	0.38370741747496256
INTERPRO	IPR018000:Neurotransmitter_ion_chnl_CS	7	1.1647254575707155	0.0024774896269064957	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000019307	595	33	13872	4.945454545454545	0.9795449166832462	0.6499132757132118	0.6499132757132118
KEGG_PATHWAY	rno04727:GABAergic synapse	10	1.6638935108153077	0.0027310136475086305	ENSRNOT00000038068, ENSRNOT00000004970, ENSRNOT00000008342, ENSRNOT00000023623, ENSRNOT00000004619, ENSRNOT00000024901, ENSRNOT00000075480, ENSRNOT00000008138, ENSRNOT00000009973, ENSRNOT00000004877	272	67	6063	3.3269315188762074	0.5362755017944338	0.38370741747496256	0.38370741747496256
GOTERM_BP_DIRECT	GO:0042307~positive regulation of protein import into nucleus	8	1.3311148086522462	0.0027370414865681967	ENSRNOT00000029996, ENSRNOT00000026556, ENSRNOT00000034146, ENSRNOT00000019860, ENSRNOT00000025901, ENSRNOT00000014859, ENSRNOT00000001732, ENSRNOT00000003326	555	44	12687	4.156265356265356	0.9994537951370038	1.0	1.0
GOTERM_BP_DIRECT	GO:0034220~monoatomic ion transmembrane transport	12	1.9966722129783694	0.0028033845632414673	ENSRNOT00000051883, ENSRNOT00000008160, ENSRNOT00000004970, ENSRNOT00000022277, ENSRNOT00000016452, ENSRNOT00000046864, ENSRNOT00000004619, ENSRNOT00000019256, ENSRNOT00000005773, ENSRNOT00000045513, ENSRNOT00000010367, ENSRNOT00000019307	555	95	12687	2.8875106685633	0.9995448429216464	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Neurotransmitter-gated ion-channel ligand-binding	7	1.1647254575707155	0.002826894346178644	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000019307	568	34	13309	4.824099005799503	0.9568164779110906	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Neurotransmitter-gated ion-channel transmembrane	7	1.1647254575707155	0.002826894346178644	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000019307	568	34	13309	4.824099005799503	0.9568164779110906	1.0	1.0
INTERPRO	IPR036734:Neur_chan_lig-bd_sf	7	1.1647254575707155	0.002901398552291124	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000019307	595	34	13872	4.8	0.9894960670431794	0.6499132757132118	0.6499132757132118
INTERPRO	IPR036719:Neuro-gated_channel_TM_sf	7	1.1647254575707155	0.002901398552291124	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000019307	595	34	13872	4.8	0.9894960670431794	0.6499132757132118	0.6499132757132118
INTERPRO	IPR006029:Neurotrans-gated_channel_TM	7	1.1647254575707155	0.002901398552291124	ENSRNOT00000051883, ENSRNOT00000004970, ENSRNOT00000016452, ENSRNOT00000004619, ENSRNOT00000009973, ENSRNOT00000004877, ENSRNOT00000019307	595	34	13872	4.8	0.9894960670431794	0.6499132757132118	0.6499132757132118
