Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0812~Transmembrane	152	30.95723014256619	1.0681629958101283E-5	ENSRNOT00000039797, ENSRNOT00000012473, ENSRNOT00000064875, ENSRNOT00000034261, ENSRNOT00000046370, ENSRNOT00000012875, ENSRNOT00000026752, ENSRNOT00000026115, ENSRNOT00000044582, ENSRNOT00000025142, ENSRNOT00000001054, ENSRNOT00000000083, ENSRNOT00000028496, ENSRNOT00000071166, ENSRNOT00000019673, ENSRNOT00000009612, ENSRNOT00000044467, ENSRNOT00000005773, ENSRNOT00000004725, ENSRNOT00000021988, ENSRNOT00000027965, ENSRNOT00000015598, ENSRNOT00000033285, ENSRNOT00000066303, ENSRNOT00000006186, ENSRNOT00000008364, ENSRNOT00000019795, ENSRNOT00000014827, ENSRNOT00000047291, ENSRNOT00000014548, ENSRNOT00000051268, ENSRNOT00000027337, ENSRNOT00000024581, ENSRNOT00000028546, ENSRNOT00000003901, ENSRNOT00000004834, ENSRNOT00000004955, ENSRNOT00000002897, ENSRNOT00000039852, ENSRNOT00000014038, ENSRNOT00000040162, ENSRNOT00000017828, ENSRNOT00000030400, ENSRNOT00000019171, ENSRNOT00000048166, ENSRNOT00000026897, ENSRNOT00000050764, ENSRNOT00000055016, ENSRNOT00000006849, ENSRNOT00000056862, ENSRNOT00000018364, ENSRNOT00000006443, ENSRNOT00000008987, ENSRNOT00000010081, ENSRNOT00000005753, ENSRNOT00000028438, ENSRNOT00000024757, ENSRNOT00000022749, ENSRNOT00000035240, ENSRNOT00000018246, ENSRNOT00000008342, ENSRNOT00000067331, ENSRNOT00000028295, ENSRNOT00000028297, ENSRNOT00000017718, ENSRNOT00000018927, ENSRNOT00000036738, ENSRNOT00000010884, ENSRNOT00000010367, ENSRNOT00000036978, ENSRNOT00000019184, ENSRNOT00000022341, ENSRNOT00000060943, ENSRNOT00000006796, ENSRNOT00000011181, ENSRNOT00000000576, ENSRNOT00000028328, ENSRNOT00000005502, ENSRNOT00000020600, ENSRNOT00000005623, ENSRNOT00000040954, ENSRNOT00000010375, ENSRNOT00000015384, ENSRNOT00000043693, ENSRNOT00000013408, ENSRNOT00000010018, ENSRNOT00000010939, ENSRNOT00000029664, ENSRNOT00000001890, ENSRNOT00000004121, ENSRNOT00000042928, ENSRNOT00000002987, ENSRNOT00000075041, ENSRNOT00000002984, ENSRNOT00000008160, ENSRNOT00000035781, ENSRNOT00000036990, ENSRNOT00000021318, ENSRNOT00000016642, ENSRNOT00000035700, ENSRNOT00000058204, ENSRNOT00000072468, ENSRNOT00000014747, ENSRNOT00000012844, ENSRNOT00000023060, ENSRNOT00000000550, ENSRNOT00000026685, ENSRNOT00000001486, ENSRNOT00000004477, ENSRNOT00000021155, ENSRNOT00000027893, ENSRNOT00000021670, ENSRNOT00000008677, ENSRNOT00000003308, ENSRNOT00000009489, ENSRNOT00000000831, ENSRNOT00000004877, ENSRNOT00000028627, ENSRNOT00000023903, ENSRNOT00000042145, ENSRNOT00000068336, ENSRNOT00000013703, ENSRNOT00000029845, ENSRNOT00000028514, ENSRNOT00000047550, ENSRNOT00000028752, ENSRNOT00000007335, ENSRNOT00000048767, ENSRNOT00000036392, ENSRNOT00000021723, ENSRNOT00000037101, ENSRNOT00000040993, ENSRNOT00000015299, ENSRNOT00000042098, ENSRNOT00000014765, ENSRNOT00000018967, ENSRNOT00000050156, ENSRNOT00000000495, ENSRNOT00000051883, ENSRNOT00000001586, ENSRNOT00000049683, ENSRNOT00000004970, ENSRNOT00000045484, ENSRNOT00000023475, ENSRNOT00000003240, ENSRNOT00000023594, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000013282, ENSRNOT00000006752, ENSRNOT00000009987, ENSRNOT00000004613	286	3515	8672	1.3112077112077112	2.2429027032500048E-4	1.40362663968058E-4	1.40362663968058E-4
UP_KW_DOMAIN	KW-1133~Transmembrane helix	142	28.920570264765782	1.3367872758862667E-5	ENSRNOT00000012473, ENSRNOT00000064875, ENSRNOT00000046370, ENSRNOT00000012875, ENSRNOT00000026752, ENSRNOT00000026115, ENSRNOT00000044582, ENSRNOT00000025142, ENSRNOT00000001054, ENSRNOT00000000083, ENSRNOT00000028496, ENSRNOT00000071166, ENSRNOT00000019673, ENSRNOT00000009612, ENSRNOT00000044467, ENSRNOT00000005773, ENSRNOT00000004725, ENSRNOT00000027965, ENSRNOT00000015598, ENSRNOT00000033285, ENSRNOT00000066303, ENSRNOT00000006186, ENSRNOT00000008364, ENSRNOT00000019795, ENSRNOT00000014827, ENSRNOT00000047291, ENSRNOT00000014548, ENSRNOT00000026883, ENSRNOT00000051268, ENSRNOT00000027337, ENSRNOT00000024581, ENSRNOT00000028546, ENSRNOT00000003901, ENSRNOT00000004834, ENSRNOT00000004955, ENSRNOT00000002897, ENSRNOT00000039852, ENSRNOT00000014038, ENSRNOT00000040162, ENSRNOT00000017828, ENSRNOT00000030400, ENSRNOT00000019171, ENSRNOT00000048166, ENSRNOT00000026897, ENSRNOT00000055016, ENSRNOT00000006849, ENSRNOT00000056862, ENSRNOT00000018364, ENSRNOT00000006443, ENSRNOT00000008987, ENSRNOT00000005753, ENSRNOT00000028438, ENSRNOT00000024757, ENSRNOT00000035240, ENSRNOT00000018246, ENSRNOT00000008342, ENSRNOT00000028295, ENSRNOT00000017718, ENSRNOT00000018927, ENSRNOT00000036738, ENSRNOT00000010367, ENSRNOT00000036978, ENSRNOT00000019184, ENSRNOT00000022341, ENSRNOT00000060943, ENSRNOT00000006796, ENSRNOT00000011181, ENSRNOT00000028328, ENSRNOT00000005502, ENSRNOT00000040954, ENSRNOT00000010375, ENSRNOT00000015384, ENSRNOT00000043693, ENSRNOT00000013408, ENSRNOT00000010018, ENSRNOT00000010939, ENSRNOT00000029664, ENSRNOT00000001890, ENSRNOT00000004121, ENSRNOT00000042928, ENSRNOT00000002987, ENSRNOT00000075041, ENSRNOT00000008160, ENSRNOT00000035781, ENSRNOT00000036990, ENSRNOT00000021318, ENSRNOT00000016642, ENSRNOT00000035700, ENSRNOT00000058204, ENSRNOT00000072468, ENSRNOT00000014747, ENSRNOT00000012844, ENSRNOT00000014749, ENSRNOT00000023060, ENSRNOT00000000550, ENSRNOT00000026685, ENSRNOT00000001486, ENSRNOT00000004477, ENSRNOT00000021155, ENSRNOT00000027893, ENSRNOT00000008677, ENSRNOT00000003308, ENSRNOT00000009489, ENSRNOT00000000831, ENSRNOT00000004877, ENSRNOT00000028627, ENSRNOT00000023903, ENSRNOT00000042145, ENSRNOT00000068336, ENSRNOT00000013703, ENSRNOT00000027273, ENSRNOT00000029845, ENSRNOT00000028514, ENSRNOT00000047550, ENSRNOT00000028752, ENSRNOT00000007335, ENSRNOT00000048767, ENSRNOT00000036392, ENSRNOT00000021723, ENSRNOT00000037101, ENSRNOT00000040993, ENSRNOT00000015299, ENSRNOT00000042098, ENSRNOT00000014765, ENSRNOT00000018967, ENSRNOT00000050156, ENSRNOT00000000495, ENSRNOT00000051883, ENSRNOT00000001586, ENSRNOT00000049683, ENSRNOT00000004970, ENSRNOT00000045484, ENSRNOT00000023475, ENSRNOT00000003240, ENSRNOT00000023594, ENSRNOT00000004619, ENSRNOT00000006597, ENSRNOT00000008138, ENSRNOT00000013282, ENSRNOT00000006752, ENSRNOT00000009987, ENSRNOT00000004613	286	3234	8672	1.331378578131825	2.806878041081706E-4	1.40362663968058E-4	1.40362663968058E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0679~Respiratory chain	10	2.0366598778004072	2.2747692075285942E-5	ENSRNOT00000050156, ENSRNOT00000051268, ENSRNOT00000040993, ENSRNOT00000047550, ENSRNOT00000044582, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000042928, ENSRNOT00000048767, ENSRNOT00000019624	206	41	5194	6.149656642197489	0.0020225195672591845	0.0020245445947004487	0.0020245445947004487
UP_KW_LIGAND	KW-0830~Ubiquinone	8	1.6293279022403258	8.345266120526866E-5	ENSRNOT00000051268, ENSRNOT00000040993, ENSRNOT00000047550, ENSRNOT00000044582, ENSRNOT00000042098, ENSRNOT00000042928, ENSRNOT00000048767, ENSRNOT00000006874	143	34	4383	7.211846976552859	0.002167507289048687	0.002169769191336985	0.002169769191336985
KEGG_PATHWAY	rno05033:Nicotine addiction	8	1.6293279022403258	8.621626981714229E-5	ENSRNOT00000051883, ENSRNOT00000004477, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000004877, ENSRNOT00000010367	218	31	6063	7.177271382065701	0.020902349942900522	0.021122986105199863	0.020519472216479866
GOTERM_MF_DIRECT	GO:0005237~inhibitory extracellular ligand-gated monoatomic ion channel activity	5	1.0183299389002036	1.844332386060653E-4	ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000004725, ENSRNOT00000004877	422	9	11632	15.31332280147446	0.12452495307319777	0.0943173593933448	0.09418654474786167
KEGG_PATHWAY	rno04723:Retrograde endocannabinoid signaling	14	2.8513238289205702	2.1283921368418928E-4	ENSRNOT00000040993, ENSRNOT00000019624, ENSRNOT00000010367, ENSRNOT00000051268, ENSRNOT00000047550, ENSRNOT00000004970, ENSRNOT00000044582, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000042928, ENSRNOT00000007335, ENSRNOT00000048767, ENSRNOT00000004725, ENSRNOT00000004877	218	115	6063	3.385799760670124	0.05081462044790641	0.02333192885960928	0.0226653023207633
GOTERM_BP_DIRECT	GO:0006120~mitochondrial electron transport, NADH to ubiquinone	7	1.4256619144602851	2.5405355967989327E-4	ENSRNOT00000051268, ENSRNOT00000040993, ENSRNOT00000012530, ENSRNOT00000047550, ENSRNOT00000042928, ENSRNOT00000048767, ENSRNOT00000006874	455	26	12687	7.507100591715977	0.4505735248223284	0.2540838991257383	0.2540838991257383
GOTERM_MF_DIRECT	GO:0008137~NADH dehydrogenase (ubiquinone) activity	6	1.2219959266802443	2.616292909662824E-4	ENSRNOT00000051268, ENSRNOT00000040993, ENSRNOT00000047550, ENSRNOT00000044582, ENSRNOT00000042928, ENSRNOT00000048767	422	17	11632	9.728463897407304	0.17193150060054962	0.0943173593933448	0.09418654474786167
KEGG_PATHWAY	rno04714:Thermogenesis	18	3.6659877800407332	2.8569708807684834E-4	ENSRNOT00000010680, ENSRNOT00000040993, ENSRNOT00000034261, ENSRNOT00000007472, ENSRNOT00000066598, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000019624, ENSRNOT00000050156, ENSRNOT00000051268, ENSRNOT00000047550, ENSRNOT00000049683, ENSRNOT00000044582, ENSRNOT00000042928, ENSRNOT00000001910, ENSRNOT00000048767, ENSRNOT00000006874, ENSRNOT00000005753	218	184	6063	2.7207319505384926	0.06761157610239743	0.02333192885960928	0.0226653023207633
