Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno04080:Neuroactive ligand-receptor interaction	20	5.847953216374268	1.797727337605936E-4	ENSRNOT00000012385, ENSRNOT00000017411, ENSRNOT00000037576, ENSRNOT00000075209, ENSRNOT00000074626, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000010367, ENSRNOT00000012216, ENSRNOT00000004477, ENSRNOT00000075651, ENSRNOT00000019473, ENSRNOT00000001164, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000005671, ENSRNOT00000009775, ENSRNOT00000045845, ENSRNOT00000058162, ENSRNOT00000009317	164	282	6063	2.6219512195121952	0.042575979032039024	0.04350500157006365	0.04296568336878187
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	12	3.508771929824561	2.6702924874308744E-4	ENSRNOT00000052302, ENSRNOT00000011078, ENSRNOT00000004477, ENSRNOT00000075651, ENSRNOT00000017411, ENSRNOT00000037576, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000009775, ENSRNOT00000011697, ENSRNOT00000010367, ENSRNOT00000009317	312	126	12687	3.872710622710623	0.38757645570062327	0.4073717373554381	0.4073717373554381
KEGG_PATHWAY	rno04714:Thermogenesis	15	4.385964912280701	3.940604473653752E-4	ENSRNOT00000010680, ENSRNOT00000063783, ENSRNOT00000034261, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000030760, ENSRNOT00000050156, ENSRNOT00000047550, ENSRNOT00000049683, ENSRNOT00000022089, ENSRNOT00000044582, ENSRNOT00000042928, ENSRNOT00000001910, ENSRNOT00000064802, ENSRNOT00000005753	164	184	6063	3.013818928950159	0.09097385470718877	0.0476813141312104	0.04709022346016234
UP_KW_BIOLOGICAL_PROCESS	KW-0679~Respiratory chain	7	2.046783625730994	4.0542244409575394E-4	ENSRNOT00000050156, ENSRNOT00000047550, ENSRNOT00000044582, ENSRNOT00000022089, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000042928	127	41	5194	6.9825235260226615	0.03270463094337561	0.033244640415851824	0.033244640415851824
GOTERM_BP_DIRECT	GO:0051968~positive regulation of synaptic transmission, glutamatergic	6	1.7543859649122806	4.440018935754094E-4	ENSRNOT00000004578, ENSRNOT00000004477, ENSRNOT00000006087, ENSRNOT00000042145, ENSRNOT00000004383, ENSRNOT00000011697	312	27	12687	9.036324786324787	0.5575237563234359	0.4073717373554381	0.4073717373554381
GOTERM_BP_DIRECT	GO:0045907~positive regulation of vasoconstriction	7	2.046783625730994	9.523442313767369E-4	ENSRNOT00000050156, ENSRNOT00000075651, ENSRNOT00000004121, ENSRNOT00000006087, ENSRNOT00000074626, ENSRNOT00000043693, ENSRNOT00000009775	312	47	12687	6.05626022913257	0.8261108282461687	0.5825172215254374	0.5825172215254374
UP_KW_BIOLOGICAL_PROCESS	KW-0249~Electron transport	8	2.3391812865497075	0.001187048802349359	ENSRNOT00000050156, ENSRNOT00000047550, ENSRNOT00000044582, ENSRNOT00000022089, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000042928, ENSRNOT00000012942	127	68	5194	4.811486799444188	0.09280315162830954	0.04866900089632372	0.04866900089632372
KEGG_PATHWAY	rno05033:Nicotine addiction	6	1.7543859649122806	0.0012736633683936146	ENSRNOT00000004477, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000010367	164	31	6063	7.1553894571203775	0.2653954783818987	0.10274217838375159	0.10146851501535797
UP_KW_CELLULAR_COMPONENT	KW-0770~Synapse	20	5.847953216374268	0.001352179163482689	ENSRNOT00000041533, ENSRNOT00000065229, ENSRNOT00000042145, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000046370, ENSRNOT00000014548, ENSRNOT00000010367, ENSRNOT00000025081, ENSRNOT00000052302, ENSRNOT00000000495, ENSRNOT00000004578, ENSRNOT00000004477, ENSRNOT00000075651, ENSRNOT00000057845, ENSRNOT00000075420, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000026607, ENSRNOT00000003714	244	347	9557	2.2575235035668726	0.04496300612586923	0.036751481680230035	0.03350870388491562
GOTERM_BP_DIRECT	GO:0007187~G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	5	1.461988304093567	0.0015240516934959677	ENSRNOT00000075651, ENSRNOT00000017411, ENSRNOT00000009775, ENSRNOT00000023664, ENSRNOT00000009317	312	21	12687	9.681776556776557	0.9392077732450984	0.6991587143912752	0.6991587143912752
GOTERM_CC_DIRECT	GO:0045277~respiratory chain complex IV	3	0.8771929824561403	0.0017217528266441754	ENSRNOT00000050156, ENSRNOT00000049683, ENSRNOT00000043693	319	3	13147	41.21316614420063	0.4741647385586908	0.3140148386124787	0.3140148386124787
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=II	3	0.8771929824561403	0.0017547133924860569	ENSRNOT00000050156, ENSRNOT00000049683, ENSRNOT00000043693	326	3	13309	40.82515337423313	0.7085511624913333	0.615904400762606	0.615904400762606
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=I	3	0.8771929824561403	0.0017547133924860569	ENSRNOT00000050156, ENSRNOT00000049683, ENSRNOT00000043693	326	3	13309	40.82515337423313	0.7085511624913333	0.615904400762606	0.615904400762606
GOTERM_CC_DIRECT	GO:0099634~postsynaptic specialization membrane	6	1.7543859649122806	0.002091540616473315	ENSRNOT00000052302, ENSRNOT00000041533, ENSRNOT00000075420, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000009317	319	38	13147	6.507342022768521	0.5420345990207525	0.3140148386124787	0.3140148386124787
UP_KW_CELLULAR_COMPONENT	KW-0628~Postsynaptic cell membrane	10	2.923976608187134	0.002161851863542943	ENSRNOT00000004578, ENSRNOT00000052302, ENSRNOT00000004477, ENSRNOT00000075651, ENSRNOT00000075420, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000010367	244	112	9557	3.497145784543325	0.07094053201261608	0.036751481680230035	0.03350870388491562
KEGG_PATHWAY	rno00190:Oxidative phosphorylation	10	2.923976608187134	0.0022139773417342674	ENSRNOT00000050156, ENSRNOT00000047550, ENSRNOT00000034261, ENSRNOT00000049683, ENSRNOT00000044582, ENSRNOT00000022089, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000042928, ENSRNOT00000064802	164	107	6063	3.4550945976749485	0.41513632830517533	0.13394562917492317	0.13228514616862247
GOTERM_BP_DIRECT	GO:0060078~regulation of postsynaptic membrane potential	6	1.7543859649122806	0.0022153083612055373	ENSRNOT00000004477, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000010367	312	38	12687	6.420546558704454	0.9829536297157161	0.8130181685624321	0.8130181685624321
GOTERM_CC_DIRECT	GO:0098839~postsynaptic density membrane	10	2.923976608187134	0.00252558851430948	ENSRNOT00000000495, ENSRNOT00000004578, ENSRNOT00000004477, ENSRNOT00000075651, ENSRNOT00000075420, ENSRNOT00000030914, ENSRNOT00000028069, ENSRNOT00000004383, ENSRNOT00000011697, ENSRNOT00000010367	319	120	13147	3.4344305120167187	0.6106342442670112	0.3140148386124787	0.3140148386124787
GOTERM_MF_DIRECT	GO:1904315~transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	6	1.7543859649122806	0.0032459881977255647	ENSRNOT00000052302, ENSRNOT00000004477, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000010367	289	41	11632	5.890117309477593	0.8365022728581772	1.0	1.0
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	14	4.093567251461988	0.00345217984245532	ENSRNOT00000015401, ENSRNOT00000042145, ENSRNOT00000074626, ENSRNOT00000011697, ENSRNOT00000046370, ENSRNOT00000010367, ENSRNOT00000052302, ENSRNOT00000000495, ENSRNOT00000004578, ENSRNOT00000004477, ENSRNOT00000075651, ENSRNOT00000057845, ENSRNOT00000003240, ENSRNOT00000004619	319	226	13147	2.5530279912336673	0.7246991645212305	0.32191577030895857	0.32191577030895857
KEGG_PATHWAY	rno05208:Chemical carcinogenesis - reactive oxygen species	13	3.8011695906432745	0.003630545020868003	ENSRNOT00000025939, ENSRNOT00000006087, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000050156, ENSRNOT00000047550, ENSRNOT00000049683, ENSRNOT00000022089, ENSRNOT00000044582, ENSRNOT00000049832, ENSRNOT00000046323, ENSRNOT00000042928, ENSRNOT00000064802	164	183	6063	2.62624950019992	0.5852961589374659	0.17571837901001133	0.17354005199749054
GOTERM_BP_DIRECT	GO:0098943~neurotransmitter receptor transport, postsynaptic endosome to lysosome	3	0.8771929824561403	0.005703606368808322	ENSRNOT00000004578, ENSRNOT00000004383, ENSRNOT00000025878	312	5	12687	24.398076923076925	0.9999725130416555	1.0	1.0
GOTERM_BP_DIRECT	GO:0042773~ATP synthesis coupled electron transport	3	0.8771929824561403	0.005703606368808322	ENSRNOT00000044582, ENSRNOT00000043693, ENSRNOT00000042928	312	5	12687	24.398076923076925	0.9999725130416555	1.0	1.0
GOTERM_BP_DIRECT	GO:0015990~electron transport coupled proton transport	3	0.8771929824561403	0.005703606368808322	ENSRNOT00000050156, ENSRNOT00000042098, ENSRNOT00000042928	312	5	12687	24.398076923076925	0.9999725130416555	1.0	1.0
KEGG_PATHWAY	rno04260:Cardiac muscle contraction	7	2.046783625730994	0.007124249164525845	ENSRNOT00000050156, ENSRNOT00000004578, ENSRNOT00000049683, ENSRNOT00000004383, ENSRNOT00000042098, ENSRNOT00000043693, ENSRNOT00000005623	164	64	6063	4.043540396341464	0.8227579504370067	0.28734471630254244	0.28378259172027953
GOTERM_BP_DIRECT	GO:0007165~signal transduction	24	7.017543859649122	0.007184875671116306	ENSRNOT00000063783, ENSRNOT00000042117, ENSRNOT00000058111, ENSRNOT00000031492, ENSRNOT00000068778, ENSRNOT00000006087, ENSRNOT00000060683, ENSRNOT00000011130, ENSRNOT00000042055, ENSRNOT00000030341, ENSRNOT00000003191, ENSRNOT00000059628, ENSRNOT00000013621, ENSRNOT00000025147, ENSRNOT00000025494, ENSRNOT00000046323, ENSRNOT00000052289, ENSRNOT00000003240, ENSRNOT00000026530, ENSRNOT00000004619, ENSRNOT00000055232, ENSRNOT00000020532, ENSRNOT00000023664, ENSRNOT00000072190	312	540	12687	1.8072649572649573	0.9999982202708215	1.0	1.0
INTERPRO	IPR006028:GABAA/Glycine_rcpt	4	1.1695906432748537	0.007688393924954594	ENSRNOT00000052302, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000003191	341	17	13872	9.571847507331379	0.999477048510842	1.0	1.0
GOTERM_MF_DIRECT	GO:0008137~NADH dehydrogenase (ubiquinone) activity	4	1.1695906432748537	0.007895698510137172	ENSRNOT00000047550, ENSRNOT00000044582, ENSRNOT00000022089, ENSRNOT00000042928	289	17	11632	9.470384693669855	0.9879097781972188	1.0	1.0
GOTERM_BP_DIRECT	GO:1904062~regulation of monoatomic cation transmembrane transport	3	0.8771929824561403	0.00841731131976943	ENSRNOT00000004477, ENSRNOT00000011697, ENSRNOT00000013621	312	6	12687	20.33173076923077	0.9999998180606091	1.0	1.0
GOTERM_BP_DIRECT	GO:0097009~energy homeostasis	6	1.7543859649122806	0.008687547282443593	ENSRNOT00000010680, ENSRNOT00000006836, ENSRNOT00000009838, ENSRNOT00000041908, ENSRNOT00000015948, ENSRNOT00000072190	312	52	12687	4.691937869822486	0.9999998896959696	1.0	1.0
GOTERM_CC_DIRECT	GO:0030425~dendrite	22	6.432748538011696	0.009112523267002588	ENSRNOT00000015401, ENSRNOT00000010680, ENSRNOT00000041533, ENSRNOT00000017411, ENSRNOT00000031230, ENSRNOT00000037576, ENSRNOT00000042145, ENSRNOT00000066940, ENSRNOT00000034389, ENSRNOT00000014548, ENSRNOT00000010367, ENSRNOT00000024850, ENSRNOT00000075651, ENSRNOT00000057845, ENSRNOT00000047550, ENSRNOT00000029312, ENSRNOT00000004880, ENSRNOT00000010409, ENSRNOT00000026530, ENSRNOT00000028069, ENSRNOT00000009775, ENSRNOT00000009317	319	495	13147	1.8316962730755832	0.9671088781307441	0.6635126267994013	0.6635126267994013
GOTERM_MF_DIRECT	GO:0004993~G protein-coupled serotonin receptor activity	4	1.1695906432748537	0.009303648639890926	ENSRNOT00000075651, ENSRNOT00000017411, ENSRNOT00000009775, ENSRNOT00000009317	289	18	11632	8.944252210688198	0.9945185698220556	1.0	1.0
UP_KW_LIGAND	KW-0830~Ubiquinone	5	1.461988304093567	0.010378937574340412	ENSRNOT00000047550, ENSRNOT00000044582, ENSRNOT00000022089, ENSRNOT00000042098, ENSRNOT00000042928	113	34	4383	5.704060385216033	0.245496760749491	0.28023131450719113	0.28023131450719113
UP_KW_MOLECULAR_FUNCTION	KW-1278~Translocase	7	2.046783625730994	0.010704128274808506	ENSRNOT00000050156, ENSRNOT00000047550, ENSRNOT00000049683, ENSRNOT00000044582, ENSRNOT00000043693, ENSRNOT00000042928, ENSRNOT00000012942	175	70	6505	3.717142857142857	0.5241089043066239	0.7385848509617869	0.7385848509617869
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	37	10.818713450292398	0.010762203039814736	ENSRNOT00000038068, ENSRNOT00000015985, ENSRNOT00000042145, ENSRNOT00000075209, ENSRNOT00000032249, ENSRNOT00000072737, ENSRNOT00000046370, ENSRNOT00000012216, ENSRNOT00000002640, ENSRNOT00000075420, ENSRNOT00000004121, ENSRNOT00000005671, ENSRNOT00000009775, ENSRNOT00000058162, ENSRNOT00000009317, ENSRNOT00000058362, ENSRNOT00000011078, ENSRNOT00000017411, ENSRNOT00000066940, ENSRNOT00000074626, ENSRNOT00000004383, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000012942, ENSRNOT00000014548, ENSRNOT00000010367, ENSRNOT00000000495, ENSRNOT00000068150, ENSRNOT00000004477, ENSRNOT00000075651, ENSRNOT00000001164, ENSRNOT00000041709, ENSRNOT00000003240, ENSRNOT00000022142, ENSRNOT00000004619, ENSRNOT00000045845, ENSRNOT00000040954	326	993	13309	1.5211789273379916	0.9994975503777999	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	56	16.374269005847953	0.011464592849222285	ENSRNOT00000038068, ENSRNOT00000015985, ENSRNOT00000071728, ENSRNOT00000022716, ENSRNOT00000075209, ENSRNOT00000032249, ENSRNOT00000072737, ENSRNOT00000046370, ENSRNOT00000019473, ENSRNOT00000004121, ENSRNOT00000009775, ENSRNOT00000058162, ENSRNOT00000016688, ENSRNOT00000036990, ENSRNOT00000058362, ENSRNOT00000011078, ENSRNOT00000017411, ENSRNOT00000001490, ENSRNOT00000003191, ENSRNOT00000050018, ENSRNOT00000014548, ENSRNOT00000004477, ENSRNOT00000075651, ENSRNOT00000057845, ENSRNOT00000029312, ENSRNOT00000021671, ENSRNOT00000001164, ENSRNOT00000041709, ENSRNOT00000042145, ENSRNOT00000065742, ENSRNOT00000012175, ENSRNOT00000051338, ENSRNOT00000012216, ENSRNOT00000052302, ENSRNOT00000045096, ENSRNOT00000075420, ENSRNOT00000002640, ENSRNOT00000005671, ENSRNOT00000023664, ENSRNOT00000009317, ENSRNOT00000065678, ENSRNOT00000011130, ENSRNOT00000004383, ENSRNOT00000074626, ENSRNOT00000011697, ENSRNOT00000010367, ENSRNOT00000012942, ENSRNOT00000000495, ENSRNOT00000004578, ENSRNOT00000068150, ENSRNOT00000003240, ENSRNOT00000022142, ENSRNOT00000004619, ENSRNOT00000007687, ENSRNOT00000045845, ENSRNOT00000008934	244	1612	9557	1.3606760769637556	0.3243281907197043	0.1299320522911859	0.11846745944196362
GOTERM_CC_DIRECT	GO:0043005~neuron projection	15	4.385964912280701	0.011741267125580157	ENSRNOT00000015720, ENSRNOT00000023519, ENSRNOT00000041533, ENSRNOT00000031230, ENSRNOT00000043693, ENSRNOT00000034389, ENSRNOT00000003191, ENSRNOT00000072737, ENSRNOT00000011697, ENSRNOT00000052302, ENSRNOT00000044395, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000045845, ENSRNOT00000020137	319	292	13147	2.1171146991883885	0.9877888531935178	0.6635126267994013	0.6635126267994013
