Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051968~positive regulation of synaptic transmission, glutamatergic	6	2.027027027027027	1.906049066875709E-4	ENSRNOT00000004578, ENSRNOT00000024077, ENSRNOT00000006087, ENSRNOT00000042145, ENSRNOT00000004383, ENSRNOT00000003407	260	27	12687	10.843589743589744	0.28365284752290243	0.3333679817965615	0.3333679817965615
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	48	16.216216216216218	5.721224209323647E-4	ENSRNOT00000012473, ENSRNOT00000008471, ENSRNOT00000010375, ENSRNOT00000017301, ENSRNOT00000034146, ENSRNOT00000042145, ENSRNOT00000018695, ENSRNOT00000072737, ENSRNOT00000071848, ENSRNOT00000012875, ENSRNOT00000024077, ENSRNOT00000027785, ENSRNOT00000075026, ENSRNOT00000025223, ENSRNOT00000028514, ENSRNOT00000026897, ENSRNOT00000000083, ENSRNOT00000072796, ENSRNOT00000005671, ENSRNOT00000021764, ENSRNOT00000005773, ENSRNOT00000002109, ENSRNOT00000028416, ENSRNOT00000075041, ENSRNOT00000017338, ENSRNOT00000011078, ENSRNOT00000019618, ENSRNOT00000006186, ENSRNOT00000037883, ENSRNOT00000058665, ENSRNOT00000074626, ENSRNOT00000028295, ENSRNOT00000004383, ENSRNOT00000014747, ENSRNOT00000028093, ENSRNOT00000014625, ENSRNOT00000001586, ENSRNOT00000027474, ENSRNOT00000004970, ENSRNOT00000041709, ENSRNOT00000003240, ENSRNOT00000028685, ENSRNOT00000007641, ENSRNOT00000020103, ENSRNOT00000008138, ENSRNOT00000011181, ENSRNOT00000006796, ENSRNOT00000004877	279	1388	13309	1.6496544885500914	0.2791669163149576	0.3272540247733126	0.3272540247733126
GOTERM_BP_DIRECT	GO:0007165~signal transduction	22	7.4324324324324325	0.0035748972777595116	ENSRNOT00000034146, ENSRNOT00000068778, ENSRNOT00000006087, ENSRNOT00000041551, ENSRNOT00000014765, ENSRNOT00000013621, ENSRNOT00000012655, ENSRNOT00000033858, ENSRNOT00000066181, ENSRNOT00000000078, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000020152, ENSRNOT00000001954, ENSRNOT00000072190, ENSRNOT00000006796, ENSRNOT00000006148, ENSRNOT00000024616, ENSRNOT00000020437, ENSRNOT00000028416, ENSRNOT00000004877, ENSRNOT00000003237	260	540	12687	1.9879914529914529	0.9981026163395657	1.0	1.0
GOTERM_BP_DIRECT	GO:0098943~neurotransmitter receptor transport, postsynaptic endosome to lysosome	3	1.0135135135135136	0.003986095207390249	ENSRNOT00000004578, ENSRNOT00000004383, ENSRNOT00000025878	260	5	12687	29.27769230769231	0.9990785909695472	1.0	1.0
UP_SEQ_FEATURE	TOPO_DOM:Lumenal	14	4.72972972972973	0.004091563323303691	ENSRNOT00000017338, ENSRNOT00000010375, ENSRNOT00000006186, ENSRNOT00000028295, ENSRNOT00000028093, ENSRNOT00000014625, ENSRNOT00000071848, ENSRNOT00000028514, ENSRNOT00000026897, ENSRNOT00000000083, ENSRNOT00000072796, ENSRNOT00000007641, ENSRNOT00000021764, ENSRNOT00000075041	279	267	13309	2.501255151490744	0.9041695903409284	1.0	1.0
INTERPRO	IPR006028:GABAA/Glycine_rcpt	4	1.3513513513513513	0.004995386571955719	ENSRNOT00000075026, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004877	292	17	13872	11.178082191780822	0.9869876168968496	1.0	1.0
GOTERM_BP_DIRECT	GO:1903444~negative regulation of brown fat cell differentiation	3	1.0135135135135136	0.005898785575555636	ENSRNOT00000001586, ENSRNOT00000017240, ENSRNOT00000015205	260	6	12687	24.398076923076925	0.9999681171156286	1.0	1.0
GOTERM_BP_DIRECT	GO:0071651~positive regulation of chemokine (C-C motif) ligand 5 production	3	1.0135135135135136	0.005898785575555636	ENSRNOT00000055406, ENSRNOT00000001586, ENSRNOT00000034146	260	6	12687	24.398076923076925	0.9999681171156286	1.0	1.0
SMART	SM00186:FBG	4	1.3513513513513513	0.006792480135985111	ENSRNOT00000027963, ENSRNOT00000003452, ENSRNOT00000022585, ENSRNOT00000003407	163	18	7323	9.98364008179959	0.6402507809894701	1.0	1.0
INTERPRO	IPR014716:Fibrinogen_a/b/g_C_1	4	1.3513513513513513	0.006901665578124589	ENSRNOT00000027963, ENSRNOT00000003452, ENSRNOT00000022585, ENSRNOT00000003407	292	19	13872	10.00144196106705	0.997532348668896	1.0	1.0
