Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005237~inhibitory extracellular ligand-gated monoatomic ion channel activity	4	1.574803149606299	4.950450926998343E-4	ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000004877	218	9	11632	23.714576962283385	0.22624256966528966	0.2564333580185142	0.2564333580185142
GOTERM_BP_DIRECT	GO:0060078~regulation of postsynaptic membrane potential	6	2.3622047244094486	6.874494053080657E-4	ENSRNOT00000004970, ENSRNOT00000011052, ENSRNOT00000003240, ENSRNOT00000041551, ENSRNOT00000004619, ENSRNOT00000004877	240	38	12687	8.34671052631579	0.6778115074539132	1.0	1.0
GOTERM_MF_DIRECT	GO:0022851~GABA-gated chloride ion channel activity	4	1.574803149606299	0.0015949536508465011	ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000004877	218	13	11632	16.417784050811576	0.5625730492023875	0.34570812448276705	0.34570812448276705
KEGG_PATHWAY	rno04727:GABAergic synapse	7	2.7559055118110236	0.0016624480757007538	ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000008342, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000068739, ENSRNOT00000004877	117	67	6063	5.4140834290088025	0.33478082862049907	0.4072997785466847	0.4072997785466847
GOTERM_MF_DIRECT	GO:0004890~GABA-A receptor activity	4	1.574803149606299	0.0020021706051125505	ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000004877	218	14	11632	15.245085190039319	0.6458957831648642	0.34570812448276705	0.34570812448276705
GOTERM_CC_DIRECT	GO:1902711~GABA-A receptor complex	4	1.574803149606299	0.002022116561434175	ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000004877	247	14	13147	15.207634470792366	0.4788830255941985	0.5721648640879866	0.5721648640879866
UP_KW_DOMAIN	KW-0732~Signal	69	27.165354330708663	0.0026532434776366364	ENSRNOT00000034421, ENSRNOT00000015387, ENSRNOT00000039475, ENSRNOT00000037257, ENSRNOT00000067388, ENSRNOT00000011823, ENSRNOT00000067261, ENSRNOT00000034506, ENSRNOT00000034708, ENSRNOT00000002540, ENSRNOT00000075601, ENSRNOT00000049832, ENSRNOT00000022113, ENSRNOT00000024897, ENSRNOT00000020307, ENSRNOT00000066542, ENSRNOT00000006186, ENSRNOT00000060486, ENSRNOT00000043365, ENSRNOT00000016485, ENSRNOT00000068322, ENSRNOT00000012328, ENSRNOT00000027340, ENSRNOT00000023060, ENSRNOT00000019317, ENSRNOT00000049344, ENSRNOT00000026962, ENSRNOT00000007947, ENSRNOT00000029312, ENSRNOT00000002492, ENSRNOT00000009402, ENSRNOT00000007268, ENSRNOT00000001449, ENSRNOT00000042958, ENSRNOT00000001644, ENSRNOT00000007424, ENSRNOT00000004877, ENSRNOT00000061187, ENSRNOT00000015401, ENSRNOT00000013703, ENSRNOT00000072438, ENSRNOT00000010993, ENSRNOT00000010433, ENSRNOT00000065261, ENSRNOT00000028116, ENSRNOT00000019571, ENSRNOT00000027187, ENSRNOT00000019298, ENSRNOT00000008106, ENSRNOT00000021801, ENSRNOT00000002247, ENSRNOT00000067414, ENSRNOT00000058665, ENSRNOT00000064141, ENSRNOT00000028297, ENSRNOT00000003092, ENSRNOT00000026390, ENSRNOT00000048554, ENSRNOT00000004970, ENSRNOT00000020440, ENSRNOT00000003240, ENSRNOT00000019222, ENSRNOT00000004619, ENSRNOT00000006796, ENSRNOT00000007249, ENSRNOT00000025656, ENSRNOT00000026789, ENSRNOT00000005348, ENSRNOT00000040954	162	2740	8672	1.3480400108137334	0.049225745668822984	0.023669408506322872	0.023669408506322872
UP_KW_DOMAIN	KW-0812~Transmembrane	84	33.07086614173229	0.0027992676334589865	ENSRNOT00000021507, ENSRNOT00000034261, ENSRNOT00000017400, ENSRNOT00000034421, ENSRNOT00000037257, ENSRNOT00000034342, ENSRNOT00000067388, ENSRNOT00000019666, ENSRNOT00000067261, ENSRNOT00000034708, ENSRNOT00000001890, ENSRNOT00000049832, ENSRNOT00000002987, ENSRNOT00000011078, ENSRNOT00000020307, ENSRNOT00000066542, ENSRNOT00000006186, ENSRNOT00000060486, ENSRNOT00000043365, ENSRNOT00000068322, ENSRNOT00000012328, ENSRNOT00000027340, ENSRNOT00000059813, ENSRNOT00000030015, ENSRNOT00000023060, ENSRNOT00000051027, ENSRNOT00000001485, ENSRNOT00000028546, ENSRNOT00000031904, ENSRNOT00000023773, ENSRNOT00000027893, ENSRNOT00000009402, ENSRNOT00000007268, ENSRNOT00000001449, ENSRNOT00000004834, ENSRNOT00000000831, ENSRNOT00000004877, ENSRNOT00000029439, ENSRNOT00000027539, ENSRNOT00000015401, ENSRNOT00000037397, ENSRNOT00000033235, ENSRNOT00000013703, ENSRNOT00000030760, ENSRNOT00000072438, ENSRNOT00000032027, ENSRNOT00000019129, ENSRNOT00000015205, ENSRNOT00000012216, ENSRNOT00000065261, ENSRNOT00000028752, ENSRNOT00000019298, ENSRNOT00000020476, ENSRNOT00000001759, ENSRNOT00000021764, ENSRNOT00000003857, ENSRNOT00000003735, ENSRNOT00000008106, ENSRNOT00000055570, ENSRNOT00000021801, ENSRNOT00000001313, ENSRNOT00000018723, ENSRNOT00000067414, ENSRNOT00000015571, ENSRNOT00000058665, ENSRNOT00000008342, ENSRNOT00000004383, ENSRNOT00000013912, ENSRNOT00000028295, ENSRNOT00000028297, ENSRNOT00000026152, ENSRNOT00000003092, ENSRNOT00000028290, ENSRNOT00000004578, ENSRNOT00000027474, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000006796, ENSRNOT00000026789, ENSRNOT00000021537, ENSRNOT00000005348, ENSRNOT00000040954	162	3515	8672	1.279258205573995	0.05186716505340172	0.023669408506322872	0.023669408506322872
UP_SEQ_FEATURE	TRANSMEM:Helical	83	32.677165354330704	0.00311161037542279	ENSRNOT00000021507, ENSRNOT00000034261, ENSRNOT00000017400, ENSRNOT00000034421, ENSRNOT00000037257, ENSRNOT00000067388, ENSRNOT00000019666, ENSRNOT00000067261, ENSRNOT00000034708, ENSRNOT00000001890, ENSRNOT00000049832, ENSRNOT00000071201, ENSRNOT00000002987, ENSRNOT00000011078, ENSRNOT00000020307, ENSRNOT00000066542, ENSRNOT00000006186, ENSRNOT00000060486, ENSRNOT00000043365, ENSRNOT00000068322, ENSRNOT00000012328, ENSRNOT00000027340, ENSRNOT00000059813, ENSRNOT00000014749, ENSRNOT00000028197, ENSRNOT00000030015, ENSRNOT00000023060, ENSRNOT00000051027, ENSRNOT00000028546, ENSRNOT00000031904, ENSRNOT00000023773, ENSRNOT00000027893, ENSRNOT00000009402, ENSRNOT00000007268, ENSRNOT00000001449, ENSRNOT00000004834, ENSRNOT00000004877, ENSRNOT00000029439, ENSRNOT00000027539, ENSRNOT00000015401, ENSRNOT00000037397, ENSRNOT00000033235, ENSRNOT00000013703, ENSRNOT00000030760, ENSRNOT00000072438, ENSRNOT00000032027, ENSRNOT00000019129, ENSRNOT00000015205, ENSRNOT00000012216, ENSRNOT00000065261, ENSRNOT00000028752, ENSRNOT00000020476, ENSRNOT00000001759, ENSRNOT00000003857, ENSRNOT00000003735, ENSRNOT00000008106, ENSRNOT00000055570, ENSRNOT00000021801, ENSRNOT00000001313, ENSRNOT00000018723, ENSRNOT00000067414, ENSRNOT00000015571, ENSRNOT00000058665, ENSRNOT00000008342, ENSRNOT00000004383, ENSRNOT00000013912, ENSRNOT00000028297, ENSRNOT00000026152, ENSRNOT00000003092, ENSRNOT00000028290, ENSRNOT00000017834, ENSRNOT00000004578, ENSRNOT00000027474, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000008138, ENSRNOT00000006796, ENSRNOT00000074142, ENSRNOT00000026789, ENSRNOT00000021537, ENSRNOT00000005348, ENSRNOT00000040954	237	3534	13309	1.3188901544728842	0.8198659216121528	1.0	1.0
INTERPRO	IPR006028:GABAA/Glycine_rcpt	4	1.574803149606299	0.0033361026887956413	ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000004619, ENSRNOT00000004877	253	17	13872	12.901185770750988	0.9402171318378479	1.0	1.0
