Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	14	7.216494845360824	3.513887565441615E-4	ENSRNOT00000040993, ENSRNOT00000065533, ENSRNOT00000034342, ENSRNOT00000031640, ENSRNOT00000043693, ENSRNOT00000012616, ENSRNOT00000004686, ENSRNOT00000075733, ENSRNOT00000044582, ENSRNOT00000009425, ENSRNOT00000014382, ENSRNOT00000005665, ENSRNOT00000044844, ENSRNOT00000024659	185	304	13147	3.272724039829303	0.10196286224467588	0.10752495950251342	0.10752495950251342
GOTERM_BP_DIRECT	GO:0006412~translation	8	4.123711340206185	0.0034661317473236217	ENSRNOT00000022184, ENSRNOT00000025421, ENSRNOT00000028316, ENSRNOT00000043005, ENSRNOT00000005089, ENSRNOT00000019129, ENSRNOT00000001379, ENSRNOT00000011314	178	140	12687	4.072873194221509	0.9888900024718632	1.0	1.0
KEGG_PATHWAY	rno05415:Diabetic cardiomyopathy	9	4.639175257731959	0.0035533856278244977	ENSRNOT00000040993, ENSRNOT00000049683, ENSRNOT00000044582, ENSRNOT00000045233, ENSRNOT00000043693, ENSRNOT00000009425, ENSRNOT00000014382, ENSRNOT00000025282, ENSRNOT00000012616	91	170	6063	3.527278603749192	0.5110536423259302	0.5537981019603724	0.5537981019603724
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	21	10.824742268041238	0.004428475121472593	ENSRNOT00000016688, ENSRNOT00000022519, ENSRNOT00000040993, ENSRNOT00000034342, ENSRNOT00000031640, ENSRNOT00000043693, ENSRNOT00000012616, ENSRNOT00000019923, ENSRNOT00000031549, ENSRNOT00000004686, ENSRNOT00000028316, ENSRNOT00000024393, ENSRNOT00000049683, ENSRNOT00000075733, ENSRNOT00000044582, ENSRNOT00000007917, ENSRNOT00000015283, ENSRNOT00000024711, ENSRNOT00000005089, ENSRNOT00000014382, ENSRNOT00000044844	139	737	9557	1.9591089679138645	0.14006849250756448	0.15056815413006816	0.15056815413006816
GOTERM_CC_DIRECT	GO:0005640~nuclear outer membrane	4	2.0618556701030926	0.0061615226220501735	ENSRNOT00000019571, ENSRNOT00000019795, ENSRNOT00000043693, ENSRNOT00000004359	185	27	13147	10.528128128128127	0.8491181864047688	0.9427129611736765	0.9427129611736765
GOTERM_CC_DIRECT	GO:0005840~ribosome	6	3.0927835051546393	0.009805997471184718	ENSRNOT00000022184, ENSRNOT00000025421, ENSRNOT00000028316, ENSRNOT00000043005, ENSRNOT00000005089, ENSRNOT00000019129	185	93	13147	4.584829991281604	0.9509759471972344	1.0	1.0
GOTERM_BP_DIRECT	GO:0031667~response to nutrient levels	7	3.608247422680412	0.010084957312111908	ENSRNOT00000023460, ENSRNOT00000004686, ENSRNOT00000020625, ENSRNOT00000073951, ENSRNOT00000033918, ENSRNOT00000015818, ENSRNOT00000021289	178	131	12687	3.8086027961231665	0.9999980279893149	1.0	1.0
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	7	3.608247422680412	0.011189855855577559	ENSRNOT00000022184, ENSRNOT00000025421, ENSRNOT00000028316, ENSRNOT00000043005, ENSRNOT00000005089, ENSRNOT00000019129, ENSRNOT00000011314	161	136	11632	3.7186700767263425	0.9859461895735511	1.0	1.0
KEGG_PATHWAY	rno05012:Parkinson disease	9	4.639175257731959	0.011661061048813277	ENSRNOT00000040993, ENSRNOT00000049683, ENSRNOT00000044582, ENSRNOT00000027937, ENSRNOT00000024711, ENSRNOT00000043693, ENSRNOT00000009425, ENSRNOT00000014382, ENSRNOT00000012616	91	208	6063	2.8828719357565507	0.9053572946097855	0.5537981019603724	0.5537981019603724
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	4	2.0618556701030926	0.014782546183613217	ENSRNOT00000022184, ENSRNOT00000043005, ENSRNOT00000005089, ENSRNOT00000011314	185	37	13147	7.682688093498904	0.9895088836838735	1.0	1.0
