Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Polar residues	475	40.45996592844974	7.907449013875944E-8	TDRKH, TRIO, RAPH1, HNRNPU, HNRNPR, ADARB1, ADARB2, BACH2, FGFRL1, MYLK, ZDBF2, PREX1, PSMD7, ZMIZ1, PPP4R4, RAVER2, PIP4K2A, NCKAP5, UNC13B, UNC13C, RBFOX1, MEF2C, PIH1D1, ARMC9, SYTL5, HCFC2, ISL1, HSPG2, SOX10, GANC, SYTL2, ARMC2, ADCY9, MAP1A, 1810010H24RIK, ZSCAN26, ATF6, NGEF, TSPYL4, IDO1, ATF4, OSER1, SLAIN1, NYAP2, FAM149B, RNF214, SSR1, PCDHA3, PPARGC1A, NGFR, ARPP21, EDEM2, MTHFR, LARP7, D430041D05RIK, ST18, SNUPN, FOSL2, PKIA, PLCH1, STRN, FAT3, HYOU1, CEP85, CPEB4, SETD2, NCAN, STON1, MED19, FMN1, ABCC12, IL18BP, WDR44, TRIM8, NHSL2, TMEM44, TRIM2, ENSA, PLEKHN1, APPL2, SS18, RIPK2, ELOVL5, TMEM40, TET1, CDYL2, SIRT2, F5, ZEB1, PIGA, GM2897, ITPKA, RARA, RARB, ACSBG1, GRAMD1C, SEZ6, HTT, ASCL1, ZFP804A, FAM117A, PPP1R2, GGA1, FRZB, LEO1, PMS1, GOLM1, KCNB2, ATAD2, GTF2H1, TMEM154, HIPK2, CENPE, SMOC2, HEYL, 1700028J19RIK, ABI3, SLMAP, 9530068E07RIK, RIMBP2, ZFP395, FILIP1, DGKG, DGKD, FAM13B, CLSTN2, DGKB, GMNN, CTNND1, FAM107A, ZBTB20, UBP1, RORA, FGF5, D7ERTD443E, SALL1, STK32B, MAP3K5, KCNH2, SEMA6A, KCNH6, SEMA6D, CEP131, SPICE1, UBALD1, TBR1, FRMD4B, DGKZ, FOXP2, FOXP1, TOM1L1, PYGO2, CACNB4, TXLNB, SLC9A7, MORF4L2, MADD, SRSF2, KANK3, BLM, D630045J12RIK, DLX5, ISG20L2, SPATA3, RLF, NPAS2, PHF21B, BAG4, BCL2L11, MOBP, ZKSCAN6, ORC2, MBP, SIX3OS1, IGFBP6, NPTX1, SKIL, SRGAP1, SOCS5, IMPG2, OSBPL8, SLC37A1, CCDC13, OSBPL3, TMEM132A, PALB2, BCL9, DAB2, MAFF, DMXL2, AAK1, TUBGCP5, LHX6, RAD9B, GPR101, NES, EIF4G2, ITGB1, DAGLA, ONECUT2, BNC2, ADRA1D, ADRA1B, RLBP1, SYNE1, NGRN, HHEX, PHACTR3, PMEPA1, TLK1, PHACTR2, EMILIN2, PHACTR1, TRIM66, BCAS1, TPRN, PLEKHG1, DST, ACTR5, TIRAP, RTN4RL1, DMRTA1, CRH, MCM6, DTL, NUFIP1, LUZP2, PRCC, FOXK2, ATP10B, ZNRF3, KCTD20, SH2B3, PLEKHH1, PLCL1, PCDH7, KCNIP4, DONSON, LYSMD1, FOXJ1, TRHR2, SNRK, SEC24D, PTPN3, ERRFI1, OXTR, ULK4, DIXDC1, ZFP609, GCC1, GOLGA3, RASSF5, GOLGA1, TRIM25, KAT7, SYNPO, BTRC, FBXO7, SCN1A, ZFP612, SLC6A17, EBF1, MTUS1, ISLR2, MTUS2, XLR3B, AKAP9, SIK3, NSMF, TRIB2, SLC45A4, SLC22A6, TBC1D9B, PDE1B, EPAS1, USHBP1, FBF1, CTR9, PCDH15, TRANK1, 6430548M08RIK, TTBK1, MNDAL, STRIP2, INPP5F, CMYA5, MAP7, RBM12, MAP9, BANP, SRPK3, EGR1, ZRSR2, ZFP516, MAGEE2, PDE2A, IQSEC3, SRPK1, OCLN, CABYR, PPP1R1A, GKAP1, FUBP1, GM3002, TMCC3, PTPRT, ROBO3, TMEM151B, TENM4, SH3KBP1, 1600012H06RIK, RSF1, N4BP2L1, KIF11, SIPA1L2, KIF17, PTPRF, PCF11, KIF13A, NCS1, TMED2, TSC22D4, ZHX2, ZHX3, TSC22D2, GAB1, RGMB, IGFN1, ZHX1, GFRA2, SYN2, SREBF2, TOX3, PACS2, 2310022B05RIK, STRAP, FAM32A, SFI1, PTMA, ZFP704, ZFP703, DOT1L, NEXN, PRICKLE1, AKAP5, CAMKK2, TCEAL8, RANBP3L, CUX2, NFIL3, FAM184B, GPC1, LMNA, MAP4K3, RANBP2, ZFP831, MAP3K1, PLEKHA2, PLEKHA5, PCDHB13, SORBS3, TJP1, SH3RF2, CAMK4, DLC1, KIF26B, STAC2, HNRNPA2B1, SGSM2, WBP1L, JADE3, FAIM2, CWC27, CARF, CELSR2, DOCK10, GRIP1, CCND2, ENPP2, PDE8B, CD93, CCDC157, MATK, KCTD1, ARID5B, SLC30A1, RUNDC3B, SHISA6, KCTD8, PCP4, DDX5, NDRG3, CABP4, PLD5, ARHGAP18, NDRG1, CACNA1G, ZFP36L1, KIF3C, AW011738, IVNS1ABP, RAP1GAP2, SMAD4, CPSF7, CBX4, CCDC137, VDR, CAV1, SYT9, ARHGAP26, SMAD5, ZFHX4, NR4A1, ARHGAP31, PAN3, NABP2, NABP1, PHF13, FGFR3, PHTF2, DOCK5, ADAR, 2700046A07RIK, FLCN, SIX3, BLNK, PDE4A, ARHGEF10, PCDHGA3, USP45, ARAP2, SSTR1, MYRIP, GLRX2, OPRM1, KLF14, DDX50, GREM1, GAP43, AIM2, TBC1D4, CRY2, TRNP1, DCX, ZMYND11, INA, DOCK1, CREB5, CAMK2B, RBM47, HLF, 2510009E07RIK, RNF6, UACA, POLD3, PDLIM2, PALMD, BC030500, TAF1C, TGS1, DROSHA, CHGA, BNIP3, DTNBP1, PDE4DIP, SSRP1, MEIS2, USF2, WEE1, PDE10A, CDK2AP1, CLNK, R3HDM1, RBMX, SSBP3	1099	5474	15320	1.2096225917672525	2.1956575981585402E-4	2.1958985911533499E-4	2.1958985911533499E-4
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	90	7.666098807495741	8.616042906157153E-7	ITGB1, PTPRT, TRIO, TENM4, ITGB5, CLSTN2, DGKB, NCAN, GRIK5, CTNND1, FAM107A, DIXDC1, PPP2R2A, ARRB2, HTR2A, SIPA1L2, NUDT3, DOCK10, GRIP1, CRTAC1, TRIM3, NCS1, RAC1, SYNPO, UNC13B, SLC6A17, SORCS3, PRSS12, DGKZ, SYN2, SIRT2, SHISA6, ACTA2, OLFM1, OLFM2, CACNB4, SLC9A6, IL1RAPL2, CDH11, ITPKA, AKAP9, DCX, NSMF, AMPH, ARHGEF2, INA, NGEF, RAPGEF4, CAMK2B, NLGN1, NRN1, LPAR1, PPM1H, PARN, HTT, KCNA4, CACNA1C, PRICKLE1, AKAP5, LRP8, FBXL20, SV2B, SLITRK4, GSG1L, DROSHA, NAE1, NPTX1, LRRC4C, DRD2, DRD3, CACNG3, LINGO1, GABBR2, RAB4A, UBE2I, RYK, DTNBP1, PLEKHA5, ATP2B4, ATP2B3, SLC6A7, PLCXD3, PDE10A, CAMK4, HNRNPA2B1, RIMBP2, FILIP1, FXYD6, RBMX, CBLN3	1150	771	16701	1.6952461512434445	6.485778926788033E-4	6.487880308336336E-4	6.462032179617865E-4
GOTERM_MF_DIRECT	GO:0005515~protein binding	418	35.604770017035776	1.2226558086043893E-6	TDRKH, RAPH1, HNRNPU, GABPB1, BACH2, MYLK, ZMIZ1, PPP4R4, RAVER2, AP1S2, PIP4K2A, CHGB, MEF2C, PRKCH, PRKCB, PIH1D1, RFX3, SYTL5, ISL1, HSPG2, SOX10, SYTL2, DAAM2, MAP1A, ATF5, ATF6, NGEF, IDO1, ATF4, CFH, NYAP2, KCNMB1, PIP5K1B, PPARGC1A, CTC1, NGFR, CADM3, GSTM1, EDEM2, RDX, NR1D1, PRDX6, DLX6OS1, EHD3, TMEM98, PKIA, GIPC2, PSMG3, RET, STON1, MED19, FMN1, TRIM8, TRIM2, TRIM3, NEFL, PLEKHN1, APPL2, RING1, RIPK4, TET1, RRAS2, SLC39A10, SIRT2, ZEB1, RARA, RARB, RAPGEF4, KCNA4, HTT, ASCL1, FSTL1, GGA1, SERPINB1A, SERPINB1B, TMEM65, FRZB, CHN1, LEO1, UTP3, WNT7B, ATAD2, HIPK2, HEYL, TMEM158, ABCB10, ABI3, SLMAP, RAB3B, RAB3C, SLC27A1, POGLUT1, GMNN, CTNND1, FAM107A, RORA, D7ERTD443E, SALL1, KPNA4, PLS1, MAP3K5, MAP2K3, SEMA6A, IGFBP4, TPM2, SEMA6D, FRMD4B, NEAT1, DGKZ, FOXP2, FOXP1, TOM1L1, PYGO2, OLFM1, OLFM2, CACNB4, NCL, RAB34, SRSF2, FKBP7, SRSF3, S100A4, SRSF6, MAD1L1, KHDRBS1, KHDRBS2, BLM, DLX5, LIN7B, NPAS2, BAG4, BCL2L11, NDN, RNF170, BMF, SMYD3, SIX3OS1, DRD2, LRRC4C, SKIL, DRD3, SRGAP1, PLXNA4, SOCS5, OSBPL8, RAB4A, GLMN, TMEM132A, TOR1B, RCAN1, LSM7, DAB2, PLXNB3, BCL2, LHX6, CNOT8, NES, EIF4G2, ITGB1, ZFP523, DAGLA, ITGB5, FHL1, FHL2, TRF, ARRB2, ATRAID, PIK3CG, SYNE1, HHEX, SGCD, EFHD2, PMEPA1, PRKG2, PRKG1, TRIM66, TPRN, CCDC38, DST, NGB, TIRAP, MSL1, IMPACT, TRAF5, EFHC1, TRIM59, RP9, MCM6, NLGN1, USP27X, NUFIP1, FOXK2, LRP8, FBXL20, PARD6A, ZNRF3, KCTD20, SLITRK4, RAB24, KRIT1, PCBD1, CACNG3, SH2B3, LINGO1, KCNIP3, PCDH7, TRHR2, CABLES2, REC8, RAD50, RAD51, EIF3I, SMAP1, CBLN3, ERRFI1, SPON1, CCDC89, HHIP, DIXDC1, ZFP609, CRKL, GOLGA3, EDNRA, RASSF5, GOLGA1, FBXO4, TRIM25, BTRC, PDK2, SCN1B, EBF1, ISLR2, GNPAT, CARHSP1, SFRP2, AKAP9, SIK3, NSMF, DNA2, SIK2, BEX2, BEX1, NRN1, ANP32A, SDC4, EPAS1, FBF1, CTR9, LPAR1, PCDH15, PIK3R3, TGFA, TWF1, PIK3R6, INPP5F, DPH1, CMYA5, MAP7, A2M, SNX5, BANP, ZFP516, IQSEC3, IGF2, PARVB, RPE65, SRPK1, OCLN, CABYR, PPP1R1A, GKAP1, FUBP1, ID4, ATR, ROBO3, DAZAP2, CLIC4, SH3KBP1, GRIK5, FAF2, KIF17, RAB22A, CRTAC1, KIF13A, TMED2, RAC1, CTSD, PSENEN, LYNX1, ZHX2, ZHX3, FCER1G, ZFP932, GAB1, SORCS3, SYN2, SREBF2, TOX3, RAD51D, BANK1, HNRNPH1, STRAP, VWA1, ARHGEF2, SGK1, STK40, OPRD1, PRICKLE1, AKAP5, RELB, CAMKK2, PPP2CB, NFIL3, LMNA, MAP4K3, RANBP2, NQO1, GABBR2, MAP3K1, PEX19, PLEKHA2, RYK, GINS4, UBE2G2, TJP1, CAMK4, KIF26B, FKBP1B, TXN1, FAIM2, CARF, CELSR2, CLGN, GRIP1, CCND2, CAR8, FBXW11, LMO2, TOMM34, KLHL40, AMPH, DDX5, HTRA3, CACNA1C, CACNA1G, ZFP36L1, PMAIP1, KIF3C, TAC1, WNT4, HSPA9, IVNS1ABP, SMAD4, UBE2I, CBX4, HSPA5, VDR, CAV1, SMAD9, SYT9, ARHGAP26, SMAD5, NR4A2, NR4A1, ARHGAP31, PAN3, GNB5, FGFR3, DOCK5, ADAR, LAMC2, CASP9, FLCN, SIX3, BLNK, PCDHGA3, USP45, SSTR1, MYRIP, OPRM1, TGFBR1, ACTA2, GAP43, AIM2, CRY2, TRNP1, DCX, ATG4B, ZMYND11, INA, DOCK1, CAMK2B, RBM47, RGS13, PARN, RNF6, ATP2C2, THBS1, UACA, PDLIM2, PALMD, TAF1C, TGS1, DROSHA, SCN7A, SLIT2, CHGA, BNIP3, DTNBP1, ATP2B4, PDE4DIP, USF2, SH3YL1, WEE1, ALOX5AP, LNX1, CLNK, SSBP3	1141	4965	16408	1.2106734874180614	0.0015149454393672546	0.0015160932026694427	0.0015148705468608383
GOTERM_BP_DIRECT	GO:0032922~circadian regulation of gene expression	17	1.4480408858603067	1.4495580553278815E-5	NGFR, EGR1, HNRNPU, RBM4B, RORA, NR1D1, CARTPT, NPAS2, RELB, CRY2, ID4, PRKG2, TOP1, DRD2, PPARGC1A, DRD3, ATF4	1134	70	16628	3.5610481229528848	0.06134066308011499	0.05886408560918037	0.05882364772119604
GOTERM_CC_DIRECT	GO:0045202~synapse	101	8.603066439522998	1.907802233865609E-5	CLSTN2, DGKB, FAM107A, PPP2R2A, FAIM2, ADARB1, NUDT3, CRKL, DOCK10, LAMP5, GRIP1, FRRS1L, AP1S2, SYNPO, RGS8, UNC13B, UNC13C, SLC6A17, CARTPT, SHISA6, KCTD8, OLFM1, OLFM2, CACNB4, SLC9A6, MADD, MAP1A, TBC1D24, NSMF, AMPH, ARL8A, NRN1, CABP4, CHAT, PCDH15, CACNA1C, LIN7B, CACNA1G, SYNGR1, GSG1L, TAC1, LRRC4C, DRD3, NGFR, IQSEC3, NR1D1, SYT9, RPS26, SLC6A7, PLCXD3, FUBP1, DMXL2, AAK1, STRN, GNB5, CPEB4, ITGB1, DAGLA, SH3KBP1, NCAN, GRIK5, ARRB2, HTR2A, HAPLN1, RPS4X, NCS1, PHACTR1, RAC1, BCAS1, TSC22D4, LYNX1, GPR37, MYRIP, PRSS12, SYN2, ACTA2, GAP43, CDH11, CRH, CAMK2B, NLGN1, NUFIP1, SEZ6, PPM1H, AKAP5, LRP8, RELB, FBXL20, RASD2, PALMD, SV2B, GNG7, GPC1, SLC17A7, GABBR2, DTNBP1, SYT13, PDE10A, EIF3I, RIMBP2, CBLN3	1150	963	16701	1.5231396451307055	0.014263190856900865	0.007182875410504018	0.007154258376996034
KEGG_PATHWAY	mmu04261:Adrenergic signaling in cardiomyocytes	26	2.2146507666098807	2.1171357424027662E-5	CAMK2B, ADRA1D, PPP2R2A, CACNA1C, CALML4, ADRA1B, PIK3R6, PIK3CG, PPP2CB, SCN7A, CACNG3, SCN1B, TNNC1, TPM2, ATP2B4, ATP2B3, CACNA2D2, MAPK12, CACNB4, ADCY9, PPP2R2C, PPP1R1A, BCL2, ATF4, CREB5, RAPGEF4	480	149	7025	2.553831096196868	0.006794064527583132	0.006817177090536908	0.006753663018264825
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	498	42.4190800681431	3.1833941833387334E-5	TDRKH, TRIO, IPP, HNRNPU, HNRNPR, ADARB1, ADARB2, BACH2, MYLK, PREX1, ZMIZ1, PPP4R4, RAVER2, PIP4K2A, UNC13B, UNC13C, RBFOX1, MEF2C, PRKCH, PRKCB, PIH1D1, ARMC9, HCFC2, ISL1, SOX10, GTPBP4, SYTL2, MAP1A, PIH1D2, ATF5, NGEF, IDO1, ATF4, SLAIN1, SLC5A5, PRDX3, FLRT1, PIP5K1B, CEP76, GSDMD, NGFR, GSTM1, ARPP21, RDX, NR1D1, FAM136A, PRDX6, SNUPN, EHD3, PKIA, GIPC2, PLCH1, STRN, CEP85, CPEB4, STON1, FMN1, ARHGAP5, WDR44, TRIM8, TRIM2, TRIM3, ENSA, NEFL, APPL2, GPR37, EXOC8, RIPK2, RIPK4, SIRT2, ITPKA, RARA, RARB, ACSBG1, RAPGEF4, TRUB1, RNASEL, SEZ6, HTT, ZFP804A, PTGS1, SERPINB1A, SERPINB1B, FRZB, HAS3, RIOK3, PRSS36, HIPK2, CENPE, HEYL, FABP3, ABI3, SLMAP, ZFP395, FILIP1, RAB3B, DGKG, SLC27A1, DGKD, DGKB, GMNN, CTNND1, FAM107A, ZBTB20, FGF5, D7ERTD443E, SALL1, CHP1, KPNA4, TXNL4A, AP5S1, ANKRD13A, PLS1, MAP3K5, CDKL2, IK, TPM2, HARBI1, SEMA6D, FST, CEP131, SPICE1, FRMD4B, DGKZ, MOB3A, TOM1L1, OLFM2, TXLNB, NCL, RAB34, MADD, SRSF3, S100A4, SRSF6, ARL8A, MAD1L1, TRIM34A, KANK3, KHDRBS1, BLM, CNP, DLX5, GPR88, MRI1, AK6, NPAS2, ORC4, BAG4, BCL2L11, MOBP, NDN, BMF, MBP, SMYD3, NAE1, SIX3OS1, SKIL, SRGAP1, SOCS5, CEP112, RAB4A, CCDC13, OSBPL3, GLMN, TOR1B, KY, CYP4F14, RCAN1, BCL9, PTPRE, LSM7, DAB2, SH3BP5L, RCAN2, BCL2, TUBGCP5, PDCL, CNOT8, NES, EIF4G2, ITGB1, DAGLA, FHL1, FHL2, ARRB2, ADRA1B, PIK3CG, RLBP1, SYNE1, TNFSF13B, HHEX, SGCD, RNF17, PGM2, PHACTR1, METTL16, PRKG1, BCAS1, TPRN, CCDC38, TRIM62, DST, ACTR5, LIX1L, NGB, DUSP28, TIRAP, IMPACT, TRAF5, EFHC1, DNAJC9, TOP1, DTL, ALDH9A1, USP27X, PPM1H, FOXK2, JAKMIP1, FBXL20, PARD6A, KCTD20, RAB24, KRIT1, LRRC8A, PCBD1, RAB28, TRIM43C, SSB, KCNIP3, PLCL1, KCNIP4, EFR3B, SNRK, MYO1B, RAD51, EIF3I, DNAJA2, PDCD2, SMAP1, PTPN3, GLTP, ERRFI1, PANK3, CCDC89, DIXDC1, PREP, GCC1, NUDT3, NUDT4, CRKL, GOLGA3, HERC3, SNRPD1, RASSF5, PEG10, FTH1, FBXO4, TRIM25, KAT7, TRIM26, CPNE3, SYNPO, PTGDS, BTRC, FBXO7, JMJD4, MTUS1, MTUS2, ASRGL1, CARHSP1, AKAP9, SIK3, NSMF, DNA2, LAP3, SIK2, TRIM16, TRIB2, PTGFR, BEX2, BEX1, ANP32A, PDE1B, EPAS1, CAPSL, USHBP1, FBF1, LPAR1, PCDH15, STC1, TWF1, PIK3R6, TTBK1, MNDAL, STRIP2, INPP5F, DPH1, SEC14L5, CMYA5, MAP7, SNX5, MAP9, SRPK3, EGR1, TMEM50A, XRCC3, PDE2A, IQSEC3, IFI44, DDIT4L, PARVB, RPE65, SRPK1, RPS26, PARP10, CABYR, PPP1R1A, FUBP1, ID4, DAZAP2, CLIC4, TENM4, PYROXD1, SH3KBP1, FAF2, KIF11, IDE, SIPA1L2, KIF17, PCF11, KIF13A, NCS1, SDF4, ACADM, RAC1, TSC22D4, GAB1, IL18, CCDC117, IGFN1, SREBF2, COMMD4, PDRG1, CNEP1R1, PITPNM3, 2310022B05RIK, STRAP, ARHGEF2, SGK1, SFI1, STK40, TAGLN, ZFP703, DOT1L, NEXN, PRICKLE1, RELB, CAMKK2, PPP2CB, RANBP3L, SH3BGRL, PDPR, MAP4K3, RANBP2, NQO1, GABBR2, MAP3K1, PEX19, MTX2, PLEKHA2, RYK, GINS4, PODN, SORBS3, TJP1, CAMK4, DLC1, KIF26B, STAC2, HNRNPA2B1, SGSM2, FKBP1B, PNPLA3, TXN1, GEMIN2, CELSR2, RGS4, DOCK10, GRIP1, CCND2, CAR8, FBXW11, LMO3, TOMM34, MATK, NOSIP, SLC30A1, KLHL40, KCTD7, PCP4, POLG2, TBC1D24, GEMIN5, DENND6B, AMPH, ATP6V1A, DDX5, NDRG3, CABP4, GSTCD, CHAT, ARHGAP18, CACNA1C, DTX4, NDRG1, CACNA1G, ZFP36L1, ISOC1, KIF3C, WNT4, HSPA9, IVNS1ABP, RAP1GAP2, SMAD4, CPSF7, UBE2I, HSPA5, VDR, SMAD9, MT2, MT1, ARHGAP26, SMAD5, NR4A2, NR4A1, PLCXD3, LIN28B, GNAL, PAN3, FGF18, PI4KA, GNB5, FGFR3, DOCK5, DYRK2, ADAR, PCTP, CASP9, RPS4X, FLCN, BLNK, PDE4A, CAMK1D, USP49, USP45, ARAP2, DARS2, CTPS2, MYRIP, ACTA2, GAP43, AIM2, TBC1D4, ALDH1A2, CDH11, CRY2, CASQ2, DCX, ATG4B, INA, DOCK1, CAMK2B, RBM47, DCTN4, RAP1GDS1, PARN, RNF6, UACA, POLD3, PDLIM2, PALMD, TGS1, RGS20, BNIP2, SLIT2, PLA2G2D, FAHD1, BNIP3, DTNBP1, PDE4DIP, MEIS2, MAPK12, WEE1, PDE10A, LNX1, CDK2AP1, RANGRF, CLNK	1150	6290	16701	1.1498027234395523	0.023686309252191284	0.007990319400180221	0.007958485458346834
GOTERM_BP_DIRECT	GO:0007165~signal transduction	98	8.347529812606473	3.362429050998617E-5	DGKG, OXTR, DGKD, VIPR2, FAM13B, DGKB, HHIP, RAPH1, CELSR2, RXFP2, CRKL, EDNRA, RASSF5, PDE8B, PDE8A, UNC5A, F2R, MATK, DGKZ, MOB3A, TOM1L1, OLFM1, OLFM2, AKAP9, PTGFR, BEX2, BEX1, NDRG3, PDE1B, PDE1A, GPR88, LPAR1, STC1, ARHGAP18, NDRG1, TTBK1, CALCR, RRAS, DRD2, SRGAP1, DRD3, WNT4, NGFR, PDE2A, ARHGAP26, ARHGAP31, PLCXD3, GNAL, PPP1R1A, GKAP1, FGF18, PLCH1, GNB5, GPR101, TENM4, LRRC10B, DIRAS2, ADRA1D, ARRB2, HTR2A, ADRA1B, ARHGAP5, HHEX, CLEC1A, TCP11L1, PDE4A, PRKG2, PRKG1, FCER1G, GPR37, RIPK2, IL18, GAB1, ARAP2, RRAS2, SSTR1, OPRM1, RGMB, TGFBR1, TIRAP, GREM1, RAP2B, BANK1, IL1RAPL2, TRAF5, OPRD1, RASD2, GNG7, CHN1, SH2B3, GABBR2, PLCL1, HTR5A, PDE10A, CAMK4, DLC1, ACKR1, PDE7B	1134	949	16628	1.514212491381441	0.13656766463405745	0.05886408560918037	0.05882364772119604
GOTERM_BP_DIRECT	GO:0043410~positive regulation of MAPK cascade	31	2.6405451448040886	4.0437887984323584E-5	RET, LPAR1, TGFA, PTPRJ, ADRA1D, ADRA1B, CRKL, FGF5, BNIP2, IGFBP6, DRD2, DRD3, WNT4, MAP3K5, MAP2K3, NGFR, MEF2C, MAP3K1, GPR37, IGFBP4, RYK, F2R, IGF2, GAB1, CARTPT, SORBS3, BANK1, MADD, FGF18, GPR101, FGFR3	1134	201	16628	2.2614792001193327	0.16188153943365513	0.05886408560918037	0.05882364772119604
GOTERM_BP_DIRECT	GO:0030336~negative regulation of cell migration	23	1.9591141396933562	8.080407516288958E-5	PTPRT, NGFR, OSBPL8, CLIC4, TET1, STC1, PTPRJ, ADARB1, PODN, SULF1, ING1, TGFBR1, GTPBP4, RAP2B, SFRP2, DLC1, CDH11, BCL2, PLXNB3, EMILIN2, SLIT2, SRGAP1, WNT4	1134	132	16628	2.5549409438298323	0.29734246494639094	0.0882178490590847	0.08815724600271253
