Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0045202~synapse	148	11.195158850226928	7.354169477499874E-16	RPL4, RPL31, WIPF3, FAM107A, RPL10A, ZDHHC2, ACTB, ACTG1, EPS8, RPH3A, RPS17, RPS16, RPS19, PPP2R1A, FRRS1L, RPS18, DAG1, BAALC, RPL38, RPL37, ATP6V1E1, RPS12, SH3GL1, EPHA4, RPS9, RPL21, RPL23, SCAMP1, GABRG2, SHISA6, INPP4A, TANC1, SLC5A7, CACNB3, OLFM3, SLC9A6, KCNQ2, KCNQ3, TBC1D24, RPL24, PLAA, TAGLN3, UBA52, KCTD16, GRIA1, GRIA2, VCP, CTTNBP2, CHRNA7, CPLX1, GRIN2A, SHARPIN, FLRT2, PLXNA1, GRIA4, PRRT1, SNAPIN, PRRT2, DTNA, SYT1, HTR1F, CADM2, SLC4A10, NETO2, EIF2S2, GRIN2B, EXT1, RPS25, RPS28, CNTN1, RPS20, OGT, EIF4G3, RPS24, RPS23, CPEB4, YWHAE, GABRB2, HTR2C, DOC2B, LAMC1, GRIK2, GPHN, NRGN, GRM2, TUBA1A, RPLP2, RAC1, DNM1L, SPG11, YWHAH, KCND2, MME, RPL13A, SYNGR3, ETV5, SYN1, RHOB, MLF2, GAP43, NRG3, CDH10, ALDH1A1, CDH13, VAMP1, SHANK3, VAMP2, KCNA1, CAMK2A, RPL36A, ABHD17C, CLCN3, MFF, LRP8, LRP6, MRPL55, FBXL20, PALMD, PTCHD1, CNR1, SV2A, CAMK2N1, GNA11, GPC1, SLITRK5, NCDN, PDLIM5, RPL18, RPS27A, RPL17, PURG, RPL19, LGI1, GABRA1, KCNB1, GABRA4, GAD1, DTNBP1, RPL23A, SORBS2, RAB11B, FKBP1A, PDE10A, RPS6KB1, ABI2, EIF3I, SNX14, FAM171B	1303	963	16701	1.969851504914372	6.877831637552845E-13	6.508439987587389E-13	6.089252327369896E-13
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	34	2.5718608169440245	5.954151304880448E-15	RPL4, RPL31, RPL36A, RPL10A, RPS17, RPS16, RPS19, RPS18, RPLP2, RPL38, RPL37, RPS27A, RPL18, RPL17, RPL39, RPS12, RPL19, RPL41, RPS9, RPL21, RPS8, RPL23, RPS6, RPL13A, RPL23A, RPS25, RPS28, RPS29, RPL31-PS12, RPL24, RPS20, UBA52, RPS24, RPS23	1292	89	16628	4.916617386162034	2.6900481842062618E-11	2.671627690499857E-11	2.6686506148474167E-11
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	120	9.07715582450832	2.389946954733178E-13	VEZT, DGKE, CTNND2, FAM107A, UBE3A, ICAM5, ACTB, ACTG1, EPS8, PPP2R1A, CFL1, DAG1, RGS9, SH3GL1, RGS7, EPHA4, SH3GLB2, CXADR, CACNA2D1, ADAM10, GABRG2, SHISA6, INPP4A, TANC1, SLC9A6, AKAP9, CHMP4B, PFN1, GRIA1, GRIA2, VCP, CTTNBP2, HPCA, CACNA1B, CACNA1A, CPLX1, CACNA1H, CNN3, GRIN2A, FLRT2, STK38, PLXNA1, GRIA4, PRRT1, FZD3, RAB4A, YES1, PRRT2, SYT1, FUS, NETO2, GRIN2B, GNAO1, LRFN5, CNTN1, OGT, PTPRT, ROBO2, YWHAE, GABRB2, ARF4, NRP2, RAB7, RASGRF2, DOC2B, GRIK2, GRM1, NRGN, GRM3, GRM2, GRM5, PSD2, C1QBP, RAC1, NEO1, YWHAH, KCND2, DYNLL2, C1QL3, RHOA, MLF2, PLCB4, NRG3, CDH10, IL1RAPL2, VAMP1, GAPDH, SHANK3, VAMP2, SNAP47, STAU1, KCNA1, CAMK2A, ADAM22, ABHD17C, ADCY1, CLCN3, LRP8, FBXL20, PAK1, SLITRK2, CNR1, SV2A, SLITRK4, PTK2B, VHL, NCDN, PAK2, LGI1, EGLN1, DTNBP1, ATP2B4, HIP1R, PDE10A, RPS6KB1, ABI2, CAMK4, FILIP1, MDGA2, HCN1	1303	771	16701	1.994917445822421	2.1154245022358964E-10	1.0575515274694313E-10	9.894380392595358E-11
UP_KW_PTM	KW-0007~Acetylation	362	27.382753403933435	8.066023017527636E-13	GLTP, RPL4, EIF4A1, MDC1, GLDC, RPL31, THUMPD1, ACTB, RNF115, PSMD7, RPS16, RAVER1, RPS19, SNRPD2, KAT5, PPP2R1A, RPS18, FTH1, SAP130, MAGOH, STMN1, LONP2, CCDC97, ANKFY1, RPL38, SOX9, RPL37, ATP6V1E1, SEPHS2, GLUL, RPS12, ACOT7, SMARCC2, FNBP1, OXSM, CSNK2A2, EBF1, SCAMP1, LARS2, MYL6, LACTB2, CSNK2B, RPL24, FAM76B, VDAC1, LAP3, PFN1, EZR, ALDH7A1, PRR14, MACF1, URI1, MEAF6, ABCB7, PRKDC, PEX11B, COPS7A, MTDH, MBTD1, NLN, UGCG, LDHB, CYB5R4, CYB5R3, GRPEL1, PRDX1, NUP88, TRPM7, VTI1B, DECR1, SNAPIN, JUP, ARPP21, ADHFE1, LARP7, RAB27B, LNPEP, ERLIN2, PRDX6, EIF1, DHFR, RPS25, RPS28, SNW1, PPP1R1A, RPS29, REL, SFXN4, CALM3, RPS20, CALM2, RPS24, MON1B, RPS23, PYGB, RAB7, AHCTF1, UBXN1, SUPT4A, ENO1B, SMG7, PRPF19, COX7C, WDR44, TUBA1B, HINT1, TUBA1A, ACADL, TMSB4X, SEC61G, C1QBP, ENSA, RPLP2, NEFM, NELFB, SEC61B, CIC, EMD, BRD2, DFFA, TMED8, STARD3NL, MRPS23, ZFR, PRPF40B, DYNLL1, UCHL5, WDR33, NME1, PHF20L1, ZEB2, TUBB2B, PSMA2, TMEM33, 2310022B05RIK, TNNT2, ALDOC, GART, CRYAB, PTMA, VAMP2, DTYMK, PCNA, GSTP2, COX5B, PSMA7, PAK1, PSMB4, PSMB2, EXOSC8, CTNNA1, FLNB, NCDN, RPS27A, PAK2, SF3B1, BRD4, EGLN1, RANBP2, CAR2, YTHDF3, RPA1, MYO9B, COX6C, TUBB4B, ARCN1, RAB11B, FKBP1A, GATM, TPPP3, ABCB10, DPY19L4, PSMC1, NDUFAB1, TRIP12, TOMM5, TOMM6, ALDH1L1, ACAA2, PDCD5, MPI, ATN1, PEBP1, JADE3, FGF1, BZW2, RPL10A, LCLAT1, ACTG1, IPO5, CLGN, FAM107B, EEF1B2, FBL, FNTA, UROD, KHSRP, MPC2, CFL1, CAPN2, TOM1, BANF1, TMSB10, RBM12B1, HMGN1, RAB2A, SH3GLB2, TLE3, RPS9, ANAPC7, RPS8, GPT2, RPS6, THOC3, LARP4B, TRNT1, GTF2F1, SDHA, SDHB, RBX1, DPM1, ACLY, TANC1, PPIF, CHMP4B, PLAA, ERH, PHIP, FKBP4, PPIA, PFKFB2, FTO, VCP, MAX, AK3, NDRG2, HIGD1A, UQCRH, CNN3, TMEM242, DPP3, TMEM245, ZMAT2, ATXN7, GRK4, STK38, G3BP1, MBP, EIF2S3Y, NEK9, TIA1, HSPA5, NONO, MT2, ARPC5, MT1, TBCA, EIF2S2, LSM3, CHERP, MOB1B, COQ3, LSM8, BCL9, NACA, HOOK1, UQCRQ, CHMP2A, CYCS, ACO2, DYNLRB1, OGT, RERE, YWHAE, MCUR1, HSP90AB1, YWHAB, ETFA, DBI, ETFB, NRGN, LASP1, CAPZB, ALDH2, UBE2Q1, MAN1A2, DNM1L, YWHAH, USP48, NAA30, GLRX3, PDPK1, VPS13C, PPP2R5A, RPL13A, EDF1, BPGM, SYNGR3, REXO2, NT5C3B, HAX1, DDAH1, TFDP2, CAT, ALDH1A1, IRF2, PFDN1, SEC22B, GAPDH, SLC25A4, RBM22, MTPN, NDUFB9, USP15, KDM3A, FOCAD, ROCK1, USP11, GOSR1, TAF9, NDUFB3, CXXC1, RRBP1, RNF7, RNF5, CRYZ, FAM168A, PALMD, RBBP4, GNG5, PUF60, BPNT1, RAB28, BUB3, PDLIM5, ACSS1, SEC23B, SLC36A4, FAHD1, TMEM30A, NDUFA5, MYO10, NDUFA4, NDUFA3, HIP1R, PDAP1, RPL23A, HSPE1, S100B, U2SURP, SOD1, PIKFYVE, RPS6KB1, PSAT1, IMPDH2, EIF3I, PDCD4, CHPT1, P4HB, SSBP2, TRMT61A, TRIM33	1000	2899	10975	1.3704553294239392	1.935784865736423E-11	2.016505754381909E-11	1.6132046035055273E-11
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	101	7.639939485627837	1.7089528757124235E-11	CRCP, PEBP1, KNDC1, PPP2R1A, KHSRP, CFL1, CAPN2, SCN1A, CDON, EPHA5, RAB2A, ACOT7, RBFOX3, ADAM10, ACSL4, TANC1, SLC5A7, AKAP9, KCNQ3, FKBP4, GRIA1, SPTBN4, GRIA2, PDE1A, CHRNA7, IREB2, CACNA1B, CACNA1A, CACNA1E, CPLX1, TTBK1, CNN3, GRK4, VTI1A, MBP, TRPM7, VTI1B, GRIA4, FZD3, HSPA5, FUS, INSR, SLC4A10, LNPEP, GRIN2B, CNOT6, PPT1, SERPINI1, OGT, ROBO2, PCSK2, UBXN1, HSP90AB1, GRIK2, GPHN, GRM1, NRGN, PSD2, CAPZB, CHL1, NEO1, KCND2, MME, VPS13A, KCNAB1, RHOA, ARHGEF7, SNAP47, STAU1, KCNA1, CAMK2A, LRP8, LRP6, RELN, SV2A, CAMK2N1, GPC1, PTK2B, FLNB, NCAM2, SLIT2, CKB, NCDN, POLR2M, MYO10, SLC31A1, KCNB1, GAD1, AMFR, KCNIP4, DTNBP1, HIP1R, SORBS2, S100B, TUBB4A, SORL1, SOD1, PDE10A, ATXN10, HCN1, ZPR1	1303	645	16701	2.0070570597369217	1.5124253405218724E-8	5.041410983351649E-9	4.716709936966289E-9
GOTERM_CC_DIRECT	GO:0043209~myelin sheath	43	3.252647503782148	3.064221740343141E-11	VCP, CNP, ENO1B, PEBP1, COX5B, COX6A1, ACTB, ACTG1, LDHB, TUBA1B, TUBA1A, MOBP, PRDX1, MBP, NEFM, CKB, RPS27A, GLUL, CAR2, GSTM1, HSPA5, NME2, SDHA, TUBB4B, TUBB4A, SYN1, SOD1, NME1, GNAO1, CNTN1, CYCS, CALM3, VDAC1, ACO2, TAGLN3, EZR, PPIA, CALM2, CRYAB, SLC25A4, GAPDH, UBA52, SERINC5	1303	175	16701	3.1494046705405103	2.7118405521164846E-8	6.779590600509199E-9	6.342939002510302E-9
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	30	2.26928895612708	5.627335181386872E-11	RPL4, RPL31, RPL36A, RPL10A, RPS17, RPS16, RPS19, RPL36AL, RPS18, RPL38, RPL37, RPS27A, RPL18, RPL17, RPL39, RPS12, RPL19, RPS9, RPL21, RPS8, RPL23, RPS6, RPL13A, RPL23A, RPS25, RPL24, RPS20, UBA52, RPS24, RPS23	1303	94	16701	4.090641890236933	4.9801886392586425E-8	9.960383271054764E-9	9.31886706037666E-9
GOTERM_CC_DIRECT	GO:0016020~membrane	597	45.1588502269289	1.3494867264829023E-10	PGAP1, CHIC1, TFRC, MRGPRE, EPS8, PREX2, PREX1, ZFYVE27, STMN1, ANKFY1, GBP7, CXADR, FNBP1, CACNA2D1, GLCE, PRKCD, CACNA2D3, SCAMP1, SOX10, GABRG2, SLC5A7, ZFYVE16, ORAI2, PRKCQ, FAR1, ASTN1, EXD2, ABCB7, SLC5A3, GABARAP, GLG1, MTDH, LDHB, CYB5R4, GRIN2A, CYB5R3, FLRT2, VTI1A, SSR1, ST3GAL6, RHBDL3, VTI1B, PRRT1, EDEM3, FZD3, SNAPIN, PRRT2, JUP, ABCA5, GPR12, CADM2, LNPEP, ERLIN2, NETO2, GRIN2B, SFXN4, FAT3, GABRB2, ARF4, GPR25, PIGT, PIGN, GPR22, PIGZ, SNX13, FMN1, LITAF, WDR44, JPH4, LMBR1, CHL1, EMD, PCMTD1, KCND2, ELMOD2, SLC2A13, NIPA1, TIMM23, SLC39A10, PAX6, MANEAL, DYNLL1, WDR33, FAM210B, TMEM179, ZEB2, SLC7A8, TMEM33, PIGK, TMEM106B, VAMP1, PLEKHO1, ACSBG1, PIGG, ERGIC2, VAMP2, SAMD8, SGMS1, KCNA1, ADAM22, NOC4L, ADCY1, ADCY6, TMEM70, PTGS1, TM9SF3, TMEM167, EXTL2, TMEM67, MICALL1, SC5D, GCNT4, CKB, CSMD3, NCDN, LDLR, SF3B1, P2RY12, GABRA1, TIMMDC1, KCNB1, KIDINS220, GABRA4, TMEM62, KTN1, ARCN1, TM9SF2, TMEM59, RNF145, GATM, TMEM158, ABCB10, SNX14, VMA21, ETNK1, PSMC1, 9530068E07RIK, TMEM39A, LGR4, DGKE, CRCP, FAM107A, BZW2, LCLAT1, RAB43, ABHD12, RPH3A, CDH4, CNTNAP5B, CNTNAP5A, MPC2, CFL1, LAMP2, LEPR, TOM1, PLXNC1, ANKRD13A, RAB2A, SH3GLB2, SEMA6A, RPS8, ABCA8B, ATP11C, ATP11B, LEMD3, CASD1, RBX1, DISP2, BSCL2, CLIP3, TOM1L2, CACNB3, FRMD6, ARMCX2, SLC9A6, FKBP8, ERH, GRIA1, GRIA2, RAB5C, CNP, BRI3, GPR88, GPR85, ZFP60, LRRC55, UQCRH, ATXN3, DSEL, PLXNA1, MBP, KDSR, GRIA4, TMEM132D, CD164, RAB4A, RASL10A, HTR1F, FUS, TMEM132B, SLC4A10, CYP51, CNOT6, LRFN5, UQCRQ, PTPRA, OGT, RSL24D1, SERINC5, HSP90AB1, KCNK9, CCDC47, RASGRF2, HTR2C, UNC80, FUNDC2, CAPZB, PSD2, TMEM181B-PS, EFHD1, ITGAV, UTY, DNM1L, NEO1, SNAP29, ZFP760, DGCR2, DST, COL25A1, TMEM255A, VPS13C, VPS13A, RPL13A, KCNAB1, NDUFC1, KCNAB3, SLC25A15, SLC25A18, HAX1, NRG3, IL1RAPL2, TMBIM1, ITGA6, TMBIM6, BIRC6, SEC22B, SLC25A4, SNAP47, NDUFB9, CATSPER2, ROCK1, NDUFB3, LRTM1, MFF, LRP8, RNFT1, LRP6, SLITRK2, SLITRK4, SLITRK5, RAB28, SLC25A23, SEC23B, SLC36A4, ATP9B, TUB, SLC35A1, NDUFA8, NDUFA6, LINGO3, MYO10, NDUFA5, SMOX, NDUFA4, AMFR, NDUFA3, KCNIP4, HIP1R, NDUFA1, C130074G19RIK, SORL1, PINK1, SLC25A39, P4HB, MDGA2, SLC25A36, EPHB6, SLC23A2, VEZT, VIPR1, LPGAT1, SLC35B4, PLEKHB1, D130043K22RIK, ICAM5, ZDHHC1, ZDHHC2, ACTB, HS6ST2, C1GALT1C1, PPP2R1A, FTH1, DAG1, BCAP29, SEC62, ATP6V1E1, GLUL, CDON, SCN1A, EPHA5, TMEM88B, EPHA4, PAQR7, ATP6V1G2, ACSL4, INPP4A, KCNQ2, KCNQ3, GUF1, KCNQ5, VDAC1, EZR, KCTD16, MACF1, SPTBN4, TMEM87B, UGT8A, TEX264, PEX11B, TMTC1, CD99L2, PTTG1IP, PCDH19, SMIM8, MBTD1, UGCG, NEU4, NKAIN3, AP5M1, TSPAN6, ST8SIA4, TRPM7, STXBP5, TSPAN3, ZBED3, NUS1, YES1, DTNA, TMEM184B, INSR, INTS2, ST8SIA3, RAB27B, EXT1, ADCK2, NDUFAF2, FBXL2, CALM2, C2CD2L, TECPR1, PCSK2, ROBO2, PTPRT, TENM1, COX7B, NRP2, RAB7, C2CD5, TMEM151B, SLC35F5, DIRAS1, ENO1B, SLC7A14, MIA3, DOC2B, GRIK2, SLC7A11, PCSK5, COX7C, RYR3, SERP2, HINT1, KCNT1, SEC61G, C1QBP, SEC61B, RAC1, COX8A, PRMT8, STARD3NL, MME, MMD, SORCS1, ANO4, RHOA, ANO3, RHOB, VSNL1, FAM20B, OPRD1, GUCY2E, DERL2, PAK1, PTCHD1, GPC1, EMC1, CTNNA1, SPTSSA, EMC7, PAK2, RFTN2, RANBP2, CAR2, SLC31A1, C1GALT1, LSAMP, PCDHB14, SORBS2, COX6C, SVIP, PLEKHA8, RAB11B, FKBP1A, MAS1, DPY19L4, PCDHB18, DLC1, STK17B, TTC3, TOMM7, ESYT2, FAM171B, COPG2, MEGF8, CDK5R2, TOMM5, TOMM6, MEGF9, GALNT14, MSMO1, COX6A1, CELSR2, MANEA, TMEM263, ACTG1, CLGN, EEF1B2, RGS5, CCND1, BASP1, FRRS1L, CAPN2, BAALC, RGS9, RGS7, SH3GL1, KIRREL3, SLC30A4, ADAM10, SLC30A1, CDKAL1, ATP1B3, DNAJB14, SDHA, SDHB, TIMM8A1, MPEG1, SHISA6, DPM1, ALDH3A2, DPM2, TMEM135, TMX4, TMX3, GPRIN1, TBC1D24, CHMP4B, ABCG1, SIDT2, PLGRKT, CHRNA7, SLC41A2, HPCA, NPR3, CLEC16A, PLD5, CACNA1B, CACNA1A, CACNA1D, HIGD1A, CACNA1E, NALCN, CACNA1H, TMEM242, TMEM245, MAN2A2, FUT9, MAN2A1, PACSIN3, COX14, ATP6V1D, B230217C12RIK, OST4, GGT7, HSPA5, SYT1, SMURF2, PTCH1, DNAJC16, LRP1B, GNAO1, COQ3, FAM163B, FAM163A, CHMP2A, CNTN1, CNTN4, PHTF2, MCUR1, PDE3B, ATP2A2, PKD2, PKD1, PITPNC1, PHTF1, GPHN, GRM1, HS2ST1, GRM3, SPRED2, GRM2, GRM5, MAN1A2, MCF2L, PDE4B, SUN1, ABCC1, PDPK1, DCC, ABCC5, IQCE, SYNGR3, GAP43, LMBRD1, CREB1, LMBRD2, PEX3, CDH10, TBC1D7, NDUFS4, CDH13, STX5A, CHMP5, AGPAT5, GOSR1, USP12, POMP, RRBP1, ABHD17C, HMGCR, ATP2C1, CLCN3, TMEM181A, RNF5, PARL, ACVR1C, GNG5, PALMD, CNR1, SV2A, RPS6KC1, GNA11, MVB12B, LRIG1, PTK2B, RGS20, ROMO1, TMEM209, NCAM2, VHL, PDLIM5, SASH1, GALNT6, TMEM30A, CMTM4, PCDHGC5, ATP13A1, GALNT1, DTNBP1, ATP2B4, ACVR2A, GOLPH3, CD4, PIKFYVE, RPS6KB1, CHPT1, HCN1	1303	6265	16701	1.221381439725013	1.1942960909117062E-7	1.990492921562281E-8	1.862291682546405E-8
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	40	3.0257186081694405	1.508672294624111E-10	RPL4, RPL31, RPL36A, MRPL16, RPL10A, MRPL55, RPS17, RPS16, RPS19, RPL36AL, RPS18, RPLP2, RPL38, RPL37, RPS27A, RPL18, RPL17, RPL39, RPS12, RPL19, RPL41, RPS9, RPL21, MRPS25, RPS8, RPL23, RPS6, MRPS23, RPL13A, RPL23A, RPS25, RPS28, RPS29, RPL31-PS12, RPL24, RPS20, UBA52, RSL24D1, RPS24, RPS23	1275	163	16408	3.158041621556598	2.0940366229904583E-7	2.094037144938266E-7	2.0880024557597696E-7
GOTERM_CC_DIRECT	GO:0098794~postsynapse	64	4.841149773071105	4.973995390451803E-10	RPL4, VEZT, TFRC, RPL31, ICAM5, RPL10A, GPHN, NRGN, LASP1, RPS17, RPS16, PSD2, RPS19, FRRS1L, RPS18, CAPN2, DAG1, RPLP2, RPL38, RAC1, RPL37, RPS12, RPS9, RPL21, DCC, RPL23, ADAM10, RPL13A, DYNLL2, GABRG2, RHOA, PLCB4, RPL24, PFN1, ARHGEF7, UBA52, GRIA1, HPCA, RPL36A, CPLX1, PSMA7, CNN3, GRIN2A, PTK2B, EIF4EBP2, NCDN, RPS27A, RPL17, GABRA1, GABRA4, SLC4A10, HIP1R, RPL23A, GRIN2B, RPS28, RPS6KB1, CAMK4, SNX14, LNX1, FILIP1, RPS20, RPS24, RPS23, CPEB4	1303	355	16701	2.3107325456962804	4.4019851908050356E-7	6.288551315071209E-8	5.883525976134419E-8
