Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000902~cell morphogenesis	16	1.6684045881126173	0.002793374719038992	LST1, LIF, AP3B1, MAPK14, CDH8, KLF2, FOSL2, CDH7, GREM1, BCL6, CTNNB1, POC1B, CDH24, ADAM8, CDH15, WNT3	913	122	16612	2.386224480634909	0.9999510524751436	1.0	1.0
GOTERM_BP_DIRECT	GO:0016079~synaptic vesicle exocytosis	7	0.7299270072992701	0.003582725195709975	UNC13C, SNAP25, RAB3A, CPLX1, VAMP2, SPTBN2, SNCA	913	28	16612	4.548740416210296	0.9999970518551525	1.0	1.0
INTERPRO	IPR002913:START_lipid-bd_dom	5	0.5213764337851928	0.004146090359027764	STARD3, DLC1, ACOT11, ACOT12, PCTP	843	13	15521	7.081394287799982	0.9998112939106694	1.0	1.0
GOTERM_BP_DIRECT	GO:0048008~platelet-derived growth factor receptor signaling pathway	8	0.8342022940563086	0.0041588457529670156	SMPD3, MYO1E, NR4A3, TIPARP, SCHIP1, PDGFC, GAB1, PTPN11	913	38	16612	3.830518245229723	0.999999621236247	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:START	5	0.5213764337851928	0.004367225881210055	STARD3, DLC1, ACOT11, ACOT12, PCTP	846	13	15353	6.979905437352246	0.9999898033438448	1.0	1.0
GOTERM_CC_DIRECT	GO:0005938~cell cortex	20	2.0855057351407713	0.004450641673313615	GPSM1, RYR1, SNAP25, KCNC3, PXN, GAB1, MYO9B, LAMC2, ADD3, GCK, MPP7, PARD3B, MELK, DVL2, SPIRE2, CTNNB1, FLNB, EZR, FERMT2, SNCA	922	178	16700	2.035145872431695	0.9446961828282487	1.0	1.0
INTERPRO	IPR013106:Ig_V-set	17	1.7726798748696557	0.004707680116779149	CD86, SIRPB1A, CADM3, CADM1, PSG17, THY1, TAPBPL, TTN, CEACAM3, IGSF21, SIRPA, CD48, PTGFRN, VSTM2A, CD33, SCN1B, VSTM2B	843	143	15521	2.1887945980472674	0.9999410956278814	1.0	1.0
SMART	SM00234:START	5	0.5213764337851928	0.004769606304638364	STARD3, DLC1, ACOT11, ACOT12, PCTP	480	13	8483	6.7972756410256405	0.760577171981108	1.0	1.0
GOTERM_BP_DIRECT	GO:0060348~bone development	12	1.251303441084463	0.005556847676269627	SMPD3, BMP2, CADM1, PDGFC, DYM, NOTUM, MAPK14, BMPR1B, WNT1, SULF2, FOSL2, ENG	913	83	16612	2.630596867205954	0.99999999740759	1.0	1.0
INTERPRO	IPR023393:START-like_dom_sf	6	0.6256517205422315	0.005646467800561991	STARD3, DLC1, ACOT11, ACOT12, PCTP, COQ10B	843	22	15521	5.0213523131672595	0.9999916004864591	1.0	1.0
GOTERM_BP_DIRECT	GO:0071356~cellular response to tumor necrosis factor	15	1.5641293013555788	0.005654218026623507	NPNT, MAPK14, THBS1, RELA, KLF2, AKAP12, PYCARD, SMPD3, ADAMTS13, CCL7, HYAL2, CFL1, MIR690, CCL2, NFKBIE	913	119	16612	2.293482562795107	0.9999999981684355	1.0	1.0
GOTERM_MF_DIRECT	GO:0017166~vinculin binding	5	0.5213764337851928	0.005959158211245821	SYNM, DLC1, PXN, NRAP, CORO2B	908	14	16396	6.449024543738201	0.9981958631256235	1.0	1.0
GOTERM_BP_DIRECT	GO:0002693~positive regulation of cellular extravasation	4	0.4171011470281543	0.007500124199710651	PTAFR, CCL2, ADAM8, THY1	913	8	16612	9.097480832420592	0.99999999999749	1.0	1.0
INTERPRO	IPR003070:NR4A1-3	3	0.31282586027111575	0.008500740430785568	NR4A2, NR4A1, NR4A3	843	3	15521	18.411625148279953	0.999999977741204	1.0	1.0
UP_SEQ_FEATURE	REGION:Spacer	5	0.5213764337851928	0.009743882455912352	ADAMTS16, RBL2, ADAMTS5, ADAMTS13, ADAMTS1	846	16	15353	5.6711731678487	0.9999999999931919	1.0	1.0
KEGG_PATHWAY	mmu04625:C-type lectin receptor signaling pathway	13	1.3555787278415017	0.010168540761392564	ARHGEF12, CARD9, NFATC2, PTPN11, ITPR3, MAPK14, RELA, MAPK13, RELB, PYCARD, PPP3R2, CALM1, CALM2	372	107	7050	2.302532408803135	0.9604309312692317	1.0	1.0
GOTERM_BP_DIRECT	GO:0071347~cellular response to interleukin-1	10	1.0427528675703857	0.010644395801736616	AKAP12, PYCARD, CCL7, HYAL2, CFL1, CCL2, SIRPA, RELA, KLF2, MAPK13	913	67	16612	2.7156659201255495	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0098793~presynapse	28	2.9197080291970803	0.010974537850173147	SNAP25, NAPB, CHRNA3, RAB3A, NRN1, ITPR3, LIN7A, THY1, CYP46A1, LIN7B, CPLX1, BEST1, FBXL20, AP1S1, SNCB, PRKACA, SPTBN2, SNCA, UNC13C, RPH3AL, GABBR1, PRRT2, CACNB1, NR4A1, PPFIBP2, DNMBP, CANX, KIF2C	922	306	16700	1.6573802333659422	0.9992243788145625	1.0	1.0
GOTERM_BP_DIRECT	GO:0045595~regulation of cell differentiation	7	0.7299270072992701	0.011143040361108022	BCL6, LIF, CTNNB1, SIK1, KLF4, RUNX3, HES5	913	35	16612	3.638992332968236	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042417~dopamine metabolic process	5	0.5213764337851928	0.012096170232646534	NR4A2, TOMT, RNLS, SNCB, SNCA	913	17	16612	5.351459313188583	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030217~T cell differentiation	9	0.9384775808133473	0.01213193032597809	LFNG, BCL11A, TBX21, CHD7, HMGA1, CTNNB1, FADD, BCL2A1D, FOSL2	913	57	16612	2.8728886839222922	1.0	1.0	1.0
UP_SEQ_FEATURE	REPEAT:Kelch 6	8	0.8342022940563086	0.01222225931034302	KLHL18, IVNS1ABP, KLHDC4, KLHL14, KLHL25, KLHDC8A, KLHL30, TTN	846	46	15353	3.1561311542810153	0.9999999999999906	1.0	1.0
GOTERM_CC_DIRECT	GO:0005912~adherens junction	18	1.8769551616266946	0.01283324703829146	SYNM, RDX, LMO7, FRMD4B, CDH8, MPP7, AJAP1, CDH7, PARD3B, MYO1E, IGSF21, SH3BP1, CTNNB1, CDH24, CDH15, EZR, FERMT2, VCL	922	170	16700	1.9178256986091617	0.9997712044232665	1.0	1.0
UP_SEQ_FEATURE	MOTIF:Q motif	7	0.7299270072992701	0.012906142793255193	DDX59, DDX3X, DDX20, DDX31, DDX42, DDX43, DDX41	846	36	15353	3.5287299711058577	0.9999999999999984	1.0	1.0
