Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04110:Cell cycle	10	2.898550724637681	0.005415335834628334	CDKN1C, WEE1, CDKN2C, PTTG1, CDK4, CDC26, PPP2R5B, MCM3, TRIP13, GADD45G	143	130	5612	3.0188273265196344	0.7283422997995957	1.0	1.0
INTERPRO	IPR024066:RGS_subdom1/3	4	1.1594202898550725	0.007175309383987448	RGS4, RGS3, RGS14, RGS8	333	15	12169	9.744944944944946	0.9990405348584444	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0734~Signal transduction inhibitor	5	1.4492753623188406	0.010956839741513931	RGS4, SOCS3, RGS3, RGS14, RGS8	179	35	7090	5.658419792498004	0.5220072130458244	0.7341082626814334	0.7341082626814334
INTERPRO	IPR020894:Cadherin_CS	6	1.7391304347826086	0.013359567068518074	FAT3, FAT4, PCDHB22, CELSR1, PCDHB9, CDH8	333	52	12169	4.216562716562716	0.9999976914077117	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 9	3	0.8695652173913043	0.014326600740743985	FAT3, FAT4, CELSR1	328	7	11944	15.606271777003483	0.9999998367405792	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 8	3	0.8695652173913043	0.014326600740743985	FAT3, FAT4, CELSR1	328	7	11944	15.606271777003483	0.9999998367405792	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 7	3	0.8695652173913043	0.014326600740743985	FAT3, FAT4, CELSR1	328	7	11944	15.606271777003483	0.9999998367405792	1.0	1.0
GOTERM_BP_DIRECT	GO:0030010~establishment of cell polarity	5	1.4492753623188406	0.01853784219239375	WEE1, KCNJ8, MYO9B, CLASP1, PARD3B	330	38	12219	4.87200956937799	0.9999999999999651	1.0	1.0
BIOCARTA	m_d4gdiPathway:D4-GDI Signaling Pathway	3	0.8695652173913043	0.019090131453332902	PARP1, ARHGDIB, ARHGAP5	23	10	989	12.9	0.8516521425487592	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:EGF-like 2; calcium-binding	5	1.4492753623188406	0.021357684567576567	NELL1, FAT4, CELSR1, LDLR, THBS3	328	39	11944	4.668542839274546	0.9999999999298897	1.0	1.0
INTERPRO	IPR002126:Cadherin-like_dom	6	1.7391304347826086	0.022078359803274116	FAT3, FAT4, PCDHB22, CELSR1, PCDHB9, CDH8	333	59	12169	3.7162925637501907	0.9999999995600385	1.0	1.0
GOTERM_CC_DIRECT	GO:0005667~transcription regulator complex	13	3.768115942028986	0.022404863345133655	ABT1, PARP1, MGA, NFYC, ETS1, SOX17, CDK4, NAA15, TEAD1, RCOR2, SOX4, GZF1, SOX5	340	226	12323	2.084838625715773	0.999791321307137	1.0	1.0
GOTERM_CC_DIRECT	GO:0001669~acrosomal vesicle	7	2.0289855072463765	0.022694017973756177	CXADR, GOLGA1, ACRBP, ENKUR, CYP51, LYZL6, RCBTB2	340	80	12323	3.171360294117647	0.9998131778598167	1.0	1.0
SMART	SM00112:CA	6	1.7391304347826086	0.023515831565033247	FAT3, FAT4, PCDHB22, CELSR1, PCDHB9, CDH8	190	58	6677	3.635390199637024	0.9833115683206608	1.0	1.0
INTERPRO	IPR015919:Cadherin-like_sf	6	1.7391304347826086	0.023565605581052786	FAT3, FAT4, PCDHB22, CELSR1, PCDHB9, CDH8	333	60	12169	3.6543543543543544	0.9999999998987112	1.0	1.0
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding	32	9.27536231884058	0.02529226195405023	ZFP945, ZFP449, 5730507C01RIK, ETS1, CIART, ELK4, A430033K04RIK, ZFP160, SOX17, DHX36, TEAD1, SOX4, ZFP341, SOX5, EMX2, MYEF2, ZFP956, ZFP3, MGA, NFYC, POU6F2, ZFP938, ZBTB34, GRHL2, POU3F4, MYCL, ZFP472, HBP1, ZFP850, ZFP772, ZFP111, GZF1	331	787	12083	1.4843011627773064	0.9999992590275801	1.0	1.0
GOTERM_BP_DIRECT	GO:0016126~sterol biosynthetic process	4	1.1594202898550725	0.028702553126917902	NSDHL, HMGCS1, INSIG1, CYP51	330	25	12219	5.924363636363636	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042273~ribosomal large subunit biogenesis	4	1.1594202898550725	0.031816466845098576	SURF6, NOC2L, SDAD1, RRP8	330	26	12219	5.696503496503497	1.0	1.0	1.0
SMART	SM00181:EGF	9	2.608695652173913	0.0319536187474703	NTNG2, NELL1, ATRNL1, FAT3, FAT4, CELSR1, PCSK6, LDLR, THBS3	190	131	6677	2.4143431096826036	0.9962490565120256	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0469~Meiosis	5	1.4492753623188406	0.03281919186726841	SYCE2, SUN1, MEI4, SLC26A8, TRIP13	175	48	6854	4.079761904761904	0.9373188976488434	0.9661601106401353	0.9661601106401353
INTERPRO	IPR016137:RGS	4	1.1594202898550725	0.03290173267535729	RGS4, RGS3, RGS14, RGS8	333	26	12169	5.622083622083622	0.9999999999999905	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:RGS	4	1.1594202898550725	0.033191713257531626	RGS4, RGS3, RGS14, RGS8	328	26	11944	5.602251407129455	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0009968~negative regulation of signal transduction	5	1.4492753623188406	0.034710399178203094	RGS4, SOCS3, RGS3, RGS14, RGS8	330	46	12219	4.024703557312253	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002682~regulation of immune system process	4	1.1594202898550725	0.035099679777330264	ZFP3, PSG16, 5730507C01RIK, ZBTB34	330	27	12219	5.485521885521886	1.0	1.0	1.0
SMART	SM00315:RGS	4	1.1594202898550725	0.035980685091938205	RGS4, RGS3, RGS14, RGS8	190	26	6677	5.4064777327935225	0.998168754821363	1.0	1.0
GOTERM_BP_DIRECT	GO:0045765~regulation of angiogenesis	4	1.1594202898550725	0.038550737274726084	RNH1, FKBPL, EMP2, ETS1	330	28	12219	5.289610389610389	1.0	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0153~Cholesterol metabolism	5	1.4492753623188406	0.03977766177882927	NSDHL, HMGCS1, INSIG1, LDLR, CYP51	175	51	6854	3.839775910364146	0.9655761203253597	0.9661601106401353	0.9661601106401353
INTERPRO	IPR036305:RGS_sf	4	1.1594202898550725	0.039845472599315354	RGS4, RGS3, RGS14, RGS8	333	28	12169	5.220506220506221	1.0	1.0	1.0
INTERPRO	IPR044926:RGS_subdomain_2	4	1.1594202898550725	0.039845472599315354	RGS4, RGS3, RGS14, RGS8	333	28	12169	5.220506220506221	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 5	4	1.1594202898550725	0.04019140953898188	FAT3, FAT4, CELSR1, CDH8	328	28	11944	5.2020905923344944	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:EGF-like 1; calcium-binding	3	0.8695652173913043	0.04114788593675409	NELL1, CELSR1, THBS3	328	12	11944	9.103658536585366	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 4	4	1.1594202898550725	0.043948534506448166	FAT3, FAT4, CELSR1, CDH8	328	29	11944	5.022708158116064	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 3	4	1.1594202898550725	0.043948534506448166	FAT3, FAT4, CELSR1, CDH8	328	29	11944	5.022708158116064	1.0	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-1207~Sterol metabolism	5	1.4492753623188406	0.044848779510783185	NSDHL, HMGCS1, INSIG1, LDLR, CYP51	175	53	6854	3.694878706199461	0.97781868947483	0.9661601106401353	0.9661601106401353
GOTERM_BP_DIRECT	GO:0006695~cholesterol biosynthetic process	4	1.1594202898550725	0.04594905358754068	NSDHL, HMGCS1, INSIG1, CYP51	330	30	12219	4.936969696969697	1.0	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0752~Steroid biosynthesis	4	1.1594202898550725	0.04656193304289809	NSDHL, HMGCS1, HSD17B12, CYP51	175	32	6854	4.895714285714286	0.9808893055611783	0.9661601106401353	0.9661601106401353
INTERPRO	IPR010909:PLAC	3	0.8695652173913043	0.04746927790723436	ADAMTS2, ADAMTS3, PCSK6	333	13	12169	8.433125433125433	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:PLAC	3	0.8695652173913043	0.04776720824695743	ADAMTS2, ADAMTS3, PCSK6	328	13	11944	8.403377110694183	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045947~negative regulation of translational initiation	3	0.8695652173913043	0.05313819838776109	BANK1, EIF4EBP1, EIF4EBP2	330	14	12219	7.934415584415583	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0023019~signal transduction involved in regulation of gene expression	3	0.8695652173913043	0.05313819838776109	PARP1, SOX17, TRAF2	330	14	12219	7.934415584415583	1.0	1.0	1.0
INTERPRO	IPR008606:EIF4EBP	2	0.5797101449275363	0.053822727467439456	EIF4EBP1, EIF4EBP2	333	2	12169	36.54354354354354	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 28	2	0.5797101449275363	0.054008213494433764	FAT3, FAT4	328	2	11944	36.41463414634146	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 32	2	0.5797101449275363	0.054008213494433764	FAT3, FAT4	328	2	11944	36.41463414634146	1.0	1.0	1.0
UP_SEQ_FEATURE	REPEAT:RPEL 4	2	0.5797101449275363	0.054008213494433764	PHACTR3, PHACTR1	328	2	11944	36.41463414634146	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 30	2	0.5797101449275363	0.054008213494433764	FAT3, FAT4	328	2	11944	36.41463414634146	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 33	2	0.5797101449275363	0.054008213494433764	FAT3, FAT4	328	2	11944	36.41463414634146	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 31	2	0.5797101449275363	0.054008213494433764	FAT3, FAT4	328	2	11944	36.41463414634146	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 29	2	0.5797101449275363	0.054008213494433764	FAT3, FAT4	328	2	11944	36.41463414634146	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 1	4	1.1594202898550725	0.05622089864341341	FAT3, FAT4, CELSR1, CDH8	328	32	11944	4.551829268292683	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 2	4	1.1594202898550725	0.05622089864341341	FAT3, FAT4, CELSR1, CDH8	328	32	11944	4.551829268292683	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	17	4.9275362318840585	0.06041076908489569	CXADR, ICAM2, EMP2, PCDHB22, CELSR1, GRHL2, CDH8, THBS3, PARD3B, CD24A, COL6A2, LPXN, FAT3, FAT4, DSCAML1, PCDHB9, SSX2IP	330	388	12219	1.6223289597000938	1.0	1.0	1.0
UP_KW_DOMAIN	KW-0245~EGF-like domain	9	2.608695652173913	0.060611189500619875	NTNG2, NELL1, ATRNL1, FAT3, FAT4, CELSR1, LDLR, SORL1, THBS3	236	150	8360	2.1254237288135593	0.803220454742948	0.7980269643055343	0.7980269643055343
UP_KW_DOMAIN	KW-0677~Repeat	102	29.565217391304348	0.06138668956196418	RNH1, ZFP449, ICAM2, TXNDC11, CELSR1, CDH8, IFIT3, RCBTB2, RPS6KA6, A430033K04RIK, ZFP160, PTTG1, ADNP2, PDGFRB, CXADR, FKBPL, ZFP3, LMO3, ISLR2, CASK, THOC6, KLHL42, DGKQ, ZFP850, ANKRD16, CACNA1B, AAAS, NEU2, DHX36, OTOF, LPXN, RHBDL3, ZFP341, NTNG2, BRPF1, WSCD1, TBL3, LRFN1, DMXL1, ZFP472, COL9A3, FAT3, FAT4, PCDHB9, RCOR2, ZFP111, FANK1, ARHGAP5, ADAMTS2, ADAMTS3, PHACTR3, PHACTR1, NEFH, SH3D19, UTP15, PARP1, TTC33, RBM19, ZFP938, TRAF2, CCSAP, PARD3B, MMP11, RCN1, BANK1, GORASP1, COL6A2, IGDCC3, SDHAF1, ZFP772, DSCAML1, VAC14, ZFP423, RGS14, ANKS1, ZFP945, 5730507C01RIK, ASB11, PCDHB22, THBS3, STRN3, ANKMY2, IL1RL2, LDLR, CLASP1, JAZF1, CDKN2C, MYEF2, GCA, ATRNL1, CRYBB1, MYO9B, SORBS2, SORL1, KBTBD11, NELL1, LRG1, SLC25A32, NAA15, ESYT1, RBM45, GZF1	236	3171	8360	1.1394576912592405	0.8074008241275983	0.7980269643055343	0.7980269643055343
INTERPRO	IPR012317:Poly(ADP-ribose)pol_cat_dom	3	0.8695652173913043	0.061670656820431165	PARP4, PARP1, PARP8	333	15	12169	7.308708708708709	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:PARP catalytic	3	0.8695652173913043	0.06205033704872319	PARP4, PARP1, PARP8	328	15	11944	7.282926829268292	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Cadherin 6	3	0.8695652173913043	0.06205033704872319	FAT3, FAT4, CELSR1	328	15	11944	7.282926829268292	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	11	3.1884057971014492	0.06253905033834477	RGS4, RGS3, RGS14, DLC1, ARHGDIB, MYO9B, RGS8, GAPVD1, ARFGAP3, ARHGAP5, TBC1D16	331	210	12083	1.9121421378218961	0.9999999999999997	1.0	1.0
GOTERM_CC_DIRECT	GO:0005929~cilium	12	3.4782608695652173	0.06329931172833231	FANK1, ANKMY2, EHD3, DZIP1L, ARMC9, MKS1, CDK20, SPA17, CCSAP, TAPT1, ENKUR, LYZL6	340	237	12323	1.835145197319434	0.9999999999760826	1.0	1.0
INTERPRO	IPR000742:EGF-like_dom	9	2.608695652173913	0.06391785128987071	NTNG2, NELL1, ATRNL1, FAT3, FAT4, CELSR1, PCSK6, LDLR, THBS3	333	156	12169	2.1082813582813587	1.0	1.0	1.0
SMART	SM00282:LamG	4	1.1594202898550725	0.06548069610916371	NELL1, FAT3, FAT4, CELSR1	190	33	6677	4.2596491228070175	0.9999912665947879	1.0	1.0
INTERPRO	IPR013087:Znf_C2H2_type	21	6.086956521739131	0.06553873270812248	ZFP423, BRPF1, ZFP945, ZFP956, ZFP3, ZFP449, 5730507C01RIK, ZFP938, SORBS2, ZBTB34, A430033K04RIK, ZFP160, ZFP472, DZIP1L, ADNP2, ZFP850, ZFP772, ZFP111, GZF1, ZFP341, JAZF1	333	509	12169	1.5076904016000283	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043330~response to exogenous dsRNA	3	0.8695652173913043	0.06766330109517522	KCNJ8, DHX36, MAPK3	330	16	12219	6.942613636363636	1.0	1.0	1.0
INTERPRO	IPR046328:ETS_fam	3	0.8695652173913043	0.06924433025115939	ELK4, ERF, ETS1	333	16	12169	6.851914414414415	1.0	1.0	1.0
INTERPRO	IPR000418:Ets_dom	3	0.8695652173913043	0.06924433025115939	ELK4, ERF, ETS1	333	16	12169	6.851914414414415	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:1990404~NAD+-protein ADP-ribosyltransferase activity	3	0.8695652173913043	0.06937101151145497	PARP4, PARP1, PARP8	331	16	12083	6.844599697885197	1.0	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	9	2.608695652173913	0.06957315481421031	ANKMY2, EHD3, DZIP1L, MKS1, CDK20, CCSAP, TAPT1, ENKUR, LYZL6	280	167	10744	2.0679213002566295	0.930618673485687	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:ETS	3	0.8695652173913043	0.06966652485498001	ELK4, ERF, ETS1	328	16	11944	6.827743902439024	1.0	1.0	1.0
UP_SEQ_FEATURE	DNA_BIND:ETS	3	0.8695652173913043	0.06966652485498001	ELK4, ERF, ETS1	328	16	11944	6.827743902439024	1.0	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Acidic residues	28	8.115942028985506	0.07097569196315062	CDKN1C, CCDC166, NOP2, NOC2L, SDAD1, ACRBP, THBS3, STRN3, OSBPL10, RGS3, FRAT2, OTOF, PHACTR1, NEFH, SOX5, JAZF1, NOP58, MGA, RBM19, ISLR2, MYCL, TUBB2B, BANK1, DMXL1, SLC26A8, ERF, TNIK, GEMIN8	328	733	11944	1.3910092170498787	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	19	5.507246376811594	0.07191370125894696	NECAB3, GCA, EDEM2, CACNA1B, PCDHB22, CELSR1, CDH8, THBS3, NELL1, EHD3, RCN1, EEF2K, OTOF, FAT3, ESYT1, FAT4, RHBDL3, LDLR, PCDHB9	331	454	12083	1.5277226932137296	1.0	1.0	1.0
SMART	SM00413:ETS	3	0.8695652173913043	0.07375784677091003	ELK4, ERF, ETS1	190	16	6677	6.589144736842106	0.9999981093062265	1.0	1.0
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	7	2.0289855072463765	0.07388068643674034	FAT3, FAT4, PCDHB22, CELSR1, DSCAML1, PCDHB9, CDH8	330	109	12219	2.3778982485404505	1.0	1.0	1.0
INTERPRO	IPR001791:Laminin_G	4	1.1594202898550725	0.07420399882129443	NELL1, FAT3, FAT4, CELSR1	333	36	12169	4.060393727060394	1.0	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:HMG box	4	1.1594202898550725	0.07480981443950557	SOX17, HBP1, SOX4, SOX5	328	36	11944	4.046070460704607	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0042923~neuropeptide binding	3	0.8695652173913043	0.07724325584071816	NPY1R, SORL1, SSTR4	331	17	12083	6.441976186244892	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0000472~endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2	0.5797101449275363	0.07862670910965726	ABT1, TBL3	330	3	12219	24.684848484848484	1.0	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0753~Steroid metabolism	5	1.4492753623188406	0.07884090672150705	NSDHL, HMGCS1, INSIG1, LDLR, CYP51	175	64	6854	3.0598214285714285	0.9989040886601984	1.0	1.0
