Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005730~nucleolus	133	7.907253269916765	9.947465751637335E-9	POP5, MIDN, POP7, FCF1, GPATCH4, ADARB1, TTF1, RPL6, PYCARD, GLE1, RPS14, ALKBH2, RGS2, RPS19, RBMX2, OSBP, CAPN3, TRIM27, NUDT16, NBN, SNRNP35, PHLDA1, CDK5RAP3, RPS9, DAXX, KDM2B, IMP3, FBXW7, PUS1, RPS5, NGDN, RPS6, WDR74, VRK1, LARP4B, THAP2, JMJD6, ILF3, COX7A2L, ZFP692, INO80B, ITPR1, CDCA8, ORC4, MYG1, EMG1, PDCD11, OARD1, DDRGK1, NACC2, ABL1, COX10, PPP1R26, RASL10A, NOP16, PNO1, CCDC137, MAD2L1BP, XRCC1, RCL1, CDK8, ABTB1, UBE2T, INTS4, ANP32B, NOL12, MUS81, TSEN15, NVL, SUV39H1, CHD7, CTCF, KRI1, RPS4X, XPO1, MRPL40, NOB1, SFR1, UBXN8, METTL18, PELP1, GET4, ACTR6, AXIN1, AEN, DDX50, ETV6, MRPS9, RNF169, PLSCR2, GM5124, FAM32A, ANG, TOP1, ERGIC2, PAFAH1B2, ZFP771, TSEN34, AU040320, DDX24, DCTN3, DDX23, MRPS31, TMA16, EXOSC7, RXRB, EXOSC5, EXOSC4, HIRIP3, RBBP5, SAP30L, EXOSC8, RPS3, FLNA, POLR2I, EXOSC2, UTP6, TRIM41, MYO10, TMUB1, ELP3, PNMA2, PML, WEE1, CENPH, RPS3A1, SNX15, CENPP, NRDE2, YPEL4, YPEL3, SPC24, GZF1	1658	796	16206	1.6331643137278673	9.58931104333427E-6	9.58935698457839E-6	9.430197532552193E-6
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	384	22.829964328180736	1.6457951075832234E-6	TCERG1, MDC1, MTRR, ADARB1, PTPDC1, NFU1, CDC20, ALKBH2, ZFYVE27, CCDC91, RPS19, PSMD4, TRIM28, AKT2, ZC3H12A, DAG1, KAT8, TRIM25, FBXO5, SOX9, TRIM27, PRKAB2, DAXX, SAP30BP, RBFOX3, IMP3, ZFP3, NFKBIL1, NGDN, WDR74, SCRIB, CSNK1D, MIF, JMJD6, WDR77, EID1, MTAP, ETHE1, CLNS1A, SPATA13, AKIP1, RFX5, FUT10, STXBP1, SHMT1, XPA, NAIF1, CDCA8, OSGEP, PPP4C, HSPH1, ZFP180, GAR1, TSPAN5, PIP5K1C, HIVEP2, NGFR, WWTR1, HEXIM2, SIVA1, PNO1, PLK2, NCAPH2, EAF1, MICAL3, MAD2L1BP, XRCC1, PTK6, NR2F2, INO80, BTBD10, THAP11, SRPK1, FOSL2, MLLT11, NAPEPLD, PSMG1, ANP32B, ITPA, EZH1, CC2D1B, PCSK2, ELL, CITED2, SUV39H1, KDM8, HILPDA, BHLHE41, PRKAG1, HSCB, CTCF, BRCA1, ECSIT, JPH1, MYPN, LIMD2, BABAM1, TRMT112, UCHL1, MED14, XPO1, MTG1, UBXN8, FEZF1, MRPS26, ANXA1, ZHX3, NCOA5, MIOS, NCOA6, NCOA3, KIF23, AEN, IL17RD, SREBF2, UCHL4, COMMD5, MED28, DDB2, MED22, RNF169, MED24, PLSCR2, MTF1, MED20, GM5124, FAM32A, CACTIN, SLU7, STK40, DCP2, NEDD9, ZFP948, CCDC106, CAMKK1, RXRB, PSMC3IP, PAK1, PSMB4, EXTL2, EXOSC5, EXOSC4, PSMB5, RECQL5, UBN2, EXOSC8, SHOC2, DCPS, EXOSC2, BRD4, CDKN2D, CENPV, YIPF1, RPA1, RPA2, VWA3B, SNCAIP, MLH1, TARBP2, MZT2, SKI, NUDT22, RIT2, PHF5A, FABP4, NFIA, CENPH, KLHL8, TRIP12, NCAPD2, CENPO, CENPP, CENPQ, SPC24, TJP3, ZFP28, GZF1, DCLRE1B, MORC2A, MORC2B, JADE1, RORC, PARK7, TTF1, PYCARD, STK11, UROD, OSBP, NEK1, TNFRSF8, SLC26A11, BANF1, NBN, NUDT16, TXNL4A, MAF1, PHLDA1, AP5S1, IK, TLE1, KDM2B, FBXW7, PUS1, IPMK, ZBTB37, CEP131, ZBTB34, VRK1, CHD1L, VRK3, GTF2F1, SUPT7L, ILF3, OLFM2, DMTF1, MAPKAPK2, ZFP692, UTRN, ZFP212, FKBP6, SNRPB, GLYR1, TRIM34A, CSF1R, INO80B, RNASEH2A, TUBGCP2, NOTCH4, IL4RA, SPATA2, PSEN1, NRF1, FOXO4, HOXB13, FOXO3, PDS5A, NPAS3, SYCE2, ORC4, HMBOX1, MYG1, EMG1, BAG3, OARD1, UBR5, ZKSCAN3, ABL1, SAFB2, NDN, NPHP4, E4F1, DMAP1, IP6K1, MARK2, MFAP3L, BCL9L, KLHDC3, OSBPL7, NOP16, VTA1, BCDIN3D, ZBTB12, RFXANK, FANCE, SMAD6, LSM4, NMRAL1, SMAD7, ARHGAP33, CDK8, TLX3, CDK5, UBE2T, MAN2B1, CLASRP, MNAT1, MXD1, COPE, ZFP473, CUEDC2, DYRK3, NXT1, DDX3X, MCM7, NVL, ONECUT1, CHD7, DPY30, CHD5, TRIAP1, LMNB1, DUSP12, MRPL2, CASP8, DUSP10, SFR1, SNRNP70, SUMO3, PDE4A, EXO5, POLL, MYBL2, HIF1AN, NEO1, PRKG1, PELP1, GET4, DACT1, METTL17, RFC1, CHUK, DNMT3A, ELAC1, UBE2QL1, VPS37A, PLRG1, RANGAP1, EPN3, DUSP23, SMDT1, NSMCE4A, EEF1D, HAND2, SUPT5, POLR1D, DNAJC9, NAF1, NAA38, TOP1, DNAJC8, MS4A1, DCTPP1, ZFP771, BIRC3, TSEN34, HDAC4, SMARCD2, GTF3C5, CEBPD, NDUFB5, DDX23, LEF1, RNF8, RCHY1, LAGE3, TMA16, NFS1, HIRIP3, RBBP5, SAP30L, BAHD1, MKNK1, POLD2, POLR2E, POLR2H, BUB3, POLR2I, MTA3, MAPK3, USP26, CIZ1, DUT, TAF15, PRRX1, BNIP3, FOXJ2, ARID3B, USF2, MAPK12, PML, WARS2, DHODH, MAPK11, WEE1, POLR3A, PAGR1A, TNIP2, ERCC1, KANSL3, FAM131B, POLR3G, POLR3H, TAF6, NRDE2	1658	3040	16206	1.2346644657482067	0.0015852898876100863	7.932732418551137E-4	7.801068809944479E-4
UP_KW_PTM	KW-0007~Acetylation	363	21.581450653983353	3.086344979015105E-6	RPL4, MDC1, SLC46A1, RFESD, ECI1, CISD1, GPATCH4, ABAT, PWP2, RPL6, RPL7, GLS, CDC20, GOLGA5, RPS19, TRIM28, AKT2, FTH1, KAT8, TRIM25, SOX9, GRCC10, MECR, CSNK2A2, CMC1, NGDN, TALDO1, MIF, GNPAT, MTAP, COX7A2L, MTHFD1, KATNAL1, ETHE1, SARNP, CLNS1A, RFX5, TAGLN2, TELO2, GPM6A, LXN, ANAPC16, XPA, MRPL13, PRDX5, PPP4C, PRPSAP2, HSPH1, PDCD11, GRPEL2, PIP5K1C, PLCG1, HMOX2, MAP9, PMM1, CHKA, ARPP21, HOMER1, TMEM50A, RAB27A, PYCR2, INO80, LARP6, FOSL2, AIMP1, FASN, NAPEPLD, PSMG3, ECHDC2, INTS4, PSMG1, FARSA, ITPA, ELL, TGFB1I1, GBE1, SUV39H1, CLTC, ARHGAP1, GPT, CTCF, BRCA1, WDR44, LIMD2, FARS2, BABAM1, TMEM47, PPP3CB, XPO1, PBK, SH3BGRL3, JAK1, ACAD8, MRPS26, NUDC, TMED9, ANXA1, NCOA5, STARD3NL, NCOA6, NCOA3, AKR1A1, TMEM40, ZDHHC13, PTGR1, FAHD2A, COMMD5, DDB2, VAMP8, PHF20L1, RPUSD1, CNEP1R1, MTF1, TNNT2, MAPRE1, ERGIC3, DLD, SLU7, MPND, PAFAH1B2, VAMP2, AMER1, SPRR3, SF3B2, AHCY, GSTP1, PRIM1, ATL1, SSNA1, ASCL1, PTGS2, EXOSC7, ARFRP1, PAK1, PSMB4, CHRAC1, EXOSC4, UBN2, EXOSC8, RPS3, FLNA, TAF9B, DCPS, MAP4K4, BRD4, CDKN2D, DYNC1H1, SF3A2, GOLM1, YIPF3, GSS, GINS4, RPA1, RPA2, PNMA2, PEX14, SPCS2, PHF5A, FABP4, CENPH, GPAM, KLHL8, CCDC6, TRIP12, LAMTOR4, FRA10AC1, PECR, ANKRD13B, ZFAND6, MORC2A, ROGDI, ZFAND5, MORC2B, JADE1, BUB1B, UBE3B, PARK7, ACTG1, TOMM22, STK11, DEPTOR, UROD, OSBP, BANF1, TMSB10, PDIA3, RPS9, IK, ANAPC7, RPS5, IPMK, RPS6, LARP4B, PGD, 1110059E24RIK, GTF2F1, ILF3, SNRPF, SQSTM1, FTO, RNASEH2C, RNASEH2A, UBA6, NTPCR, FOXO4, FOXO3, PDS5A, TMEM242, KLC4, MYG1, ZMAT2, PITRM1, BAG3, OARD1, UBR5, ABL1, SAFB2, EP400, MAP2K7, RAB6A, MPDU1, BCL9L, UBE2H, CCDC12, NOP16, HSPA4, KLHL26, VTA1, GOT2, DSTN, DNAJC12, CNOT10, ESRRG, CWC15, TVP23B, LSM4, SMAD7, HIGD2A, LSM7, BFSP2, CDK5, CHMP2A, CRYL1, MNAT1, ACBD3, DNAL1, EIF4G2, UBE2M, MIPEP, RBM25, NXT1, DDX3X, MCM7, NVL, HP1BP3, E130311K13RIK, DPY30, ETFB, TRIAP1, LMNB2, LMNB1, RPS4X, DUSP12, FYCO1, CASP8, SNRNP70, ME1, IDH3B, HIF1AN, DNM1L, PRKG1, PELP1, GET4, ILKAP, BCKDHA, UNC45A, BCAS3, RFC3, HSDL1, RFC2, ACTR6, VPS13C, DCXR, AHSA1, HAUS3, TRPT1, FAM219A, PLRG1, HAUS5, RANGAP1, YWHAZ, NIPSNAP1, PTBP2, ETV6, QTRT1, ACTA1, PCCA, EEF1D, EHHADH, SUPT5, RASA2, POLR1D, BIRC5, NAF1, NAA38, TOP1, DNAJC8, DCTPP1, PFDN6, TRABD, TSSC4, LRP1, GTF3C5, CEBPD, MVP, GMPR2, DCTN3, RAP1GDS1, RRBP1, GLRX, HSD17B10, RNF5, F8A, U2AF1L4, CRYZ, UGP2, HECTD3, CCDC85B, SAP30L, POLD2, VPS52, POLR2E, SNRPB2, POLR2H, BUB3, PDLIM5, POLR2I, ATP9A, CYTH1, EIF4B, MAPK3, MLXIP, SPAG7, NDUFA7, SSB, PPP1R14C, MYO10, PRRX1, MID1IP1, FOXJ2, NAP1L1, ARID3B, PML, EIF3K, CDKN2AIPNL, RPS3A1, ERCC1, POLE3, BAX, KRAS, EIF3F, SUGT1, NRDE2	1164	2823	11061	1.221904203687676	8.332797106047618E-5	8.641765941242294E-5	8.641765941242294E-5
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	31	1.8430439952437574	5.999453105842153E-6	RPL4, RPLP0, MRPS31, MRPL14, MRPL34, MRPL13, RPL6, RPL7, MRPL11, RPS4X, RPS14, MRPL2, RPS19, RPS3, MRPL9, METTL17, RPS9, NDUFA7, IMP3, RPS5, RPS6, MRPL49, MRPL27, MRPL23, MRPS5, RPS26, MRPS9, MRPL51, RPS3A1, RPL37A, FAU	1607	126	15909	2.435668355705692	0.009689889128711049	0.009737112390781814	0.009737112390781814
GOTERM_BP_DIRECT	GO:0006412~translation	43	2.5564803804994054	1.9003519400424743E-5	RPL4, MRPL14, MRPL34, MRPL13, RPL6, FARS2, RPL7, MRPL11, RPS4X, RPS14, MRPL2, RPS19, RPS3, MRPL9, EIF4B, METTL17, RPS9, EIF2B2, RPS5, RPS6, MRPL49, EIF2AK3, MRPL27, MRPL23, MRPS5, WARS2, AIMP1, RPS26, ABTB1, MRPS9, MRPL51, EIF3K, EEF1D, RPS3A1, RPL37A, EIF3H, TARS2, FAU, EIF3F, FARSA, CARS2, EIF4G3, EIF4G2	1647	211	16051	1.986069746228242	0.09486792467118588	0.09967345925522778	0.09967345925522778
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	31	1.8430439952437574	2.113288194147348E-5	RPL4, RPLP0, MRPS31, MRPL14, MRPL34, MRPL13, RPL6, RPL7, MRPL11, RPS4X, RPS14, MRPL2, MRPL40, RPS19, RPS3, MRPL9, MRPS26, RPS9, RPS5, RPS6, MRPL49, MRPL27, MRPL45, MRPL23, MRPS5, RPS26, MRPS9, MRPL51, RPS3A1, RPL37A, FAU	892	137	9017	2.2873801184903932	0.0020478115756179527	0.0020498895483229275	0.0020498895483229275
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	215	12.782401902497028	3.0998094749108655E-5	APP, ACSM2, ISOC2B, ECI1, ARAF, CISD1, ABAT, NUDT6, IFIT3, GLS, NFU1, RPS14, FTH1, FDXR, KAT8, VPS35, TRIM27, GABARAPL1, STARD4, MECR, PRKCE, CMC1, RSAD1, NGDN, BOLA1, GTPBP8, HOGA1, COX7A2L, MTHFD1, WDR81, SCO2, ETHE1, DDIT4, TARS2, STXBP1, SHMT1, NAIF1, MRPL14, MRPL13, MRPL11, PGS1, DGUOK, PRDX5, RHOT2, GRPEL2, MYL10, SMCP, NDFIP2, DMPK, SIVA1, IRGM2, ABCA9, MRPL27, CIDEA, PYCR2, MRPL23, NDUFAF6, TH, FASN, AGO2, ADCK5, ECHDC2, CLTC, HSCB, IDE, ECSIT, MRPL34, TMEM186, BBC3, FARS2, MRPL40, MTG1, MTG2, NEFH, GIT1, COX8A, ACAD8, COX8C, MRPS26, NCOA4, MRPL49, TIMM22, AP3B1, TIMM21, MRPL45, FAHD2A, MRPS5, SIRT3, VAMP8, MRPS9, MRPL51, RPUSD3, DLD, GSTP1, MRPS31, FITM2, TIMM10, TRAK1, RBFA, PSMB4, SAMM50, UCP2, RPS3, GPAT2, DCPS, EMC8, NKTR, TEFM, MTX1, PNPLA8, G0S2, SLC8B1, NUDT9, GPAM, PECR, PARK7, COX6A2, GIMAP8, TOMM22, PYCARD, STK11, AP2M1, MAP2K1, FBXW7, PUS1, TOMM34, SDHD, TMEM135, ILF3, ARMCX1, ARMCX6, CARS2, SQSTM1, TRIM34A, HTRA2, PSEN1, FOXO3, DNAJC28, TMEM242, MYG1, BCL2L11, RNASEH1, PITRM1, NACC2, ABL1, COX10, HSPA4, UQCC1, GOT2, TIMM44, CWC15, COQ6, HIGD2A, QDPR, BCL2, MXD1, ACBD3, NIT1, RNF185, BCL2L1, MIPEP, ETFB, TRIAP1, FUNDC2, MRPL2, CASP8, ME1, IDH3B, EXO5, MRPL9, USP30, DNM1L, METTL17, BCKDHA, STPG1, HSDL1, VPS13C, NDUFC1, YWHAZ, NIPSNAP1, QTRT1, SMDT1, PCCA, EHHADH, HKDC1, DNAJC4, NDUFS3, PFDN2, RBMS3, MTFP1, NDUFB5, RAP1GDS1, GLRX, HSD17B10, RNF5, GK5, CKMT2, NFS1, SLC25A28, RAB24, MAPK3, MLXIP, NDUFA7, DUT, BAD, BNIP3, MYO19, MAPK12, WARS2, DHODH, SLC25A38, PPP2R2B, GLOD4, KANSL3, BAX	1658	1620	16206	1.2972233391413126	0.02944055517074362	0.00985015637830343	0.009686668305634494
GOTERM_CC_DIRECT	GO:0005634~nucleus	635	37.75267538644471	4.0872018167234153E-5	RPL4, POP5, MDC1, POP7, EQTN, TESK1, WDR83, ADARB1, BACH1, RPL6, GLE1, ALKBH2, PSMD9, A430033K04RIK, PSMD4, AKT2, ZC3H12A, CDK5RAP3, ZFP286, PRKCG, PRKAB2, DAXX, SAP30BP, MECR, RBFOX3, PRKCE, NGDN, CSNK2A2, WDR74, KNSTRN, WDR77, EID1, MTAP, CLNS1A, ETHE1, SARNP, AKIP1, RFX5, PRKCQ, ANAPC16, AIRE, SHMT1, XPA, NAIF1, CDCA8, PRDX5, PPP4C, HSPH1, ADAMTS18, ZFP180, GAR1, CDK18, HEXIM2, DMPK, SIVA1, PNO1, PLK2, NCAPH2, PBX3, EIF2AK3, MAD2L1BP, NR2F2, INO80, BTBD10, LARP6, THAP11, FOSL2, MLLT11, PKIB, AGO2, NAPEPLD, PSMG2, EZH1, ELL, TGFB1I1, KDM8, RPLP0, BHLHE41, PRKAG1, FMN1, CTCF, ECSIT, MYPN, PQBP1, TRMT112, MED14, SMPD4, PBK, SH3BGRL3, RSPO1, TRP53INP2, JAK1, DUSP5, NUDC, ANXA1, TCF15, AEN, BAZ1A, NUDT16L1, MED28, DDB2, SIRT3, PHF20L1, MED22, RNF169, MED24, PLSCR2, MTF1, MED20, CACTIN, DLD, ERGIC2, SF3B2, GSTP1, FIGN, ASCL1, PSMB4, RECQL5, PSMB5, UBN2, SPOP, RPS3, FLNA, TAF9B, DTD1, NKTR, BRD4, CDKN2D, CENPV, UTP6, SF3A2, ELP3, TARBP2, SKI, CENPE, FABP4, PHF5A, CENPH, NFIA, TSR2, YPEL1, UBAP2, NCAPD2, CENPO, CENPP, CENPQ, YPEL4, YPEL3, GZF1, CRCP, RORC, STK19, PARK7, PYCARD, STK11, SALL3, NEK1, CLCC1, NBN, NUDT16, MAF1, SNRNP35, TXNL4A, PHLDA1, ZFP37, RPS9, IK, MAP2K1, TLE1, ANAPC7, FBXW7, USP4, MAGI3, RPS5, IGFBP3, IPMK, RPS6, VRK1, CHD1L, CYS1, VRK3, GTF2F1, CDC25A, ILF3, OLFM2, DMTF1, MAPKAPK2, ZFP692, SNRPF, ZFP212, SQSTM1, FKBP6, SNRPB, GLYR1, FTO, INO80B, RNASEH2C, RNASEH2A, NOTCH4, SPATA2, GSTT1, CREBL2, FOXO4, NRF1, FOXO3, NPAS3, ORC4, HMBOX1, SBNO2, BAG4, BAG3, OARD1, NACC2, UBR5, ZKSCAN3, ABL1, SAFB2, NDN, E4F1, IP6K1, MAP2K7, TOR1A, NOP16, RASL10A, FANCL, TNK2, LSM1, RFXANK, FANCC, ESRRG, LSM4, PTPRE, CDK8, LSM7, YEATS2, CDK5, CPD, RCAN3, BCL2, ZFP592, MNAT1, LHX9, ZFP473, BCL2L1, ZFP764, NXT1, MCM7, MCM9, ONECUT1, FHL2, FHL5, ATRAID, DUSP12, FUNDC2, DUSP10, NOB1, PPP6R1, SNRNP70, SUMO3, EXO5, HIF1AN, METTL18, PELP1, ILKAP, UNC45A, BCAS3, RFC3, RFC1, CHUK, RFC2, ACTR6, DNMT3A, ELAC1, VPS37A, PLRG1, RANGAP1, PTBP2, QTRT1, DUSP23, NSMCE4A, SUPT5, HAND2, POLR1D, BIRC5, DNAJC9, ANG, RP9, NAF1, TOP1, DNAJC8, ZFP652, ZFP771, BIRC3, HDAC4, ZFP787, SMARCD2, ZFP664, TSSC4, CEBPD, LRP1, GTF3C5, GLRX, RCHY1, LAGE3, TMA16, F8A, MLLT6, CECR2, NFS1, PARD6B, HIRIP3, DNAJB5, RBBP5, CCDC85B, BAHD1, DNAJB3, POLR2E, SNRPB2, POLR2H, POLR2I, ZFP661, ZKSCAN14, MLXIP, TUB, DUT, CIZ1, SPAG7, TRIM41, SSB, PRRX1, MID1IP1, AHNAK2, ZFP558, FOXJ2, TTC39C, PML, ASXL1, POLR3A, EIF3K, RPS3A1, PAGR1A, MAB21L2, POLR3G, POLR3H, PDCD2, APP, TCERG1, ISOC2B, CPNE7, FCF1, PWP2, NUDT6, NFU1, RPS14, FRAT2, TRIM28, RPS19, RASSF5, DAG1, KAT8, TRIM25, SOX9, TRIM27, FBXO5, IMP3, ZFP3, NFKBIL1, IFRD1, TALDO1, CSNK1D, THAP2, JMJD6, ZFP850, TELO2, BEX2, GGNBP2, ANP32A, DCUN1D4, OSGEP, PDCD11, INPP5K, HIVEP2, PPP1R26, WWTR1, MAGEE1, EAF1, CIDEA, MICAL3, XRCC1, PTK6, SRPK1, AIMP1, NDUFAF6, TH, INTS4, ANP32B, NOL12, CC2D1B, GM5141, CITED2, SUV39H1, CCDC124, IDE, BRCA1, LIMD2, BABAM1, XPO1, ZFP874B, ZFP874A, UBXN8, FEZF1, UBXN6, ZHX3, NCOA5, PABPC6, NCOA6, PABPC4, NCOA3, STRADB, ZFP811, KIF23, CCDC117, TUBG2, TUBG1, SREBF2, COMMD5, CNEP1R1, FAM32A, SLU7, STK40, DCP2, AMER1, MAGEH1, AHCY, PNCK, SSNA1, NEDD9, ZFP948, AKAP6, CCDC106, TRAK1, CAMKK1, RXRB, PSMC3IP, EXOSC7, PAK1, EXOSC5, CHRAC1, EXOSC4, SERTAD4, EXOSC8, SHOC2, APBB2, SCAND1, EXOSC2, DCPS, ZFP711, GINS4, RPA1, TMUB1, MOK, RPA2, PNMA2, MLH1, RIT2, CMSS1, TRIP12, B9D2, FAU, SPC24, TJP3, FRA10AC1, SIPA1, ZFP28, DCLRE1B, MIDN, MORC2A, MORC2B, ROGDI, PMCH, JADE1, BUB1B, TTF1, ACTG1, RGS2, RBMX2, CAPN3, BANF1, PDE8A, KDM2B, PUS1, RPP25L, SUPT7L, PXK, UBA6, HTRA2, PSEN1, HOXB13, PDS5A, SYCE2, EMG1, MYG1, RNASEH1, ZMAT2, EP400, USP50, DMAP1, MARK2, BCL9L, MFAP3L, CCDC134, UBE2H, MLKL, HSPA4, CCDC137, KLK1B24, CNOT10, CWC15, SMAD6, AZIN1, NMRAL1, PHOX2A, SMAD7, RCL1, TLX3, UBE2T, CHMP2A, CLASRP, MXD1, FGF13, MXD3, UBE2M, MXD4, FGF10, MUS81, ZMYND15, DYRK3, RBM25, CUEDC2, THRB, DDX3X, TSEN15, NVL, HP1BP3, CHD7, CBY1, CHD5, DPY30, TNFAIP1, TRIAP1, ZFP955B, NR2E3, LMNB2, LMNB1, RPS4X, CASP8, SFR1, PDE4A, TMEM109, POLL, MYBL2, USP30, ZFP280C, DACT1, USP46, STPG1, CAMK1D, USP44, AXIN1, UBE2QL1, MSL3L2, DDX50, YWHAZ, TGFBR1, ETV6, EPN3, EEF1D, ELF5, TRNP1, USP40, PFDN2, NAA38, DNASE1, RBMS3, TSEN34, RGS13, MVP, LEF1, RAP1GDS1, DDX23, DBX1, RNF8, DLL1, USP18, GNA13, CLN3, FAM120C, TBX21, SAP30L, MKNK1, POLD2, BUB3, MTA3, MAPK3, RWDD3, USP26, CHURC1, TAF15, BNIP3, DTNBP1, NAP1L1, LAMB1, ARID3B, TBX19, USP29, USF2, MAPK12, CHFR, MAPK11, CCS, WEE1, TEF, PITHD1, ERCC1, KANSL3, ALOX5AP, POLE3, SPRY2, BAX, TAF6, PDE7B, SUGT1, NRDE2, PAXBP1, R3HDM2	1658	5486	16206	1.1313819099565645	0.03863528965866536	0.00985015637830343	0.009686668305634494
UP_KW_PTM	KW-0832~Ubl conjugation	278	16.527942925089178	4.70613419281318E-5	RPL4, APP, TCERG1, MDC1, CISD1, GPATCH4, BACH1, RPL6, CDC20, RPS14, A430033K04RIK, PSMD4, TRIM28, MSANTD2, AKT2, ZC3H12A, TRIM25, FBXO5, SOX9, CDK5RAP3, PRKCG, DAXX, SAP30BP, ACTN2, ZFP3, SCRIB, CD2AP, TIAM1, ARC, RNF125, TRIM17, DDIT4, ORAI1, TAGLN2, DUS3L, TELO2, NPRL2, DCUN1D4, XPA, CDCA8, RHOT2, PDCD11, GAR1, PLCG1, WWTR1, NDFIP2, FZD4, IRGM2, XRCC1, FOSL2, MLLT11, FASN, AGO2, SASS6, INTS4, EZH1, SUV39H1, RPLP0, BHLHE41, CTCF, BRCA1, ECSIT, SH3RF1, ZMYM1, PBK, RNF152, JAK1, MAP4K1, ANXA1, KIF23, BAZ1A, NUDT16L1, SREBF2, DDB2, PHF20L1, RNF167, RNF169, KIT, CACTIN, SLU7, SF3B2, NEDD9, WDR24, UBN2, RPS3, FLNA, PCNT, NKTR, BRD4, ZFP711, SLC31A2, MTX1, RPA1, MIB2, RPA2, SORBS2, SNCAIP, SKI, CENPE, CENPH, LAMTOR1, YPEL3, DCLRE1B, MORC2A, MORC2B, JADE1, BUB1B, PARK7, TTF1, ACTG1, PYCARD, LAPTM4B, DEPTOR, RBMX2, NBN, MAF1, SNRNP35, SLC39A4, MAP3K5, RPS9, IK, FBXW5, TLE1, KDM2B, FBXW7, USP4, RPS5, SKIDA1, RPS6, CEP131, TOMM34, VRK1, FRMD4B, VRK3, SUPT7L, CDC25A, MAG, ILF3, MAPKAPK2, SCNN1A, TSSK6, SQSTM1, GLYR1, CSF1R, PEF1, ITPR1, KLHL12, NRF1, FOXO4, FOXO3, SOCS2, HMBOX1, ATXN2, BCL2L11, ZMAT2, UBR7, BAG3, DDRGK1, NACC2, ZKSCAN3, ABL1, SAFB2, G3BP2, E4F1, DMAP1, BCL9L, UBE2H, VCAM1, CCDC12, NOP16, FANCL, TNK2, DSTN, ESRRG, SMAD6, AZIN1, SMAD7, YEATS2, UBE2T, BCL2, CHMP2A, ZFP592, MXD1, COPE, EIF4G2, ZFP473, BCL2L1, DYRK3, RBM25, DDX3X, MCM7, NVL, HP1BP3, FHL2, DPY30, NR2E3, LMNB2, LMNB1, RPS4X, SNRNP70, SUMO3, PDE4A, MYBL2, USP30, DNM1L, PELP1, GET4, ZFP280C, BCAS3, CAMK1D, RFC1, CHUK, ARHGEF15, USP44, DNMT3A, AXIN1, AHSA1, RANGAP1, DDX50, TGFBR1, EPN2, ETV6, SUPT5, TRNP1, BIRC5, RP9, NAF1, TOP1, PFDN6, ZFP771, BIRC3, HDAC4, ZFP787, SMARCD2, ZFP664, DDX24, CEBPD, MVP, ANKS3, LEF1, RNF8, RRBP1, HMGCR, RCHY1, DLL1, DLL3, RBBP5, SAP30L, BAHD1, TBX21, POLR2E, SNRPB2, BUB3, PDLIM5, CYTH1, EIF4B, ZKSCAN14, MAPK3, TRIM41, USP20, DTNBP1, MAPK12, CHFR, PML, ASXL1, CCS, WEE1, RPS3A1, SYT11, TNIP2, ERCC1, EIF3H, BAX, PDCD2, KRAS, TAF6, SUGT1, PAXBP1	1164	2145	11061	1.2315694614663686	0.0012698791526094544	6.588587869938452E-4	6.588587869938452E-4
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	44	2.6159334126040426	5.09274638341793E-5	RPL4, MVP, RPLP0, MRPS31, MRPL14, MRPL34, MRPL13, RPL6, LARP1B, RPL7, MRPL11, RPS4X, RPS14, MRPL2, MRPL40, RPS19, SNRNP70, RPS3, GAR1, SNRPB2, MRPL9, MRPS26, RPS9, IMP3, RPS5, RPS6, LSM1, MRPL49, MRPL27, MRPL45, MRPL23, LSM4, MRPS5, RPS26, MRPS9, LSM7, MRPL51, RPS3A1, RPL37A, AGO2, NAF1, FAU, SNRPF, SNRPB	892	236	9017	1.8846811583187657	0.004927907611158577	0.002469981995957696	0.002469981995957696
