Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00407:IGc1	7	1.6548463356973995	0.001959880422481842	CD1D2, H2-T23, H2-DMB1, H2-Q7, H2-M11, H2-M10.5, B2M	221	48	7941	5.240101809954751	0.32453956872425693	0.39197608449636834	0.39197608449636834
INTERPRO	IPR003597:Ig_C1-set	7	1.6548463356973995	0.00285823654443687	CD1D2, H2-T23, H2-DMB1, H2-Q7, H2-M11, H2-M10.5, B2M	401	50	14019	4.894413965087281	0.9672096478499309	1.0	1.0
GOTERM_BP_DIRECT	GO:0006955~immune response	17	4.0189125295508275	0.003593907355933339	H2-T23, CCL24, PSG17, H2-Q7, CXCR5, C8A, CD1D2, SCO1, CTSK, H2-DMB1, CTSH, CLNK, H2-M11, H2-M10.5, LTBR, CCR6, B2M	415	263	14551	2.2664070731595585	0.9995209036198069	1.0	1.0
KEGG_PATHWAY	mmu04145:Phagosome	12	2.8368794326241136	0.0046159887762291015	H2-T23, STX12, DYNC1LI1, RAB7, H2-DMB1, TUBB1, H2-Q7, MRC1, H2-M11, OLR1, H2-M10.5, ATP6V1G3	191	156	6704	2.6999597261377364	0.7224041700553334	1.0	1.0
GOTERM_CC_DIRECT	GO:0061827~sperm head	4	0.9456264775413712	0.0051448370970891945	CST11, PLCZ1, WBP2NL, PARK7	415	13	14694	10.894531974050048	0.8860012049630821	1.0	1.0
GOTERM_CC_DIRECT	GO:0042612~MHC class I protein complex	5	1.1820330969267139	0.005679669624379748	H2-T23, H2-Q7, H2-M11, H2-M10.5, B2M	415	26	14694	6.809082483781279	0.909096536730357	1.0	1.0
GOTERM_MF_DIRECT	GO:0042605~peptide antigen binding	6	1.4184397163120568	0.008470288250002869	H2-T23, H2-DMB1, H2-Q7, H2-M11, H2-M10.5, B2M	409	45	14445	4.709046454767726	0.9970275051570613	1.0	1.0
UP_KW_DOMAIN	KW-0809~Transit peptide	23	5.4373522458628845	0.008912233522810195	PHYH, MRPS35, NDUFB11, MRPL16, MRPS18B, SIRT5, ERAL1, TFB1M, POLRMT, SUOX, SDHB, MSRA, ALDH5A1, HINT2, TMEM65, SCO1, CPS1, CYP11B1, RPUSD3, SARDH, ECHDC3, TARS2, DLAT	297	434	10076	1.7979177334016043	0.2076537597271958	0.23171807159306507	0.23171807159306507
GOTERM_MF_DIRECT	GO:0030165~PDZ domain binding	9	2.127659574468085	0.010285767309171414	ADAM17, KCNJ9, FZD7, GIPC1, CCDC88C, ATP2B4, ARHGAP29, ATP2B2, CACNG3	409	106	14445	2.9986852424228445	0.999151378641888	1.0	1.0
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	6	1.4184397163120568	0.010463737418255552	CD1D2, H2-T23, H2-Q7, H2-M11, H2-M10.5, B2M	415	47	14551	4.476083055626763	0.9999999997997702	1.0	1.0
INTERPRO	IPR011162:MHC_I/II-like_Ag-recog	6	1.4184397163120568	0.010579237570996502	CD1D2, H2-T23, H2-DMB1, H2-Q7, H2-M11, H2-M10.5	401	47	14019	4.462991457526396	0.9999969455196405	1.0	1.0
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	12	2.8368794326241136	0.010674437269558662	STX12, MORC3, NCLN, GZMN, TESC, RABL3, FLNA, CBLC, STUB1, APBB2, PARK7, ATP1B2	415	173	14551	2.432091371265409	0.9999999998725949	1.0	1.0
GOTERM_MF_DIRECT	GO:0046703~natural killer cell lectin-like receptor binding	5	1.1820330969267139	0.010795197968395684	H2-T23, H2-Q7, H2-M11, H2-M10.5, CLEC2E	409	31	14445	5.696427163025476	0.9994032784678089	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0109~Calcium transport	8	1.8912529550827424	0.011498798887330783	TRPM2, SLC24A1, CNGA1, ATP2B4, TRPM7, ATP2B2, CACNG3, SLC8A1	222	87	7792	3.2275033654343996	0.685427947900049	1.0	1.0
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	13	3.0732860520094563	0.01199886731320094	GSTK1, DTYMK, SIRT5, PARK7, ERAL1, TFB1M, POLRMT, TRMT5, RPUSD3, SARDH, TARS2, DLAT, SNCA	415	202	14694	2.2786830490277943	0.9937929779984753	1.0	1.0
INTERPRO	IPR003006:Ig/MHC_CS	6	1.4184397163120568	0.012558837128936743	H2-T23, H2-DMB1, H2-Q7, H2-M11, H2-M10.5, B2M	401	49	14019	4.280828540892666	0.9999997204847171	1.0	1.0
KEGG_PATHWAY	mmu04978:Mineral absorption	6	1.4184397163120568	0.01308709979607251	ATP2B4, TRPM7, ATP2B2, ATP1B2, CLCN2, SLC8A1	191	50	6704	4.211937172774869	0.9739843462441888	1.0	1.0
