Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005575~cellular_component	53	14.324324324324325	0.004666791370256659	4930547E08RIK, 2410017I17RIK, 1700069B07RIK, 4930568G15RIK, E130116L18RIK, 2310039H08RIK, 1700001J03RIK, 4930405A10RIK, 1700102P08RIK, CCDC54, 9430069I07RIK, 3110082I17RIK, LRRIQ3, A430035B10RIK, A530010F05RIK, FAM118B, CDCP1, 4930442G15RIK, KCTD14, 4930432M17RIK, 4921513H07RIK, D730045A05RIK, 5730460C07RIK, B430105G09RIK, 1810058N15RIK, 4930455G09RIK, ANKRD55, A930004D18RIK, 5730403I07RIK, 1700008H02RIK, A230051N06RIK, GCNT7, 4933427E11RIK, 1700123O12RIK, ANKRD29, PRRT3, RHOX4B, NEK5, CEACAM11, 1700047G07RIK, 1700040D17RIK, 4930458D05RIK, TMEM62, B430203G13RIK, 4930447K03RIK, 1700034J05RIK, 7530416G11RIK, F730043M19RIK, 4933411O13RIK, 2410022M11RIK, ASB7, BC051076, 4833428L15RIK	358	1489	14694	1.4609595131523163	0.8160944138582058	1.0	1.0
SMART	SM00185:ARM	5	1.3513513513513513	0.009918109419507461	ARVCF, SPAG6, ARMC3, PKP2, AP2B1	189	36	7941	5.8355379188712515	0.7929684743700812	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ARM 8	4	1.0810810810810811	0.010137418304161552	ARVCF, SPAG6, ARMC3, PKP2	337	19	13920	8.69592378572544	0.999892677175545	1.0	1.0
KEGG_PATHWAY	mmu04913:Ovarian steroidogenesis	6	1.6216216216216217	0.011859821807218878	INS1, CYP11A1, HSD17B2, PLA2G4A, IGF1, ADCY7	155	60	6704	4.325161290322581	0.9545005039515732	1.0	1.0
UP_SEQ_FEATURE	ZN_FING:C2H2-type 8	9	2.4324324324324325	0.012412742353382283	REST, SALL1, ZSCAN20, ZFP418, PEG3, ZFP647, ZFP426, ZFY1, ZFP661	337	128	13920	2.9043026706231454	0.999986379169346	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0769~Symport	8	2.1621621621621623	0.012626784290667988	SLC24A1, SLC10A6, SLC16A1, SLC5A2, SLC15A3, SLC24A5, SLC5A3, SLC16A4	177	111	7792	3.1727999185626303	0.6971370490313606	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ARM 7	4	1.0810810810810811	0.013428915815940662	ARVCF, SPAG6, ARMC3, PKP2	337	21	13920	7.867740568037305	0.9999945904765117	1.0	1.0
INTERPRO	IPR000225:Armadillo	5	1.3513513513513513	0.014290992201211257	ARVCF, SPAG6, ARMC3, PKP2, AP2B1	332	40	14019	5.278237951807228	0.9999988317377714	1.0	1.0
UP_SEQ_FEATURE	ZN_FING:C2H2-type 4	12	3.2432432432432434	0.018114348031761866	REST, YY2, SALL1, ZSCAN20, ZFP418, PEG3, ZFP647, ZFP426, HIVEP1, ZFY1, ZFP661, ZFP110	337	220	13920	2.2530347990288644	0.9999999243794696	1.0	1.0
UP_SEQ_FEATURE	ZN_FING:C2H2-type 9	8	2.1621621621621623	0.018791957995720095	REST, SALL1, ZSCAN20, ZFP418, PEG3, ZFP647, ZFP426, ZFY1	337	112	13920	2.950402713013989	0.9999999592895563	1.0	1.0
