Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:Golgin subfamily A conserved	6	0.24291497975708504	6.693992944169954E-4	GOLGA6A, GOLGA6C, GOLGA6L9, GOLGA8F, GOLGA6L10, GOLGA8A	2181	7	16490	6.480644527412065	0.9950817438896347	1.0	1.0
GOTERM_CC_DIRECT	GO:0090543~Flemming body	13	0.5263157894736842	6.812540089752211E-4	TSG101, VPS4B, ANKRD45, MICAL3, AGAP2, IL16, CAPG, RACGAP1, CNTRL, EXOC4, CCDC66, EXOC2, EXOC1	2199	33	16585	2.9711163476511366	0.469418729265383	0.6335662283469556	0.6335662283469556
GOTERM_BP_DIRECT	GO:0042770~signal transduction in response to DNA damage	9	0.3643724696356275	7.486993584496191E-4	ATAD5, RNF8, CRY1, GRB2, MAPK14, BID, WNT1, MAPK12, MAPK3	2101	17	15847	3.9931405213203797	0.9834755008248978	1.0	1.0
GOTERM_BP_DIRECT	GO:0071385~cellular response to glucocorticoid stimulus	10	0.4048582995951417	0.001210522920881408	EDN1, REST, BCL2L11, ANXA1, FAM107A, HNRNPU, SSTR2, ZFP36L2, SSTR5, ZFP36L1	2101	22	15847	3.428453982951841	0.9986867646311457	1.0	1.0
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	200	8.097165991902834	0.0016508751917181925	ISCA2, ACSM3, ECI2, DCAF8, ALKBH7, NUDT6, ZMIZ2, FAM110B, PDK3, CPNE3, MLYCD, PDK1, OXSM, CMC1, ECH1, MRPS18A, ANK2, CPT1B, GCAT, GTPBP3, WDR81, DDIT4, TMEM126A, LIPT2, PIF1, LIPT1, ABCB6, MAOA, SP140, CEND1, MRPL17, ABCB8, PRDX3, PGS1, RHOT2, LDHA, DHX32, NTHL1, ARGLU1, DECR1, PCK2, GLYATL2, XRCC3, ARMC10, ADCK2, PEMT, ECHDC2, CYB5RL, SFXN1, SFXN5, CLIC5, MRPS16, GPAA1, MRPS14, MRPL39, HINT2, AUH, NNT, TK2, MRPS25, MRPS22, SIRT5, POU5F1, SIRT2, BDH1, SDHAF2, PACS2, RPUSD3, PGAM5, L2HGDH, KANK2, ARMS2, NOL8, GPS2, COX5B, LRRC10, NOL6, PERP, UCP3, HS1BP3, BID, YKT6, NKTR, WWOX, GCH1, CKMT1A, DHRS4, AGMAT, LYRM1, GATM, MSRB2, RTN4IP1, ANKRD37, PUS10, OXNAD1, NDUFA11, NDUFA12, TACO1, OGDHL, CLU, GIMAP8, PYCARD, CHCHD5, ABHD10, STK11, ABHD11, FAM162A, CHCHD6, SLC25A41, SLC25A42, CAPN1, TGM2, BNIP3L, DGAT2, MAP2K2, LIG3, TRNT1, ATAD3B, SDHB, ATAD3A, ERN1, RAB32, CARS2, ARL2, GLYAT, BCL2L11, UBB, NLRP5, NDUFV2, VARS2, PRODH, IDH1, IDH2, TIMM44, HOOK3, COQ6, NR4A1, P4HA1, BCL2, XAF1, MCU, MIPEP, ABCD3, ALAS1, SLC25A2, COX4I1, RMND1, C15ORF62, ETFA, CASP8, CA5A, ACP6, KYNU, OPA3, EFHD1, ELAC2, MMP2, NDUFC2, PRODH2, SLC25A16, OAS1, PCCA, NOA1, PCCB, CRY1, ATG4B, NAT8L, FAM72A, NDUFB8, NDUFB6, MTFP1, DDX21, PPM1K, HMGCL, SLC25A29, MSTO1, ERBB4, OXCT2, D2HGDH, VHL, MEST, SLC25A24, MAPK3, SNCA, NIPSNAP3B, NIPSNAP3A, NDUFA4, TXNRD2, IDH3G, BNIP3, MAPK14, SOD2, GDAP1, MYO19, MAPK12, GSTZ1, MAPK10, TMLHE, CAPN10, SARDH	2199	1238	16585	1.218427233409811	0.7848850259230681	0.7579475527949097	0.7579475527949097
GOTERM_MF_DIRECT	GO:0140658~ATP-dependent chromatin remodeler activity	12	0.4858299595141701	0.0019428002975365065	ZRANB3, CECR2, HELLS, SHPRH, CHD9, CHD8, RAD54L, CHD3, INO80, SMARCA2, SMARCA4, RAD54B	2118	32	15952	2.824362606232295	0.971581852941746	1.0	1.0
GOTERM_CC_DIRECT	GO:0042995~cell projection	38	1.5384615384615385	0.0024449921057900312	MACF1, AVIL, ITSN1, NRXN2, AQP4, SLC2A3, TRPM2, ZNRF2, EGFLAM, SCIN, STK36, SPP1, METTL5, FFAR2, TNS3, CAMP, PROM2, SPTBN2, PPP1R16B, MAGI1, SLC2A14, AFAP1L1, ACTN3, CEP350, SLC2A13, MICAL3, PLAUR, SPTB, ARHGAP24, COQ6, SLC6A6, HCK, RABEP2, MORN4, RTN4RL1, KCTD12, CNTNAP4, FERMT3	2199	175	16585	1.6377054505294615	0.897370202187077	0.7579475527949097	0.7579475527949097
INTERPRO	IPR043976:GOLGA_cons_dom	6	0.24291497975708504	0.0033444756943563922	GOLGA6A, GOLGA6C, GOLGA6L9, GOLGA8F, GOLGA6L10, GOLGA8A	2233	9	16706	4.987610091058367	0.9999993639538955	1.0	1.0
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	21	0.8502024291497976	0.0038179757537833174	KCNK5, NSF, KCNK6, LRRC37A2, KCNJ8, KCNJ12, KCNC3, VPS4B, KCNJ13, KCNA3, KCNJ16, ABCB8, KCNA5, KCNA6, KCNS1, KCNMB2, KCNMB3, KCNN1, KCNQ4, FXYD7, KCNH1	2101	81	15847	1.9554885680540128	0.9999999992067632	1.0	1.0
GOTERM_CC_DIRECT	GO:0005801~cis-Golgi network	14	0.5668016194331984	0.004455313200107489	LRPAP1, GOLIM4, COPZ2, HOOK3, IFT20, GOLGA6A, GOLGA6C, TRAPPC6A, GOLGA8F, GOLGB1, YIPF6, KDELR3, GOLGA8A, TMED5	2199	45	16585	2.3464200899398717	0.9842780734883325	1.0	1.0
INTERPRO	IPR049730:SNF2/RAD54-like_C	11	0.44534412955465585	0.005458294190067881	ZRANB3, HELLS, SHPRH, CHD9, CHD8, RAD54L, CHD3, INO80, SMARCA2, SMARCA4, RAD54B	2233	31	16706	2.6546956936278407	0.9999999999247761	1.0	1.0
INTERPRO	IPR000330:SNF2_N	11	0.44534412955465585	0.005458294190067881	ZRANB3, HELLS, SHPRH, CHD9, CHD8, RAD54L, CHD3, INO80, SMARCA2, SMARCA4, RAD54B	2233	31	16706	2.6546956936278407	0.9999999999247761	1.0	1.0
INTERPRO	IPR038718:SNF2-like_sf	11	0.44534412955465585	0.005458294190067881	ZRANB3, HELLS, SHPRH, CHD9, CHD8, RAD54L, CHD3, INO80, SMARCA2, SMARCA4, RAD54B	2233	31	16706	2.6546956936278407	0.9999999999247761	1.0	1.0
