Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008137~NADH dehydrogenase (ubiquinone) activity	13	0.672182006204757	1.3455049372065143E-4	NDUFA7, NDUFB6, NDUFB10, NDUFB5, NDUFA4, NDUFA12, NDUFA10, NDUFB3, NDUFB2, NDUFA1, NDUFB1, NDUFS6, NDUFV1	1721	34	15952	3.544040742386438	0.18013033014792867	0.19859652873168152	0.19859652873168152
UP_KW_BIOLOGICAL_PROCESS	KW-0679~Respiratory chain	16	0.8273009307135472	3.133565821762535E-4	NDUFA7, NDUFB6, C2ORF69, NDUFB10, NDUFB5, NDUFA4, NDUFA12, NDUFA10, NDUFB3, NDUFB2, NDUFA1, NDUFB1, NDUFS6, NDUFAB1, UQCRFS1, NDUFV1	1056	53	9848	2.8153230417381363	0.046819575285737325	0.04794355707296678	0.04794355707296678
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	24	1.2409513960703205	3.75993980085008E-4	COX7B, NDUFA7, NDUFB6, NDUFB10, NDUFB5, NDUFA4, NDUFA12, COX4I1, NDUFA10, NDUFB3, NDUFB2, NDUFA1, NDUFB1, TCIRG1, COX6C, ATP12A, COX5A, COX7C, NDUFS6, PPA1, NDUFAB1, UQCRFS1, NDUFV1, ATP6V1B1	827	103	7805	2.199081954896045	0.12167826862519526	0.12971792312932776	0.12971792312932776
GOTERM_BP_DIRECT	GO:0006120~mitochondrial electron transport, NADH to ubiquinone	13	0.672182006204757	4.140730384668648E-4	NDUFA7, NDUFB6, NDUFB10, NDUFB5, NDUFA4, NDUFA10, NDUFB3, NDUFB2, NDUFA1, NDUFB1, NDUFS6, NDUFAB1, NDUFV1	1698	38	15847	3.192780980720352	0.8624572644162994	1.0	1.0
GOTERM_BP_DIRECT	GO:1904036~negative regulation of epithelial cell apoptotic process	8	0.4136504653567736	7.609385236208749E-4	PKHD1, BTC, YAP1, CDKN1B, HAND2, BCL2, AGAP2, ATOH1	1698	16	15847	4.666372202591283	0.9739120824969066	1.0	1.0
GOTERM_BP_DIRECT	GO:0042776~proton motive force-driven mitochondrial ATP synthesis	13	0.672182006204757	0.0011281166278888717	NDUFA7, NDUFB6, NDUFB10, NDUFB5, NDUFA12, NDUFA10, NDUFB3, NDUFB2, NDUFA1, NDUFB1, NDUFS6, NDUFAB1, NDUFV1	1698	42	15847	2.888706601604128	0.995513708799074	1.0	1.0
INTERPRO	IPR046350:Cystatin_sf	9	0.4653567735263702	0.0013496263080098358	CST9L, CST2, CST11, LXN, RARRES2, RARRES1, CST9, CSTL1, CAMP	1786	22	16706	3.826580474396824	0.9925010983589984	1.0	1.0
GOTERM_MF_DIRECT	GO:0060090~molecular adaptor activity	30	1.5511892450879008	0.0017645117203747853	IPPK, RB1, ITSN2, SMARCD1, CDKN1B, TRAF3IP3, KLHL17, ARRB2, AGER, IRAK2, RICTOR, APBB1, PCNT, DLGAP2, OFD1, MAP2K4, CAV3, CAV2, SOD3, TIRAP, PML, PLCB3, PPP1R3C, LOX, CNOT1, PKP2, BCL2, PSMG1, ALDOB, TELO2	1721	153	15952	1.8174567909674035	0.9262238499749725	1.0	1.0
GOTERM_CC_DIRECT	GO:0031966~mitochondrial membrane	26	1.344364012409514	0.0035283997844751946	IFI27L2, COX7B, ACADVL, NDUFB6, COX4I1, ETFDH, ZDHHC8, COX7C, COX5A, IKBKE, BOK, RARS2, SMCP, STARD13, AGK, PNPLA8, NDUFA4, NDUFA1, VRK2, COX6C, REEP1, NDUFAB1, DEGS1, NAT8L, CCDC90B, ABCG2	1760	134	16585	1.8284006105834463	0.9533243304897419	1.0	1.0
INTERPRO	IPR016024:ARM-type_fold	50	2.5853154084798344	0.00353181821780492	RYR2, RNPEPL1, NUP188, MEI1, DOCK8, AP4E1, NOC2L, RPTOR, DOCK11, IPO8, EFR3A, PPP2R5E, PPP6R1, PPP6R2, KPNA4, WDR7, TNPO2, KPNA3, PELP1, ZYG11B, RALGAPA1, PPP2R5C, ARMCX3, ARMC5, HEATR5A, ARMCX5, PKP2, PKP1, ELMO3, TELO2, CUL9, CUL7, BRAT1, NOC4L, ARVCF, HECTD1, STK36, ANKAR, DYM, RICTOR, APOB, UBQLN2, CLASP2, ARFGEF2, INTS1, TBCD, TARBP1, DIAPH2, EIF3M, TAF6	1786	311	16706	1.5038365565689553	0.9999972896341388	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0249~Electron transport	20	1.0341261633919339	0.0035753878502499865	NDUFA7, NDUFB6, C2ORF69, NDUFB10, NDUFB5, NDUFA4, NDUFA12, NDUFA10, NDUFB3, TXNL1, NDUFB2, NDUFA1, ETFDH, NDUFB1, GLRX2, TXN, NDUFS6, NDUFAB1, UQCRFS1, NDUFV1	1056	92	9848	2.02733860342556	0.4219035804035478	0.27351717054412394	0.27351717054412394
GOTERM_BP_DIRECT	GO:0030307~positive regulation of cell growth	18	0.9307135470527405	0.003695157908214677	YAP1, DDX3X, KDM2B, CSNK2A1, BRAT1, ACSL4, CIB1, EGFR, CDKN2AIP, CDC42, RPTOR, RPS6KA3, MMP14, BCL2, MLST8, RICTOR, PRSS2, FXN	1698	79	15847	2.126448092320079	0.9999999801008527	1.0	1.0
GOTERM_BP_DIRECT	GO:0000915~actomyosin contractile ring assembly	4	0.2068252326783868	0.004511048149494593	ANLN, RTKN, PDCD6IP, RACGAP1	1698	4	15847	9.332744405182567	0.9999999996068402	1.0	1.0
GOTERM_BP_DIRECT	GO:0001503~ossification	18	0.9307135470527405	0.00483736123236821	MYOG, ECM1, SLC26A2, GRP, SLC34A1, NPR2, PAM16, LRRC17, GDF2, TCIRG1, EGFR, COL1A1, CLEC3A, CALCR, BCL2, OSTF1, ATP6V1B1, DDR2	1698	81	15847	2.073943201151682	0.9999999999182361	1.0	1.0
GOTERM_BP_DIRECT	GO:0048743~positive regulation of skeletal muscle fiber development	5	0.25853154084798347	0.006432344998256582	MYOG, ACTN3, SHOX2, BCL2, LMOD3	1698	8	15847	5.832965253239105	0.9999999999999624	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0227~DNA damage	56	2.8955532574974145	0.006443403849433981	DCLRE1A, UBE2D2, UFL1, STK11, EME2, TLK2, POLL, POLK, IKBKE, ZNF385A, RNF111, ATRX, REV1, RAD23A, RAD23B, EID3, MSH5, CINP, PELI1, NFAT5, RTEL1, INO80E, PSMD14, USP10, TEX264, BRAT1, VCPIP1, NUAK1, EXOSC10, SLX4, POLD1, RAD21, UBR5, SWI5, RPS3, RAD54L, USP51, RBBP6, APBB1, UBQLN4, MCTS1, ZRANB3, PLK3, MGMT, EYA2, FANCA, GTF2H5, PARP10, FAM111A, XAB2, TDP2, TDP1, RPA4, SPDYA, ERCC5, RAD9A	1056	368	9848	1.419137022397892	0.6280629217866951	0.328613596321133	0.328613596321133
GOTERM_BP_DIRECT	GO:0005977~glycogen metabolic process	9	0.4653567735263702	0.009317384145380267	EPM2A, UGP2, PPP1R3C, PPP1R1A, PPP1R3B, PPP1R3D, LEPR, STK40, GNMT	1698	29	15847	2.896368953332521	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032981~mitochondrial respiratory chain complex I assembly	12	0.6204756980351602	0.009434994285943379	LYRM2, NDUFB6, NDUFB10, NDUFB5, NDUFA12, NDUFA10, NDUFAB1, NDUFB3, NDUFB2, NDUFA1, TMEM126A, NDUFB1	1698	47	15847	2.382828358770017	1.0	1.0	1.0
KEGG_PATHWAY	hsa04714:Thermogenesis	32	1.6546018614270943	0.009918847174762623	SMARCD1, COX7B, NDUFB6, COX16, NDUFB10, NDUFA12, NDUFB5, COX4I1, NDUFA10, NDUFB3, NDUFB2, NDUFB1, ADCY3, COX7C, COX5A, RPTOR, RPS6KA3, CREB3L3, MLST8, PRKG2, UQCRFS1, NDUFV1, NDUFA7, NDUFA4, NDUFA1, ACSL4, COX6C, CPT1B, SMARCA4, CREB1, NDUFS6, NDUFAB1	827	191	7805	1.581189817481973	0.9679060101512127	1.0	1.0
GOTERM_BP_DIRECT	GO:0050772~positive regulation of axonogenesis	9	0.4653567735263702	0.011539083826022884	STK11, NIN, SHOX2, PLXNA1, MAP6, BRAF, SLIT2, SKIL, PLXNA3	1698	30	15847	2.7998233215547708	1.0	1.0	1.0
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease	26	1.344364012409514	0.011981327386801945	COX7B, NDUFB6, NDUFB10, NDUFA12, NDUFB5, COX4I1, NDUFA10, NDUFB3, NDUFB2, NDUFB1, COX7C, COX5A, CDC42, BCL2L11, LEPR, UQCRFS1, NDUFV1, NDUFA7, NDUFA4, NDUFA1, COX6C, EIF2S1, MLXIPL, NDUFS6, NDUFAB1, MAP3K11	827	148	7805	1.657979018922187	0.9843693303619718	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:EF-hand 1	30	1.5511892450879008	0.012082998800594399	FLG, ITSN2, CETN1, CETN3, CIB2, CIB1, EFCAB11, FSTL1, S100A7A, SCGN, CAPN8, PPP3R1, CAPN9, PPP2R3C, CHP2, EFHD1, RCVRN, S100A2, ACTN3, ACTN2, EPS15L1, PPP2R3A, AIF1L, MYL4, MYL6, NIN, RCN2, NUCB1, OCM2, PLCD1	1765	176	16490	1.5925186711305692	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033147~negative regulation of intracellular estrogen receptor signaling pathway	6	0.3102378490175801	0.01224262805692773	VPS18, CNOT1, CYP7B1, TP63, ZNF366, STRN3	1698	14	15847	3.9997476022211003	1.0	1.0	1.0
UP_SEQ_FEATURE	REPEAT:ARM	8	0.4136504653567736	0.013449320036003526	ARMCX3, ARVCF, ARMC5, ANKAR, PKP2, PKP1, KPNA4, KPNA3	1765	25	16490	2.9896883852691216	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030155~regulation of cell adhesion	13	0.672182006204757	0.01399205836545905	RET, PPP1R12A, ROCK2, LAMA3, C2CD4A, LMO7, C2CD4B, FUT1, PML, PKHD1, NUAK1, EMCN, PLAU	1698	56	15847	2.166529951203096	1.0	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0678~Repressor	80	4.1365046535677354	0.01406588500741937	ZNF133, RB1, KDM5C, KDM1B, HDAC11, YBX1, LIMD1, NOC2L, MBD3L1, MED13, HNF4A, SCMH1, FEZF2, ZNF366, ZIK1, PELP1, KLF12, BATF3, ZGPAT, KDM2B, ESX1, ARID5A, TET1, KCTD1, CBFA2T2, FOXP2, ETV6, NCOR2, EID2, EID3, BRMS1, AEBP2, DEPDC1, CRY1, ZMYND11, SF1, L3MBTL1, YAP1, DLX1, CTBP1, SUPT4H1, GPS2, ZNF24, MNT, NFIL3, MIER3, MIER2, RAD21, NACC1, ATXN1L, SAFB2, E4F1, APBB1, ZNF224, SCAI, AKIRIN2, DR1, TCF7L1, CNBP, IRF2BP1, FOXN3, TBX3, CTCFL, SMARCA4, MLXIPL, DPRX, HNRNPK, ZGLP1, CNOT1, MAFG, ASXL2, CNOT3, ZNF658, ID3, RGS12, HDGF, TARDBP, RCOR2, RCOR1, ZNF652	1081	595	10331	1.2849602375640359	0.7708177405227061	1.0	1.0
GOTERM_BP_DIRECT	GO:0051591~response to cAMP	10	0.5170630816959669	0.014076621871281569	COL1A1, AANAT, CARM1, GATA6, FOSB, BRAF, CNGA3, TYR, CDO1, BIRC2	1698	37	15847	2.5223633527520453	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005751~mitochondrial respiratory chain complex IV	7	0.3619441571871768	0.014768153984684661	COX7B, NDUFA4, COX4I1, UQCRFS1, COX6C, COX5A, COX7C	1760	20	16585	3.298153409090909	0.9999975006414165	1.0	1.0
