Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002314~germinal center B cell differentiation	4	1.13314447592068	0.0013173197795639726	POU2AF1, PHF14, IRF8, ADA	346	7	9914	16.373245251857966	0.9456264660351442	1.0	1.0
GOTERM_BP_DIRECT	GO:0033089~positive regulation of T cell differentiation in thymus	4	1.13314447592068	0.0013173197795639726	SHH, IL7R, IL2RG, ADA	346	7	9914	16.373245251857966	0.9456264660351442	1.0	1.0
INTERPRO	IPR036388:WH-like_DNA-bd_sf	14	3.9660056657223794	0.002559199215833522	FOXE1, FOXO3, LARP4, FOXM1, FOXN2, FOXP2, WRN, FOXS1, EIF3K, PAX9, E2F2, IRF8, E2F7, SPDEF	344	153	9874	2.626462988296094	0.9395485746154261	1.0	1.0
GOTERM_BP_DIRECT	GO:0044027~negative regulation of gene expression via chromosomal CpG island methylation	4	1.13314447592068	0.00300126753462278	WT1, DNMT3A, BMYC, BRCA1	346	9	9914	12.734746307000641	0.9986926705846845	1.0	1.0
INTERPRO	IPR036390:WH_DNA-bd_sf	13	3.6827195467422094	0.004088633658462279	FOXE1, FOXO3, LARP4, FOXM1, FOXN2, FOXP2, WRN, FOXS1, EIF3K, E2F2, IRF8, E2F7, SPDEF	344	143	9874	2.6094080338266386	0.9887369902565958	1.0	1.0
GOTERM_MF_DIRECT	GO:0003700~DNA-binding transcription factor activity	28	7.932011331444759	0.005812562893958423	FOXE1, BMYC, HIF3A, FOXM1, FOXO3, ASCL2, FOXS1, ZFP30, SIX4, E2F2, OTX1, E2F7, SPDEF, ZFP358, SMAD3, ZFP316, NR2F1, ESRRG, TBX6, HNF1A, GRHL1, FOXN2, KLF15, FOXP2, KLF7, WT1, PAX9, IRF8	343	463	9835	1.734032705954952	0.9779072795636048	1.0	1.0
INTERPRO	IPR030456:TF_fork_head_CS_2	6	1.69971671388102	0.007638433068305368	FOXS1, FOXE1, FOXO3, FOXM1, FOXN2, FOXP2	344	36	9874	4.783914728682171	0.9997742747633731	1.0	1.0
SMART	SM00339:FH	6	1.69971671388102	0.008921098474149597	FOXS1, FOXE1, FOXO3, FOXM1, FOXN2, FOXP2	196	38	5700	4.591836734693877	0.7934388600125091	1.0	1.0
UP_SEQ_FEATURE	DNA_BIND:Fork-head	6	1.69971671388102	0.009459750890809875	FOXS1, FOXE1, FOXO3, FOXM1, FOXN2, FOXP2	338	38	9739	4.549517284335098	0.9999689284562768	1.0	1.0
INTERPRO	IPR001766:Fork_head_dom	6	1.69971671388102	0.009612756231307265	FOXS1, FOXE1, FOXO3, FOXM1, FOXN2, FOXP2	344	38	9874	4.532129742962057	0.9999745013852068	1.0	1.0
UP_KW_LIGAND	KW-0479~Metal-binding	92	26.062322946175637	0.010703274772566926	ZFP326, ZFP324, ZFP444, TNFAIP6, AMHR2, ZMYND19, FLT3, PHF1, MCM10, CIB1, ABAT, RSF1, BRCA1, DOC2G, HDDC3, SHH, ZFP30, ALKBH1, FPGS, ITGAX, CPNE3, ATP7A, STK32C, KSR1, PPTC7, PAQR5, ATRX, DNMT3A, CYBB, AMPD1, TRNT1, MMP8, MID1, KLF15, FOXP2, ACLY, DMRTA2, RNF144B, THAP3, TUBB2A, FOLH1, CYP2J13, CYP21A1, CASQ2, PRKD2, 4930402F06RIK, RBKS, RNF166, PRIM2, TPH2, KDM3A, CLEC4A2, DTX4, COX5A, PRKCZ, CYP2B9, RNF212, DUOX1, WRN, ZFP14, EXTL2, ZNHIT1, UGP2, RACGAP1, AMDHD1, XDH, ZFP358, ZFP830, NQO2, SMAD3, CYP4A31, ZFP879, CDC42BPG, SETDB2, ZFP954, ZFP316, LIMK1, NR2F1, ESRRG, NR1H5, WTIP, APTX, KLF7, MAP3K15, PAN3, RNF103, WT1, PHF14, MDM2, TRIM36, TBKBP1, ADA	135	2313	3988	1.1749883908984644	0.2759023395012806	0.30777968422741725	0.30777968422741725
GOTERM_BP_DIRECT	GO:0030947~regulation of vascular endothelial growth factor receptor signaling pathway	3	0.84985835694051	0.0112616738263552	FZD4, VEGFC, DLL1	346	5	9914	17.191907514450868	0.9999999999863622	1.0	1.0
GOTERM_BP_DIRECT	GO:0001890~placenta development	6	1.69971671388102	0.01199810920745479	HSP90AB1, ALKBH1, HNF1A, ASCL2, E2F7, ADA	346	40	9914	4.297976878612717	0.9999999999973702	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Fork-head	5	1.41643059490085	0.013171012662408497	FOXS1, FOXO3, FOXM1, FOXN2, FOXP2	338	27	9739	5.335853605084374	0.9999994845901766	1.0	1.0
GOTERM_BP_DIRECT	GO:0001934~positive regulation of protein phosphorylation	13	3.6827195467422094	0.016243944970716753	FZD1, SEMA4D, FLT3, WNT3A, VEGFC, KNDC1, CIB1, CSNK1D, HNF1A, CRKL, RB1CC1, ERP29, CARD14	346	171	9914	2.1783118683027416	0.9999999999999998	1.0	1.0
GOTERM_BP_DIRECT	GO:0006355~regulation of DNA-templated transcription	37	10.48158640226629	0.016533706671752045	FOXE1, PHF1, BMYC, RSF1, HIF3A, FOXM1, FOXO3, CKS1B, ZFP14, SHH, FOXS1, ZNHIT1, ZFP30, SIX4, E2F2, OTX1, E2F7, SPDEF, SMAD3, ASCC1, ZFP879, ZFP316, EAF2, EN2, NR2F1, ESRRG, TBX6, HNF1A, GRHL1, FOXN2, WTIP, FOXP2, 1700048O20RIK, DMRTA2, WT1, PAX9, IRF8	346	718	9914	1.4765565878242388	0.9999999999999999	1.0	1.0
