Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0034663~endoplasmic reticulum chaperone complex	4	1.6666666666666667	6.638079731075061E-4	HSPA5, DNAJB11, PDIA6, PDIA4	237	8	10010	21.11814345991561	0.22146295478982636	0.2502556058615298	0.2502556058615298
GOTERM_BP_DIRECT	GO:0060045~positive regulation of cardiac muscle cell proliferation	5	2.083333333333333	0.00295924076357755	HEY2, PIM1, GLI1, FGF2, BMPR1A	234	26	9914	8.147600262984879	0.9932396239646768	1.0	1.0
GOTERM_CC_DIRECT	GO:0031514~motile cilium	8	3.3333333333333335	0.003360822506844879	ADCY10, USP26, ACTL7A, SPAG4, SLC25A31, IFT46, DLD, TTLL9	237	83	10010	4.070967413959636	0.7189335045899814	0.6335150425402597	0.6335150425402597
GOTERM_BP_DIRECT	GO:0090630~activation of GTPase activity	6	2.5	0.0051656161946131915	PLEKHG4, AKT2, CCDC125, TSC1, EPHA1, TBC1D15	234	48	9914	5.295940170940171	0.9998386284256506	1.0	1.0
GOTERM_BP_DIRECT	GO:1903895~negative regulation of IRE1-mediated unfolded protein response	3	1.25	0.0052484070703768225	HSPA5, DDRGK1, PDIA6	234	5	9914	25.420512820512823	0.9998597546235793	1.0	1.0
KEGG_PATHWAY	mmu04141:Protein processing in endoplasmic reticulum	9	3.75	0.005454386826356049	HSPA5, AMFR, BAG1, DNAJB11, DERL2, CALR, PDIA6, UBXN6, PDIA4	125	111	5076	3.29254054054054	0.7338178808840006	1.0	1.0
GOTERM_CC_DIRECT	GO:0005790~smooth endoplasmic reticulum	4	1.6666666666666667	0.008125736730435847	HSPA5, CALR, PDIA6, PDIA4	237	18	10010	9.385841537740271	0.9538526982230138	0.8472714342340291	0.8472714342340291
UP_KW_CELLULAR_COMPONENT	KW-0969~Cilium	9	3.75	0.010656776967707431	USP26, EVC, INPP5E, SPAG4, SLC25A31, IFT46, DLD, TTLL9, PDZD7	205	130	8790	2.968480300187617	0.32002742677218077	0.38364397083746754	0.38364397083746754
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	7	2.9166666666666665	0.011344100898366192	P4HA1, HSPA5, DNAJB11, CALR, PDIA6, PDIA4, MANF	237	80	10010	3.695675105485232	0.9864472916718989	0.8472714342340291	0.8472714342340291
INTERPRO	IPR035979:RBD_domain_sf	9	3.75	0.011866381628520923	NXF1, RBM8A, TRA2A, HNRNPR, SNRNP35, LEMD3, SRSF6, LARP6, TNRC6A	238	128	9874	2.917082457983193	0.9999216543802251	1.0	1.0
GOTERM_CC_DIRECT	GO:0030426~growth cone	9	3.75	0.012239785343209488	ADCY10, NTRK2, PINK1, FKBP15, AMFR, LMTK2, KATNB1, TSC1, HNRNPR	237	131	10010	2.9017296357135955	0.9903699924487442	0.8472714342340291	0.8472714342340291
GOTERM_BP_DIRECT	GO:0050821~protein stabilization	9	3.75	0.01254502848492374	PINK1, NCOR1, RPL11, BAG1, PIM1, APOA1, TSC1, CALR, CCT7	234	132	9914	2.888694638694639	0.9999999994296138	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:RRM	8	3.3333333333333335	0.012632545326391275	NXF1, RBM8A, TRA2A, HNRNPR, SNRNP35, SRSF6, LARP6, TNRC6A	231	106	9739	3.181899861145144	0.9999209768450551	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0395~Inflammatory response	9	3.75	0.012735180827327624	DDX3X, CCL22, NLRP4A, ZC3H12A, CD5L, NLRP9B, NLRC4, TRIM31, CX3CL1	142	129	5812	2.855551916148051	0.6762854650829782	1.0	1.0
INTERPRO	IPR012677:Nucleotide-bd_a/b_plait_sf	9	3.75	0.012945912696122375	NXF1, RBM8A, TRA2A, HNRNPR, SNRNP35, LEMD3, SRSF6, LARP6, TNRC6A	238	130	9874	2.8722042663219134	0.9999670364960463	1.0	1.0
GOTERM_CC_DIRECT	GO:0005929~cilium	11	4.583333333333333	0.01504873862111148	USP26, EVC, RAB34, INPP5E, SPAG4, SLC25A31, GLI1, IFT46, DLD, TTLL9, PDZD7	237	191	10010	2.4324563147546776	0.9967087774589068	0.8472714342340291	0.8472714342340291
GOTERM_MF_DIRECT	GO:0005178~integrin binding	8	3.3333333333333335	0.015227325112542526	ITGAD, ACTN1, ANGPTL3, ITGAE, CALR, FGF2, CX3CL1, PDIA4	229	112	9835	3.0676855895196504	0.9995688040529617	1.0	1.0
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	22	9.166666666666666	0.015731830343867916	NTRK2, ST8SIA2, WWC1, AMFR, VPS33B, LMTK2, TSC1, INHBA, CX3CL1, MANF, ADCY10, PINK1, NCOR1, RAB34, BAG1, NCS1, BNIP2, CALR, GGT1, FKBP4, PAM, TNRC6A	237	538	10010	1.727134409361128	0.997466230396473	0.8472714342340291	0.8472714342340291
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	9	3.75	0.0157356913481004	HSPA5, BAG1, DNAJB11, TSC1, PSMG2, CALR, CCT7, FKBP4, PDIA6	148	138	6247	2.7527908343125738	0.6318375999246975	0.9913485549303251	0.9913485549303251
