Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	34	5.913043478260869	0.002021153288412467	B4GALT3, COPB2, COPA, SYS1, ABCB4, TMEM59L, GNAI3, GOLIM4, XYLT1, RFNG, SGMS2, PKMYT1, SMPD3, APH1A, LMAN2, DSE, ST8SIA4, ST3GAL6, CHST14, ST3GAL2, TRIM23, MAP4K2, ABCA6, SEC16A, TMEM50B, AP3D1, RAB11A, DNM2, EXT1, TMEM59, RAB14, GORASP2, B3GNT5, CAMK1G	566	345	10010	1.7429200594049266	0.6950530840444911	0.9880524176627837	0.9880524176627837
GOTERM_CC_DIRECT	GO:0099092~postsynaptic density, intracellular component	7	1.2173913043478262	0.0033664477603502	DLG1, CTNNB1, DICER1, BAIAP2, NR3C1, GRIN2B, DNM2	566	27	10010	4.5851328360162285	0.8618532214140842	0.9880524176627837	0.9880524176627837
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	42	7.304347826086957	0.004465321618188819	PNLIPRP1, AGPAT5, PECR, B4GALT3, ERRFI1, ECHS1, CERK, PLA2G1B, GDPD2, SGMS2, HSD17B11, PLB1, MTMR6, PGS1, SMPD3, SGPL1, PIP5KL1, CYP2R1, ST3GAL4, PIP5K1B, PIP5K1C, ST3GAL2, ARSA, SDS, ELOVL4, NR1H2, EPHX1, ACOT13, MCAT, PISD, CYP2W1, CLPS, CYP4F18, B3GNT5, PIGA, CYP2S1, FASN, NAAA, PLBD1, DEGS2, PLCB2, PAFAH1B1	564	474	9914	1.5575455606427866	0.9999992881795597	1.0	1.0
GOTERM_CC_DIRECT	GO:0010008~endosome membrane	15	2.608695652173913	0.007559285776980875	BECN1, STEAP3, ATP6AP2, AP3D1, GOLIM4, ARHGAP26, NISCH, SNX3, CD1D1, FCGRT, MICAL1, PLIN3, PIP5K1C, SBF2, VPS28	566	120	10010	2.210689045936396	0.9883698819885702	1.0	1.0
GOTERM_CC_DIRECT	GO:0030117~membrane coat	6	1.0434782608695654	0.008107502462150164	COPB2, COPA, SYNJ1, AP3D1, AP3S2, AP4B1	566	23	10010	4.6136119219542175	0.9915914066773416	1.0	1.0
GOTERM_BP_DIRECT	GO:0007049~cell cycle	38	6.608695652173912	0.008859404191846183	BECN1, ERRFI1, KHDRBS1, STEAP3, USP16, SUV39H1, DCTN3, GNAI3, KATNB1, CDCA8, CIB1, PKMYT1, ING1, CKS1B, PPP1CB, SMPD3, RGS2, RACGAP1, MAP3K8, BRD7, CLASP2, CENPT, DYNC1H1, NEK9, WTAP, NDE1, USP22, FOXN3, MLH1, BLCAP, RAB11A, CROCC, CENPC1, PPP2R2D, MDM2, ANAPC4, ARL8B, PAFAH1B1	564	435	9914	1.5355506643841201	0.9999999999994031	1.0	1.0
GOTERM_MF_DIRECT	GO:0008177~succinate dehydrogenase (quinone) activity	3	0.5217391304347827	0.00911477732189399	SDHD, SDHA, SDHB	554	3	9835	17.752707581227437	0.9998237845351621	1.0	1.0
GOTERM_BP_DIRECT	GO:0006486~protein glycosylation	11	1.9130434782608694	0.010427367216302427	EXT1, TMEM59, DPM2, B4GALT3, DPM3, B3GNT5, ST8SIA4, ST3GAL4, ST3GAL6, 4930568D16RIK, ST3GAL2	564	76	9914	2.5441862635311683	0.999999999999996	1.0	1.0
GOTERM_CC_DIRECT	GO:1904115~axon cytoplasm	8	1.391304347826087	0.010901852973675134	DYNC1H1, CALY, KIF5B, AP3D1, AP3S2, NDEL1, PAFAH1B1, ARL8B	566	44	10010	3.2155477031802118	0.998394830470056	1.0	1.0
GOTERM_CC_DIRECT	GO:0005768~endosome	39	6.782608695652175	0.01218795367648896	BECN1, STEAP3, GRN, WDR48, GOLIM4, SNX11, OSBPL11, SNX3, CD1D1, FCGRT, MICAL1, ATP6V0A4, SBF2, VTI1B, SNX6, STARD3, ARSA, EPHA8, CCDC115, RFTN1, ATP6AP2, ATP11A, ARHGAP27, ARHGAP26, APOA5, GRIN2B, RAB11A, TGFBR1, DNM2, NISCH, TMEM59, RAB14, CALY, ATP13A4, PLIN3, AMOTL2, LZTR1, VPS28, ARL8B	566	462	10010	1.4929328621908127	0.9992521324304471	1.0	1.0
INTERPRO	IPR012163:Sialyl_trans	4	0.6956521739130435	0.012193011036955588	ST8SIA4, ST3GAL4, ST3GAL6, ST3GAL2	568	9	9874	7.726134585289516	0.9999999991658404	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	40	6.956521739130435	0.012381992357066222	AGPAT5, PECR, B4GALT3, ECHS1, CERK, PLA2G1B, SGMS2, HSD17B11, PLB1, MTMR6, PGS1, SMPD3, SGPL1, PIP5KL1, CYP2R1, ST3GAL4, PIP5K1B, PIP5K1C, ST3GAL2, ARSA, HSD3B4, SDS, ELOVL4, EPHX1, ACOT13, MCAT, PISD, CYP2W1, CLPS, CYP4F18, SYNJ1, B3GNT5, PIGA, CYP2S1, FASN, NAAA, PLBD1, DEGS2, PLCB2, PAFAH1B1	350	452	5812	1.4695322376738305	0.7158883776335407	1.0	1.0
GOTERM_MF_DIRECT	GO:0017124~SH3 domain binding	12	2.086956521739131	0.012794751464253311	ERRFI1, KHDRBS1, EFS, SYNJ1, WIPF1, MICAL1, CBLC, SIRPA, ELMO3, ARHGAP27, OSTF1, DNM2	554	91	9835	2.341016384337684	0.9999947442084588	1.0	1.0
KEGG_PATHWAY	mmu05016:Huntington disease	22	3.826086956521739	0.012801859357152754	NDUFA9, BECN1, NDUFA8, NDUFB6, COX4I1, DCTN3, NDUFB3, SDHD, SDHA, SDHB, GRIN2B, COX6A2, ERN1, TUBA1A, PSMA1, POLR2B, DLG4, KIF5B, POLR2E, SLC25A31, PLCB2, POLR2K	311	205	5076	1.7515802682142576	0.9808517577212325	1.0	1.0
GOTERM_MF_DIRECT	GO:0016757~glycosyltransferase activity	14	2.4347826086956523	0.013162070564488662	B4GALT3, XYLT1, PYGM, RFNG, EXT1, B3GNT5, PIGA, ST8SIA4, ST3GAL4, WDFY3, ST3GAL6, 4930568D16RIK, OGT, ST3GAL2	554	116	9835	2.1425681563550354	0.9999963011500151	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0333~Golgi apparatus	45	7.82608695652174	0.013732150372488951	BECN1, B4GALT3, COPB2, COPA, SYS1, TMEM59L, GOLIM4, XYLT1, RFNG, SGMS2, PKMYT1, OSBPL11, SMPD3, APH1A, LMAN2, DSE, ST3GAL4, ST8SIA4, AP3S2, ST3GAL6, CHST14, 4930568D16RIK, ST3GAL2, CLASP2, TRIM23, MAP4K2, NOS3, ABCA6, SEC16A, TMEM50B, TRAPPC5, AP3D1, CIDEB, APOA5, AP4B1, RAB11A, EXT1, TMEM59, TRAPPC6A, RAB14, GORASP2, B3GNT5, NUCB1, LZTR1, CAMK1G	525	527	8790	1.4296557332610462	0.48506304753019724	0.4571551752295988	0.4571551752295988
PIR_SUPERFAMILY	PIRSF005557:Sialyl_trans	4	0.6956521739130435	0.014808284208869978	ST8SIA4, ST3GAL4, ST3GAL6, ST3GAL2	78	9	1238	7.054131054131053	0.6584186938065646	1.0	1.0
GOTERM_BP_DIRECT	GO:0042776~proton motive force-driven mitochondrial ATP synthesis	7	1.2173913043478262	0.014822679095219525	NDUFA9, NDUFA8, NDUFB6, NDUFB3, SDHD, SDHA, SDHB	564	36	9914	3.417947202521671	1.0	1.0	1.0
