Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04650:Natural killer cell mediated cytotoxicity	15	1.78359096313912	9.939103181211746E-4	IFNA7, IFNA2, SH2D1B, PRF1, NFATC2, PIK3R1, TNF, VAV1, FCGR3A, NCR3, KLRK1, IFNG, KLRD1, CD247, ULBP2	370	111	7526	2.7487216946676405	0.26892369550761586	0.31308175020817	0.31308175020817
GOTERM_BP_DIRECT	GO:0045954~positive regulation of natural killer cell mediated cytotoxicity	7	0.8323424494649228	0.001417062421946705	STAT5B, NCR3, KLRK1, KLRD1, SLAMF6, RASGRP1, VAV1	782	25	15119	5.413452685421995	0.9906248805210126	1.0	1.0
GOTERM_BP_DIRECT	GO:0043491~phosphatidylinositol 3-kinase/protein kinase B signal transduction	12	1.426872770511296	0.0019236418471987708	ERRFI1, EDN1, FCGR3A, PLEKHA1, C1QBP, CD28, ILK, PRR5L, SOX9, HTR2A, PIK3R1, TNF	782	77	15119	3.013053442720962	0.9982368497106074	1.0	1.0
GOTERM_BP_DIRECT	GO:0019222~regulation of metabolic process	7	0.8323424494649228	0.0021686920657570555	IFNG, S1PR1, LPAR2, S1PR2, S1PR5, GPR6, TNF	782	27	15119	5.012456190205551	0.9992145533705248	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Pro residues	112	13.317479191438764	0.004205081062792909	SCARB1, FCN3, PDCD7, CBLB, FAM110A, GOLGA3, SYNGAP1, SOX17, FADS6, SOX9, PIM2, LZTS2, HOXA4, SMARCC1, CISH, MAP1S, ALG13, CSNK1E, PYGO2, OBSCN, COL4A2, DNAJC30, PPP1R3D, COL8A2, SIK3, GAPDHS, COL4A5, PRR11, AJUBA, PRR14, MAGEL2, BEAN1, HEPACAM, UBR4, ARHGAP17, PIK3R1, RPAP1, ZBTB4, ZFP36L2, TTBK2, SYNGR2, TBXA2R, ADAMTS19, RNF217, DHX37, STAP2, CAMTA2, ZNF787, RBM12, CPSF6, DENND4B, TNK1, DCLK3, MICAL3, INHBB, FOXN4, MEX3C, SSH3, FOSL1, ARHGAP30, SON, SYNJ1, WNK2, RGL4, CPEB2, TRIM71, CLIC6, DAZAP1, YJEFN3, COL14A1, WASL, ZNF48, MMP21, DNALI1, LFNG, ZMYM3, MADCAM1, EMD, PELP1, CAP1, DENND2A, ATRX, LIX1L, PRPF40A, KCNAB2, MMP9, MTSS1, WDR33, CNKSR2, RHOV, DBN1, LILRA6, FOXC1, ZBTB47, WIZ, ASAP1, CBL, MLLT6, PAIP1, ERCC6L2, NCKAP5L, PRRX2, SCAF4, PML, TNRC6C, MYO1E, KIAA0586, SHKBP1, IL2RB, RIMBP2, UBAP2, CDK5R2	815	1710	15973	1.2836623255480215	0.9999988770401198	1.0	1.0
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	214	25.44589774078478	0.008562029523571924	IL1RN, SPI1, TP53RK, GLDC, CBLB, HNRNPR, THUMPD1, PWP2, CDC20, SOX3, GOLGA3, PNN, TCL1A, LSM11, HERC2, SOX17, ZNF606, SOX9, SNRPD3, ANKS1A, HOXA6, HOXA4, SKP1, PKNOX2, TIPIN, SMARCC1, MAP1S, CIRBP, CSNK1E, RUNX3, ZNF16, PSME4, UPRT, UQCRC2, PRR14, MEAF6, ANP32A, SHMT1, MYCBP2, C9ORF78, RPS4Y1, ZNF24, ZBTB4, PGBD5, WDR70, DHX36, DHX37, RDH14, MAGEC2, RBM12, STAT5B, ARL14EP, SS18L1, INCA1, MICAL3, NFATC2, SNF8, CDC6, MAGOHB, FOSL1, TPX2, ALDH6A1, ARMC12, CALM1, ZNF134, RPS23, ITK, DAZAP1, ZMYM3, MLX, JARID2, TEAD1, EMD, SHPRH, WDR36, RMI2, ZHX3, ZNF480, HSBP1, PRPF40A, PPHLN1, WDR33, PHF20L1, CHST2, FYTTD1, FOXC1, CSTA, SERPINB13, GPS1, NEDD8, BCLAF1, WRN, ALOX5, SRSF11, RUNX1T1, SUZ12, GINS2, GDF11, NQO2, YIPF1, PLEKHA1, MGMT, ERCC6L2, GPR50, SCAF4, MPP7, PLEKHA8, POU4F3, NUDT21, NMNAT1, PSMC2, CDK5R1, NEK11, PRDM9, PDCD7, ZBTB20, TTF1, SLC8A1, CCND2, UROD, CHP2, SLC16A7, KPNA5, SLC30A5, AIP, TRNT1, GTF2F2, CDC25B, PYGO2, GEMIN4, AJUBA, UBA7, COX15, UBR4, SLC9A1, RAI1, SNTG2, KLC2, DEAF1, ZMAT3, ZMAT5, ABL1, IP6K1, WDTC1, KLHDC3, CPSF6, CBX5, DENND4B, POLR3GL, STYX, LSM4, CDK6, SP1, SPIRE1, TADA1, PIN4, SERGEF, ZNF771, HSPB9, DYRK2, DDX49, DDX47, MCM8, NVL, CELF1, CTDSPL2, LDB2, PTBP1, MRPL2, SPR, TRPS1, TLK2, TRIM68, UPP1, EID2B, PELP1, TSFM, ATRX, AMT, ABHD14B, MASTL, DUSP23, DDX19B, TBC1D2, TERF2IP, ITGB3BP, OTUB1, USP13, GTF2A2, RBM48, ZBTB48, ATP10D, WIZ, PPM1K, NR2C2, NR2C1, TAF1D, ALDH1B1, POLD1, S1PR1, POLR2H, MTA3, BUB1, SLC35A2, NOP58, TAF13, PML, SOD1, TNRC6C, OPN1SW, KLF6, S100P, SNRNP48, RAN	816	3575	15807	1.1595701357466064	0.9935749504667815	1.0	1.0
GOTERM_MF_DIRECT	GO:0038036~sphingosine-1-phosphate receptor activity	4	0.47562425683709864	0.008783578225817698	S1PR1, S1PR2, S1PR5, GPR6	792	9	15525	8.712121212121213	0.9998817773404907	1.0	1.0
GOTERM_BP_DIRECT	GO:1902004~positive regulation of amyloid-beta formation	5	0.5945303210463734	0.009804681420837184	IFNG, LRRTM3, SP1, CSNK1E, TNF	782	17	15119	5.686399879644952	0.9999999999999919	1.0	1.0
GOTERM_BP_DIRECT	GO:0033077~T cell differentiation in thymus	7	0.8323424494649228	0.012501375505993373	STAT5B, CDK6, MAFB, RIPK3, DNAJA3, RABL3, ZFP36L2	782	38	15119	3.561482029882891	1.0	1.0	1.0
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	13	1.5457788347205708	0.01264488460072978	ITK, NFATC2, CBLB, PIK3R1, RASGRP1, TNF, VAV1, PPP2CB, IFNG, CD28, CD247, PAK3, MAP3K7	370	118	7526	2.240907008703619	0.9818400405645473	1.0	1.0
