geneID	Ctrl-Sal rep1	Ctrl-Sal rep2	Ctrl-Sal rep3	CUMS-Sal rep1	CUMS-Sal rep2	CUMS-Sal rep3	CUMS-Flx rep1	CUMS-Flx rep2	CUMS-Flx rep3	CUMS-Alb rep1	CUMS-Alb rep2	CUMS-Alb rep3
ENSRNOG00000010883	1.318493981	0.892448742	1.091680307	1.53175307	2.091955348	1.874128666	1.218719653	1.57914799	1.559013746	1.673074118	1.508671363	1.110250082
ENSRNOG00000039435	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014293	7.725985911	5.400599184	8.417046035	7.54625291	6.663625506	6.127108716	6.054790292	7.040975292	7.518115355	7.584556461	7.250997054	6.949674051
ENSRNOG00000055873	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052893	0	0	0	0	0	0	0	0	0	0.253267746	0	0
ENSRNOG00000036747	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056954	24.5773102	24.92563934	25.45450956	24.72320757	24.4020173	21.91506961	22.09498485	25.8183271	21.6180978	25.3356872	24.60349691	24.25852241
ENSRNOG00000001742	0.046258512	0	0.021131531	0.043536664	0.132941716	0.221482432	0.039659589	0.061134775	0.131743295	0	0.059780626	0.019785351
ENSRNOG00000051085	0.246768135	0.464778839	0.338181341	0.580620784	0.590986356	0.35445243	0.211565878	0.108708746	0.803189252	0.825192364	0.318902469	0.633275111
ENSRNOG00000019350	17.0823114	16.74806505	17.21032056	23.23484206	18.71796443	17.25409244	20.86477281	18.65854419	17.61304016	18.22130429	19.95889588	16.31411314
Novel01174	41.08266068	46.83387258	40.5734722	35.22148137	36.32827897	36.79181476	47.77084932	42.0580282	33.09095423	35.83490298	40.12334982	39.48268541
ENSRNOG00000001708	17.94555977	15.82118835	19.66930791	22.63931029	23.35297743	19.9266033	21.70599066	20.80545654	22.27411872	20.94805421	22.93829594	23.8683002
ENSRNOG00000027000	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000073	14.22065011	11.72670822	11.04015816	12.96782793	12.77582884	17.28645131	12.44471384	13.43810065	15.34867625	13.58681083	12.06127686	11.5974378
ENSRNOG00000021988	0.053986664	0.050840963	0	0	0	0.051696854	0	0	0	0	0.093023791	0.046181558
ENSRNOG00000016553	0.478570078	0.373424465	0.474712206	0.707788785	0.44535341	0.405897907	0.562697883	0.710779528	0.422795067	0.823030868	0.365188199	0.56143673
ENSRNOG00000048636	0.025930927	0.122099905	0.094764864	0	0.049681696	0.148986501	0.044463597	0.068540096	0.063300643	0.024775141	0.022340639	0.044363942
ENSRNOG00000059968	11.35272575	13.09374595	11.5893738	14.39304111	11.85305343	12.33698778	12.01767538	11.11381182	11.01386681	11.51024675	11.14848751	11.74825852
ENSRNOG00000054496	0	0	0	0	0.065598889	0	0	0.060332805	0.055720748	0	0	0
ENSRNOG00000058251	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008709	31.20182496	35.60400051	34.01726457	33.89808488	33.44322491	31.85374382	36.89359677	34.8688636	35.54930988	32.60426453	36.55047066	37.2958777
ENSRNOG00000014635	124.340878	112.0246922	135.2369599	139.6578847	136.2892341	138.2279248	125.0699637	128.4753088	127.9154929	120.5527064	124.5751708	127.3021925
ENSRNOG00000032180	0.702945085	1.018439687	0.419919727	0.610692777	0.647495012	0.466013155	0.417231513	0.547874754	0.637991462	0.413300672	0.652204252	0.647572159
ENSRNOG00000010420	28.11780341	35.13616919	30.05307848	31.46764168	25.38180447	29.34156904	33.99664177	30.33161682	28.52628493	29.79209008	29.27154798	30.75967756
ENSRNOG00000054630	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015541	0.295415833	0.278202508	0.231342957	0.436909918	0.080856342	0.202061398	0.072363951	0.594923484	0.171701682	0.282248632	0.145436449	0.252706175
ENSRNOG00000037467	0.119614401	0.075096463	0.036427681	0	0	0.038180344	0.034183676	0.105387444	0.032443749	0	0.068702059	0.136428246
ENSRNOG00000009789	3.349240021	4.64269683	4.418351704	4.56622895	4.722711543	5.140486698	4.253518318	4.205694669	4.151632634	4.740125481	4.058602682	4.551908281
ENSRNOG00000010532	5.161080723	4.926034713	4.970188264	4.06971608	4.877307752	4.741818226	3.767090276	4.424323051	4.710378898	5.863942211	3.485093782	4.235935783
ENSRNOG00000059913	0	0	0	0	0.071516501	0	0	0	0	0	0	0
