Geneid,C1,C2,C3,S1,S2,S3,F1,F2,F3,E1,E2,E3,L1,L2,L3,FL1,FL2,FL3,FE1,FE2,FE3
ENSRNOG00000046319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000047964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000050370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000032365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000040300,2,2,4,0,5,0,0,0,2,8,0,2,0,0,1,0,2,2,1,0,0
ENSRNOG00000058808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSRNOG00000061316,4,0,4,10,6,2,2,0,3,5,0,12,2,6,2,0,4,10,2,4,4
ENSRNOG00000050129,6,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
ENSRNOG00000040316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000023659,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
ENSRNOG00000029897,17,8,10,4,6,6,12,20,16,18,4,16,8,12,0,6,14,14,0,0,0
ENSRNOG00000042852,0,0,0,0,6,1,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0
ENSRNOG00000061806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000055877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000014303,10699,11690,10117,9891,12298,11999,10474,11799,15329,15186,8270,9391,9096,14208,6777,12875,11589,9931,8581,4606,9158
ENSRNOG00000051899,1,1,1,1,0,0,0,2,1,0,1,0,0,2,2,1,0,1,0,0,2
ENSRNOG00000014330,4608,4352,4348,4703,5550,5629,4634,4965,6374,7411,3425,4407,3334,6194,3021,5679,5033,5315,2971,1841,4315
ENSRNOG00000049505,414,331,169,299,303,310,238,184,323,397,173,280,210,253,212,254,163,596,178,147,193
