title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_fax	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	age:ch1	gender:ch1	strain:ch1	tissue:ch1	response
GSM709704	Cortex_129_C	GSM709704	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	control group (water)	Mus musculus	strain: 129S1/SvImJ	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709704/suppl/GSM709704.CEL.gz	45101	10-11 week old	male	129S1/SvImJ	NA
GSM709705	Cortex_129_F	GSM709705	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	treatment group (fluoxetine)	Mus musculus	strain: 129S1/SvImJ	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709705/suppl/GSM709705.CEL.gz	45101	10-11 week old	male	129S1/SvImJ	NA
GSM709706	Cortex_AJ_C	GSM709706	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	control group (water)	Mus musculus	strain: A/J	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709706/suppl/GSM709706.CEL.gz	45101	10-11 week old	male	A/J	NA
GSM709707	Cortex_AJ_F	GSM709707	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	treatment group (fluoxetine)	Mus musculus	strain: A/J	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709707/suppl/GSM709707.CEL.gz	45101	10-11 week old	male	A/J	NA
GSM709708	Cortex_B6_C	GSM709708	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	control group (water)	Mus musculus	strain: C57BL/6J	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709708/suppl/GSM709708.CEL.gz	45101	10-11 week old	male	C57BL/6J	positive
GSM709709	Cortex_B6_F	GSM709709	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	treatment group (fluoxetine)	Mus musculus	strain: C57BL/6J	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709709/suppl/GSM709709.CEL.gz	45101	10-11 week old	male	C57BL/6J	positive
GSM709710	Cortex_BLB_C	GSM709710	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	control group (water)	Mus musculus	strain: BALB/cJ	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709710/suppl/GSM709710.CEL.gz	45101	10-11 week old	male	BALB/cJ	positive
GSM709711	Cortex_BLB_F	GSM709711	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	treatment group (fluoxetine)	Mus musculus	strain: BALB/cJ	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709711/suppl/GSM709711.CEL.gz	45101	10-11 week old	male	BALB/cJ	positive
GSM709712	Cortex_BLKS_C	GSM709712	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	control group (water)	Mus musculus	strain: C57BLKS/J	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709712/suppl/GSM709712.CEL.gz	45101	10-11 week old	male	C57BLKS/J	positive
GSM709713	Cortex_BLKS_F	GSM709713	Public on Aug 31 2011	4/15/2011	8/31/2011	RNA	1	treatment group (fluoxetine)	Mus musculus	strain: C57BLKS/J	gender: male	age: 10-11 week old	tissue: cortex	"Mean water intake for each strain was determined previously by measuring daily water consumption for three weeks (n=12 mice per strain). This information, along with average weight measurements for each strain, was used to determine the amount of fluoxetine required to provide a daily oral dose of 0 or 18 mg/kg per mouse."	"Thirty mouse inbred strains (129S1/SvImJ, A/J, AKR/J, BALB/cJ, BTBRT T(+) tf/J, BUB/BnJ, C3H/HeJ, C57BL/6J, C57BLKS/J, C57BR/cdJ, C58/J, CBA/J, CE/J, DBA/2J, FVB/NJ, I/LnJ, LG/J, LP/J, MA/MyJ, MRL/MpJ, NOD/LtJ, NOR/LtJ, NZB/BlNJ, NZW/LacJ, P/J, PL/J, RIIIS/J, SJL/J, SM/J, and SWR/J)  aged 5-6 weeks old were obtained from The Jackson Laboratory (Bar Harbor, ME). Male mice were kept in polycarbonate cages on a 12-hour light/dark cycle (lights on at 0700h) with access to food and water ad libitum. Following one week of habituation, mice were randomized to either control or treatment group (n=12 male mice per strain per treatment group)."	total RNA	"Brain regions were homogenized in 500 킠 of Trizol using a QIAgen TissueLyser at 30 Hz (QIAgen, Valencia, CA). RNA for each animal was isolated by guanidinium thiocyanate-phenol-chloroform extraction and was further purified using the RNAeasy miniprep kit (QIAgen, Valencia, CA) according the manufacturer뭩 directions. For each strain,"	biotin	"RNA samples for three animals from each treatment group were pooled and converted to cDNA and biotinylated cRNA (Enzo kit, Affymetrix, Santa Clara, CA)."	10090	The resulting cRNA was hybridized to Affymetrix GeneChip Mouse Genome 430 2.0 arrays.	Standard Affymetrix procedures using the GeneChip 3000 scanner	pooled tissue (n=3)	"Following normalization with the gcRMA algorithm, expression data were analyzed using ArrayAssist software (Stratagene, La Jolla, CA)."	GPL1261	"Cristina,,Santos"	santosc@email.unc.edu	919-966-5993	919-966-5863	Tim Wiltshire	Pharmacy (DPET)	UNC-CH	120 Mason Farm Road	Chapel Hill	27599	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM709nnn/GSM709713/suppl/GSM709713.CEL.gz	45101	10-11 week old	male	C57BLKS/J	positive
