Gene,A_C,A_E,A_H,F_C,F_E,F_H,M_C,M_E,M_H,Z_C,Z_E,Z_H
ENSRNOG00000016599,8,0,0,5,1,0,3,2,6,0,0,0
ENSRNOG00000048089,27,143,171,32,134,107,11,101,130,29,139,162
ENSRNOG00000049861,2,0,0,4,3,0,2,0,0,0,2,0
ENSRNOG00000048972,23,6,1,24,12,3,39,4,10,19,6,3
ENSRNOG00000012446,16,78,64,25,88,65,25,53,74,27,84,64
ENSRNOG00000028608,630,52,66,730,51,75,738,85,102,521,49,71
ENSRNOG00000046093,0,1,0,0,0,2,0,0,0,0,1,1
ENSRNOG00000046278,12,4,9,13,3,6,11,4,9,9,3,6
ENSRNOG00000046895,0,2,3,1,2,3,6,3,4,4,6,2
ENSRNOG00000046637,0,1,0,1,0,1,0,0,0,0,0,0
ENSRNOG00000047372,1,2,0,5,2,2,3,3,0,0,4,3
ENSRNOG00000046459,0,1,0,0,0,0,1,0,0,0,0,0
ENSRNOG00000042249,0,1,0,1,0,0,1,0,0,0,0,0
ENSRNOG00000046108,0,7,5,4,4,3,6,3,4,1,2,3
ENSRNOG00000049133,0,0,0,0,0,0,0,0,0,0,0,1
ENSRNOG00000049528,0,2,0,0,0,0,0,0,0,2,0,0
ENSRNOG00000002531,1,0,1,0,0,0,2,0,0,0,0,0
ENSRNOG00000000417,4278,2104,1889,5310,1704,1830,4264,1899,2341,4382,1731,1989
ENSRNOG00000001460,87,40,45,68,32,30,57,30,34,47,48,34
ENSRNOG00000001466,0,0,0,0,0,0,0,0,0,0,1,0
ENSRNOG00000001487,782,672,780,968,673,700,663,609,961,616,650,760
ENSRNOG00000001488,1697,1425,1366,1919,1221,1262,1790,1613,1649,1574,1295,1424
ENSRNOG00000001489,175,117,180,236,136,117,232,162,192,183,169,170
ENSRNOG00000001490,277,244,168,310,171,133,298,249,248,256,145,201
ENSRNOG00000001492,328,2592,2116,295,2228,2032,394,2569,2726,262,2233,2457
ENSRNOG00000001493,199,245,219,269,207,178,192,210,246,165,241,234
ENSRNOG00000001494,709,920,1300,656,810,1015,594,863,1519,669,970,1537
ENSRNOG00000001499,15,2,3,12,2,5,25,9,1,12,1,3
ENSRNOG00000001500,509,360,411,566,335,327,553,431,479,373,359,405
ENSRNOG00000001501,112,94,105,195,66,106,98,83,113,121,56,107
ENSRNOG00000002116,0,10,11,3,8,11,3,14,0,2,1,12
ENSRNOG00000002340,0,0,0,1,0,0,0,0,0,0,0,0
ENSRNOG00000002628,0,3,0,1,1,0,0,1,0,0,0,0
ENSRNOG00000002641,1,0,0,0,0,1,0,0,0,0,0,0
ENSRNOG00000004144,1,1,1,2,5,0,0,1,2,0,3,3
ENSRNOG00000004273,62,15,1,144,0,2,111,14,6,45,4,2
ENSRNOG00000005112,4,1,1,2,1,5,4,0,1,0,0,0
ENSRNOG00000005208,0,0,0,0,0,0,0,0,0,0,1,0
ENSRNOG00000005953,48,2,22,57,0,30,40,4,18,17,7,15
ENSRNOG00000006962,336,929,539,451,903,585,272,833,656,248,767,503
ENSRNOG00000008262,0,1,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000008815,146,68,75,188,59,56,139,67,90,80,64,61
ENSRNOG00000008824,12,5,0,11,2,1,4,0,2,22,2,0
ENSRNOG00000008890,24,0,4,13,0,2,22,2,1,26,0,3
ENSRNOG00000009113,128,297,284,136,213,221,104,222,229,76,387,237
ENSRNOG00000009460,512,665,602,603,571,578,482,588,723,507,630,686
ENSRNOG00000009462,578,264,218,546,206,248,485,252,242,495,245,191
ENSRNOG00000009482,5,274,458,6,250,378,2,286,558,1,249,394
ENSRNOG00000009523,316,531,414,455,469,411,382,633,554,250,448,489
ENSRNOG00000009664,524,433,300,638,384,321,601,477,386,466,448,335
ENSRNOG00000009791,0,0,0,0,0,0,0,0,0,0,0,1
ENSRNOG00000009812,1208,769,622,1503,695,512,1395,968,664,922,605,533
ENSRNOG00000009830,386,341,308,418,299,277,393,362,346,360,304,319
ENSRNOG00000009891,1521,837,716,1637,793,828,1553,1064,1079,1183,783,849
ENSRNOG00000009910,188,390,394,295,300,319,247,316,409,234,284,493
ENSRNOG00000009922,19,5,1,47,4,4,18,0,1,39,5,2
ENSRNOG00000009932,47,70,21,38,31,15,28,48,19,19,53,32
ENSRNOG00000009954,853,626,503,1211,529,466,1003,440,538,1052,466,524
ENSRNOG00000010017,293,139,184,299,150,133,285,163,184,269,190,152
ENSRNOG00000010087,364,193,168,404,181,143,371,256,254,289,188,177
ENSRNOG00000010117,14372,9568,8658,14701,8263,8886,15596,10249,11423,13426,8589,9304
ENSRNOG00000010132,0,1,1,0,0,1,0,0,0,0,0,0
ENSRNOG00000010146,1123,1635,1877,1396,1536,1716,987,1771,2088,760,1941,1846
ENSRNOG00000010158,13,7,11,32,8,5,13,0,4,1,7,4
ENSRNOG00000010172,4,1,4,5,4,4,0,4,2,2,3,5
ENSRNOG00000010220,3,4,0,4,5,5,1,0,2,0,1,4
ENSRNOG00000010224,47,63,59,55,62,58,40,71,74,58,54,53
ENSRNOG00000010230,357,305,319,377,276,267,338,302,280,311,281,311
ENSRNOG00000010308,454,144,364,669,150,311,505,165,327,326,143,190
ENSRNOG00000010427,1693,2614,2924,1985,2199,2608,1990,2299,3068,2300,2302,2623
ENSRNOG00000010529,17,23,16,21,21,25,14,21,30,54,39,36
ENSRNOG00000010630,147,53,74,165,44,74,126,75,74,151,40,73
ENSRNOG00000010664,151,94,130,145,77,143,130,86,149,107,102,132
ENSRNOG00000010742,0,1,0,0,0,0,1,0,0,1,0,0
ENSRNOG00000010752,562,381,505,506,346,426,462,334,568,486,323,496
ENSRNOG00000010753,613,683,697,743,611,638,569,817,868,433,686,581
ENSRNOG00000010763,48,96,73,80,78,66,49,62,90,34,67,94
ENSRNOG00000010769,16,8,26,16,16,23,8,21,22,19,3,36
ENSRNOG00000010775,194,65,63,256,35,50,228,47,75,244,39,66
ENSRNOG00000010803,69,783,2486,98,664,1908,15,672,2299,1,791,2335
ENSRNOG00000010840,41,89,41,67,59,32,55,102,45,30,68,24
ENSRNOG00000010853,32,97,119,20,45,59,24,58,75,8,53,55
ENSRNOG00000010861,786,756,737,903,677,729,705,672,781,745,735,851
ENSRNOG00000010915,729,537,712,953,458,672,758,466,708,586,395,717
ENSRNOG00000010918,13,24,36,13,19,25,6,23,39,21,23,21
ENSRNOG00000010938,34,131,132,39,120,128,32,124,144,7,122,116
ENSRNOG00000010958,229,208,218,230,197,182,176,214,221,208,228,206
ENSRNOG00000010959,84,68,48,57,41,35,97,34,56,77,55,47
ENSRNOG00000010964,1372,308,561,1440,292,507,1653,437,614,1139,305,531
ENSRNOG00000010967,775,1144,1225,856,1074,1153,824,945,1312,842,954,1277
ENSRNOG00000010983,9,1,4,10,2,5,5,4,1,3,1,5
ENSRNOG00000010994,0,0,0,0,2,0,2,0,1,1,0,2
ENSRNOG00000011001,0,0,0,0,0,0,0,0,0,1,0,0
ENSRNOG00000011004,0,0,0,0,0,0,2,0,0,0,0,0
ENSRNOG00000011011,40,2,20,39,9,11,24,0,28,35,6,21
ENSRNOG00000011015,473,2743,1930,541,2424,1875,453,2341,2137,504,2750,2249
ENSRNOG00000011029,1944,546,622,2010,491,554,1867,556,690,1824,456,538
ENSRNOG00000011058,1092,855,478,1360,790,534,1153,818,594,898,710,495
ENSRNOG00000011068,107,90,110,100,79,121,93,83,144,80,111,132
ENSRNOG00000011074,66,2,3,22,1,6,28,3,2,127,0,7
ENSRNOG00000011077,609,1063,1288,743,945,1106,711,987,1360,579,879,1288
ENSRNOG00000011114,912,649,707,937,650,686,988,705,829,862,616,707
ENSRNOG00000011130,71,34,15,40,22,12,27,14,16,59,29,7
ENSRNOG00000011134,95,51,43,146,62,40,128,31,65,100,36,90
ENSRNOG00000011151,816,828,375,622,564,331,726,928,540,452,554,283
ENSRNOG00000011160,158,3382,2692,131,2853,2090,110,2601,2391,102,3205,2410
ENSRNOG00000011161,28,66,34,54,65,91,28,65,84,30,42,83
ENSRNOG00000011191,0,0,1,0,0,1,1,1,0,0,2,3
ENSRNOG00000011213,114,27,39,127,38,30,84,50,49,68,19,29
ENSRNOG00000011221,1,3,1,0,2,1,1,1,0,1,1,0
ENSRNOG00000011234,0,0,1,0,0,1,1,0,0,0,1,0
ENSRNOG00000011236,2,0,0,4,5,1,3,6,6,2,1,2
ENSRNOG00000011243,18,2,6,6,2,5,33,3,7,20,4,4
ENSRNOG00000011245,431,157,124,519,106,69,371,163,135,349,145,94
ENSRNOG00000011262,308,180,125,293,131,162,271,163,222,202,123,168
ENSRNOG00000011282,991,1508,1475,1096,1219,1233,893,1174,1606,848,1280,1591
ENSRNOG00000011287,366,215,306,432,241,265,375,214,338,417,194,242
ENSRNOG00000011290,81,131,169,93,132,139,69,151,198,71,153,175
ENSRNOG00000011304,0,0,0,0,1,1,0,0,0,0,0,0
ENSRNOG00000011306,0,0,1,0,2,0,0,0,0,0,0,0
ENSRNOG00000011308,914,683,644,1062,610,628,917,669,792,749,581,578
ENSRNOG00000011310,990,532,320,1336,407,233,1967,890,329,1199,524,287
ENSRNOG00000011313,121,884,316,194,763,301,173,1079,432,76,763,299
ENSRNOG00000011339,913,2130,1534,1067,1710,1355,924,1719,1606,1066,1911,1877
ENSRNOG00000011346,168,108,50,232,87,74,199,93,117,104,102,69
ENSRNOG00000011352,302,130,139,276,140,134,273,129,195,348,147,179
ENSRNOG00000011355,34,20,27,55,15,16,54,24,21,45,17,28
ENSRNOG00000011367,6,7,11,5,3,6,6,14,17,6,7,9
ENSRNOG00000011380,531,1231,1060,648,1159,993,417,1357,1271,284,1262,1013
ENSRNOG00000011386,58,148,333,139,134,306,87,119,389,67,104,295
ENSRNOG00000011409,47,33,38,61,24,27,50,40,35,43,19,43
ENSRNOG00000011411,20,55,112,84,46,93,71,57,107,34,57,100
ENSRNOG00000011417,874,355,240,939,285,227,927,389,333,765,291,227
ENSRNOG00000011439,198,245,147,284,204,111,250,264,144,143,175,135
ENSRNOG00000011451,106,267,309,130,365,265,101,218,341,71,269,303
ENSRNOG00000011458,410,200,211,537,193,191,477,181,296,346,173,241
ENSRNOG00000011460,386,217,110,377,154,82,317,173,114,311,140,101
ENSRNOG00000011468,12,6,6,10,4,9,11,2,5,16,6,6
ENSRNOG00000011476,77,36,23,84,24,20,63,46,33,46,35,10
ENSRNOG00000011480,667,318,267,748,277,238,715,250,279,508,273,254
ENSRNOG00000011488,122,179,120,135,181,121,134,156,151,83,187,118
ENSRNOG00000011505,2,0,0,2,0,0,2,0,0,0,0,0
ENSRNOG00000011510,1,0,1,0,1,0,0,0,0,0,0,0
ENSRNOG00000011526,1239,54,160,1655,70,150,1296,89,211,1360,85,171
ENSRNOG00000011540,465,466,446,544,377,373,438,394,525,363,415,385
ENSRNOG00000011568,52,442,295,28,318,267,74,527,372,49,400,272
ENSRNOG00000011584,590,463,474,729,429,534,650,483,607,535,330,392
ENSRNOG00000011588,862,749,722,1050,663,687,945,838,988,811,653,784
ENSRNOG00000011599,20,62,142,22,70,113,14,82,148,19,52,107
ENSRNOG00000011622,791,403,525,1023,376,496,905,433,559,855,337,445
ENSRNOG00000011637,0,0,0,2,0,1,0,0,0,0,2,0
ENSRNOG00000011659,7,22,30,19,21,31,11,33,38,7,17,38
ENSRNOG00000011672,19,1,1,6,1,3,14,8,20,25,3,2
ENSRNOG00000011675,413,189,260,542,143,209,443,210,318,372,208,239
ENSRNOG00000011680,33,50,378,79,60,325,62,85,410,30,26,397
ENSRNOG00000011683,41,26,11,93,47,33,104,80,81,38,25,23
ENSRNOG00000011692,0,1,0,0,4,0,1,0,2,2,2,0
ENSRNOG00000011720,171,217,173,222,180,201,199,228,227,151,163,167
ENSRNOG00000011745,701,399,458,785,315,378,726,469,477,660,374,516
ENSRNOG00000011815,153,288,565,273,282,607,219,369,989,132,431,996
ENSRNOG00000011855,2,4,8,2,7,5,2,1,11,0,1,1
ENSRNOG00000011882,321,147,94,498,191,112,436,239,122,287,163,93
ENSRNOG00000011885,259,41,50,298,56,54,206,47,69,174,76,97
ENSRNOG00000011895,137,74,66,174,65,63,127,62,63,109,63,73
ENSRNOG00000011900,806,1090,944,849,932,932,754,811,950,791,930,1002
ENSRNOG00000011931,4755,4412,2506,5801,3502,2573,5277,4449,3272,3728,3630,2625
ENSRNOG00000011932,382,313,280,544,258,299,440,349,342,335,262,239
ENSRNOG00000011945,506,404,756,705,404,688,541,471,740,559,424,749
ENSRNOG00000011975,178,70,50,222,81,56,250,137,92,123,92,44
ENSRNOG00000011994,85,50,145,85,40,156,80,47,144,96,47,147
ENSRNOG00000012000,1455,525,577,1483,468,512,1343,455,625,1730,498,608
ENSRNOG00000012002,773,240,135,973,216,161,838,261,216,1100,150,130
ENSRNOG00000012031,7,2,6,18,2,3,10,3,4,6,2,3
ENSRNOG00000012034,0,0,0,0,0,0,2,0,0,0,0,0
ENSRNOG00000012036,294,217,216,406,149,213,280,244,304,325,192,185
ENSRNOG00000012055,514,452,483,642,406,414,542,453,535,473,358,523
