AllCombined	Arc	BLA	BNST	CGC	CMA	dorCA1	dorDG	HB	ILC	InsularCortex	LC	LH	LS	MDT	MPOA	MS	NaCcore	NaCshell	PAG	PLC	PVN	Raphe	SNT	venCA1	venDG	VMH	VTA
ENSRNOT00000049683	ENSRNOT00000075767	ENSRNOT00000021458	ENSRNOT00000049683	ENSRNOT00000042098	ENSRNOT00000043693	ENSRNOT00000021458	ENSRNOT00000022113	ENSRNOT00000025421	ENSRNOT00000023460	ENSRNOT00000050156	ENSRNOT00000046240	ENSRNOT00000074404	ENSRNOT00000025421	ENSRNOT00000022113	ENSRNOT00000021458	ENSRNOT00000043693	ENSRNOT00000049683	ENSRNOT00000049683	ENSRNOT00000021458	ENSRNOT00000001743	ENSRNOT00000003932	ENSRNOT00000022113	ENSRNOT00000046240	ENSRNOT00000028752	ENSRNOT00000049683	ENSRNOT00000049683	ENSRNOT00000049683
ENSRNOT00000042098	ENSRNOT00000054976	ENSRNOT00000025421	ENSRNOT00000042098	ENSRNOT00000047550	ENSRNOT00000022113	ENSRNOT00000025421	ENSRNOT00000028297	ENSRNOT00000013468	ENSRNOT00000025421	ENSRNOT00000074404	ENSRNOT00000022113	ENSRNOT00000025421	ENSRNOT00000028297	ENSRNOT00000001743	ENSRNOT00000025421	ENSRNOT00000022113	ENSRNOT00000043693	ENSRNOT00000043693	ENSRNOT00000037199	ENSRNOT00000011429	ENSRNOT00000023460	ENSRNOT00000021458	ENSRNOT00000022113	ENSRNOT00000028069	ENSRNOT00000043693	ENSRNOT00000042098	ENSRNOT00000042098
ENSRNOT00000043693	ENSRNOT00000022095	ENSRNOT00000028297	ENSRNOT00000043693	ENSRNOT00000074404	ENSRNOT00000025421	ENSRNOT00000001954	ENSRNOT00000001954	ENSRNOT00000073082	ENSRNOT00000028752	ENSRNOT00000054976	ENSRNOT00000021458	ENSRNOT00000039149	ENSRNOT00000024711	ENSRNOT00000021458	ENSRNOT00000017965	ENSRNOT00000025421	ENSRNOT00000047550	ENSRNOT00000047550	ENSRNOT00000016739	ENSRNOT00000025421	ENSRNOT00000025421	ENSRNOT00000037199	ENSRNOT00000021458	ENSRNOT00000011333	ENSRNOT00000040993	ENSRNOT00000043693	ENSRNOT00000043693
ENSRNOT00000050156	ENSRNOT00000025421	ENSRNOT00000001954	ENSRNOT00000047550	ENSRNOT00000011429	ENSRNOT00000007676	ENSRNOT00000024711	ENSRNOT00000028752	ENSRNOT00000021648	ENSRNOT00000058143	ENSRNOT00000011429	ENSRNOT00000055988	ENSRNOT00000028297	ENSRNOT00000002116	ENSRNOT00000016739	ENSRNOT00000020926	ENSRNOT00000028297	ENSRNOT00000042928	ENSRNOT00000003283	ENSRNOT00000021001	ENSRNOT00000028297	ENSRNOT00000028297	ENSRNOT00000016739	ENSRNOT00000025421	ENSRNOT00000025245	ENSRNOT00000023460	ENSRNOT00000050156	ENSRNOT00000050156
ENSRNOT00000047550	ENSRNOT00000075480	ENSRNOT00000028752	ENSRNOT00000040993	ENSRNOT00000073330	ENSRNOT00000027760	ENSRNOT00000075099	ENSRNOT00000020932	ENSRNOT00000009665	ENSRNOT00000024711	ENSRNOT00000073330	ENSRNOT00000007567	ENSRNOT00000015720	ENSRNOT00000013468	ENSRNOT00000021001	ENSRNOT00000028752	ENSRNOT00000007676	ENSRNOT00000040993	ENSRNOT00000022113	ENSRNOT00000014493	ENSRNOT00000014493	ENSRNOT00000014704	ENSRNOT00000025421	ENSRNOT00000020647	ENSRNOT00000021648	ENSRNOT00000025421	ENSRNOT00000047550	ENSRNOT00000047550
ENSRNOT00000042928	ENSRNOT00000033537	ENSRNOT00000020932	ENSRNOT00000022113	ENSRNOT00000023460	ENSRNOT00000075099	ENSRNOT00000021764	ENSRNOT00000075099	ENSRNOT00000068033	ENSRNOT00000027760	ENSRNOT00000057295	ENSRNOT00000033537	ENSRNOT00000011937	ENSRNOT00000019624	ENSRNOT00000014493	ENSRNOT00000024711	ENSRNOT00000075099	ENSRNOT00000022113	ENSRNOT00000073330	ENSRNOT00000028752	ENSRNOT00000002732	ENSRNOT00000035628	ENSRNOT00000028752	ENSRNOT00000051895	ENSRNOT00000020476	ENSRNOT00000028752	ENSRNOT00000042928	ENSRNOT00000042928
ENSRNOT00000046240	ENSRNOT00000020932	ENSRNOT00000021648	ENSRNOT00000025421	ENSRNOT00000025421	ENSRNOT00000051268	ENSRNOT00000013468	ENSRNOT00000021764	ENSRNOT00000028089	ENSRNOT00000033537	ENSRNOT00000014177	ENSRNOT00000002116	ENSRNOT00000021648	ENSRNOT00000073082	ENSRNOT00000002732	ENSRNOT00000047139	ENSRNOT00000018499	ENSRNOT00000025421	ENSRNOT00000014493	ENSRNOT00000014912	ENSRNOT00000015720	ENSRNOT00000007676	ENSRNOT00000074632	ENSRNOT00000028752	ENSRNOT00000011314	ENSRNOT00000044582	ENSRNOT00000040993	ENSRNOT00000025421
ENSRNOT00000064679	ENSRNOT00000002116	ENSRNOT00000020476	ENSRNOT00000028752	ENSRNOT00000028297	ENSRNOT00000028069	ENSRNOT00000020437	ENSRNOT00000018723	ENSRNOT00000002996	ENSRNOT00000067854	ENSRNOT00000020219	ENSRNOT00000027345	ENSRNOT00000009665	ENSRNOT00000018723	ENSRNOT00000015720	ENSRNOT00000042411	ENSRNOT00000013354	ENSRNOT00000028297	ENSRNOT00000020926	ENSRNOT00000074632	ENSRNOT00000004836	ENSRNOT00000028752	ENSRNOT00000075480	ENSRNOT00000012616	ENSRNOT00000022864	ENSRNOT00000012616	ENSRNOT00000048767	ENSRNOT00000007676
ENSRNOT00000003283	ENSRNOT00000075099	ENSRNOT00000002996	ENSRNOT00000015720	ENSRNOT00000007676	ENSRNOT00000001054	ENSRNOT00000023278	ENSRNOT00000023278	ENSRNOT00000006607	ENSRNOT00000002116	ENSRNOT00000033537	ENSRNOT00000025970	ENSRNOT00000006607	ENSRNOT00000021648	ENSRNOT00000074632	ENSRNOT00000027246	ENSRNOT00000073082	ENSRNOT00000007676	ENSRNOT00000028752	ENSRNOT00000033537	ENSRNOT00000033537	ENSRNOT00000023072	ENSRNOT00000033537	ENSRNOT00000046201	ENSRNOT00000021372	ENSRNOT00000024711	ENSRNOT00000025421	ENSRNOT00000015720
ENSRNOT00000074404	ENSRNOT00000028069	ENSRNOT00000006607	ENSRNOT00000023072	ENSRNOT00000019320	ENSRNOT00000013600	ENSRNOT00000021648	ENSRNOT00000021648	ENSRNOT00000025878	ENSRNOT00000019624	ENSRNOT00000020932	ENSRNOT00000011937	ENSRNOT00000054957	ENSRNOT00000068033	ENSRNOT00000002942	ENSRNOT00000023452	ENSRNOT00000010263	ENSRNOT00000015720	ENSRNOT00000019320	ENSRNOT00000047139	ENSRNOT00000075099	ENSRNOT00000032613	ENSRNOT00000020932	ENSRNOT00000013188	ENSRNOT00000025213	ENSRNOT00000075099	ENSRNOT00000028297	ENSRNOT00000044582
