IN.Sh.Gh	IN.Norm.Sh	IN.Anx.Sh	IN.Norm.Anx	IN.Flx.Sh
Meg3	Meg3	Meg3	Prkcb	Meg3
Cdr1	Ywhaz	Ywhaz	Mef2c	Ywhaz
Lars2	Calm2	Calm2	Rab3c	Calm2
Calm2	Map1b	Map1b	Map1a	Map1b
Vsnl1	Camk2n1	Camk2n1	Chn1	Camk2n1
Camk2n1	Camk2a	Prkcb	Rbfox1	Prkcb
Camk2a	Pgm2l1	Dclk1	Camk4	Dclk1
Vamp2	Arf3	Pgm2l1	Cacnb4	Pgm2l1
Gnao1	Hpcal4	Arf3	Trim2	Arf3
Tubb4a	Gnao1	Ppp3r1	Aak1	Snhg11
Ywhah	Ywhag	Atp1b1	R3hdm1	Tmod2
Syn1	Rab3c	Hpcal4	Rgs4	Hpcal4
Ywhae	Syn1	Gnao1	Fth1	Gnao1
Ywhab	Ywhab	Ywhag	Eif4g2	Ywhag
Syt1	Map1a	Ywhah	Rac1	Syn1
Clip3	Stxbp1	Syn1	Arpp21	Ywhab
Taok1	Kif5c	Ywhab	Chgb	Map1a
Gm12070	Napb	Map1a	Olfm1	Stxbp1
Ttc3	Gm12070	Kif5a	Zmat3	Kif5c
Fkbp1a	Rbfox1	Stxbp1	Ddx5	Chn1
Camk4	Celf4	Kif5c	Hlf	Nrxn1
Mtpn	Rasgrp1	Chn1	Sv2b	Napb
Pak1	Nsf	Napb	Pde1a	Rbfox1
Hsp90ab1	Fkbp1a	Rbfox1	Ppp2r2c	Celf4
Fth1	Trim44	Celf4	Atp6v1a	Rasgrp1
Atp2a2	Camk4	Rasgrp1	Gnal	Arhgef9
Atp6v1g2	Cyfip2	Arhgef9	Egr1	Nsf
Cadm2	Pak1	Nsf	Diras2	Fkbp1a
Rac1	Trim2	Strbp	Ncl	Trim44
Mapre2	Apc	Camk4	Tspyl4	Strbp
Gria2	Kif1b	Cyfip2	Akap5	Camk4
Basp1	R3hdm1	Cacnb4	Pcp4	Cyfip2
Rab2a	Atp6v1g2	Gls	Ensa	Cacnb4
Arpp21	Reps2	Trim2	Camk1d	Gls
Gapdh	Synj1	Aak1	Ndrg3	Trim2
Glul	Gad2	R3hdm1	Dgkb	Hsp90ab1
Zeb2	Cadm2	Atp6v1g2	Syne1	Aak1
Ctnnd2	Mapk1	Reps2	Nefl	Kif1b
Tuba1a	Cbx5	Synj1	Cpeb4	R3hdm1
Actb	Sh3gl2	Gad2	Hnrnpu	Atp6v1g2
Abi2	Plp1	Cadm2	Pkia	Reps2
Pde1a	Zyg11b	Usp9x	Ncan	Synj1
Etnk1	Basp1	Mapk1	Akap9	Gad2
Rab7	Atp2b2	Rac1	Slc39a10	Cadm2
Ppp2r2c	Arpp21	Sh3gl2	Arhgap5	Mapk1
Slc25a23	6820431F20Rik	Plp1	Rapgef4	Cbx5
Gabrb2	Gapdh	Zyg11b	Map9	Sh3gl2
Cmip	Dnaja1	Basp1	Dkk3	Plp1
Fzd3	Chgb	Atp2b2	Dmxl2	Zyg11b
Slc25a4	Pgam1	Smim13	Cadm3	Basp1
Calm3	Prkce	Arpp21	Hnrnph1	Atp2b2
Pcp4	Olfm1	Atp1a3	Rora	Smim13
Rph3a	Hlf	Tppp	Syn2	Arpp21
Tmx4	Sv2b	Dnaja1	Slmap	6820431F20Rik
Cplx1	Actb	Chgb	Foxp1	Atp1a3
Adcy1	AI593442	Pgam1	Frrs1l	Dnaja1
Tuba1b	Pde1a	Prkce	Lrrc4c	Chgb
Zfr	Tcf4	Olfm1	Camk2b	Ctnnd2
Ppia	Anks1b	Arhgap32	Nrsn1	Pgam1
Wipf3	Snap91	Ddx5	Slc6a17	Prkce
Rorb	Srgap3	Hlf	Fam107a	Olfm1
Ensa	Ppp2r2c	Sv2b	Rfx3	Arhgap32
R3hdm2	Atp6v1a	AI593442	Dst	Hlf
Unc80	Gng2	Sptbn1	Msl1	Sv2b
Gabra1	Gabrb2	Pde1a	Rap1gds1	Actb
Nlk	Cmip	Pten	Lmo3	AI593442
Cacna1e	Rabgap1l	Tcf4	Fat3	Sptbn1
Cpeb4	Mrfap1	Snap91	Impact	Pde1a
St8sia3	Atxn1	Srgap3	Phactr1	Tcf4
Ldhb	Myt1l	Ppp2r2c	Tmem65	Anks1b
Lpgat1	Smarca2	Atp6v1a	Ppargc1a	Snap91
Epm2aip1	Diras2	Gng2	Creg2	Srgap3
Akap11	Rgs17	Gdi1	Pcdh7	Ppp2r2c
Fam168a	Kmt2e	Gabrb2	Gap43	Atp6v1a
Akap9	Bclaf1	Gnal	Pip4k2a	Gng2
Nefm	Hsph1	Cmip	Dazap2	Gdi1
Fut9	Eno2	Rabgap1l	Herc3	Gabrb2
Ndrg2	Aldoa	Mrfap1	Nudt4	Gnal
Slc39a10	Tspyl4	Myt1l	B4galt6	Cmip
Cntn1	Akap5	Egr1	Sdf4	Rabgap1l
Rab11b	Pcp4	Smarca2	Rcan2	Mrfap1
Trip12	Rph3a	Diras2	Rsf1	Myt1l
Stmn1	Plcb1	Rgs17	Srsf2	Egr1
Ncdn	Tuba1b	Gria3	Atp2b4	Smarca2
Mllt11	Ankrd17	Kmt2e	Nptx1	Diras2
Eif4g3	Wipf3	Dzank1	Hnrnpa2b1	Rgs17
Actg1	Rorb	Hsph1	Zmynd11	Gria3
Ttbk2	Itpr1	Eno2	Zmiz1	Kmt2e
Ano3	Ensa	Aldoa	Ik	Hsph1
Hpca	Camk1d	Akap5	Slc17a7	Eno2
Macf1	Peg3	Pcp4	Lingo1	Aldoa
Sdha	Ppm1e	Rph3a	Pi4ka	Akap5
Frrs1l	Ndrg3	Adcy1	Raph1	Pcp4
Cfl1	Unc80	Plcb1	Serpini1	Rph3a
Astn1	Tanc2	Tuba1b	Nap1l5	Adcy1
Kcna1	Dgkb	Dnm1	D430041D05Rik	Plcb1
Pdpk1	Syne1	Faxc	Ptma	Tuba1b
Nfia	Trim9	Wipf3	Nrn1	Gpm6b
Dnm1l	Gabra1	Rorb	Ppp1r2	Dnm1
Fam107a	Enc1	Itpr1	Lynx1	Faxc
Scamp1	Bsn	Ensa	Nhsl2	Wipf3
Slc4a10	Lpgat1	Camk1d	Gm20300	Rorb
Dst	Cadps	R3hdm2	Trank1	Itpr1
Pcmtd1	Tpm1	Peg3	Pde10a	Ensa
Hsbp1	Atp6v1b2	Ppm1e	Nr1d1	Camk1d
Stxbp5	Ncan	Ndrg3	Dnaja2	Peg3
Kcnb1	Ptprd	Unc80	Tlk1	Ppm1e
Got1	Rnf14	Tanc2	Zfp664	Ndrg3
Adam22	Wasl	Syne1	Anp32a	Unc80
Rpl4	Tnrc6b	Trim9	Ivns1abp	Tanc2
Fat3	Slc39a10	Gabra1	Mbp	Syne1
Mical2	Ctnnb1	Nefl	Pank3	Trim9
Atp6v1d	Spred1	Enc1	Pcsk2	Gabra1
Gda	Sgtb	Bsn	Osbpl8	Nefl
Tmsb4x	Prickle2	Cpeb4	Itfg1	Enc1
Vdac1	Kalrn	Oxr1	Ptprt	Bsn
Fam163b	Ank3	Ldhb	Zeb1	Ldhb
Kidins220	Ctxn1	Lpgat1	Skil	Lpgat1
Rbfox3	Hspa12a	Cadps	Bex2	Cadps
Cacna2d1	Ncdn	Hnrnpu	Meis2	Tpm1
Ogt	Rapgef4	Tpm1	Enpp2	Atp6v1b2
Hcn1	Mllt11	Pkia	Zhx1	Ncan
Brd4	Cadm3	Atp6v1b2	Luzp2	Ptprd
Smarcc2	Miat	Ncan	Kcnip3	Akap9
Tmem30a	Rora	Ptprd	Arhgap26	Rnf14
Gap43	Dnajc6	Akap9	Scn1a	Nefm
Dazap2	Actg1	Pum2	Top1	Wasl
Luc7l2	Lancl2	Nefm	Zfp612	Tnrc6b
Rad23b	Necab1	Wasl	Fmn1	Slc39a10
Nfix	Syn2	Tnrc6b	Strap	Arhgap5
Nsd1	Sdha	Slc39a10	Hnrnpr	Cntn1
Tmem132b	Prkca	Arhgap5	Dpp10	Ctnnb1
Car2	Lrrc4c	Cntn1	Inpp5f	Spred1
Pde4b	Slc6a17	Ctnnb1	Atf6	Sgtb
Ckb	Golga4	Sgtb	Trio	Kras
Atp2b4	Rfx3	Car10	Rgs8	Prickle2
Pebp1	Slc4a10	Kras	Dctn4	Kalrn
Chl1	Rap1gds1	Prickle2	Dcx	Ank3
Rian	Prrc2b	Kalrn	Ssr1	Ctxn1
Jph4	Pcmtd1	Ank3	Fbxw11	Stox2
Tmem106b	Erc2	Trip12	Ssb	Hspa12a
Man1a2	Timp2	Dpp8	Kcnip4	Ncdn
Mmd	Nufip2	Ctxn1	Tspan5	Rapgef4
Golph3	Prkar1b	Stox2	Ppm1h	Mllt11
Trim33	Stxbp5	Hspa12a	Zscan26	Map9
Ddah1	Dcaf7	Neto1	Efhd2	Dkk3
Sorbs2	Fem1b	Ncdn	Tbr1	Cadm3
Serpini1	Hnrnpul2	Mllt11	Amph	Miat
Ptma	Mef2a	Map9	Chp1	Rora
Zc3h13	Rasgrf1	Dkk3	Faim2	Dnajc6
Lgi1	Ncald	Dmxl2	Wfs1	Eif4g3
Fam171b	Rc3h2	Marf1	Sh3kbp1	Actg1
Prrt2	Lonrf2	Cadm3	Srsf3	Lancl2
R3hdm4	Rnf38	Hnrnph1	Morf4l2	Necab1
Dtna	Aplp2	Rora	Tjp1	Syn2
Chic1	Creg2	Dnajc6	Gstm1	Foxp1
Trank1	Osbpl1a	Eif4g3	Zfp609	Sdha
Pde10a	Gmfb	Actg1	Celsr2	Frrs1l
Pea15a	Cacna2d1	Lancl2	Ptprj	Prkca
Dynlrb1	Pkp4	Necab1	Rps4x	Lrrc4c
Dnajb6	Slc25a46	Syn2	Plxna4	Camk2b
Zbtb44	Atp8a1	Slmap	6430548M08Rik	Slc6a17
Rpl31	Pabpc1	Foxp1	Gabbr2	Golga4
Arid4b	Arnt2	Sdha	Setd2	Rfx3
Dcp2	Rb1cc1	Frrs1l	Adarb1	Slc4a10
Sf3b1	Rab14	Ttll7	Efr3b	Dst
Gad1	Stmn2	Prkca	Dixdc1	Ccny
Zfp664	Scai	Ppm1b	Ypel2	Prrc2b
Ncam2	Herc3	Lrrc4c	Ctnnd1	Pcmtd1
Anp32a	Nudt4	Camk2b	Arap2	Erc2
U2surp	Arhgap20	Nrsn1	Pde4dip	Abr
Dynll1	Rad23b	Slc6a17	Atp2b3	Timp2
Ivns1abp	B230219D22Rik	Golga4	Rap1gap2	Nufip2
Cnr1	Sdf4	Rfx3	Phactr2	Prkar1b
Baalc	Pkm	Slc4a10	Tbc1d24	Stxbp5
Ptk2b	Rbfox2	Dst	Sh3bgrl	Got1
Nrgn	Nptx1	Prrc2b	Phactr3	Dcaf7
Grm5	Tacc1	Pcmtd1	Pcp4l1	Fem1b
Elavl3	Hnrnpa2b1	Erc2	2610005L07Rik	Mef2a
Mast3	Tspyl1	Abr	Mal	Rasgrf1
Mbp	Snca	Timp2	Pde2a	Ncald
Pcdh9	Rian	Prkar1b	Usp45	Rc3h2
Ttc39b	Cck	Stxbp5	Hipk2	Lonrf2
Sestd1	Jph4	Lmo3	Ehd3	Gda
4933409K07Rik	Kmt2a	Rpl4	Syngr1	Vdac1
Pcsk2	Zmynd11	Dcaf7	Cnp	Satb1
Cycs	Cyld	Fem1b	D630045J12Rik	Rnf38
Smg7	Zmiz1	Mef2a	Strn	Aplp2
Smap2	Man1a2	Rasgrf1	H3f3b	Mphosph8
Polr2m	Slc12a5	Rc3h2	Mobp	Creg2
Tom1l2	Slc17a7	Lonrf2	Madd	Usp31
Ugcg	Cs	Ncoa2	Ranbp2	Osbpl1a
Ptprt	Lingo1	Vdac1	Sik3	Gmfb
Ino80d	Arpc2	Satb1	Tmem88b	Cacna2d1
Slc7a14	Ap2b1	Fam163b	Thsd7a	Slc25a46
Gria1	Pi4ka	Tmem170b	Ppp2cb	Smarcc2
Cnot6l	Hspd1	Rnf38	Zfp704	Atp8a1
4833439L19Rik	Ddah1	Aplp2	Ppp2r2a	Pabpc1
Wsb2	Homer2	Mphosph8	Fubp1	Arnt2
Pink1	Tubb2a	Creg2	Slc9a6	Rb1cc1
Arf4	Nova1	Usp31	Gfra2	Dazap2
Sod1	Raph1	Rbfox3	Ube2i	Rap2a
Scn1a	Peg13	Osbpl1a	Arl8a	Stmn2
Grin2b	6330403K07Rik	Pcdh7	Iqsec3	Scai
Fmn1	Serpini1	Gmfb	Fam13b	Herc3
Slc2a13	Sh3glb1	Cacna2d1	Zdbf2	Nudt4
Rere	Stxbp6	Slc25a46	2510009E07Rik	Arhgap20
Gria4	Ldha	Smarcc2	Ina	B4galt6
Brd2	Nrn1	Atp8a1	Tsc22d2	Pfn2
Sec62	Appl1	Pabpc1	Cdk11b	B230219D22Rik
Dynll2	Ppp4r2	Dazap2	Kif3c	Sdf4
Epha4	Pgk1	Rap2a	Glrx2	Slc35f1
Nus1	Klc1	Stmn2	Socs5	Pkm
Fam78b	Necap1	Tax1bp1	Nlgn1	Rbfox2
Camta2	Dtna	Herc3	Pcf11	Atp2b4
Max	Rrp1	Nudt4	Ap1s2	Nptx1
Eny2	Wdr7	Arhgap20	Myrip	Tacc1
Ssr1	Cux1	B4galt6	Kpna4	Luzp1
Tmtc1	Adam23	B230219D22Rik	Nudt3	Tspyl1
Kdm7a	Dlg1	Rcan2	Clstn2	Snca
Neto2	Rpl31	Pkm	Atp11b	Map2k1
Kcnip4	Dnaja2	Dip2b	Hspa9	Rian
Tmem167	Camk2d	Thy1	Twf1	Cck
Rgs7	Arid4b	Rbfox2	Epas1	Jph4
Aldoc	Syt4	Atp2b4	Pdk2	Kmt2a
Tmem263	Hnrnpa0	Nptx1	Igsf11	Cyld
Wbp2	Anp32a	Ncam1	Gsg1l	Add2
Rasgrf2	Dynll1	Tnks2	Ncs1	Rabep1
Prex2	Bend6	Tacc1	Cry2	Zmiz1
Tbr1	Add1	Luzp1	Gpr88	Man1a2
Mff	Klhl2	Snca	Pde7b	Slc12a5
Rev3l	Cnr1	Map2k1	Rap2b	Slc17a7
Rnf169	Arrb1	Cck	Pde4a	Cs
Cttnbp2	Baalc	Jph4	Vkorc1l1	Lingo1
Dzip3	Mbp	Kmt2a	Dgkg	Ap2b1
Rps6	Sestd1	Cyld	Htt	Pi4ka
Inpp4a	Kif2a	Add2	Kcnj6	Hspd1
Birc6	Trp53inp2	Rabep1	Kctd1	Ddah1
Cacna1b	Rapgef2	Zmiz1	Tet1	Homer2
Zfp445	Capns1	Man1a2	Pptc7	Tubb2a
Rpl21	Itfg1	Slc12a5	Cdkl2	Nova1
Gstm1	Bnip3l	Slc17a7	Ide	Raph1
Sec22b	Ptprt	Cs	Syt13	Peg13
C1ql3	Tspan2	Lingo1	Prdx6	6330403K07Rik
Rhob	Crebrf	Ap2b1	Stac2	Serpini1
Snap47	Syt7	Pi4ka	Msl2	D430041D05Rik
Disp2	Klf9	Ddah1	Snx5	Sh3glb1
Nrep	Ahcyl2	Homer2	Pde8b	Ccdc82
Tm9sf3	Ap2m1	Tubb2a	Rnf170	Stxbp6
Eif1	Cep170b	Nova1	Map4k3	Prkaa2
Brwd1	Slc7a14	Raph1	Cacng3	Ldha
Celsr2	Skil	Peg13	Rbmx	Nrn1
Larp4b	Bex2	6330403K07Rik	Synpo	Appl1
Pdcd4	Pgbd5	Nap1l5	Foxk2	Ppp4r2
Clasp1	Enpp2	D430041D05Rik	Hspa5	Pgk1
