TRP.Sh.Gh	TRP.Norm.Sh	TRP.Anx.Sh	TRP.Norm.Anx	TRP.Flx.Sh
Malat1	Snap25	Snap25	Snap25	Snap25
Ywhaz	Malat1	Malat1	Calm1	Malat1
Calm2	Ywhaz	Ywhaz	Calm2	Ywhaz
Map1b	Map1b	Calm1	Vsnl1	Calm1
Camk2a	Vsnl1	Calm2	Rtn1	Calm2
Slc1a2	Kalrn	Map1b	Vamp2	Map1b
Meg3	Camk2a	Vsnl1	Napb	Vsnl1
Ywhae	Slc1a2	Camk2a	Rab2a	Camk2a
Camk2n1	Meg3	Prkcb	Arhgef12	Prkcb
Ywhah	Eif4g2	Slc1a2	Atp6v1g2	Slc1a2
Map1a	Gnas	Meg3	Basp1	Meg3
Rab7	Ywhae	Eif4g2	Celf4	Eif4g2
Pclo	Hspa8	Gnas	Ctnnb1	Gnas
Ank2	Ywhah	Ywhae	Zfp106	Ywhae
Vamp2	Igf2	Hspa8	Fth1	Hspa8
Srrm2	Map1a	Ywhah	Aff4	Glul
Prrc2c	Ptn	Rtn1	Ddx3x	Ywhah
Sptbn1	Gm12070	Igf2	Hnrnpa2b1	Igf2
Ttc3	Ywhab	Map1a	Cfl1	Map1a
Kif1b	Rab7	Gm12070	Ik	Ptn
Cyfip2	Pclo	Ywhab	Akap12	Gm12070
Atrx	Ank2	Rab7	Cplx1	Ywhab
Usp9x	Ywhag	Pclo	Dynlrb1	Rab7
Pak1	Prrc2c	Ank2	Slc39a10	Pclo
Kif1a	Sptbn1	Vamp2	Aplp1	Ank2
Myo5a	Mtpn	Srrm2	Sf3b1	Srrm2
Ppia	Rac1	Ywhag	Add3	Ywhag
Apc	Ttc3	Clip3	Pcdh7	Prrc2c
Slc24a2	Hlf	Atp1b1	Fam168a	Sptbn1
Aak1	Kif1b	Prrc2c	Ahcyl2	Ppp3r1
Cnksr2	Hpcal4	Sptbn1	Hpca	Mtpn
Snhg11	Cyfip2	Ppp3r1	Vdac1	Rac1
Dnaja1	Arhgap29	Mtpn	Eid1	Ttc3
Rab2a	Actb	Rac1	Pkia	Hlf
