XFTU	XFRC	XFNC	XFRN
Tfrc	Grp	Bank1	Enpp5
Casp3	Tmtc4	Nefh	Sfmbt2
Gnb4	BC005561	9430016H08Rik	Susd4
Zfp945	Gnb4	Csf1	Fam204a
Sh3d19	Zfp945	Slc26a8	Rnf144b
Nefh	Lypd1	Sap130	Npy
Ciart	Ltk	Ksr2	4931414P19Rik
Spata13	Ccdc80	Ssx2ip	Slmo1
Rasl11b	Prom1	Tubb2b	Chrna5
Prr15	Nhlrc1	Rnaseh2c	Serinc2
Adamts2	March10	C87436	Ispd
Hes6	Fhdc1	Nat2	Pdrg1
Bre	Spata13	Nfyc	Alms1
Cort	Prex1	Cyp51	Vgf
Pdgfra	Sat1	Eif4ebp1	4930452B06Rik
Dbp	Arhgef15	Brpf1	D430020J02Rik
Grb10	Tfrc	Colgalt2	E130311K13Rik
Pla2g4e	Casp3	Erf	Akap13
Car4	Hes6	Hdhd3	Por
Rbx1	Opalin	Wee1	B4galnt1
Ddx26b	Uhrf1bp1l	Pi4k2b	Mettl7a2Higd1c
Rasl10a	Gpr137c	Tmem150c	Adra1b
Prom1	Tiam2	Zfp945	Uhrf1bp1l
Ltk	Asph	Ccdc160	Plch1
Avpi1	Adcyap1r1	Rcbtb2	Tssc1
Fcor	Clmn	Galns	Fhod3
Prex1	2900052N01Rik	Eri1	Psmg2
Sun1	Lair1	Nell1	Dnpep
Piga	Plgrkt	Insig1	Slc35c1
Sgsm1	Acp6	Ap2m1	Sag
Zranb3	Diras2	Cuedc1	Stk40
Cxcl12	Mxd4	Il15ra	Ankrd46
Tfdp2	Col5a2	Tmem181a	Stard3
Igfbp4	Plekha2	Rasl11b	Pcdhb21
Hapln4	Hpgd	Btg2	Dek
Lss	Tmem176a	Mmaa	2610005L07Rik
1700008J07Rik	Aspg	Rbm45	Mrgpre
Tle1	Rnf144b	Commd6	Lancl2
Mxd4	Ifitm10	Cdkn1c	E230016M11Rik
Gpc1	Spaca6	Zfp772	Cep76
Camk4	Ispd	2810055G20Rik	Rgs17
Cdc42ep3	Slc12a4	Slc39a2	Uvrag
Mybbp1a	Nr4a3	Phactr3	Timm21
Adam19	Il1r1	Parp1	S1pr5
Tcfl5	2310010G23Rik	Ggh	6030458C11Rik
Grp	Myl1	Wbscr16	Ppp3cb
Igsf11	Mum1l1	Scly	Abhd4
Myadm	1110017D15Rik	Rcn1	Kcnq2
Inhba	Acadm	Mga	Tiam2
Mfsd4	Moxd1	Twistnb	Dmrtc1a
Mal	Piga	Otof	Scrn1
Sst	Pcdh15	Bambi	Smpd1
Npy1r	Ddx26b	D17Wsu92e	Ptp4a3
Usp2	Nans	Mettl20	Slc7a4
Vip	Vav3	Rpp40	Rragc
Lysmd4	E130309F12Rik	Dedd	Atp8a1
Zfp467	Hapln4	Slc25a32	Rpp25
Foxred1	Ermard	Tbc1d16	Pmaip1
Psme4	Strip2	Greb1	Ercc3
Prcp	Smpdl3b	Zfp956	Prss22
Ermard	Pla2g4e	Ppox	Comt
Col4a1	Dgkz	Fcrls	March11
Nptx1	Doc2b	Ggps1	Wfs1
Arpc5	Bloc1s5	Zfp850	Gpx1
Drp2	Hunk	Nsdhl	Rpusd3
Lgi2	Arap2	Adnp2	Pot1a
Slc36a1	Glra3	1110032A03Rik	Gm20754
Tmtc4	Rasl10a	Fat4	Ldb2
Lingo3	Adcy9	Sstr4	Golim4
Nr1d2	Fam149b	Pard3b	Rmdn1
Tmem200a	Hspa1b	Rab13	Scg2
Slc7a14	Pir	Rhpn2	C230052I12Rik
Arhgap42	Phlda3	Ric3	Prorsd1
Podxl2	Olig2	Ctso	Hspb3
Irf2bpl	Prcp	Arhgap5	Akap7
Gpr26	Grb10	Diap1	Rc3h1
Asb11	Tmem74b	Esyt1	Paqr8
Hsph1	Col4a1	Igfbp3	Gpr68
Hspa1b	Alg1	Aaas	Rpa1
Camkk2	Ttll5	Zcchc10	Acaa2
Klf15	Leprel4	6330403L08Rik	Gpx2
Tmem74b	Mybbp1a	5730507C01Rik	Armc6
Pak7	Glt25d1	Ints2	Elac2
Sema3a	Sidt1	Myef2	Spata13
E130309F12Rik	Mlip	Zfp111	Slc6a17
Arhgef15	Jade1	Rasl12	D3Ertd254e
