SFTU	SFRC	SFNC	SFRN
Rprm	Necab3	Rprm	Snrpb
Cck	Tmsb10	Cck	Elp3
Gpc3	Rab26	Gpc3	Ddit4
Rasgrp1	Rprm	Syn3	Msmb
Syn3	Fam184b	Rasgrp1	Sorbs2
Igfbp6	Gdf10	Rasd1	Slc26a11
Rasd1	Igfbp6	Igfbp6	Rnaseh1
Tmsb10	Gpc3	Sh3bgrl3	Epsti1
Fam184b	Rasgrp1	Tmsb10	Csmd1
Ogn	Cck	Fam184b	Pop5
Necab3	Rgs13	Cadm3	Mpdu1
Syne1	Itpr1	Iglon5	Gpx7
Drd1a	Syn3	Necab3	Ift122
Gdf10	Drd1a	Ogn	Larp6
Fndc1	Tmem158	Syne1	Anxa1
Rab26	Plekhd1	Igfbpl1	2610001J05Rik
Csmd3	Ogn	Tmem50a	Flrt2
Plekhd1	Lemd1	Drd1a	Enkd1
Acvr1c	Cacng5	Rab26	Spag7
Cdh7	Fndc1	Gdf10	Wdr31
Ctdspl	Gpr83	Fndc1	Tubgcp2
Lpin2	Tnxb	Csmd3	Exosc2
Gfra2	Slc26a11	Slc7a4	Snrnp70
Stc1	Grp	Slc26a4	Rgs13
Nwd2	Nwd2	Plekhd1	Ipmk
Smyd4	Onecut1	Etv6	BC005561
Sfxn3	Rasd1	Lpin2	Tmcc3
Itpr1	Zcchc5	Acvr1c	4921508D12Rik
Gpr83	Rab27a	Ddah2	Adck5
Moxd1	Syne1	Smyd4	Vwa3b
Iglon5	Csmd3	Cdh7	Rpia
Pcdh7	Acvr1c	Ctdspl	Mir22hg
Fstl1	Echdc2	Kif17	Rpp25l
Rab27a	Sfxn3	Gfra2	Ik
Cadm3	Moxd1	Mfsd12	Agpat9
Tmem158	D16Ertd472e	Fam134b	Mtg1
Chsy3	Cdh7	Col6a1	Cpne7
Dusp26	Mir22hg	Serpina3n	Tsen34
S100a6	Pxdc1	Mcu	Grp
Slc35f4	Tgfb2	Stc1	Slc14a1
Clec1a	Prkab2	Camkk2	Fam173a
Serpina3n	Stc1	Cd68	D330050G23Rik
Sema4f	Ctdspl	Tenm1	Usp18
Zcchc5	Spata13	Tmprss2	Pycr2
Smo	Fstl1	Slc7a14	Pef1
Nrip3	Gfra2	Pcdh7	Krtcap2
Onecut1	Ramp3	Chsy3	U2af1l4
Camkk2	Coro2a	Slc35f4	Sqstm1
Unc5d	Frzb	Nwd2	Pex5l
Cacng5	Smo	Traf3	Smim12
Frzb	Sorcs2	Sfxn3	Rem2
Pip5k1b	Fat4	Itpr1	Jak1
Col6a1	Parvb	Dusp26	Gmpr2
Tnxb	Clec1a	Fstl1	Gins4
Echdc2	Sema3e	Ephb1	Psd3
Coro2a	Hsph1	Gprc5c	Brd4
Igfbp5	Cd1d1	Leprot	Usp46
Il6ra	S100a6	Pla2g2d	Ssna1
Cat	Lpin2	Moxd1	Naif1
Slc20a1	Actn2	Gpr83	Gas1
Serinc2	Sema4f	S100a6	Pml
Ncan	Fam160a1	Sema4f	Rpusd1
Trim71	Igfbp5	Clec1a	Gzmb
Tenm1	B3galt5	Nrip3	Smarcd2
Jag1	Pip5k1b	Rab27a	Pitpnm3
Lemd1	Bach1	L3mbtl3	Cebpd
Dpysl3	Acvr1	Tmem158	2810410L24Rik
Mei1	Unc5d	Dpysl3	Spata13
Kif17	Dusp26	Il1rapl1	C1ql2
Arhgap26	Pcdh7	Mpdz	Acad8
Fam134b	Serinc2	Il6ra	Tor1a
Lmo2	Capn5	Smo	Cd83
Sorcs2	Lmo2	1700016K19Rik	Nlgn3
D16Ertd472e	Capn3	Dab1	Slc35d1
Cd1d1	Chsy3	Zcchc5	1110034G24Rik
