SFTU	SFRC	SFNC	SFRN
Plekhd1	Plekhd1	Plekhd1	Slc38a5
Ogn	Ogn	Ogn	Myo5b
Dgkb	Tspan18	Sh3bgrl3	4933427G17Rik
Rprm	Rprm	Dgkb	Cd248
Sh3bgrl3	Drd1a	Rprm	B3gat1
Syn3	Cacng5	Syn3	Tagln
Syne1	Syn3	Slc7a4	Rab26
Drd1a	Gpc3	Kif17	Vwc2
Gpc3	Igfbp6	Syne1	1700028E10Rik
Slc7a4	Rasgrp1	Drd1a	Orc5
Rasgrp1	Rab26	Gpc3	Rdh12
Kif17	Syne1	Rasgrp1	Cdhr1
Igfbp6	Dgkb	3110035E14Rik	Klrb1f
Ralgapa2	Itpr1	Igfbp6	Pdzd3
3110035E14Rik	Necab3	Jag1	1700042G07Rik
Col6a1	Ralgapa2	Tspan18	Erg
Cacng5	Sh3bgrl3	Cacng5	4930562C15Rik
Tspan18	Pcdh7	Tmeff2	Fam20a
Jag1	Trhr	Ralgapa2	Cnn2
Gfra2	Smo	Col6a1	Ucp3
Tmeff2	Gfra2	Trpa1	Tbc1d8b
Trpa1	Sfxn3	Dpysl3	Cd93
Necab3	Dock11	Gfra2	Vwa3b
Dpysl3	Acvr1c	Igfbpl1	Mrvi1
Smo	Moxd1	Necab3	Fosl2
Sfxn3	Echdc2	Itpr1	Col3a1
Itpr1	Unc5d	Smo	Cd38
Moxd1	Camkk2	Sfxn3	Gbp2
Tmsb10	Clec1a	Moxd1	Frem1
Grid1	Col6a1	Tmsb10	Pter
Traf3	Gpr83	Grid1	Tmem144
Tenm1	Fndc1	Tenm1	Tm4sf1
Igfbpl1	Fam160a1	Traf3	Rnase2b
Tmem158	Kcng2	Trhr	Odf4
Fndc1	3110035E14Rik	Tmem158	Kcng2
Trhr	Kif17	Fndc1	Trpm3
4932441J04Rik	Slc7a4	4932441J04Rik	Mcpt-ps1
Acvr1c	Tbc1d8b	Acvr1c	Tgfbr1
Gpr83	Tmsb10	Pcdh7	Gpr153
Pcdh7	Stc1	Sh2d5	Mylk
Itga7	Tmem158	Gpr83	Stag3
Clec1a	4932441J04Rik	Cap2	Vps13b
Dock11	Acvr2a	Itga7	Akap12
Ssbp2	Pip5k1b	Ackr1	Gla
Hsph1	Sema3e	Dock11	4933402J07Rik
Echdc2	Fat4	Clec1a	Acta2
Mkx	Itga7	Slc7a14	Cpne6
Rbm24	Ptx4	Ssbp2	Ets1
Rab27a	Fam184b	Draxin	Tlr8
Stc1	Hsph1	Hsph1	Tdgf1
Fat4	Fbln1	Echdc2	Nmbr
Tnxb	Grp	Mfsd12	Ptrf
Ryr1	Jag1	Cd24a	Lamc2
Zcchc5	D16Ertd472e	Foxq1	Atp1b3
Acvr2a	Penk	Cadm3	Rhbdd1
Pip5k1b	Pvrl3	Rbm24	Nid1
Sema4f	Mkx	Lpin2	Sowahb
Sh2d5	Traf3	Mkx	Apbb2
Palmd	Tenm1	Kitl	Il27ra
Kcnf1	Clvs2	Ryr1	Vcam1
Agmat	Dpysl3	Sema4f	Gm15471
Camk4	Grb14	Rab27a	Rhov
Fam184b	Trpa1	Fam124a	Camkk2
Gdf10	Tmeff2	Tnxb	Tspan18
Fam160a1	Parvb	Rab26	Ibsp
Mfsd12	Parp8	Palmd	Rec8
Snhg8	Mtrr	Stc1	Spon1
Rab26	Capn3	Trabd2b	Fhl2
Unc5d	Grid1	Zcchc5	D830044I16Rik
Pfkp	Gm20754	Fat4	Als2cr12
Trabd2b	4933427G17Rik	Pfkp	Prrx2
Sema3e	Panx1	Smyd4	Kctd4
Mtrr	Baiap3	Snhg8	Fbxo17
Baiap3	Ssbp2	Acvr2a	Gm13103
Smyd4	Sept9	Kcnf1	Rasl11b
Slc20a1	Rab27a	Dcx	Clnk
Fbln1	Stard13	Pip5k1b	Twist1
Lpin2	Zcchc5	Sema3c	Depdc1b
Ptx4	Lemd1	Agmat	Cdt1
Bcl6	B3galt5	Gdf10	Sds
Fam124a	Mfge8	Camk4	Slco2a1
Fam189a1	6430548M08Rik	Slc20a1	Ptgfrn
Camkk2	Frzb	Unc5d	Shroom4
Kitl	Tac2	Oit3	Mecom
Sema3c	Tnxb	Fam184b	Gng11
Stard13	Kif21b	Klhdc8b	Aloxe3
Map3k5	Camk4	Fam160a1	Fxyd5
Serinc2	Syndig1	Greb1l	Amigo1
Nhsl1	Map3k5	Sema3e	Nrsn2
D16Ertd472e	Igfbpl1	Fam189a1	2610528J11Rik
Penk	Rbm24	Pgm5	Nrg1
Tmc6	Agmat	Mtrr	Msrb3
Ackr1	Abcc8	Baiap3	Tspan33
Arhgef15	Dapk1	Tmc6	Clvs2
Gm20754	Bcl6	Lrrtm1	Golm1
Cap2	Ryr1	Bcl6	Sox7
Ddn	Bdnf	Afap1l2	Ina
Syndig1	Ctdspl	Serinc2	Chrd
Cadm3	Kcnf1	Lpar4	Acot5
Nrep	Me3	Camkk2	Slc26a11
Upp1	Gdf10	Fbln1	Ppm1h
Pvrl3	Slc9a5	Eml6	Igfbp7
Frzb	Kcnk10	Ptx4	Unc5d
Grp	Trpm3	Ecm2	Trim7
Greb1l	Fosl2	Nhsl1	Rgs13
Capn3	Pxdc1	C1ql2	Asb5
Grb14	Arpp21	Sema5b	Gypc
Rgs4	Ramp3	Arhgef15	Card14
Fgf18	Nhsl1	Map3k5	Socs2
Sept9	Spon1	Stard13	Mgp
Eml6	Lcorl	March1	Clec4g
Ctdspl	Sema4f	Penk	Mir22hg
March1	Pcdh11x	D16Ertd472e	Wbp5
Panx1	Csmd3	Nfxl1	B3galt5
Csmd3	Palmd	Ppic	Rgs5
Ppic	Ar	Trim67	Myh1
Oit3	Ppp1r13b	Ddn	Efnb3
Ecm2	Tspan33	Igfbp5	Myl9
Igfbp5	Ddn	Upp1	Ly6a
Pcdh11x	S100a6	Antxr2	Ephb1
Ar	Nrep	Nrep	Notch4
Actn2	Lrrn3	Mmp17	Prkar1b
Tor1b	Slc20a1	Gm20754	Myh10
Kcng2	Ddx26b	Actn2	Rbm47
Gm10421	Snhg8	Syndig1	Cyp19a1
Ptprn	Tgfa	Fgf18	Cd44
Arpp21	Upp1	Rgs4	Hs6st2
Lpar4	Serinc2	Iglon5	Timp3
Tpm1	B3gat1	Ptprn	Ube2e2
Prkab2	Prkar1b	Serpina3n	Glis2
Iglon5	Fam189a1	Nmbr	Prr9
Sema5b	Arhgef15	Pvrl3	4930513O06Rik
Parp8	Tmem144	Grp	Igsf21
Adamts18	Gck	Frzb	Ifnar2
Nrip3	Rgs4	Adamts18	Tac2
Mmp17	Hdac1	Tor1b	Fggy
Slc9a5	Pfkp	Capn3	Slc25a13
Dapk1	Pafah1b3	Grb14	Krt2
Serpina3n	Ccbe1	Rps6ka2	Gm10804
Parvb	Golm1	Fam206a	Parvb
Mfge8	Dusp26	Csmd3	Shisa7
Hdac1	Il27ra	Ctdspl	Smcp
Fam206a	Il16	Nrip3	Mettl7b
Pxdc1	1700017B05Rik	Sept9	Ntf3
Klhdc8b	Trabd2b	Lacc1	Msmb
Pgm5	Fgf18	Ypel5	Cry1
Tbc1d8b	Slc27a2	Gm10421	Abcc8
E330009J07Rik	Sox8	Prkab2	Taf13
1700017B05Rik	Smyd4	Ranbp3l	Klk4
Clvs2	Gm10421	Panx1	Plk2
Pdzrn4	Cdhr1	Fndc5	Nt5dc2
Lrrtm1	Bach1	Tpm1	6430710C18Rik
Gck	Tmc6	Rasd1	Kmo
Cxadr	Cyth4	Ar	6430548M08Rik
Ramp3	Tpm1	Kcng2	Prss23
Gadd45a	Sorcs2	Lrpap1	Camkv
Nampt	Slc1a1	Pcdh11x	Ergic1
Lacc1	E330009J07Rik	Lmo2	Wwtr1
Kcnk10	Gypc	Cxadr	Fhod3
Kif21b	Slc6a1	Ibsp	Rbp1
Dcx	Mfsd12	Pappa2	Sowaha
Fam134b	Prkab2	Fam134b	Cct6b
Rap2a	Ints6	Arpp21	Otof
Pald1	Sh2d5	Pdzrn4	Wdr91
Il16	Pdzd3	Phka2	Pcdh7
St6galnac5	Tor1b	Lrrc10b	Gimap8
Lmo2	Gpr12	Parp8	Asgr1
Lemd1	Man2a1	Nampt	Cep152
Ccbe1	Diap1	5830411N06Rik	Psen1
Lrpap1	Sema3c	Rap1gap2	Lhfp
Prokr2	Fhl2	Gm1673	Sstr4
Pafah1b3	Bgn	Sgtb	Lypd1
Ppp1r13b	Pald1	Pde4b	Enpp3
Ddx26b	Cck	Slc9a5	St6galnac1
Foxq1	Ier5	Fastkd3	Fam160a1
Cck	Nrip3	E330009J07Rik	Ednrb
Gfap	Rap2a	Dapk1	Lemd1
Flt3	Ntf3	Hdac1	Edem1
Sorcs2	Ptbp3	Med15	Agpat9
6430548M08Rik	Fam124a	Nrarp	9430037G07Rik
