XFTU	XFTU1	XFTU2	XFTU4	XFTU8
Eif4ebp3	Mgat5	Grap2	Ifi202b	Usp5
Cdh26	Tbc1d8b	Gstt4	Syt8	Tagap
Pnmt	1700052K11Rik	4930563F08Rik	Tmem50a	Dnajc6
Scarf1	Prl3d1	Clec14a	Ttr	Tmsb4x
Unc5cl	Ppnr	Kprp	Cxcl17	Fzd7
Rcan2	Il5	Kctd7	Nanog	Mrfap1
Mapk10	Apc2	Tal1	Batf	Krt7
Obox2	Cst8	Dhrs9	Lepr	Serpinb12
Chml	Hrh1	Hsd17b2	Kl	Stx12
Tal1	2410017I17Rik	Nppc	4930458D05Rik	Sh2d1b2
Slc24a1	Eif4ebp3	Samd7	Aym1	Adal
Gemin8	Irx4	Slc5a3	Oas1c	BC061237
Clec14a	E130116L18Rik	Ccr1l1	Bet1	Taf4b
Cyp11a1	Rps6ka2	Epsti1	Pfn3	Clec2e
Taar7a	Ppat	F730043M19Rik	Dyrk4	Csgalnact2
Vamp5	Mlxipl	Mepce	Txnrd3	Asah2
Chrm4	Rhov	Sema6a	Palb2	Kcnj9
Tyms-ps	Plscr3	Ahi1	Fundc1	Hint2
Dpysl2	Sgk1	Dnajb7	Isl2	Epn1
Rrm2	Arid3a	Egr2	Stat5a	Lhfpl4
Ankrd55	Pnmt	Taar7a	Slc27a3	Ccdc60
Mgat5	Tusc3	Zfp810	Stk31	Olr1
Nppc	Setd5	Dr1	4933411O13Rik	Mrps35
Nostrin	Nlrp6	Usf2	Obox2	Cby1
Gimap6	Oaz3	Aox3	Lmln	Sgms2
Ggps1	Mlh1	4932414J04Rik	Egr2	Mink1
Errfi1	Mgst1	A530058N18Rik	Sostdc1	Nfe2
Ankfn1	S100a9	Pcdhb9	Pou4f1	Loxl4
Gsdma2	Clec4a4	Mansc1	Poln	Trpm7
Tmem50a	Kcnmb1	Asz1	F11r	Ndufb11
Pkp2	Apcdd1	Kcnd3	Defb41	Ppargc1a
Tbc1d24	Ddit4	Tgm1	Adh1	Chd9
Fcer1a	Sox18	Gbp6	Pank2	Golga7b
Npc1	Chrm4	Obox5	Pdgfrl	B430319H21Rik
Tll1	Slc1a2	Ptafr	Satb2	Smarcd3
Armc3	Mcpt4	Gprin2	Agbl2	Glrx
Acsm3	4933428P19Rik	Csn1s1	Pla2g4a	Dscam
Lst1	Dynll2	Nxf7	Mat2a	Suox
Zfp819	Il10	Lap3	Clec4a1	Ybx1
Syt8	Slc18a1	Clec1a	Gpr171	Pde6d
Sall1	Saa2	4930442G15Rik	Gnb5	Hand1
1700040D17Rik	Zmynd10	Trim31	Scmh1	Ctsz
Jakmip1	Gsta3	Dhx37	S100a8	Rab7
Mmel1	Syt12	Stx2	Emp2	Tmem119
Tmem62	Pkd1l2	Neurod6	Tpcn1	Csnk2a1
Arvcf	Pphln1	Ubox5	Mc5r	1700056E22Rik
Slc16a4	Pkdrej	Cdc42	Sprr2b	Cyp11b1
4930568G15Rik	Saa1	Afap1	Mpp7	Raf1
Otud3	9130017K11Rik	Armc5	Lrrc8a	Manba
Apcdd1	Ebag9	Pgf	Gcnt7	H2-Q7
1700123O12Rik	Prss29	Arvcf	Fgg	Oip5
Ddx11	Map3k6	Actc1	Abcc5	Agpat1
Map3k6	2810459M11Rik	Tgif1	Galnt2	Morc3
Yy2	Fxyd7	Cxcl1	Gpr137b-ps	Psmf1
Ar	Hint2	Csnk2b	1200007C13Rik	Mrps18b
Fndc1	Rrm2	Cyp24a1	Heatr5b	Ablim2
E130116L18Rik	Col11a2	Hoxb2	Krtap5-5	Rbm6
C1qtnf3	Tubb3	4930513O06Rik	Anks3	Zfp352
Rab8b	Dus4l	Krt2	Tmem19	Tyro3
4930458D05Rik	Fut2	Cyp4a14	Magix	Flna
Prrt3	Ccl17	Lrtm2	Orm3	Lrrc25
Zfp426	Ppt2	Htra4	Epha3	Lrrcc1
Tmod4	Mark3	Nr4a1	Rgs7bp	Herc1
4933411O13Rik	Zfp300	Slamf8	Vamp5	Stub1
1700034J05Rik	Bdh2	Pla2g10	Slco1c1	Tesc
Defb23	Klk4	Lce1d	Gtf2a1l	Alkbh2
Ifi203	Hipk3	Lipg	Tmem168	Dyrk2
BC051076	Gbp4	Taf2	Zfp750	AI597479
Fgfbp3	Gemin8	Trpm4	Fkbp5	Psg17
Epha2	Sox15	5430414B19Rik	Rbm10	Rd3
Hsbp1	Lcmt1	Sult1c1	Pip5k1b	Col11a1
Zfp418	Gucy2e	Bex6	Retnlg	Ifna11
B430105G09Rik	Cdc23	Gfra1	Chml	Rab28
Fpr3	Ifitm7	Mmp9	Msmb	Mastl
Mink1	Vrk2	Hk3	1700108F19Rik	Phf6
