DFTU	DFRC	DFNC	DFRN
XLOC_010746	XLOC_l2_007644	MINK1	USP32P2
XLOC_l2_013628	XLOC_004085	SPOCD1	C2orf16
SNORD11	XLOC_006862	TLN1	XLOC_003969
XLOC_014139	ADAM32	FLJ23867	COX3
BCL2L11	XLOC_l2_013628	DCAF15	XLOC_011184
ID4	FAM182A	ND5	COX1
LOC100289627	CAPN8	XLOC_l2_010014	MTMR11
PACSIN3	XLOC_002514	LOC100505994	DKFZP564C196
XLOC_l2_007644	LOC255654	AP2A1	TIRAP
ANKRD18B	XLOC_007910	XLOC_l2_005517	XLOC_005545
LOC100506051	FGL2	TNFRSF17	XLOC_003141
LOC100652751	LOC285593	CALU	LPAR6
LOC100652878	LOC100653147	BSG	ATP6
ZNF789	XLOC_014139	LINC00264	NBPF3
SYNGR3	XLOC_010779	UPK2	PRNT
LOC100506303	XLOC_008419	C1QTNF7	UPF3A
DOCK3	LOC100128281	C19orf20	XLOC_l2_006944
XLOC_008236	XLOC_005239	ELMO1	CKAP4
SNORA8	LRRC17	XLOC_010354	XLOC_006862
UPK2	XLOC_004548	RPS16P5	FAM48A
CA9	FAM25C	FRMD6	XLOC_002951
TTYH2	OVOL1	PTMS	VAV3
ERP44	XLOC_001813	XLOC_009663	PSD3
LOC645586	DEFB119	MMP15	ADIG
FLJ31306	PACSIN3	RAB3A	ASXL2
GDAP1	LOC100506255	XLOC_005770	AKIRIN2
HPCAL1	XLOC_013052	ZNF157	PLAU
AARS	XLOC_l2_005916	RAB11B	XLOC_004166
XLOC_003522	C15orf5	PAPL	HERC2P2
XLOC_000253	OR8D1	ABCA4	XLOC_008363
SNORD91A	LINC00301	EPS15L1	LOC390858
PLAUR	XLOC_l2_013390	FKBP8	FLJ43879
SNORD63	XLOC_010746	IRF2	DOCK8
KRTAP17-1	XLOC_004961	STXBP2	PCSK4
XLOC_005214	XLOC_004144	CAMK1	ANK2
LYL1	HPR	ZNF385C	XLOC_011287
XLOC_004144	LINC00511	BEND7	STK11
LOC100289580	XLOC_001515	XLOC_009198	CLASP2
LOC100131043	PRSS45	ND6	C13orf16
CLTC-IT1	GRM3	TMEM238	LOC100506122
ZNF75A	DCLK3	PRRC2A	LOC729737
DKFZp547G183	XLOC_002935	XLOC_l2_015716	XLOC_012230
CCDC84	ARL11	KCTD13	A1BG-AS1
PRO2852	XLOC_010241	LOC91948	LOC100506543
PHGDH	CCR3	XLOC_006200	C2orf69
FOXC1	DKFZP564C196	NOL6	XLOC_011226
ETV5	XLOC_001300	XLOC_l2_012154	LOC100653120
DENR	SEC14L4	TRABD	CTCFL
DBP	PSD3	TGFB1	MTRR
ESF1	XLOC_l2_002790	XLOC_006680	NDUFA12
MAN2A2	XLOC_011602	XLOC_004626	PCNP
POU2F2	XLOC_001320	C2orf49	ZBED3
DPRXP4	XLOC_000263	MTA2	Q59GX9
CLU	C13orf41	TXNIP	HIST1H3A
C1orf220	ANKRD18B	SCAF1	C17orf76-AS1
XLOC_003021	LOC645586	GHDC	PLCB3
XLOC_l2_015585	CCKBR	FIZ1	XLOC_002302
MMP15	LOC219731	XLOC_005590	XLOC_003726
NR1H2	LOC100506303	XLOC_l2_004817	KIAA0146
LOC100652993	LRRC19	C5orf58	XLOC_002085
HCK	LOC100131820	CMIP	XLOC_001426
LOC100507161	ZNF44	JUNB	PPP1R15B
BOD1L	LOC286467	DKKL1	ND3
