XFTU	SFTU	SFRC	SFNC	SFRN
Lhx9	Lhx9	Lhx9	Lhx9	Was
	Myl4	Mpl	Myl4	Ict1
Myl4	Samd14	Gm5771	Npy2r	Mycl1
Mpl		Myl4	Samd14	Aptx
Krt2	Apoc1	6330527O06Rik	6330527O06Rik	Mcf2
Cpne9	Gdpd2	Samd14	Mpl	AA408296
Apoc1	6330527O06Rik	Npy2r	Gm5771	Clec3a
Hsd11b1	Btbd10	Btbd10		Acadl
Arpp19	Mpl	Krt2	Krt2	Vasn
Gdpd2	Arpp19	Pdp1	Pdp1	
Btbd10	Krt2			2900006K08Rik
Npy2r	Npy2r	Dpysl3	Btbd10	
Slc44a5	Cpne9	Adamtsl1	Herc6	Slc39a12
Hkdc1	Kcnv1	Herc6	Kit	Erp29
6330527O06Rik	Foxo1		Dpysl3	Mpl
Samd14	Chrdl1	Wnt10a	Gdpd2	Fut10
Kcnv1	Slc44a5	Apoc1	Apoc1	B230120H23Rik
Atp1a1	Atp1a1	Slc44a5	Prdm5	
Pcsk2	Hspb3	Kit	Dock10	Rnf144b
C130074G19Rik		Tyro3	Dkkl1	Sfxn5
Herc6	Stard8	Gdpd2	Incenp	
Foxo1	Lrrtm1	Ngef	Mycl1	Wipf1
Stard8	Hkdc1	Lct	Thsd7b	Pydc3
Prox1	Kcng2	Plcb4	Ngef	Fdxacb1
Gpr153	Lmo4	Dkkl1	Slc44a5	Svop
Allc	Herc6	Prdm5	Htr4	Upp2
Rnf182	Hsd11b1	Stard8	Lct	Zfp954
Lrrtm1	C130074G19Rik	Incenp	Hspb3	
Lmo4	Slc27a3	Amhr2	Il20rb	Rnf212
Rev3l	Cpne7	Il20rb	Chst9	Ino80e
Cpne7	Slc9a4	Chst9	Plcb4	Krtap16-8
Tspan33	Dgkg	Cpne7	Stard8	Cyp2j13
Chrdl1	Il20rb	Lrrtm1	Adamtsl1	Adamtsl1
Htr4	Pdyn	Kcnv1	Tyro3	Ganc
Ptprz1	Rnf182	4931429I11Rik	Nrsn2	Shh
