XFTU	SFTU	SFRC	SFNC	SFRN
Krt2		Mpl	Mpl	Nhedc1
Mpl	Mpl	H2-Q10	Ppl	Dusp9
Lhx9	Lmo4	Ppl	H2-Q10	Smc6
	Krt2	Wwc1		F2rl2
Dpyd	Stard8	6530418L21Rik	Nnat	Plekhg4
C130074G19Rik	Lhx9		6530418L21Rik	Zfp167
Lmo4	Prickle3	Nnat	Gdpd2	Gm13088
Scml4	6530418L21Rik	Apoc1	Gm5771	Gmppb
Mark1	Myl4	Stard8		Pex14
Stard8	Gm5771	Rps6ka3	Lmo4	Adcy10
Gm5771	Pcsk2	Gdpd2	Wwc1	C8a
Leo1	6330527O06Rik	Pnlip	Pcsk2	
6330527O06Rik	Wwc1	Dgkg	Dgkg	Dnajb11
Prickle3	Dgkg	Gm5771	Stard8	
Htr4	Dpyd		Apoc1	Mppe1
	C130074G19Rik	Pcsk2	Nr2f2	Tmem195
Chst9	Htr4	Lmo4	Rps6ka3	
Npy2r	Allc	Accn1	Dpyd	Fcrls
Chrdl1	Npy2r	Tnnc1	Allc	Ctdnep1
Myl4	Tnnc1	Gmppb	Myl4	D6Mm5e
Psmc5	Gdpd2	Mapk11	Hsd11b1	Gorab
Arpp19	Nr2f2	Myl4	C130074G19Rik	4932438A13Rik
Ptpre	Mapk11	Hsd11b1	Krt2	Runx3
Nrp2	Ppl	Prickle3	Pnlip	2310061C15Rik
Cpne6	Nnat	Nr2f2	Kit	Hspa5
Cpne7		Kit	Acsl5	Inpp5e
Apoc1	Ptpre	Fam70a	Fam70a	
Gstm6	Mybpc3	Krt2	Tnnc1	Epha1
Kl	Hkdc1	Allc	Nrp2	Pdia6
Pcsk2	Fam70a	Dpyd	Mapk11	Macc1
Smo	Apoc1	Acsl5	Htr4	Frmd6
Hkdc1	Ccl27a	Cx3cl1	Prickle3	Gucy2c
Slc44a5	Pnlip	Mybpc3	Trpc4	Lemd3
	Hspb3	C130074G19Rik	Hkdc1	Ormdl2
	Slc44a5	Cinp	Lhx9	D630032N06Rik
Samd14	Pacrg	Srpk1	Ccl27a	Amz2
Ptprz1	Arpp19	6330527O06Rik	Fgf13	2010015L04Rik
Olfr629	Hsd11b1	1700019N12Rik	Kcnk4	Pde6g
Stard13	Srpk1	Trhr2	Npy2r	Pam
Kcnh4	Scml4	Npy2r	Ptpre	
Gdpd2	Kl	Kcnk4	Accn1	Ccdc125
Prox1	Chst9	Atxn7l3		Wwc1
Allc	Rps6ka3	Lhx9	Atxn7l3	Mtx1
Ngef	Chrdl1	Htr4	Srpk1	Med30
Nr2f2	Rarres1	Hkdc1	Pacrg	Rnf2
Cyp17a1	Znfx1		Kl	Pdzd7
Pparg	Kcnv1	Itga4	Rspo1	Dld
Nsun7	H2-Q10	Hspb3	Tle6	Lmtk2
Fbxw7	Slc9a2	Cdhr1	6030405A18Rik	Col17a1
Dgkg	Pparg	Adam19	Mybpc3	1700027D21Rik
Pygb	Thsd7b	Ccl27a	Hspb3	Ttll9
Pacrg	Mark1	Lrrn1	Ppapdc1a	Lepre1
Slc9a2	Itga4	Rarres1	1700019N12Rik	
Rpl3	Atxn7l3	Pparg	6330527O06Rik	Olfr1335
