XFTU	SFTU	SFRC	SFNC	SFRN
	Lrsam1	Olfr629	Cox4i1	Shf
Nek6	Cnr2	Casp14	Olfr629	
Cnr2		Shf	Gm10399	Fam40b
Gm8618	Ahsg	Cox4i1	Ndufa2	Arhgap12
		Gm10399		Ctrb1
Lrsam1	Hyou1	Clps		Ambp
Ahsg	Gm8618	Kif3c	Casp14	Prkaca
Hyou1	Psmd2		Kif3c	Sqrdl
Gm5670	Hist4h4		Gm5670	Ern1
Kcnk9	Nek6	Lrsam1	Cnr2	Arsa
Mpdu1	Mpdu1	Cnr2	Clps	BC030867
Sprn	Sprn	Ndufa2	Lrsam1	Myoz1
	Ndufa2	Ahsg	Hist4h4	Zfp90
Ugt2b38	Aurkaip1	Hyou1	Med1	Asb10
LOC16697	Adam33	3230401D17Rik	Ahsg	
Gfra4	1300010F03Rik	Asb10	Zfp956	Snrpa1
Lama5	Arl4c	Sprn	H2afx	
Trim21	Pdgfb	Dlg1	Sprn	Rhot2
Pdgfb	Clps	Ugt2b38	Psmd2	
Gm6792		Pdgfb	Rpl13	Ssu72
1300010F03Rik	Pfas		Mtch2	Tectb
Rpl21-ps1	Ifna14	1300010F03Rik	Adam33	Crocc
BC028777	Lama5	Cox7c	Wbp1	Adamts10
Rpl13	0610010K14Rik	E130311K13Rik	3230401D17Rik	Pga5
	Casp14	Ghrh	Car4	Dusp6
Meis3	Ugt2b38	Med1	Mpdu1	March7
Tubg2	Bloc1s1	Gm5670	1300010F03Rik	
Slc28a3	BC028777	AI837181	Crabp2	Sdad1
Pfas	Olfr629	Crabp2	Aurkaip1	Casp14
Dlg1	Gm5670	Sys1	Cox7c	Rab14
Rps21	Txndc8	Car4	Ugt2b38	Vmn1r172
Runx3	Cox4i1	Fgfr2	Dlg1	Stk33
	Mtch2	Fads1	Hyou1	Hrh3
Ifna14	Kif3c	Xpa	E130311K13Rik	Rccd1
	Mypop	Btbd6	Gm8618	Lmo4
Fads1	Rhoh	Mc4r	Pdgfb	Zfp707
Med1		Hist4h4	Ghrh	Nrxn2
Gm5341		Gm13178		
Wnt1	Med1	BC028777	Pou6f2	Rhpn2
	Cnga2	Mpdu1	Xpa	Sox8
Polr2a	Gm6792	Bloc1s1	Polr2a	Tep1
Sys1		Meis3	Fgfr2	Lgi4
Psmd2	Kdm2a	Pou6f2	Bloc1s1	Gkn3
Wbp1	Rpl13	Wnt1	Gm6792	Arpc3
Pbx1	Trim21	Foxp4	Arl4c	Fasn
	Nub1		Mc4r	Fam69c
Asb10	Dlg1	Arpc3	Ifna14	
Rtn4rl2	Polr2a	Prkab1	Kdm2a	Dpt
	Flot2	Mtch2	AI837181	Golim4
Cox4i1	Prkx	Polr2a	Lin28a	Chad
Lin28a	Pou6f2			Cldn9
Mrpl2	Mrpl2	0610010K14Rik	BC028777	Senp3
	Fads1	Nos2	Wnt1	Smarce1
Kdm2a	Wbp1	Ifna14	Fads1	Timp1
Tubgcp4	Rps21	Klhl22	Rasgrp2	Ube2v2
Cyp17a1	Gm10399	Rps15	Best2	Nbl1
Mtch2	3230401D17Rik		Elmo3	Racgap1
Rpl26-ps2	Lin28a	Aurkaip1	Meis3	4930449I24Rik
Gm10399	Wnt1		Btbd6	A630007B06Rik
Rapsn	Cox7c	Ciao1	0610010K14Rik	Arhgap26
Mypop	Smc2	Gm6792	Mrps14	Ints1
Otos	Ntrk2	Psmd2	Nek6	Rybp
	Notum	Cryba4	Sec61b	Isca1
Flot2	Rtn4rl2	Arl4c	Asb10	Atp6ap2
Notum	Chrna2	H2afx	Stk40	Aph1a
		Adam33	Foxp4	Nudt21
Slc4a2	LOC16697	Mc3r	Mc3r	Ndufb3
Slit1	Khsrp	Fkrp	Chfr	Lsm10
Sart1	Gna13	Wbp1		Ifnb1
Kif3c	Rrp1	Slc28a3	Slc28a3	Dcp2
Hist4h4	Sys1	Smc2	Klhl22	Pla2g12b
Tmtc1	Rapsn	Txndc8	Ndufa13	Map3k9
Ppp1r3b	Tubg2	Kcnk9	Gm5239	Polr3h
Ppdpf	Ephx3	Rrp1	Nt5m	Col9a3
Gemin7	Slit1	Fam40b	Gemin7	Aatk
	Nos2	Heyl	Rrp1	Blcap
Cnga2		Lin28a		Defb30
Serpinb8	Cym	Runx3	Ahsa1	Taok1
		Zfp956	Lama5	Tmem50b
	Cplx2	Prkaca	Rps21	1700009P17Rik
Klhl22		Sec61b		4930568D16Rik
Lig1	Car4	Mypop	Txndc8	
E130311K13Rik	Heyl	Gm1604b	Prkab1	Fbxl2
