Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007411~axon guidance	16	3.131115459882583	0.001122810860972082	ENSRNOT00000021709, ENSRNOT00000015386, ENSRNOT00000016784, ENSRNOT00000040065, ENSRNOT00000042562, ENSRNOT00000014946, ENSRNOT00000010238, ENSRNOT00000038537, ENSRNOT00000045096, ENSRNOT00000002793, ENSRNOT00000019361, ENSRNOT00000074488, ENSRNOT00000023226, ENSRNOT00000056496, ENSRNOT00000005255, ENSRNOT00000008302	459	168	12687	2.632430750077809	0.9367269772053948	1.0	1.0
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	13	2.5440313111545985	0.0012403173552157517	ENSRNOT00000038872, ENSRNOT00000041840, ENSRNOT00000060097, ENSRNOT00000037895, ENSRNOT00000013516, ENSRNOT00000010035, ENSRNOT00000056903, ENSRNOT00000029976, ENSRNOT00000019361, ENSRNOT00000015818, ENSRNOT00000045157, ENSRNOT00000005255, ENSRNOT00000006106	415	121	11632	3.0113711042517175	0.5564355233682059	0.8124078676663173	0.8124078676663173
UP_KW_PTM	KW-1015~Disulfide bond	72	14.090019569471623	0.004569324021928109	ENSRNOT00000021709, ENSRNOT00000019829, ENSRNOT00000037895, ENSRNOT00000040065, ENSRNOT00000042562, ENSRNOT00000038748, ENSRNOT00000003797, ENSRNOT00000046681, ENSRNOT00000056722, ENSRNOT00000019351, ENSRNOT00000019673, ENSRNOT00000045157, ENSRNOT00000022951, ENSRNOT00000039284, ENSRNOT00000005255, ENSRNOT00000022157, ENSRNOT00000006106, ENSRNOT00000025547, ENSRNOT00000008160, ENSRNOT00000064128, ENSRNOT00000007074, ENSRNOT00000022968, ENSRNOT00000038537, ENSRNOT00000031227, ENSRNOT00000026962, ENSRNOT00000036718, ENSRNOT00000019361, ENSRNOT00000024580, ENSRNOT00000044131, ENSRNOT00000001120, ENSRNOT00000009248, ENSRNOT00000001248, ENSRNOT00000025953, ENSRNOT00000023811, ENSRNOT00000013188, ENSRNOT00000014791, ENSRNOT00000000508, ENSRNOT00000059468, ENSRNOT00000034521, ENSRNOT00000010035, ENSRNOT00000012216, ENSRNOT00000065261, ENSRNOT00000021041, ENSRNOT00000045096, ENSRNOT00000002089, ENSRNOT00000028793, ENSRNOT00000019772, ENSRNOT00000072796, ENSRNOT00000007775, ENSRNOT00000004946, ENSRNOT00000018163, ENSRNOT00000003735, ENSRNOT00000008106, ENSRNOT00000038872, ENSRNOT00000012385, ENSRNOT00000024609, ENSRNOT00000043544, ENSRNOT00000016784, ENSRNOT00000037742, ENSRNOT00000013516, ENSRNOT00000013836, ENSRNOT00000011697, ENSRNOT00000071195, ENSRNOT00000002793, ENSRNOT00000025174, ENSRNOT00000049127, ENSRNOT00000004694, ENSRNOT00000015818, ENSRNOT00000056496, ENSRNOT00000008138, ENSRNOT00000023037, ENSRNOT00000044678	203	1635	6116	1.3267410855515884	0.09997729818396184	0.10966377652627463	0.10966377652627463
UP_KW_LIGAND	KW-0862~Zinc	66	12.915851272015654	0.005918427634589774	ENSRNOT00000065720, ENSRNOT00000064873, ENSRNOT00000032289, ENSRNOT00000068598, ENSRNOT00000058315, ENSRNOT00000019820, ENSRNOT00000016637, ENSRNOT00000068351, ENSRNOT00000010893, ENSRNOT00000064073, ENSRNOT00000047890, ENSRNOT00000045473, ENSRNOT00000044065, ENSRNOT00000007919, ENSRNOT00000018782, ENSRNOT00000061921, ENSRNOT00000028816, ENSRNOT00000044026, ENSRNOT00000021068, ENSRNOT00000014267, ENSRNOT00000012321, ENSRNOT00000010583, ENSRNOT00000041861, ENSRNOT00000038610, ENSRNOT00000027182, ENSRNOT00000071251, ENSRNOT00000022360, ENSRNOT00000022086, ENSRNOT00000060247, ENSRNOT00000024149, ENSRNOT00000046318, ENSRNOT00000007625, ENSRNOT00000013189, ENSRNOT00000019924, ENSRNOT00000013188, ENSRNOT00000022814, ENSRNOT00000014791, ENSRNOT00000032301, ENSRNOT00000061140, ENSRNOT00000072519, ENSRNOT00000003412, ENSRNOT00000027622, ENSRNOT00000022452, ENSRNOT00000051893, ENSRNOT00000015929, ENSRNOT00000008302, ENSRNOT00000024639, ENSRNOT00000057396, ENSRNOT00000003339, ENSRNOT00000022932, ENSRNOT00000018964, ENSRNOT00000020207, ENSRNOT00000019816, ENSRNOT00000028091, ENSRNOT00000039166, ENSRNOT00000015296, ENSRNOT00000013836, ENSRNOT00000033863, ENSRNOT00000030476, ENSRNOT00000011697, ENSRNOT00000007802, ENSRNOT00000015818, ENSRNOT00000031928, ENSRNOT00000007326, ENSRNOT00000006798, ENSRNOT00000022304	139	1598	4383	1.3023383545979235	0.1531301924890014	0.16571597376851369	0.16571597376851369
GOTERM_MF_DIRECT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	38	7.436399217221135	0.006500643512924956	ENSRNOT00000014277, ENSRNOT00000022814, ENSRNOT00000065882, ENSRNOT00000064873, ENSRNOT00000068598, ENSRNOT00000023490, ENSRNOT00000039999, ENSRNOT00000072519, ENSRNOT00000047890, ENSRNOT00000044065, ENSRNOT00000049259, ENSRNOT00000045473, ENSRNOT00000028816, ENSRNOT00000044026, ENSRNOT00000008302, ENSRNOT00000020117, ENSRNOT00000022932, ENSRNOT00000023504, ENSRNOT00000017854, ENSRNOT00000012321, ENSRNOT00000020207, ENSRNOT00000010583, ENSRNOT00000019816, ENSRNOT00000041861, ENSRNOT00000014946, ENSRNOT00000065053, ENSRNOT00000068543, ENSRNOT00000073858, ENSRNOT00000071251, ENSRNOT00000022086, ENSRNOT00000048875, ENSRNOT00000074488, ENSRNOT00000007662, ENSRNOT00000024149, ENSRNOT00000007326, ENSRNOT00000046318, ENSRNOT00000007625, ENSRNOT00000022304	415	680	11632	1.56632175761871	0.9860436599125704	1.0	1.0
INTERPRO	IPR036236:Znf_C2H2_sf	26	5.088062622309197	0.006913102827524265	ENSRNOT00000022814, ENSRNOT00000040983, ENSRNOT00000064873, ENSRNOT00000072519, ENSRNOT00000047890, ENSRNOT00000044065, ENSRNOT00000045473, ENSRNOT00000022452, ENSRNOT00000051893, ENSRNOT00000015929, ENSRNOT00000024639, ENSRNOT00000022932, ENSRNOT00000012321, ENSRNOT00000020207, ENSRNOT00000019816, ENSRNOT00000028091, ENSRNOT00000041861, ENSRNOT00000033863, ENSRNOT00000071251, ENSRNOT00000022086, ENSRNOT00000031928, ENSRNOT00000024149, ENSRNOT00000007326, ENSRNOT00000046318, ENSRNOT00000007625, ENSRNOT00000022304	497	411	13872	1.7656890246589025	0.9998952486406442	1.0	1.0
GOTERM_CC_DIRECT	GO:0036126~sperm flagellum	9	1.761252446183953	0.007631544519538743	ENSRNOT00000046273, ENSRNOT00000038431, ENSRNOT00000031815, ENSRNOT00000025434, ENSRNOT00000017004, ENSRNOT00000026819, ENSRNOT00000001712, ENSRNOT00000068450, ENSRNOT00000064073	483	78	13147	3.1407071189679887	0.9580625852945769	1.0	1.0
GOTERM_BP_DIRECT	GO:0060674~placenta blood vessel development	4	0.7827788649706457	0.008060793951589953	ENSRNOT00000005095, ENSRNOT00000070994, ENSRNOT00000015092, ENSRNOT00000014017	459	12	12687	9.213507625272332	0.9999999976890932	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0372~Hormone	7	1.36986301369863	0.011315309642510082	ENSRNOT00000012385, ENSRNOT00000036718, ENSRNOT00000014103, ENSRNOT00000015818, ENSRNOT00000007775, ENSRNOT00000022113, ENSRNOT00000020425	207	60	6505	3.6662640901771337	0.5172750012914666	0.7241798171206453	0.7241798171206453
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription by RNA polymerase II	50	9.784735812133071	0.011363973702448238	ENSRNOT00000040983, ENSRNOT00000037895, ENSRNOT00000068598, ENSRNOT00000058315, ENSRNOT00000039999, ENSRNOT00000023490, ENSRNOT00000010893, ENSRNOT00000030943, ENSRNOT00000002020, ENSRNOT00000028816, ENSRNOT00000044026, ENSRNOT00000075681, ENSRNOT00000010583, ENSRNOT00000014946, ENSRNOT00000065053, ENSRNOT00000027182, ENSRNOT00000022360, ENSRNOT00000019361, ENSRNOT00000074488, ENSRNOT00000007662, ENSRNOT00000046318, ENSRNOT00000020425, ENSRNOT00000014277, ENSRNOT00000068216, ENSRNOT00000043554, ENSRNOT00000072519, ENSRNOT00000003412, ENSRNOT00000027622, ENSRNOT00000006607, ENSRNOT00000049259, ENSRNOT00000003012, ENSRNOT00000022452, ENSRNOT00000015929, ENSRNOT00000008302, ENSRNOT00000020117, ENSRNOT00000024639, ENSRNOT00000015092, ENSRNOT00000023504, ENSRNOT00000038872, ENSRNOT00000021857, ENSRNOT00000019816, ENSRNOT00000028091, ENSRNOT00000015296, ENSRNOT00000013516, ENSRNOT00000068543, ENSRNOT00000073858, ENSRNOT00000004698, ENSRNOT00000031928, ENSRNOT00000023352, ENSRNOT00000022304	459	976	12687	1.4160103932283297	0.9999999999993624	1.0	1.0
INTERPRO	IPR001322:Lamin_tail_dom	3	0.5870841487279843	0.01187478028966088	ENSRNOT00000019351, ENSRNOT00000021306, ENSRNOT00000022954	497	5	13872	16.746881287726357	0.9999998598378808	1.0	1.0
INTERPRO	IPR036415:Lamin_tail_dom_sf	3	0.5870841487279843	0.01187478028966088	ENSRNOT00000019351, ENSRNOT00000021306, ENSRNOT00000022954	497	5	13872	16.746881287726357	0.9999998598378808	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:LTD	3	0.5870841487279843	0.012073543586206794	ENSRNOT00000019351, ENSRNOT00000021306, ENSRNOT00000022954	481	5	13309	16.601663201663204	0.9999835855398558	1.0	1.0
GOTERM_BP_DIRECT	GO:2000780~negative regulation of double-strand break repair	3	0.5870841487279843	0.012094565319960638	ENSRNOT00000053754, ENSRNOT00000028752, ENSRNOT00000029629	459	5	12687	16.584313725490198	0.9999999999998963	1.0	1.0
SMART	SM00355:ZnF_C2H2	25	4.892367906066536	0.014492250865950896	ENSRNOT00000022814, ENSRNOT00000064873, ENSRNOT00000072519, ENSRNOT00000047890, ENSRNOT00000044065, ENSRNOT00000045473, ENSRNOT00000022452, ENSRNOT00000051893, ENSRNOT00000015929, ENSRNOT00000024639, ENSRNOT00000022932, ENSRNOT00000012321, ENSRNOT00000020207, ENSRNOT00000019816, ENSRNOT00000028091, ENSRNOT00000041861, ENSRNOT00000033863, ENSRNOT00000071251, ENSRNOT00000022086, ENSRNOT00000031928, ENSRNOT00000024149, ENSRNOT00000007326, ENSRNOT00000046318, ENSRNOT00000007625, ENSRNOT00000022304	273	403	7323	1.664030758323562	0.9614353223148159	1.0	1.0
KEGG_PATHWAY	rno04080:Neuroactive ligand-receptor interaction	18	3.522504892367906	0.014953532474325603	ENSRNOT00000012385, ENSRNOT00000007074, ENSRNOT00000014103, ENSRNOT00000011697, ENSRNOT00000012379, ENSRNOT00000012216, ENSRNOT00000071195, ENSRNOT00000036718, ENSRNOT00000019361, ENSRNOT00000072088, ENSRNOT00000024580, ENSRNOT00000044131, ENSRNOT00000015818, ENSRNOT00000007775, ENSRNOT00000004946, ENSRNOT00000003735, ENSRNOT00000020425, ENSRNOT00000025547	207	282	6063	1.8695652173913042	0.9809841031145698	1.0	1.0
