Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	79	12.305295950155763	1.6830633885884459E-6	NM_023974, NM_017015, NM_172158, NM_207588, NM_145098, NM_181380, NM_001013158, NM_013129, NM_012994, NM_031357, NM_057108, NM_031635, NM_016997, NM_139096, NM_012757, NM_012999, NM_145769, NM_212541, NM_001007744, NM_001034943, NM_021687, NM_173099, NM_021688, NM_017125, NM_012671, NM_057184, NM_053296, NM_145779, NM_031680, NM_013116, NM_031560, NM_031048, NM_012587, NM_031123, NM_139103, NM_017238, NM_001024783, NM_001003820, NM_012706, NM_012902, NM_017351, NM_019134, NM_021576, NM_017232, NM_021776, NM_022226, NM_020086, NM_020087, NM_199093, NM_024400, NM_173103, NM_013034, NM_001013974, NM_053322, NM_001012205, NM_001014784, NM_013151, NM_017071, NM_133600, NM_001001518, NM_031531, NM_001029924, NM_024372, NM_001004228, NM_024370, NM_019287, NM_022275, NM_019246, NM_053634, NM_172223, NM_022639, NM_201270, NM_001004090, NM_032990, NM_012642, NM_030851, NM_017018, NM_031743, NM_012889	327	1151	8035	1.6865137880369947	0.0016698875349548947	0.0016712819448683267	0.0016712819448683267
GOTERM_BP_DIRECT	GO:0034097~response to cytokine	13	2.0249221183800623	2.0308798159244487E-5	NM_001008349, NM_019179, NM_017232, NM_201270, NM_032085, NM_012953, NM_012753, NM_031048, NM_031531, NM_012818, NM_012847, NM_012747, NM_145879	331	68	7904	4.565132397369824	0.04911897638929663	0.04065138653144726	0.04065138653144726
GOTERM_BP_DIRECT	GO:0009410~response to xenobiotic stimulus	32	4.984423676012461	3.2783376235038114E-5	NM_001008767, NM_019179, NM_017232, NM_001004082, NM_013034, NM_012953, NM_012753, NM_144730, NM_012499, AA955679, NM_024372, NM_012815, NM_001004203, NM_012757, NM_024370, NM_001034943, NM_021687, NM_053995, NM_177419, NM_012671, NM_017081, NM_201270, NM_012962, NM_012642, NM_134351, NM_031347, AF321132, NM_031606, NM_012902, NM_001025678, NM_012747, NM_145879	331	341	7904	2.2408590337642087	0.07808671035072967	0.04065138653144726	0.04065138653144726
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	66	10.2803738317757	2.5681649951842564E-4	NM_023974, NM_053623, NM_172158, NM_207588, NM_053984, NM_145098, NM_138831, NM_001013239, NM_001013158, NM_145723, NM_057107, NM_031635, NM_012757, NM_212541, NM_021687, NM_173099, NM_021688, NM_017125, NM_181433, NM_012671, NM_057184, NM_053296, NM_001014273, NM_031680, NM_031048, NM_031685, NM_017238, NM_001024783, NM_012706, NM_019134, NM_021776, NM_020086, NM_020087, NM_173103, NM_013034, NM_001007619, NM_001013974, NM_053322, NM_001012205, NM_001014784, NM_017071, NM_133600, NM_001013059, NM_001001518, NM_001029924, NM_024372, NM_001005554, NM_024370, NM_147140, AJ007485, NM_019166, NM_053437, NM_022275, NM_019246, NM_019280, NM_022639, NM_001004090, NM_001013122, NM_031782, NM_032990, NM_001024802, NM_030851, NM_001001506, NM_017018, NM_031743, NM_012889	327	1051	8035	1.5430476872179402	0.22512343721901573	0.12750939201089834	0.12750939201089834
UP_KW_PTM	KW-0007~Acetylation	87	13.551401869158877	5.54318940283193E-4	NM_001011975, NM_053866, NM_001033927, NM_001004082, NM_001004081, NM_001011890, NM_019191, NM_145723, NM_031152, NM_012793, NM_001025423, NM_001024254, NM_031832, NM_001007630, NM_001009656, NM_134329, NM_207592, NM_001008316, NM_053735, NM_053459, NM_138843, NM_013084, NM_001030027, NM_017084, NM_001013143, NM_031685, NM_198789, NM_001025676, NM_032614, NM_022384, NM_198742, NM_001008277, NM_033349, NM_031606, NM_024161, NM_012747, NM_019299, NM_019212, NM_017232, NM_017276, NM_031818, NM_001007617, NM_053887, NM_053326, NM_001012169, NM_001011991, NM_181083, NM_017193, NM_001014269, NM_017151, NM_022703, NM_001013059, NM_134382, NM_057202, NM_012499, NM_031335, NM_013102, NM_171993, NM_012618, NM_171990, NM_012815, NM_001024237, NM_022598, NM_001009668, NM_017185, NM_130740, NM_019166, NM_019287, NM_001011986, NM_133618, NM_001012356, NM_053995, NM_001013886, NM_012891, NM_138904, NM_057114, NM_012962, NM_080478, NM_054004, NM_134351, NM_031984, NM_030656, M83740, NM_031347, NM_022681, NM_012847, NM_031629	260	1047	4303	1.375214899713467	0.013766183217427952	0.014412292447363018	0.014412292447363018
KEGG_PATHWAY	rno00071:Fatty acid degradation	8	1.2461059190031152	7.58297920780645E-4	NM_134329, NM_001011975, NM_133618, NM_053623, NM_057107, NM_012891, NM_175837, NM_013084	203	32	4088	5.03448275862069	0.2017232327227082	0.22521448247185155	0.22521448247185155
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	25	3.894080996884735	0.002026095737232432	NM_175582, NM_017232, NM_022226, NM_172077, NM_019130, NM_017071, NM_013129, NM_012855, NM_171993, NM_031832, NM_198972, NM_012715, NM_012757, NM_022598, NM_021687, NM_001034144, NM_133551, NM_012671, NM_201270, NM_031048, NM_031585, AF321132, NM_012847, NM_031606, NM_012747	331	305	7904	1.957307711356545	0.9934599769802385	1.0	1.0
GOTERM_BP_DIRECT	GO:0045787~positive regulation of cell cycle	6	0.9345794392523363	0.0022240205330381598	NM_012953, NM_080400, NM_144730, NM_013034, NM_022384, NM_012847	331	23	7904	6.229344542230396	0.9960010098108675	1.0	1.0
GOTERM_BP_DIRECT	GO:0030325~adrenal gland development	6	0.9345794392523363	0.002714656054170289	NM_012753, NM_053317, NM_001029924, NM_019191, NM_017071, NM_138519	331	24	7904	5.969788519637463	0.9988191273607941	1.0	1.0
GOTERM_BP_DIRECT	GO:0048844~artery morphogenesis	5	0.778816199376947	0.0028244671114526793	NM_019287, NM_020087, NM_019280, NM_001029924, NM_145098	331	15	7904	7.959718026183284	0.9991013252184802	1.0	1.0
