Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004930~G protein-coupled receptor activity	118	18.38006230529595	3.1186140417290977E-6	NM_001000083, NM_214833, NM_001000085, NM_001012107, NM_172158, NM_207588, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_012757, NM_001000244, NM_001000882, NM_001001058, NM_001000591, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_001012164, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_130822, NM_022714, NM_001000458, NM_001000854, NM_001001428, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_001000446, NM_001000325, NM_001000720, NM_001001014, NM_001000271, NM_134408, NM_053534, NM_001000834, NM_001000675, NM_001000314, NM_012706, NM_001000313, NM_030831, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_173300, NM_001014784, NM_001000308, NM_001001518, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_138860, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_001000781, NM_053808, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_133573, NM_153727, NM_001000808, NM_001000536, NM_001001506, NM_001000812, NM_001000258, NM_001001069, NM_001000771	611	840	6481	1.4900592315485932	0.0032629774921785204	0.0032683075157320944	0.0032683075157320944
GOTERM_BP_DIRECT	GO:0007186~G protein-coupled receptor signaling pathway	131	20.404984423676012	9.879093737883664E-6	NM_001000083, NM_214833, NM_001000085, NM_172158, NM_207588, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_012757, NM_001000244, NM_001000882, NM_001001058, NM_012911, NM_001008513, NM_001000591, NM_031680, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_019172, NM_012776, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_130822, NM_022714, NM_001000458, NM_030851, NM_001000854, NM_001001428, NM_017018, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_031514, NM_001000446, NM_001000325, NM_001000720, NM_012958, NM_001001014, NM_001000271, NM_134408, NM_053534, NM_013116, NM_001000834, NM_001000675, NM_001000314, NM_012706, NM_001000313, NM_030831, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_019136, NM_173300, NM_001014784, NM_019130, NM_017071, NM_001000308, NM_001001518, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_138860, NM_013145, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_001000781, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_053634, NM_001000093, NM_133573, NM_153727, NM_001000808, NM_001000536, NM_001001506, NM_001000812, NM_012849, NM_001000258, NM_001001069, NM_001000771	630	982	6713	1.4214641321565964	0.03403376093662547	0.03462622355128224	0.03462622355128224
INTERPRO	IPR017452:GPCR_Rhodpsn_7TM	123	19.158878504672895	1.1343000084251516E-5	NM_001000083, NM_214833, NM_001000085, NM_001012107, NM_172158, NM_207588, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_012757, NM_001000244, NM_001000882, NM_001001058, NM_001000591, NM_172329, NM_031680, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_019172, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_022275, NM_001000458, NM_030851, NM_001000854, NM_001001428, NM_017018, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_001000446, NM_001000325, NM_001000720, NM_012958, NM_001001014, NM_001000271, NM_001000834, NM_001000675, NM_001000314, NM_012706, NM_001000313, NM_030831, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_019136, NM_173300, NM_001014784, NM_001000308, NM_001001518, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_138860, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_199489, NM_001000781, NM_053808, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_133573, NM_153727, NM_001000808, NM_053352, NM_001000536, NM_001001506, NM_001000812, NM_001000258, NM_001001069, NM_001000771	641	912	6845	1.4402095820674932	0.01815227518611573	0.011712752219101187	0.011712752219101187
INTERPRO	IPR000276:GPCR_Rhodpsn	122	19.003115264797508	1.5142475939909127E-5	NM_001000083, NM_214833, NM_001000085, NM_172158, NM_207588, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_012757, NM_001000244, NM_001000882, NM_001001058, NM_001000591, NM_172329, NM_031680, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_019172, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_022275, NM_001000458, NM_030851, NM_001000854, NM_001001428, NM_017018, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_001000446, NM_001000325, NM_001000720, NM_012958, NM_001001014, NM_001000271, NM_001000834, NM_001000675, NM_001000314, NM_012706, NM_001000313, NM_030831, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_019136, NM_173300, NM_001014784, NM_001000308, NM_001001518, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_138860, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_199489, NM_001000781, NM_053808, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_133573, NM_153727, NM_001000808, NM_053352, NM_001000536, NM_001001506, NM_001000812, NM_001000258, NM_001001069, NM_001000771	641	908	6845	1.4347935150886213	0.024158676141597946	0.011712752219101187	0.011712752219101187
KEGG_PATHWAY	rno04740:Olfactory transduction	103	16.043613707165107	2.011129045629073E-5	NM_001000083, NM_214833, NM_001000085, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_001000244, NM_001000882, NM_001001058, NM_012911, NM_001000591, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_012776, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_001000458, NM_001000854, NM_001001428, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_013012, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_001000446, NM_001000325, NM_001000720, NM_001001014, NM_001000271, NM_001000834, NM_001000675, NM_001000314, NM_001000313, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_173300, NM_001000308, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_001000781, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_001000808, NM_001000536, NM_001000812, NM_001000258, NM_001001069, NM_001000771	420	745	4439	1.461224033237456	0.00641501304169112	0.006435612946013034	0.006435612946013034
INTERPRO	IPR000725:Olfact_rcpt	100	15.57632398753894	2.175743446272666E-5	NM_001000083, NM_214833, NM_001000085, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_001000244, NM_001000882, NM_001001058, NM_001000591, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_001000458, NM_001000854, NM_001001428, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_001000446, NM_001000325, NM_001000720, NM_001001014, NM_001000271, NM_001000834, NM_001000675, NM_001000314, NM_001000313, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_173300, NM_001000308, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_001000781, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_001000808, NM_001000536, NM_001000812, NM_001000258, NM_001001069, NM_001000771	641	715	6845	1.4935142860259867	0.03452844495706908	0.011712752219101187	0.011712752219101187
UP_SEQ_FEATURE	DOMAIN:G-protein coupled receptors family 1 profile	120	18.69158878504673	2.5993204310334242E-5	NM_001000083, NM_214833, NM_001000085, NM_001012107, NM_172158, NM_207588, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_012757, NM_001000244, NM_001000882, NM_001001058, NM_001000591, NM_172329, NM_031680, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_019172, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_022275, NM_001000458, NM_030851, NM_001000854, NM_001001428, NM_017018, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_001000446, NM_001000325, NM_001000720, NM_012958, NM_001001014, NM_001000271, NM_001000834, NM_001000675, NM_001000314, NM_001000313, NM_030831, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_019136, NM_173300, NM_001000308, NM_001001518, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_138860, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_199489, NM_001000781, NM_053808, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_133573, NM_153727, NM_001000808, NM_001000536, NM_001001506, NM_001000812, NM_001000258, NM_001001069, NM_001000771	627	901	6698	1.4227678974451567	0.03998835190251748	0.04080933076722476	0.04080933076722476
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	100	15.57632398753894	3.027283676513949E-5	NM_001000083, NM_214833, NM_001000085, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_001000244, NM_001000882, NM_001001058, NM_001000591, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_001000458, NM_001000854, NM_001001428, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_001000446, NM_001000325, NM_001000720, NM_001001014, NM_001000271, NM_001000834, NM_001000675, NM_001000314, NM_001000313, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_173300, NM_001000308, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_001000781, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_001000808, NM_001000536, NM_001000812, NM_001000258, NM_001001069, NM_001000771	630	719	6713	1.4819966002163498	0.10067239367592529	0.05305314643090695	0.05305314643090695
UP_KW_BIOLOGICAL_PROCESS	KW-0552~Olfaction	96	14.953271028037381	3.156523750857308E-5	NM_001000083, NM_214833, NM_001000085, NM_001001090, NM_001000719, NM_001000805, NM_001000327, NM_001000129, NM_001000723, NM_001000568, NM_001000846, NM_001000922, NM_001000169, NM_001000245, NM_001000762, NM_001000446, NM_031710, NM_001000325, NM_001000720, NM_001000002, NM_001001014, NM_001000882, NM_001001058, NM_001000244, NM_001000271, NM_001000591, NM_001000519, NM_001000514, NM_001000516, NM_001000834, NM_001000675, NM_001000114, NM_001000754, NM_001000314, NM_001000116, NM_001000479, NM_001000753, NM_001000313, NM_001000357, NM_001000478, NM_001000632, NM_001001122, NM_001000198, NM_001000077, NM_001000032, NM_001000673, NM_001000794, NM_001000078, NM_001000793, NM_001000183, NM_001000460, NM_001000261, NM_001000063, NM_001000140, NM_173300, NM_001000308, NM_001000668, NM_001000745, NM_001000426, NM_001000425, NM_001000304, NM_001000788, NM_001000428, NM_001000345, NM_001000388, NM_001001114, NM_001000743, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_001000066, NM_001000781, NM_001000068, NM_001000100, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_001000808, NM_001000536, NM_001000854, NM_001000458, NM_001001428, NM_001000812, NM_001000851, NM_001000971, NM_001000215, NM_001000258, NM_001001069, NM_001000970, NM_001000694, NM_001000573, NM_001000771, NM_001000298	385	683	4015	1.465802133444886	0.003749276394199308	0.0037562632635201963	0.0037562632635201963
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	100	15.57632398753894	3.5817164563543354E-5	NM_001000083, NM_214833, NM_001000085, NM_001000805, NM_001000129, NM_001000768, NM_001000922, NM_001000762, NM_001000245, NM_031710, NM_001000363, NM_001000002, NM_001000244, NM_001000882, NM_001001058, NM_001000591, NM_001000519, NM_001000514, NM_001000516, NM_001000114, NM_001000754, NM_001000479, NM_001000116, NM_001000753, NM_001000478, NM_001000632, NM_001000357, NM_001000077, NM_001000198, NM_001000078, NM_001000183, NM_001000460, NM_001000063, NM_001000745, NM_001000345, NM_001000743, NM_001000066, NM_001000068, NM_001000100, NM_001000458, NM_001000854, NM_001001428, NM_001000851, NM_001000971, NM_001000215, NM_001000970, NM_001000573, NM_001000298, NM_001000694, NM_001001090, NM_001000719, NM_001000327, NM_001000723, NM_001000568, NM_001000846, NM_001000169, NM_001000446, NM_001000325, NM_001000720, NM_001001014, NM_001000271, NM_001000834, NM_001000675, NM_001000314, NM_001000313, NM_001001122, NM_001000032, NM_001000794, NM_001000673, NM_001000793, NM_001000140, NM_001000261, NM_173300, NM_001000308, NM_001000426, NM_001000668, NM_001000304, NM_001000788, NM_001000425, NM_001000549, NM_001000428, NM_001000388, NM_001001114, NM_001000941, NM_001000787, NM_001000149, NM_001000665, NM_001000781, NM_001000783, NM_001000023, NM_001001063, NM_001000130, NM_001000250, NM_001000093, NM_001000808, NM_001000536, NM_001000812, NM_001000258, NM_001001069, NM_001000771	611	720	6481	1.473222404073468	0.036841278279174716	0.018768194231296716	0.018768194231296716
