DRN8	DRN0	PRN8	PRN0	DTU	PTU
CHST9	FABP1	LOC645875	LOC100133777	ANKK1	LOC730419
LOC644916	C4orf6	EYA2	TBC1D2	TEDDM1	SDHC
LOC401127	FLJ22795	ANKH	BPIL1	LRRC38	TTTY4B
PCDHA6	MEG3	C6orf168	VGLL2	HCN4	LOC652760
OCLN	MST1	LOC100129461	UBE2J2	FTSJ3	LOC100130328
LOC647448	DMRTA1	TMEM132A	SH3D19	LCE1C	LOC644496
C8orf80	EXOSC10	HAP1	PITPNA	ERCC-00043	LOC728936
MEPE	LOC100134651	SCGB1A1	DNAJB13	TAF15	LOC375295
PCSK6	SNRNP25	LOC651398	NETO1	LOC651467	LOC643904
MMP8	ACADVL	CAPN9	SLC17A3	DEFB104B	CPXCR1
LOC642743	LOC100129036	C2orf67	FBXL15	LOC643449	SPPL3
KRT6C	MIR616	KRTAP9-4	LOC643495	LOC100132004	OR5D18
TFG	CLDND2	ZBTB7B	WNT3A	LOC729966	FLJ25037
ZNF136	ABCA5	DNAJC13	PRDM6	TRIP10	PDGFRL
PHYHIPL	VMO1	PTGFRN	RBMX2	C14orf1	PIH1D2
ZNF197	LOC391205	LOC651680	SREBF1	HS3ST4	LOC642399
UNQ9438	LOC644764	BLCAP	BLCAP	C12orf61	ALG1L
LOC643900	DEFB126	SPESP1	LOC92755	PAQR5	CCDC4
LOC100130341	C17orf78	C10orf64	TULP3	AR	LOC652537
FLJ45832	ERCC-00058	LOC340113	BATF	LOC650724	LOC651957
LOC390846	LOC643695	LOC650215	ATL3	H2AFV	CSNK1A1L
GCKR	OR5AK2	SLC22A17	MIR1288	LOC100132276	PPM1E
LOC653135	LOC100131549	GHRHR	LOC645448	CSPG4	OR11G2
LOC651565	LOC729327	TNFSF13	WDR27	PPIAL4C	LOC100132810
LOC100129707	LOC100132503	LOC648605	PHKG2	FLJ42562	MAN1A2
LOC644094	LOC727768	LOC653463	RBED1	LOC100134018	TJP2
MIR425	KLHDC3	ACHE	C6orf168	C4orf44	LOC644530
LOC643140	GAK	LOC441554	WDR55	RGS7	LOC651357
LOC652300	MIR558	C1QL2	UPK1A	LOC729456	UBLCP1
SNORD73A	PLA2G15	REM1	LOC345643	FLJ45983	CNTNAP5
LOC347487	SNRNP70	C17orf63	KIAA1772	ZNF556	C10orf18
LOC653071	SIRT4	PTPRQ	LOC647480	LOC643696	MCART2
MYL2	SPAG8	PAX9	FBXL17	LOC100134265	TRIP4
FGFR1	LRCH4	FLT1	BCAN	APOBEC3B	LOC100133998
FAM136B	CARD8	LOC648841	LOC389813	OR4S2	LOC648153
LOC100128469	POMGNT1	CFL2	PHF21B	ERCC-00046	PCDHA3
LOC100132990	LOC100129876	LOC441920	LOC729298	LOC646320	SRGAP3
ERC1	SBF1	PAPOLG	PRSS8	C20orf26	CD300E
LOC648237	NRN1L	ASB18	CSAG3A	OR12D3	RRAS2
DNASE1L2	FLJ12355	LOC728748	LOC645723	DEFB130	G0S2
HSD3B1	MGC15634	LOC647920	TTLL12	CXorf27	LOC100130010
FLJ35880	AMT	MIR1281	LOC645349	LOC643503	LOC440386
FUT7	FLJ46380	LOC644666	LOC645262	ABCC6P2	FLJ31401
LOC653105	HEXIM2	RNF185	PRR8	LCE1E	NUCB2
DCBLD1	GGCX	PHC1	CEND1	PLA2G1B	LOC646750
GPRC5D	LOC648993	LOC652565	OPLAH	LILRB3	TLE6
KLRG2	LOC645464	PPT2	DHX16	THEM5	LOC652436
RALGAPB	SETD6	LOC644253	TLE6	SGCZ	DLD
ISL2	LOC100130987	BRAP	RCAN2	LOC344423	UCK1
