Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0060078~regulation of postsynaptic membrane potential	8	2.4539877300613497	2.4829325697664187E-5	ENSRNOT00000004477, ENSRNOT00000004970, ENSRNOT00000041551, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000004877, ENSRNOT00000010367	299	38	12687	8.932934342545327	0.0463176227332216	0.047399182756840935	0.047399182756840935
GOTERM_MF_DIRECT	GO:1904315~transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	8	2.4539877300613497	4.2197136625600315E-5	ENSRNOT00000004477, ENSRNOT00000005050, ENSRNOT00000004970, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000004877, ENSRNOT00000010367	275	41	11632	8.253303769401331	0.022075447158004247	0.022322285274942566	0.022322285274942566
KEGG_PATHWAY	rno05033:Nicotine addiction	7	2.147239263803681	6.229183661261265E-5	ENSRNOT00000004477, ENSRNOT00000004970, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000004877, ENSRNOT00000010367	141	31	6063	9.70967741935484	0.015330135224193131	0.009283718867643334	0.009283718867643334
KEGG_PATHWAY	rno04080:Neuroactive ligand-receptor interaction	19	5.828220858895705	7.486870054551075E-5	ENSRNOT00000005050, ENSRNOT00000034960, ENSRNOT00000037576, ENSRNOT00000074626, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000010367, ENSRNOT00000025024, ENSRNOT00000004477, ENSRNOT00000004970, ENSRNOT00000026098, ENSRNOT00000071387, ENSRNOT00000019473, ENSRNOT00000015818, ENSRNOT00000004619, ENSRNOT00000021236, ENSRNOT00000020100, ENSRNOT00000045845, ENSRNOT00000004877	141	282	6063	2.897163120567376	0.01839680709002267	0.009283718867643334	0.009283718867643334
GOTERM_MF_DIRECT	GO:0005237~inhibitory extracellular ligand-gated monoatomic ion channel activity	4	1.2269938650306749	9.774500963162438E-4	ENSRNOT00000004970, ENSRNOT00000004619, ENSRNOT00000003191, ENSRNOT00000004877	275	9	11632	18.79919191919192	0.4038863673864067	0.25853555047564647	0.25853555047564647
UP_KW_PTM	KW-0564~Palmitate	14	4.294478527607362	0.0010108534664870098	ENSRNOT00000012432, ENSRNOT00000041533, ENSRNOT00000038313, ENSRNOT00000060683, ENSRNOT00000026350, ENSRNOT00000010367, ENSRNOT00000026098, ENSRNOT00000071387, ENSRNOT00000047158, ENSRNOT00000004619, ENSRNOT00000015020, ENSRNOT00000021236, ENSRNOT00000045845, ENSRNOT00000008416	139	214	6116	2.878504672897196	0.017046240670649526	0.018195362396766175	0.018195362396766175
GOTERM_BP_DIRECT	GO:0035235~ionotropic glutamate receptor signaling pathway	5	1.5337423312883436	0.0013018035862511395	ENSRNOT00000064832, ENSRNOT00000004477, ENSRNOT00000041533, ENSRNOT00000011697, ENSRNOT00000010367	299	21	12687	10.10272336359293	0.9169294213306184	0.9126720725903423	0.9126720725903423
GOTERM_BP_DIRECT	GO:0050877~nervous system process	6	1.8404907975460123	0.001434267269654807	ENSRNOT00000008160, ENSRNOT00000004970, ENSRNOT00000004619, ENSRNOT00000034730, ENSRNOT00000003191, ENSRNOT00000004877	299	36	12687	7.0719063545150505	0.935521079181475	0.9126720725903423	0.9126720725903423
GOTERM_CC_DIRECT	GO:0043005~neuron projection	17	5.214723926380368	0.0016121686700245018	ENSRNOT00000064832, ENSRNOT00000023519, ENSRNOT00000005050, ENSRNOT00000041533, ENSRNOT00000034960, ENSRNOT00000014023, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000049044, ENSRNOT00000044395, ENSRNOT00000004970, ENSRNOT00000003452, ENSRNOT00000004619, ENSRNOT00000005881, ENSRNOT00000045845, ENSRNOT00000020137, ENSRNOT00000004877	312	292	13147	2.453229276431331	0.45130398402841576	0.31585373211411205	0.31330652459706276
UP_KW_CELLULAR_COMPONENT	KW-0628~Postsynaptic cell membrane	10	3.067484662576687	0.001719544430303107	ENSRNOT00000049044, ENSRNOT00000004477, ENSRNOT00000005050, ENSRNOT00000004970, ENSRNOT00000004619, ENSRNOT00000005773, ENSRNOT00000003191, ENSRNOT00000011697, ENSRNOT00000004877, ENSRNOT00000010367	236	112	9557	3.6156930992736074	0.05195353181757767	0.05330587733939632	0.051586332909093216
