Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	rno04020:Calcium signaling pathway	14	6.278026905829597	1.2072039160661456E-5	ENSRNOT00000042117, ENSRNOT00000068535, ENSRNOT00000032163, ENSRNOT00000006087, ENSRNOT00000003928, ENSRNOT00000042145, ENSRNOT00000028877, ENSRNOT00000004477, ENSRNOT00000004121, ENSRNOT00000005143, ENSRNOT00000051371, ENSRNOT00000020348, ENSRNOT00000068739, ENSRNOT00000040645	102	188	6063	4.426470588235294	0.002700500165794928	0.0027041367719881663	0.0026558486153455203
KEGG_PATHWAY	rno04540:Gap junction	7	3.1390134529147984	4.452460570213432E-4	ENSRNOT00000042117, ENSRNOT00000011078, ENSRNOT00000068535, ENSRNOT00000006087, ENSRNOT00000020932, ENSRNOT00000068739, ENSRNOT00000040645	102	60	6063	6.934803921568629	0.09494297543601882	0.04986755838639044	0.048977066272347755
UP_SEQ_FEATURE	DOMAIN:LRRCT	7	3.1390134529147984	6.240266054505999E-4	ENSRNOT00000015401, ENSRNOT00000059951, ENSRNOT00000067414, ENSRNOT00000042145, ENSRNOT00000010238, ENSRNOT00000012478, ENSRNOT00000040954	213	66	13309	6.627045098876086	0.29324209215706887	0.34695879263053353	0.34695879263053353
KEGG_PATHWAY	rno04727:GABAergic synapse	7	3.1390134529147984	8.080407494727403E-4	ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000008342, ENSRNOT00000024901, ENSRNOT00000051371, ENSRNOT00000008138, ENSRNOT00000068739	102	67	6063	6.21027216856892	0.1656266337459098	0.06033370929396461	0.05925632162800095
UP_KW_DOMAIN	KW-1133~Transmembrane helix	69	30.94170403587444	0.0015543954481084354	ENSRNOT00000017400, ENSRNOT00000034146, ENSRNOT00000034708, ENSRNOT00000026752, ENSRNOT00000017090, ENSRNOT00000011869, ENSRNOT00000001890, ENSRNOT00000071166, ENSRNOT00000004121, ENSRNOT00000025904, ENSRNOT00000048947, ENSRNOT00000058362, ENSRNOT00000011078, ENSRNOT00000036472, ENSRNOT00000033285, ENSRNOT00000043365, ENSRNOT00000019674, ENSRNOT00000026173, ENSRNOT00000014749, ENSRNOT00000030015, ENSRNOT00000004477, ENSRNOT00000028546, ENSRNOT00000041709, ENSRNOT00000001923, ENSRNOT00000007588, ENSRNOT00000075131, ENSRNOT00000004834, ENSRNOT00000000831, ENSRNOT00000015401, ENSRNOT00000014038, ENSRNOT00000068535, ENSRNOT00000042145, ENSRNOT00000013703, ENSRNOT00000010238, ENSRNOT00000012138, ENSRNOT00000027346, ENSRNOT00000027785, ENSRNOT00000028877, ENSRNOT00000028752, ENSRNOT00000004065, ENSRNOT00000045773, ENSRNOT00000020476, ENSRNOT00000051371, ENSRNOT00000007335, ENSRNOT00000005311, ENSRNOT00000028438, ENSRNOT00000005753, ENSRNOT00000040645, ENSRNOT00000016986, ENSRNOT00000012222, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000015571, ENSRNOT00000003928, ENSRNOT00000008342, ENSRNOT00000004383, ENSRNOT00000028295, ENSRNOT00000000495, ENSRNOT00000025576, ENSRNOT00000027474, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000022142, ENSRNOT00000005143, ENSRNOT00000008138, ENSRNOT00000026789, ENSRNOT00000028328, ENSRNOT00000045845, ENSRNOT00000040954	137	3234	8672	1.3505410126890838	0.024582482320711585	0.024870327169734967	0.024870327169734967
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	102	45.73991031390135	0.0025134982433970892	ENSRNOT00000034261, ENSRNOT00000017400, ENSRNOT00000034146, ENSRNOT00000061761, ENSRNOT00000034389, ENSRNOT00000034708, ENSRNOT00000026752, ENSRNOT00000017090, ENSRNOT00000071166, ENSRNOT00000048947, ENSRNOT00000058362, ENSRNOT00000011270, ENSRNOT00000008120, ENSRNOT00000033285, ENSRNOT00000060683, ENSRNOT00000043365, ENSRNOT00000019674, ENSRNOT00000028546, ENSRNOT00000024901, ENSRNOT00000005881, ENSRNOT00000014151, ENSRNOT00000005366, ENSRNOT00000075131, ENSRNOT00000004834, ENSRNOT00000023779, ENSRNOT00000015401, ENSRNOT00000014038, ENSRNOT00000068535, ENSRNOT00000010238, ENSRNOT00000012138, ENSRNOT00000065261, ENSRNOT00000008507, ENSRNOT00000027346, ENSRNOT00000006329, ENSRNOT00000003857, ENSRNOT00000005753, ENSRNOT00000028438, ENSRNOT00000016986, ENSRNOT00000008342, ENSRNOT00000004383, ENSRNOT00000028295, ENSRNOT00000028297, ENSRNOT00000025576, ENSRNOT00000027474, ENSRNOT00000026789, ENSRNOT00000028328, ENSRNOT00000045845, ENSRNOT00000000577, ENSRNOT00000040954, ENSRNOT00000032163, ENSRNOT00000064272, ENSRNOT00000011869, ENSRNOT00000001890, ENSRNOT00000004121, ENSRNOT00000010419, ENSRNOT00000025904, ENSRNOT00000011078, ENSRNOT00000036472, ENSRNOT00000026173, ENSRNOT00000014749, ENSRNOT00000030015, ENSRNOT00000004477, ENSRNOT00000055822, ENSRNOT00000029312, ENSRNOT00000041709, ENSRNOT00000004351, ENSRNOT00000001923, ENSRNOT00000015283, ENSRNOT00000007588, ENSRNOT00000000831, ENSRNOT00000015322, ENSRNOT00000042145, ENSRNOT00000013703, ENSRNOT00000010433, ENSRNOT00000028084, ENSRNOT00000027785, ENSRNOT00000001077, ENSRNOT00000028877, ENSRNOT00000028752, ENSRNOT00000045773, ENSRNOT00000024430, ENSRNOT00000004065, ENSRNOT00000020476, ENSRNOT00000051371, ENSRNOT00000007335, ENSRNOT00000005311, ENSRNOT00000040645, ENSRNOT00000068739, ENSRNOT00000003413, ENSRNOT00000035285, ENSRNOT00000012222, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000015571, ENSRNOT00000003928, ENSRNOT00000000495, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000022142, ENSRNOT00000005143, ENSRNOT00000008138, ENSRNOT00000064309	165	4823	9557	1.2249561758995722	0.08661686811910219	0.09048593676229522	0.09048593676229522
GOTERM_MF_DIRECT	GO:0005515~protein binding	37	16.591928251121075	0.003203065184599227	ENSRNOT00000068535, ENSRNOT00000032163, ENSRNOT00000031230, ENSRNOT00000042145, ENSRNOT00000064272, ENSRNOT00000034389, ENSRNOT00000034401, ENSRNOT00000012478, ENSRNOT00000027346, ENSRNOT00000026235, ENSRNOT00000025421, ENSRNOT00000006607, ENSRNOT00000047698, ENSRNOT00000045773, ENSRNOT00000024430, ENSRNOT00000001954, ENSRNOT00000051371, ENSRNOT00000007335, ENSRNOT00000025904, ENSRNOT00000005311, ENSRNOT00000040645, ENSRNOT00000006087, ENSRNOT00000003928, ENSRNOT00000028297, ENSRNOT00000011455, ENSRNOT00000011314, ENSRNOT00000004477, ENSRNOT00000027474, ENSRNOT00000004970, ENSRNOT00000024069, ENSRNOT00000004351, ENSRNOT00000015283, ENSRNOT00000005881, ENSRNOT00000045845, ENSRNOT00000003349, ENSRNOT00000028328, ENSRNOT00000025878	190	1397	11632	1.621459518517123	0.7562496249590825	1.0	1.0
KEGG_PATHWAY	rno04530:Tight junction	8	3.587443946188341	0.0035274231779087967	ENSRNOT00000006607, ENSRNOT00000060683, ENSRNOT00000004351, ENSRNOT00000001923, ENSRNOT00000051371, ENSRNOT00000005366, ENSRNOT00000020932, ENSRNOT00000068739	102	119	6063	3.9960454770143348	0.5468534345183776	0.1975356979628926	0.1940082747849838
UP_KW_DOMAIN	KW-0812~Transmembrane	72	32.28699551569507	0.0036434116970541558	ENSRNOT00000034261, ENSRNOT00000017400, ENSRNOT00000034146, ENSRNOT00000034708, ENSRNOT00000026752, ENSRNOT00000017090, ENSRNOT00000011869, ENSRNOT00000001890, ENSRNOT00000071166, ENSRNOT00000004121, ENSRNOT00000025904, ENSRNOT00000048947, ENSRNOT00000058362, ENSRNOT00000011078, ENSRNOT00000036472, ENSRNOT00000033285, ENSRNOT00000043365, ENSRNOT00000019674, ENSRNOT00000026173, ENSRNOT00000030015, ENSRNOT00000004477, ENSRNOT00000028546, ENSRNOT00000041709, ENSRNOT00000001923, ENSRNOT00000007588, ENSRNOT00000075131, ENSRNOT00000004834, ENSRNOT00000000831, ENSRNOT00000015401, ENSRNOT00000014038, ENSRNOT00000068535, ENSRNOT00000042145, ENSRNOT00000013703, ENSRNOT00000010238, ENSRNOT00000012138, ENSRNOT00000065261, ENSRNOT00000027346, ENSRNOT00000027785, ENSRNOT00000028877, ENSRNOT00000028752, ENSRNOT00000004065, ENSRNOT00000045773, ENSRNOT00000020476, ENSRNOT00000051371, ENSRNOT00000007335, ENSRNOT00000003857, ENSRNOT00000005311, ENSRNOT00000028438, ENSRNOT00000005753, ENSRNOT00000040645, ENSRNOT00000016986, ENSRNOT00000012222, ENSRNOT00000006087, ENSRNOT00000067414, ENSRNOT00000015571, ENSRNOT00000003928, ENSRNOT00000008342, ENSRNOT00000004383, ENSRNOT00000028295, ENSRNOT00000028297, ENSRNOT00000000495, ENSRNOT00000025576, ENSRNOT00000027474, ENSRNOT00000004970, ENSRNOT00000003240, ENSRNOT00000022142, ENSRNOT00000005143, ENSRNOT00000008138, ENSRNOT00000026789, ENSRNOT00000028328, ENSRNOT00000045845, ENSRNOT00000040954	137	3515	8672	1.296599557682923	0.05672841937714246	0.029147293576433246	0.029147293576433246
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	38	17.040358744394617	0.0038768454337566984	ENSRNOT00000017400, ENSRNOT00000068535, ENSRNOT00000042145, ENSRNOT00000020817, ENSRNOT00000013703, ENSRNOT00000010433, ENSRNOT00000027346, ENSRNOT00000027785, ENSRNOT00000017090, ENSRNOT00000028877, ENSRNOT00000071166, ENSRNOT00000004121, ENSRNOT00000045773, ENSRNOT00000051371, ENSRNOT00000007335, ENSRNOT00000005311, ENSRNOT00000012385, ENSRNOT00000042117, ENSRNOT00000003928, ENSRNOT00000008342, ENSRNOT00000043365, ENSRNOT00000028295, ENSRNOT00000004383, ENSRNOT00000010101, ENSRNOT00000004477, ENSRNOT00000025576, ENSRNOT00000055822, ENSRNOT00000004970, ENSRNOT00000029312, ENSRNOT00000041709, ENSRNOT00000003240, ENSRNOT00000022142, ENSRNOT00000005143, ENSRNOT00000008138, ENSRNOT00000045845, ENSRNOT00000000831, ENSRNOT00000003349, ENSRNOT00000026789	213	1487	13309	1.5967556064925756	0.8846420311302852	1.0	1.0
